|       | Grinch, The                                               | Universal Interactive     | Sega Dreamcast | 2000 | Europe
|       | Gunbird 2                                                 | Virgin Interactive        | Sega Dreamcast | 2001 | Europe
|       | GunLord                                                   | NG:DEV.TEAM               | Sega Dreamcast | 2012 | Europe
|       | Headhunter                                                | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Heavy Metal: Geomatrix                                    | Capcom                    | Sega Dreamcast | 2002 | Europe
|       | Hermes                                                    | Retroguru                 | Sega Dreamcast | 2017 | Europe
|       | Hidden & Dangerous                                        | TalonSoft                 | Sega Dreamcast | 2000 | Europe
|       | House of the Dead 2, The                                  | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Hydro Thunder                                             | Midway                    | Sega Dreamcast | 1999 | Europe
|       | Incoming                                                  | Rage Software             | Sega Dreamcast | 1999 | Europe
|       | Iron Aces                                                 | Xicat Interactive         | Sega Dreamcast | 2001 | Europe
|       | Jeremy McGrath SuperCross 2000                            | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Jet Set Radio                                             | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Jimmy White's 2: Cueball                                  | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | JoJo's Bizarre Adventure                                  | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Kao the Kangaroo                                          | Titus Software            | Sega Dreamcast | 2000 | Europe
|       | KISS: Psycho Circus: The Nightmare Child                  | Take-Two Interactive      | Sega Dreamcast | 2001 | Europe
|       | Last Hope                                                 | redspotgames              | Sega Dreamcast | 2007 | Europe
|       | Last Hope: Pink Bullets                                   | NG:DEV.TEAM               | Sega Dreamcast | 2009 | Europe
|       | Le Mans 24 Hours                                          | Infogrames                | Sega Dreamcast | 2000 | Europe
|       | Legacy of Kain: Soul Reaver                               | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Looney Tunes: Space Race                                  | Infogrames                | Sega Dreamcast | 2000 | Europe
|       | MagForce Racing                                           | Crave                     | Sega Dreamcast | 2000 | Europe
|       | Maken X                                                   | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Marvel vs. Capcom 2: New Age of Heroes                    | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Marvel vs. Capcom: Clash of Super Heroes                  | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | MDK 2                                                     | Interplay                 | Sega Dreamcast | 2000 | Europe
|       | Metropolis Street Racer: Opel Challenge                   | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Midway's Greatest Arcade Hits Volume 1                    | Midway                    | Sega Dreamcast | 2000 | Europe
|       | Millenium Soldier: Expendable                             | Infogrames                | Sega Dreamcast | 1999 | Europe
|       | Moho                                                      | Take-Two Interactive      | Sega Dreamcast | 2000 | Europe
|       | Mortal Kombat Gold                                        | Midway                    | Sega Dreamcast | 1999 | Europe
|       | Mr. Driller                                               | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | MSR: Metropolis Street Racer                              | Sega                      | Sega Dreamcast | 2000 | Europe
|       | MTV Sports: Skateboarding featuring Andy McDonald         | THQ                       | Sega Dreamcast | 2000 | Europe
|       | NBA 2K                                                    | Sega                      | Sega Dreamcast | 1999 | Europe
|       | NBA Hoopz                                                 | Midway                    | Sega Dreamcast | 2001 | Europe
|       | NBA Showtime: NBA on NBC                                  | Midway                    | Sega Dreamcast | 1999 | Europe
|       | NEO XYX                                                   | NG:DEV.TEAM               | Sega Dreamcast | 2014 | Europe
|       | NFL Blitz 2000                                            | Midway                    | Sega Dreamcast | 1999 | Europe
|       | NFL Quarterback Club 2000                                 | Acclaim                   | Sega Dreamcast | 1999 | Europe
|       | Nightmare Creatures II                                    | Konami                    | Sega Dreamcast | 2000 | Europe
|       | Nomad Soul, The                                           | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Orion's Puzzle Collection                                 | Orion Soft                | Sega Dreamcast | 2016 | Europe
|       | OutTrigger: International Counter Terrorism Special Force | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Pen Pen                                                   | Infogrames                | Sega Dreamcast | 1999 | Europe
|       | Phantasy Star Online                                      | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Phantasy Star Online Ver. 2                               | Sega                      | Sega Dreamcast | 2002 | Europe
|       | Pier Solar HD                                             | Watermelon                | Sega Dreamcast | 2015 | Europe
|       | Planet Ring                                               | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Plasma Sword: Nightmare of Bilstein                       | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Pod 2 Multiplayer Online                                  | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Power Stone                                               | Eidos Interactive         | Sega Dreamcast | 1999 | Europe
|       | Power Stone 2                                             | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Pro Pinball Trilogy                                       | Empire Interactive        | Sega Dreamcast | 2001 | Europe
|       | Project Justice: Rival Schools 2                          | Virgin Interactive        | Sega Dreamcast | 2001 | Europe
|       | Psychic Force 2012                                        | Taito Corporation         | Sega Dreamcast | 1999 | Europe
|       | Quake III Arena                                           | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Racing Simulation 2: On-line Monaco Grand Prix            | Ubisoft                   | Sega Dreamcast | 2001 | Europe
|       | Railroad Tycoon II                                        | Take-Two Interactive      | Sega Dreamcast | 2000 | Europe
|       | Rayman 2: The Great Escape                                | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Re-Volt                                                   | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Ready 2 Rumble Boxing                                     | Midway                    | Sega Dreamcast | 1999 | Europe
|       | Ready 2 Rumble Boxing: Round 2                            | Midway                    | Sega Dreamcast | 2000 | Europe
|       | Record of Lodoss War                                      | Swing! Deutschland        | Sega Dreamcast | 2000 | Europe
|       | Red Dog: Superior Firepower                               | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Redux: Dark Matters                                       | HUCAST                    | Sega Dreamcast | 2014 | Europe
|       | Resident Evil 2                                           | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Resident Evil 3: Nemesis                                  | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Resident Evil Code: Veronica                              | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Rez                                                       | Sega                      | Sega Dreamcast | 2002 | Europe
|       | Roadsters                                                 | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Rush Rush Rally Racing                                    | redspotgames              | Sega Dreamcast | 2009 | Europe
|       | Rush Rush Rally Reloaded                                  | JoshProd                  | Sega Dreamcast | 2017 | Europe
|       | Samba de Amigo                                            | Sega                      | Sega Dreamcast | 2000 | Europe
|       | San Francisco Rush 2049                                   | Midway                    | Sega Dreamcast | 2000 | Europe
|       | Sega Bass Fishing                                         | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Sega Extreme Sports                                       | Infogrames                | Sega Dreamcast | 2000 | Europe
|       | Sega GT                                                   | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Sega Rally Championship 2                                 | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Sega Sports NBA 2K2                                       | Sega                      | Sega Dreamcast | 2002 | Europe
|       | Sega Sports NHL 2K                                        | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Sega Worldwide Soccer 2000                                | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Sega WorldWide Soccer 2000 Euro Edition                   | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Shadow Man                                                | Acclaim                   | Sega Dreamcast | 1999 | Europe
|       | Shenmue                                                   | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Shenmue II                                                | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Silent Scope                                              | Konami                    | Sega Dreamcast | 2000 | Europe
|       | Silver                                                    | Infogrames                | Sega Dreamcast | 2000 | Europe
|       | Skies of Arcadia                                          | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Slave Zero                                                | Infogrames                | Sega Dreamcast | 1999 | Europe
|       | SnoCross Championship Racing                              | Ubisoft                   | Sega Dreamcast | 2001 | Europe
|       | Snow Surfers                                              | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Soldier of Fortune                                        | Crave                     | Sega Dreamcast | 2001 | Europe
