|       | Cocoto: Alien Brick Breaker                                                          | BigBen Interactive                     | Nintendo 3DS | 2012 | Europe
|       | Code Name: S.T.E.A.M.                                                                | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Combat of Giants: Dinosaurs 3D                                                       | Ubisoft                                | Nintendo 3DS | 2011 | Europe
|       | Cooking Mama 4                                                                       | 505 Games                              | Nintendo 3DS | 2011 | Europe
|       | Cooking Mama: Bon Appetit!                                                           | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | Cooking Mama: Sweet Shop                                                             | Rising Star Games                      | Nintendo 3DS | 2017 | Europe
|       | Crash City Mayhem                                                                    | Ghostlight                             | Nintendo 3DS | 2013 | Europe
|       | Crash Time 3D                                                                        | DTP Entertainment                      | Nintendo 3DS | 2012 | Europe
|       | Croods: Prehistoric Party!, The                                                      | D3Publisher                            | Nintendo 3DS | 2013 | Europe
|       | CRUSH3D                                                                              | Sega                                   | Nintendo 3DS | 2012 | Europe
|       | Cube, The                                                                            | Funbox Media                           | Nintendo 3DS | 2012 | Europe
|       | Cubic Ninja                                                                          | Ubisoft                                | Nintendo 3DS | 2011 | Europe
|       | Culdcept Revolt                                                                      | NIS America                            | Nintendo 3DS | 2017 | Europe
|       | Cut the Rope: Triple Treat                                                           | Activision                             | Nintendo 3DS | 2014 | Europe
|       | Dead or Alive: Dimensions                                                            | Tecmo Koei Games                       | Nintendo 3DS | 2011 | Europe
|       | Deca Sports Extreme                                                                  | Konami                                 | Nintendo 3DS | 2011 | Europe
|       | Disney 2-Pack - Frozen: Olaf's Quest + Big Hero 6: Battle in the Bay                 | Maximum Games                          | Nintendo 3DS | 2016 | Europe
|       | Disney Art Academy                                                                   | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Disney Big Hero 6: Battle in the Bay                                                 | Avanquest Software                     | Nintendo 3DS | 2014 | Europe
|       | Disney Epic Mickey: The Power of Illusion                                            | Disney Interactive Studios             | Nintendo 3DS | 2012 | Europe
|       | Disney Frozen: Olaf's Quest                                                          | Avanquest Software                     | Nintendo 3DS | 2013 | Europe
|       | Disney Infinity: Toy Box Challenge                                                   | Disney Interactive Studios             | Nintendo 3DS | 2013 | Europe
|       | Disney Magical World                                                                 | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | Disney Magical World 2                                                               | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Disney Planes                                                                        | Disney Interactive Studios             | Nintendo 3DS | 2013 | Europe
|       | Disney Planes: Fire & Rescue                                                         | Little Orbit                           | Nintendo 3DS | 2014 | Europe
|       | Disney Princess: My Fairytale Adventure                                              | Disney Interactive Studios             | Nintendo 3DS | 2012 | Europe
