|       | Battle Cross                                                              | Imagineer                    | Super Nintendo | 1994 | Japan
|       | Battle Dodge Ball                                                         | Banpresto                    | Super Nintendo | 1991 | Japan
|       | Battle Dodge Ball II                                                      | Banpresto                    | Super Nintendo | 1993 | Japan
|       | Battle Grand Prix                                                         | Naxat Soft                   | Super Nintendo | 1992 | Japan
|       | Battle Jockey                                                             | Virgin Interactive           | Super Nintendo | 1994 | Japan
|       | Battle Master: Kyuukyoku no Senshitachi                                   | Toshiba EMI                  | Super Nintendo | 1993 | Japan
|       | Battle Pinball                                                            | Banpresto                    | Super Nintendo | 1995 | Japan
|       | Battle Racers                                                             | Banpresto                    | Super Nintendo | 1995 | Japan
|       | Battle Robot Retsuden                                                     | Banpresto                    | Super Nintendo | 1995 | Japan
|       | Battle Soccer 2                                                           | Banpresto                    | Super Nintendo | 1994 | Japan
|       | Battle Soccer: Field no Hasha                                             | Banpresto                    | Super Nintendo | 1992 | Japan
|       | Battle Submarine                                                          | Pack-In-Video                | Super Nintendo | 1995 | Japan
|       | Battle Tycoon: Flash Hiders SFX                                           | Right Stuff                  | Super Nintendo | 1995 | Japan
|       | Battle Zeque-Den                                                          | Asmik Ace Entertainment, Inc | Super Nintendo | 1994 | Japan
|       | Battletech                                                                | Victor Interactive Software  | Super Nintendo | 1993 | Japan
|       | Battletech 3050                                                           | ASK                          | Super Nintendo | 1996 | Japan
|       | Battletoads in Battlemaniacs                                              | NCS                          | Super Nintendo | 1994 | Japan
|       | Benkei Gaiden: Suna no Shou                                               | SunSoft                      | Super Nintendo | 1992 | Japan
|       | Best Shot Pro Golf                                                        | ASCII Entertainment          | Super Nintendo | 1996 | Japan
|       | Big Hurt Baseball                                                         | Acclaim Japan                | Super Nintendo | 1995 | Japan
|       | Big Ichigeki! Pachi-Slot Dai-Kouryaku                                     | ASK                          | Super Nintendo | 1994 | Japan
|       | Big Ichigeki! Pachi-Slot Dai-Kouryaku 2: Universal Collection             | ASK                          | Super Nintendo | 1995 | Japan
|       | Bijo to Yajuu                                                             | Virgin Interactive           | Super Nintendo | 1994 | Japan
|       | Bike Daisuki! Hashiriya Tamashii - Rider's-Spirits                        | NCS                          | Super Nintendo | 1994 | Japan
|       | Bing Bing! Bingo                                                          | KSS                          | Super Nintendo | 1993 | Japan
|       | BioMetal                                                                  | Athena                       | Super Nintendo | 1993 | Japan
|       | Bishin Densetsu Zoku: The Legend of Bishin Zoku                           | Magifact                     | Super Nintendo | 1993 | Japan
|       | Bishoujo Janshi Suchie-Pai                                                | Jaleco Entertainment         | Super Nintendo | 1993 | Japan
|       | Bishoujo Senshi Sailor Moon                                               | Angel (Bandai)               | Super Nintendo | 1993 | Japan
|       | Bishoujo Senshi Sailor Moon R                                             | Bandai                       | Super Nintendo | 1993 | Japan
|       | Bishoujo Senshi Sailor Moon S: Juugai Rantou!? Shuyaku Soudatsusen        | Angel (Bandai)               | Super Nintendo | 1994 | Japan
|       | Bishoujo Senshi Sailor Moon S: Kondo wa Puzzle de Oshioki yo!!            | Bandai                       | Super Nintendo | 1994 | Japan
|       | Bishoujo Senshi Sailor Moon S: Kurukkurin                                 | Bandai                       | Super Nintendo | 1995 | Japan
