|       | Doubutsu no Mori e-Plus                                    | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Doubutsu no Mori Plus                                      | Nintendo                     | Nintendo GameCube | 2001 | Japan
|       | Dragon Ball Z                                              | Bandai                       | Nintendo GameCube | 2003 | Japan
|       | Dragon Drive: D-Masters Shot                               | Bandai                       | Nintendo GameCube | 2003 | Japan
|       | DreamMix TV: World Fighters                                | Hudson                       | Nintendo GameCube | 2003 | Japan
|       | Duel Masters                                               | Takara                       | Nintendo GameCube | 2003 | Japan
|       | Eisei Meijin VI                                            | Konami                       | Nintendo GameCube | 2002 | Japan
|       | Enter the Matrix                                           | Bandai                       | Nintendo GameCube | 2003 | Japan
|       | Eternal Arcadia Legends                                    | Sega                         | Nintendo GameCube | 2002 | Japan
|       | Eternal Darkness: Manukareta 13-nin                        | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Evolution Skateboarding                                    | Konami                       | Nintendo GameCube | 2002 | Japan
|       | F-Zero GX                                                  | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Family Stadium 2003                                        | Namco                        | Nintendo GameCube | 2003 | Japan
|       | FIFA 2002: Road to FIFA World Cup                          | Electronic Arts Victor       | Nintendo GameCube | 2001 | Japan
|       | FIFA 2003                                                  | Electronic Arts              | Nintendo GameCube | 2002 | Japan
|       | Fight Night Round 2                                        | EA Sports                    | Nintendo GameCube | 2005 | Japan
|       | Final Fantasy Crystal Chronicles                           | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Fire Emblem: Souen no Kiseki                               | Nintendo                     | Nintendo GameCube | 2005 | Japan
|       | Frogger                                                    | Konami                       | Nintendo GameCube | 2003 | Japan
|       | From TV Animation: One Piece Treasure Battle!              | Bandai                       | Nintendo GameCube | 2002 | Japan
|       | Gakuen Toshi Vara Noir Roses                               | Idea Factory                 | Nintendo GameCube | 2001 | Japan
|       | Gekitou Pro Yakyuu                                         | Sega                         | Nintendo GameCube | 2003 | Japan
|       | Generation of Chaos Exceed                                 | Idea Factory                 | Nintendo GameCube | 2002 | Japan
|       | Giant Egg: Billy Hatcher no Daibouken                      | Sega                         | Nintendo GameCube | 2003 | Japan
|       | Giftpia                                                    | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Godzilla: Kaijuu Dairantou                                 | Atari                        | Nintendo GameCube | 2002 | Japan
