|       | Disney Planes: Fire & Rescue                                             | Little Orbit                           | Nintendo Wii U | 2014 | North America
|       | Donkey Kong Country: Tropical Freeze                                     | Nintendo                               | Nintendo Wii U | 2014 | North America
|       | ESPN Sports Connection                                                   | Ubisoft                                | Nintendo Wii U | 2012 | North America
|       | Family Party: 30 Great Games Obstacle Arcade                             | D3Publisher                            | Nintendo Wii U | 2012 | North America
|       | Fast & Furious: Showdown                                                 | Activision                             | Nintendo Wii U | 2013 | North America
|       | FIFA Soccer 13                                                           | EA Sports                              | Nintendo Wii U | 2012 | North America
|       | Funky Barn                                                               | 505 Games                              | Nintendo Wii U | 2012 | North America
|       | Game & Wario                                                             | Nintendo                               | Nintendo Wii U | 2013 | North America
|       | Game Party Champions                                                     | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2012 | North America
|       | Giana Sisters: Twisted Dreams - Director's Cut                           | Alliance Digital Media                 | Nintendo Wii U | 2015 | North America
|       | Guitar Hero Live                                                         | Activision                             | Nintendo Wii U | 2015 | North America
|       | Hello Kitty Kruisers                                                     | Bergsala-Lightweight                   | Nintendo Wii U | 2014 | North America
|       | Hot Wheels: World's Best Driver                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | North America
|       | How to Train Your Dragon 2                                               | Little Orbit                           | Nintendo Wii U | 2014 | North America
|       | Hyrule Warriors                                                          | Nintendo                               | Nintendo Wii U | 2014 | North America
|       | Injustice: Gods Among Us                                                 | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | North America
|       | Jeopardy!                                                                | THQ                                    | Nintendo Wii U | 2012 | North America
|       | Just Dance 2014                                                          | Ubisoft                                | Nintendo Wii U | 2013 | North America
|       | Just Dance 2015                                                          | Ubisoft                                | Nintendo Wii U | 2014 | North America
|       | Just Dance 2016                                                          | Ubisoft                                | Nintendo Wii U | 2015 | North America
|       | Just Dance 2017                                                          | Ubisoft                                | Nintendo Wii U | 2016 | North America
|       | Just Dance 2018                                                          | Ubisoft                                | Nintendo Wii U | 2017 | North America
|       | Just Dance 4                                                             | Ubisoft                                | Nintendo Wii U | 2012 | North America
|       | Just Dance Kids 2014                                                     | Ubisoft                                | Nintendo Wii U | 2014 | North America
|       | Just Dance: Disney Party 2                                               | Ubisoft                                | Nintendo Wii U | 2015 | North America
|       | Kirby and the Rainbow Curse                                              | Nintendo                               | Nintendo Wii U | 2015 | North America
|       | Kung Fu Panda: Showdown of Legendary Legends                             | Little Orbit                           | Nintendo Wii U | 2015 | North America
|       | Legend of Kay Anniversary                                                | Nordic Games Publishing                | Nintendo Wii U | 2015 | North America
|       | Legend of Zelda: Breath of the Wild, The                                 | Nintendo                               | Nintendo Wii U | 2017 | North America
|       | Legend of Zelda: The Wind Waker HD, The                                  | Nintendo                               | Nintendo Wii U | 2013 | North America
|       | Legend of Zelda: Twilight Princess HD, The                               | Nintendo                               | Nintendo Wii U | 2016 | North America
|       | LEGO Batman 2: DC Super Heroes                                           | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | North America
|       | LEGO Batman 3: Beyond Gotham                                             | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | North America
|       | LEGO City Undercover                                                     | Nintendo                               | Nintendo Wii U | 2013 | North America
|       | Lego Dimensions                                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2015 | North America
|       | LEGO Jurassic World                                                      | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2015 | North America
|       | LEGO Marvel Super Heroes                                                 | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | North America
|       | LEGO Marvel's Avengers                                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2016 | North America
|       | LEGO Movie Videogame, The                                                | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | North America
|       | LEGO Star Wars: The Force Awakens                                        | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2016 | North America
|       | LEGO The Hobbit                                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | North America
|       | Madden NFL 13                                                            | EA Sports                              | Nintendo Wii U | 2012 | North America
|       | Mario & Sonic at the Rio 2016 Olympic Games                              | Nintendo                               | Nintendo Wii U | 2016 | North America
|       | Mario & Sonic at the Sochi 2014 Olympic Winter Games                     | Nintendo                               | Nintendo Wii U | 2013 | North America
|       | Mario Kart 8                                                             | Nintendo                               | Nintendo Wii U | 2014 | North America
|       | Mario Party 10                                                           | Nintendo                               | Nintendo Wii U | 2015 | North America
|       | Mario Tennis: Ultra Smash                                                | Nintendo                               | Nintendo Wii U | 2015 | North America
|       | Marvel Avengers: Battle for Earth                                        | Ubisoft                                | Nintendo Wii U | 2012 | North America
|       | Mass Effect 3: Special Edition                                           | Electronic Arts                        | Nintendo Wii U | 2012 | North America
|       | Mighty No. 9                                                             | Deep Silver                            | Nintendo Wii U | 2016 | North America
|       | Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure | Telltale Games                         | Nintendo Wii U | 2016 | North America
|       | Minecraft: Wii U Edition                                                 | Mojang AB                              | Nintendo Wii U | 2016 | North America
|       | Mini-Mario & Friends: amiibo Challenge                                   | Nintendo                               | Nintendo Wii U | 2016 | North America
|       | Monster High: 13 Wishes                                                  | Little Orbit                           | Nintendo Wii U | 2013 | North America
|       | Monster High: New Ghoul in School                                        | Little Orbit                           | Nintendo Wii U | 2015 | North America
|       | Monster Hunter 3 Ultimate                                                | Capcom                                 | Nintendo Wii U | 2013 | North America
|       | NBA 2K13                                                                 | 2K Sports                              | Nintendo Wii U | 2012 | North America
|       | Need for Speed: Most Wanted U                                            | Electronic Arts                        | Nintendo Wii U | 2013 | North America
|       | NES Remix Pack                                                           | Nintendo                               | Nintendo Wii U | 2014 | North America
|       | New Super Luigi U                                                        | Nintendo                               | Nintendo Wii U | 2013 | North America
|       | New Super Mario Bros. U                                                  | Nintendo                               | Nintendo Wii U | 2012 | North America
|       | New Super Mario Bros. U + New Super Luigi U                              | Nintendo                               | Nintendo Wii U | 2013 | North America
|       | Ninja Gaiden 3: Razor's Edge                                             | Nintendo                               | Nintendo Wii U | 2012 | North America
|       | Nintendo Land                                                            | Nintendo                               | Nintendo Wii U | 2012 | North America
|       | Pac-Man and the Ghostly Adventures                                       | Namco Bandai Games America             | Nintendo Wii U | 2013 | North America
