|       | Crash Bandicoot: The Wrath of Cortex                                       | Universal Interactive      | Nintendo GameCube | 2002 | Europe
|       | Crash Nitro Kart                                                           | VU Games                   | Nintendo GameCube | 2003 | Europe
|       | Crash Tag Team Racing                                                      | VU Games                   | Nintendo GameCube | 2005 | Europe
|       | Crazy Taxi                                                                 | Acclaim                    | Nintendo GameCube | 2002 | Europe
|       | Curious George                                                             | Namco                      | Nintendo GameCube | 2006 | Europe
|       | Dakar 2                                                                    | Acclaim                    | Nintendo GameCube | 2003 | Europe
|       | Dakar 2                                                                    | Acclaim                    | Nintendo GameCube | 2003 | Europe
|       | Dancing Stage: Mario Mix                                                   | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Dark Summit                                                                | THQ                        | Nintendo GameCube | 2002 | Europe
|       | Darkened Skye                                                              | TDK Mediactive             | Nintendo GameCube | 2003 | Europe
|       | Dave Mirra Freestyle BMX 2                                                 | Acclaim                    | Nintendo GameCube | 2002 | Europe
|       | Dead to Rights                                                             | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Def Jam Vendetta                                                           | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Def Jam: Fight for NY                                                      | Electronic Arts            | Nintendo GameCube | 2004 | Europe
|       | Defender                                                                   | Midway                     | Nintendo GameCube | 2003 | Europe
|       | Die Hard: Vendetta                                                         | NDA Productions            | Nintendo GameCube | 2002 | Europe
|       | Digimon Rumble Arena 2                                                     | Atari                      | Nintendo GameCube | 2004 | Europe
|       | Disney Sports: Basketball                                                  | Konami                     | Nintendo GameCube | 2003 | Europe
|       | Disney Sports: Football                                                    | Konami                     | Nintendo GameCube | 2003 | Europe
|       | Disney Sports: Skateboarding                                               | Konami                     | Nintendo GameCube | 2003 | Europe
|       | Disney's Donald Duck: PK                                                   | Ubisoft                    | Nintendo GameCube | 2002 | Europe
|       | Disney's Donald Duck: Quack Attack                                         | Ubisoft                    | Nintendo GameCube | 2002 | Europe
|       | Disney's Extreme Skate Adventure                                           | Activision                 | Nintendo GameCube | 2003 | Europe
|       | Disney's Hide and Sneak                                                    | Capcom                     | Nintendo GameCube | 2004 | Europe
|       | Disney's Magical Mirror Starring Mickey Mouse                              | Nintendo                   | Nintendo GameCube | 2002 | Europe
|       | Disney's Party                                                             | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Disney's Tarzan: Freeride                                                  | Ubisoft                    | Nintendo GameCube | 2002 | Europe
|       | Disney/Pixar Finding Nemo                                                  | THQ                        | Nintendo GameCube | 2003 | Europe
|       | Donkey Kong Jungle Beat                                                    | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Donkey Konga                                                               | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Donkey Konga 2                                                             | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Dora the Explorer: Journey to the Purple Planet                            | Take-Two Interactive       | Nintendo GameCube | 2005 | Europe
|       | Doshin the Giant                                                           | Nintendo                   | Nintendo GameCube | 2002 | Europe
