|       | Anpanman to Touch de Waku Waku Training                                                                                                             | Bandai Namco Games           | Nintendo DS | 2009 | Japan
|       | Ao-Don DS: Hanabi no Goku & Hanabi no Takumi                                                                                                        | Commseed                     | Nintendo DS | 2010 | Japan
|       | Apathy: Narugami Gakuen Toshi Densetsu Tantei Kyoku                                                                                                 | Arc System Works             | Nintendo DS | 2007 | Japan
|       | Appare! Shogi Jiisan: Washi to Shoubu ja                                                                                                            | Success                      | Nintendo DS | 2005 | Japan
|       | Arabians Lost                                                                                                                                       | Prototype                    | Nintendo DS | 2009 | Japan
|       | Arashi no Yoruni                                                                                                                                    | TDK Core                     | Nintendo DS | 2005 | Japan
|       | Arasuji de Kitaeru Sokumimi no Susume DS                                                                                                            | IE Institute                 | Nintendo DS | 2007 | Japan
|       | Arasuji de Oboeru Sokudoku no Susume DS                                                                                                             | IE Institute                 | Nintendo DS | 2007 | Japan
|       | Archime DS                                                                                                                                          | Skip Ltd.                    | Nintendo DS | 2007 | Japan
|       | Arkanoid DS                                                                                                                                         | Taito Corporation            | Nintendo DS | 2007 | Japan
|       | Aruite Wakaru: Seikatsu Rhythm DS                                                                                                                   | Nintendo                     | Nintendo DS | 2008 | Japan
|       | ASH: Archaic Sealed Heat                                                                                                                            | Nintendo                     | Nintendo DS | 2007 | Japan
|       | Asoberu Eigo: Word Magic DS                                                                                                                         | Shingakusha                  | Nintendo DS | 2008 | Japan
|       | Asonde Igo ga Sara ni Tsuyokunaru: Ginsei Igo DS Chuukyuuhen                                                                                        | Electronic Arts              | Nintendo DS | 2009 | Japan
|       | Asonde Igo ga Tsuyoku naru!! Ginsei Igo DS                                                                                                          | Electronic Arts              | Nintendo DS | 2007 | Japan
|       | Asonde Shogi ga  Tsuyoku naru!! Ginsei Shogi DS                                                                                                     | Electronic Arts              | Nintendo DS | 2007 | Japan
|       | Asphalt: Urban GT                                                                                                                                   | Taito Corporation            | Nintendo DS | 2005 | Japan
|       | Atama de Do! Kotenko Kotenko                                                                                                                        | Dorart                       | Nintendo DS | 2007 | Japan
|       | Atama no Kaiten no Training: Rubik's Cube & Chou Yuumei Puzzle Tachi                                                                                | Digital Works Entertainment  | Nintendo DS | 2007 | Japan
|       | Atama o Kitaete Asobu Taisen Yajirushi Puzzle: Puppyinu Vector One                                                                                  | Megacyber                    | Nintendo DS | 2006 | Japan
|       | Atarimix Happy 10 Games                                                                                                                             | Atari SA                     | Nintendo DS | 2005 | Japan
|       | Atsumare! Power Pro Kun no DS Koushien                                                                                                              | Konami                       | Nintendo DS | 2006 | Japan
|       | Atsumete! Kirby                                                                                                                                     | Nintendo                     | Nintendo DS | 2011 | Japan
|       | Avalon Code                                                                                                                                         | Marvelous Entertainment      | Nintendo DS | 2008 | Japan
|       | Awatama                                                                                                                                             | Interchannel                 | Nintendo DS | 2009 | Japan
|       | Away: Shuffle Dungeon                                                                                                                               | AQ Interactive               | Nintendo DS | 2008 | Japan
|       | Bae Yong-joon to Manabu Kankokugo DS                                                                                                                | D3Publisher                  | Nintendo DS | 2009 | Japan
|       | Bakegyamon: Ayakashi Fighting                                                                                                                       | Takara Tomy                  | Nintendo DS | 2007 | Japan
|       | Bakugan Battle Brawlers DS: Defenders of the Core                                                                                                   | Sega                         | Nintendo DS | 2010 | Japan
|       | Bakuman: Mangaka e no Michi                                                                                                                         | Bandai Namco Games           | Nintendo DS | 2011 | Japan
|       | Bakumatsu Renka: Shinsengumi DS                                                                                                                     | D3Publisher                  | Nintendo DS | 2008 | Japan
|       | Bakusou Dekotora Densetsu Black                                                                                                                     | Spike                        | Nintendo DS | 2008 | Japan
|       | Bangai-O Spirits                                                                                                                                    | ESP Software                 | Nintendo DS | 2008 | Japan
|       | Banushi Life Game: Winner's Circle                                                                                                                  | Genki                        | Nintendo DS | 2007 | Japan
|       | Bartender DS                                                                                                                                        | Electronic Arts              | Nintendo DS | 2007 | Japan
|       | Battle & Get! Pokemon Typing DS                                                                                                                     | Nintendo                     | Nintendo DS | 2011 | Japan
|       | Battle Spirits: Digital Starter                                                                                                                     | Bandai Namco Games           | Nintendo DS | 2010 | Japan
|       | Bikkuriman Daijiten                                                                                                                                 | 3 O'Clock                    | Nintendo DS | 2007 | Japan
|       | BioHazard: Deadly Silence                                                                                                                           | Capcom                       | Nintendo DS | 2006 | Japan
|       | Bionicle Heroes                                                                                                                                     | Electronic Arts              | Nintendo DS | 2007 | Japan
|       | Biz Nouryoku DS Series: Wagokoro no Moto                                                                                                            | Kokuyo                       | Nintendo DS | 2007 | Japan
|       | Biz Nouryoku Series: Miryoku Kaikaku                                                                                                                | Kokuyo                       | Nintendo DS | 2007 | Japan
|       | Biz Taiken DS Series: Kigyoudou Inshoku                                                                                                             | Kokuyo                       | Nintendo DS | 2007 | Japan
|       | Black Cat: Kuroneko no Concerto                                                                                                                     | Compile Heart                | Nintendo DS | 2007 | Japan
|       | Black Jack: Hi no Tori Hen                                                                                                                          | Sega                         | Nintendo DS | 2006 | Japan
|       | Blazer Drive                                                                                                                                        | Sega                         | Nintendo DS | 2008 | Japan
|       | Bleach DS 2nd: Kokui Hirameku Requiem                                                                                                               | Sega                         | Nintendo DS | 2007 | Japan
|       | Bleach DS 4th: Flame Bringer                                                                                                                        | Sega                         | Nintendo DS | 2009 | Japan
|       | Bleach DS: Souten ni Kakeru Unmei                                                                                                                   | Sega                         | Nintendo DS | 2006 | Japan
|       | Bleach: The 3rd Phantom                                                                                                                             | Sega                         | Nintendo DS | 2008 | Japan
|       | Blood of Bahamut                                                                                                                                    | Square Enix                  | Nintendo DS | 2009 | Japan
|       | Blue Dragon Plus                                                                                                                                    | AQ Interactive               | Nintendo DS | 2008 | Japan
|       | Blue Dragon: Ikai no Kyoujuu                                                                                                                        | Bandai Namco Games           | Nintendo DS | 2009 | Japan
|       | Boku to Sim no Machi Agents                                                                                                                         | Electronic Arts              | Nintendo DS | 2009 | Japan
|       | Boku to Sim no Machi Kingdom                                                                                                                        | Electronic Arts              | Nintendo DS | 2008 | Japan
|       | Boku to Sim no Machi Party                                                                                                                          | EA Games                     | Nintendo DS | 2009 | Japan
|       | Boku to Sim no Machi Racing                                                                                                                         | EA Games                     | Nintendo DS | 2009 | Japan
|       | Boku to Sim no Machi: Resort ni Genki o Torimodosou!                                                                                                | EA Games                     | Nintendo DS | 2007 | Japan
|       | Boku wa Koukuu Kanseikan DS                                                                                                                         | Interchannel                 | Nintendo DS | 2007 | Japan
|       | Bokujou Monogatari: Colobocle Station                                                                                                               | Marvelous Entertainment      | Nintendo DS | 2005 | Japan
