|       | Bokujou Monogatari: 3-tsu no Sato no Taisetsu na Tomodachi                                                                   | Marvelous Inc.                         | Nintendo 3DS | 2016 | Japan
|       | Bokujou Monogatari: Hajimari no Daichi                                                                                       | Marvelous AQL                          | Nintendo 3DS | 2012 | Japan
|       | Bokujou Monogatari: Tsunagaru Shin Tenchi                                                                                    | Marvelous AQL                          | Nintendo 3DS | 2015 | Japan
|       | Bonbon Ribbon: Tokimeki Coord Kirakira Dance                                                                                 | Rocket Company                         | Nintendo 3DS | 2015 | Japan
|       | Bravely Default: Flying Fairy                                                                                                | Square Enix                            | Nintendo 3DS | 2012 | Japan
|       | Bravely Default: For the Sequel                                                                                              | Square Enix                            | Nintendo 3DS | 2014 | Japan
|       | Bravely Second: End Layer                                                                                                    | Square Enix                            | Nintendo 3DS | 2016 | Japan
|       | Buddy Fight: Yuujou no Jounetsu Fight!                                                                                       | FuRyu                                  | Nintendo 3DS | 2015 | Japan
|       | CardFight!! Vanguard G: Stride to Victory!!                                                                                  | FuRyu                                  | Nintendo 3DS | 2016 | Japan
|       | Cardfight!! Vanguard: Lock On Victory!!                                                                                      | FuRyu                                  | Nintendo 3DS | 2014 | Japan
|       | Cardfight!! Vanguard: Ride to Victory!!                                                                                      | FuRyu                                  | Nintendo 3DS | 2013 | Japan
|       | Castlevania: Lords of Shadow - Sadame no Makyou                                                                              | Konami                                 | Nintendo 3DS | 2013 | Japan
|       | Chao Illust Club                                                                                                             | Happinet                               | Nintendo 3DS | 2015 | Japan
|       | CharaPet Tsukutte! Sodatete! Character Shougakkou                                                                            | Culture Brain                          | Nintendo 3DS | 2013 | Japan
|       | Chibi * Devi!                                                                                                                | Alchemist                              | Nintendo 3DS | 2012 | Japan
|       | Chibi * Devi! 2: Mahou no Yume Ehon                                                                                          | Alchemist                              | Nintendo 3DS | 2013 | Japan
|       | Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi                                                                              | Bandai Namco Games                     | Nintendo 3DS | 2012 | Japan
|       | Choko Inu no Chokotto Fushigi na Monogatari: Chocolate Hime to Mahou no Recipe                                               | Nippon Columbia                        | Nintendo 3DS | 2014 | Japan
|       | Chou Sentou-chuu Kyuukyoku no Shinobu to Battle Player Choujou Kessen!                                                       | Bandai Namco Games                     | Nintendo 3DS | 2016 | Japan
|       | Chou Tousouchuu Atsumare! Saikyou no Tousousha-tachi                                                                         | Bandai Namco Games                     | Nintendo 3DS | 2015 | Japan
|       | Chou Tousouchuu Atsumare! Saikyou no Tousousha-tachi                                                                         | Bandai Namco Games                     | Nintendo 3DS | 2015 | Japan
|       | Choujin Ultra Baseball Action Card Battle                                                                                    | Culture Brain                          | Nintendo 3DS | 2014 | Japan
|       | Chousoku Henkei Gyrozetter: Albatross no Tsubasa                                                                             | Square Enix                            | Nintendo 3DS | 2013 | Japan
|       | Code Name: S.T.E.A.M.: Lincoln VS Aliens                                                                                     | Nintendo                               | Nintendo 3DS | 2015 | Japan
|       | Code of Princess                                                                                                             | Agatsuma Entertainment                 | Nintendo 3DS | 2012 | Japan
|       | Combat of Giants: Dinosaurs 3D                                                                                               | Ubisoft                                | Nintendo 3DS | 2011 | Japan
|       | Conception II: Shichisei no Michibiki to Mazuru no Akumu                                                                     | Spike Chunsoft                         | Nintendo 3DS | 2014 | Japan
|       | Cooking Mama 4                                                                                                               | Office Create                          | Nintendo 3DS | 2011 | Japan
|       | Cooking Mama 5                                                                                                               | Office Create                          | Nintendo 3DS | 2014 | Japan
|       | Cooking Mama: Watashi no Sweets Shop                                                                                         | Office Create                          | Nintendo 3DS | 2014 | Japan
|       | Corpse Party: Blood Covered - Repeated Fear                                                                                  | Mages.                                 | Nintendo 3DS | 2016 | Japan
|       | Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!                                                                         | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
