|       | Chaos Engine, The                                                                                 | MicroProse              | Sega Genesis | 1992 | Europe
|       | Cheese Cat-Astrophe Starring Speedy Gonzales                                                      | Sega                    | Sega Genesis | 1995 | Europe
|       | Chiki Chiki Boys                                                                                  | Sega                    | Sega Genesis | 1992 | Europe
|       | Chuck Rock                                                                                        | Virgin Games            | Sega Genesis | 1992 | Europe
|       | Chuck Rock II: Son of Chuck                                                                       | Core Design Ltd.        | Sega Genesis | 1993 | Europe
|       | Classic Collection                                                                                | Sega                    | Sega Genesis | 1994 | Europe
|       | ClayFighter                                                                                       | Interplay               | Sega Genesis | 1994 | Europe
|       | Cliffhanger                                                                                       | Sony Imagesoft          | Sega Genesis | 1993 | Europe
|       | Columns                                                                                           | Sega                    | Sega Genesis | 1990 | Europe
|       | Combat Cars                                                                                       | Accolade                | Sega Genesis | 1994 | Europe
|       | Comix Zone                                                                                        | Sega                    | Sega Genesis | 1995 | Europe
|       | Cool Spot                                                                                         | Virgin Interactive      | Sega Genesis | 1994 | Europe
|       | Corporation                                                                                       | Virgin Games            | Sega Genesis | 1992 | Europe
|       | Cosmic Spacehead                                                                                  | Codemasters             | Sega Genesis | 1993 | Europe
|       | Crack Down                                                                                        | Sega                    | Sega Genesis | 1991 | Europe
|       | Crue Ball                                                                                         | Electronic Arts         | Sega Genesis | 1992 | Europe
|       | Cutthroat Island                                                                                  | Acclaim                 | Sega Genesis | 1995 | Europe
|       | Cyberball                                                                                         | Sega                    | Sega Genesis | 1990 | Europe
|       | Cyborg Justice                                                                                    | Sega                    | Sega Genesis | 1993 | Europe
|       | Daffy Duck in Hollywood                                                                           | Sega                    | Sega Genesis | 1994 | Europe
|       | Dark Castle                                                                                       | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | David Robinson's Supreme Court                                                                    | Sega                    | Sega Genesis | 1992 | Europe
|       | Davis Cup World Tour                                                                              | Tengen                  | Sega Genesis | 1993 | Europe
|       | Death and Return of Superman, The                                                                 | Acclaim                 | Sega Genesis | 1994 | Europe
|       | DecapAttack                                                                                       | Sega                    | Sega Genesis | 1991 | Europe
|       | Demolition Man                                                                                    | Acclaim                 | Sega Genesis | 1995 | Europe
|       | Desert Demolition Starring Road Runner and Wile E. Coyote                                         | Sega                    | Sega Genesis | 1994 | Europe
|       | Desert Strike: Return to the Gulf                                                                 | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Dick Tracy                                                                                        | Sega                    | Sega Genesis | 1991 | Europe
|       | Dino Dini's Soccer                                                                                | Virgin Interactive      | Sega Genesis | 1994 | Europe
|       | Disney Collection: Castle of Illusion starring Mickey Mouse / QuackShot starring Donald Duck, The | Sega                    | Sega Genesis | 1996 | Europe
|       | Disney's Aladdin                                                                                  | Sega                    | Sega Genesis | 1993 | Europe
|       | Disney's Ariel: The Little Mermaid                                                                | Sega                    | Sega Genesis | 1992 | Europe
|       | Disney's Bonkers                                                                                  | Sega                    | Sega Genesis | 1994 | Europe
|       | Disney's Pinocchio                                                                                | Sega                    | Sega Genesis | 1995 | Europe
|       | Disney's TaleSpin                                                                                 | Sega                    | Sega Genesis | 1992 | Europe
|       | Disney's The Jungle Book                                                                          | Virgin Interactive      | Sega Genesis | 1994 | Europe
|       | Disney's The Lion King                                                                            | Virgin Interactive      | Sega Genesis | 1994 | Europe
|       | Disney's Toy Story                                                                                | Sega                    | Sega Genesis | 1996 | Europe
|       | DJ Boy                                                                                            | Kaneko                  | Sega Genesis | 1991 | Europe
|       | Donald in Maui Mallard                                                                            | Sega                    | Sega Genesis | 1995 | Europe
|       | Double Clutch                                                                                     | ASCII Entertainment     | Sega Genesis | 1992 | Europe
|       | Double Dragon                                                                                     | Accolade                | Sega Genesis | 1993 | Europe
|       | Double Dragon 3: The Arcade Game                                                                  | Flying Edge             | Sega Genesis | 1993 | Europe
|       | Dr. Robotnik And His Mean Bean Machine                                                            | Sega                    | Sega Genesis | 1993 | Europe
|       | Dragon Ball Z                                                                                     | Bandai                  | Sega Genesis | 1994 | Europe
|       | Dragon: The Bruce Lee Story                                                                       | Virgin Interactive      | Sega Genesis | 1993 | Europe
|       | Dragon's Fury                                                                                     | Tengen                  | Sega Genesis | 1992 | Europe
|       | Dragon's Revenge                                                                                  | Tengen                  | Sega Genesis | 1993 | Europe
|       | Dune II: Battle for Arrakis                                                                       | Virgin Interactive      | Sega Genesis | 1993 | Europe
|       | Dungeons & Dragons: Warriors of the Eternal Sun                                                   | Sega                    | Sega Genesis | 1992 | Europe
|       | Dynamite Duke                                                                                     | Sega                    | Sega Genesis | 1990 | Europe
|       | Dynamite Headdy                                                                                   | Sega                    | Sega Genesis | 1994 | Europe
|       | EA Hockey                                                                                         | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | EA Sports Double Header                                                                           | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Earthworm Jim                                                                                     | Virgin Interactive      | Sega Genesis | 1994 | Europe
|       | Earthworm Jim 2                                                                                   | Virgin Interactive      | Sega Genesis | 1995 | Europe
|       | Ecco the Dolphin                                                                                  | Sega                    | Sega Genesis | 1993 | Europe
|       | Ecco: The Tides of Time                                                                           | Sega                    | Sega Genesis | 1994 | Europe
|       | Elitserien 95                                                                                     | Electronic Arts         | Sega Genesis | 1995 | Europe
|       | Elitserien 96                                                                                     | Electronic Arts         | Sega Genesis | 1995 | Europe
|       | Empire of Steel                                                                                   | Flying Edge             | Sega Genesis | 1992 | Europe
|       | Escape 2042: The Truth Defenders                                                                  | Orion Soft              | Sega Genesis | 2017 | Europe
|       | ESWAT: City Under Siege                                                                           | Sega                    | Sega Genesis | 1990 | Europe
|       | Eternal Champions                                                                                 | Sega                    | Sega Genesis | 1993 | Europe
|       | European Club Soccer                                                                              | Virgin Interactive      | Sega Genesis | 1992 | Europe
|       | Evander 'Real Deal' Holyfield's Boxing                                                            | Sega                    | Sega Genesis | 1992 | Europe
|       | Ex-Mutants                                                                                        | Sega                    | Sega Genesis | 1992 | Europe
|       | ExoSquad                                                                                          | Virgin Interactive      | Sega Genesis | 1995 | Europe
|       | F-117 Night Storm                                                                                 | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | F-15 Strike Eagle II                                                                              | MicroProse              | Sega Genesis | 1993 | Europe
|       | F-22 Interceptor                                                                                  | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | F1                                                                                                | Tengen                  | Sega Genesis | 1993 | Europe
|       | F1 World Championship                                                                             | Domark                  | Sega Genesis | 1993 | Europe
|       | Faery Tale Adventure, The                                                                         | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Fantasia                                                                                          | Sega                    | Sega Genesis | 1991 | Europe
|       | Fantastic Dizzy                                                                                   | Codemasters             | Sega Genesis | 1993 | Europe
|       | Fantastic Dizzy and Cosmic Spacehead Double Pack                                                  | Codemasters             | Sega Genesis | 1994 | Europe
|       | Fatal Fury                                                                                        | Sega                    | Sega Genesis | 1993 | Europe
|       | Fatal Labyrinth                                                                                   | Sega                    | Sega Genesis | 1991 | Europe
|       | Fatal Rewind                                                                                      | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Ferrari Grand Prix Challenge                                                                      | Flying Edge             | Sega Genesis | 1992 | Europe
|       | Fever Pitch Soccer                                                                                | U.S. Gold               | Sega Genesis | 1995 | Europe
|       | FIFA 97                                                                                           | EA Sports               | Sega Genesis | 1996 | Europe
