|       | ClayFighter 63 1/3                               | Interplay               | Nintendo 64 | 1997 | North America
|       | ClayFighter: Sculptor's Cut                      | Interplay               | Nintendo 64 | 1998 | North America
|       | Command & Conquer                                | Nintendo                | Nintendo 64 | 1999 | North America
|       | Conker's Bad Fur Day                             | Rare Ltd.               | Nintendo 64 | 2001 | North America
|       | Cruis'n Exotica                                  | Midway                  | Nintendo 64 | 2000 | North America
|       | Cruis'n USA                                      | Nintendo                | Nintendo 64 | 1996 | North America
|       | Cruis'n World                                    | Nintendo                | Nintendo 64 | 1998 | North America
|       | CyberTiger                                       | Electronic Arts         | Nintendo 64 | 2000 | North America
|       | Dark Rift                                        | Vic Tokai               | Nintendo 64 | 1997 | North America
|       | Deadly Arts                                      | Konami                  | Nintendo 64 | 1998 | North America
|       | Destruction Derby 64                             | THQ                     | Nintendo 64 | 1999 | North America
|       | Diddy Kong Racing                                | Nintendo                | Nintendo 64 | 1997 | North America
|       | Disney's Tarzan                                  | Activision              | Nintendo 64 | 2000 | North America
|       | Donald Duck Goin' Quackers                       | Ubisoft                 | Nintendo 64 | 2000 | North America
|       | Donkey Kong 64                                   | Rare Ltd.               | Nintendo 64 | 1999 | North America
|       | Doom 64                                          | Midway                  | Nintendo 64 | 1997 | North America
|       | Dr. Mario 64                                     | Nintendo                | Nintendo 64 | 2001 | North America
|       | Dual Heroes                                      | Electro Brain           | Nintendo 64 | 1998 | North America
|       | Duck Dodgers Starring Daffy Duck                 | Infogrames              | Nintendo 64 | 2000 | North America
|       | Duke Nukem 64                                    | GT Interactive          | Nintendo 64 | 1997 | North America
|       | Duke Nukem: Zero Hour                            | GT Interactive          | Nintendo 64 | 1999 | North America
|       | Earthworm Jim 3D                                 | Rockstar Games          | Nintendo 64 | 1999 | North America
|       | ECW Hardcore Revolution                          | Acclaim                 | Nintendo 64 | 2000 | North America
|       | Excitebike 64                                    | Nintendo                | Nintendo 64 | 2000 | North America
|       | Extreme-G                                        | Acclaim                 | Nintendo 64 | 1997 | North America
|       | Extreme-G XG2                                    | Acclaim                 | Nintendo 64 | 1998 | North America
|       | F-1 World Grand Prix                             | Video System            | Nintendo 64 | 1998 | North America
|       | F-Zero X                                         | Nintendo                | Nintendo 64 | 1998 | North America
|       | F1 Pole Position 64                              | Ubisoft                 | Nintendo 64 | 1997 | North America
|       | FIFA 99                                          | Electronic Arts         | Nintendo 64 | 1998 | North America
|       | FIFA Soccer 64                                   | EA Sports               | Nintendo 64 | 1997 | North America
|       | FIFA: Road to World Cup 98                       | Electronic Arts         | Nintendo 64 | 1997 | North America
|       | Fighter Destiny 2                                | SouthPeak Games         | Nintendo 64 | 2000 | North America
|       | Fighters Destiny                                 | Ocean                   | Nintendo 64 | 1998 | North America
|       | Fighting Force 64                                | Crave                   | Nintendo 64 | 1999 | North America
|       | Flying Dragon                                    | Natsume                 | Nintendo 64 | 1998 | North America
|       | Forsaken 64                                      | Acclaim                 | Nintendo 64 | 1998 | North America
|       | Fox Sports College Hoops '99                     | Fox Interactive         | Nintendo 64 | 1998 | North America
