|       | Deja Vu I and II                                         | Vatical Entertainment    | Game Boy Color | 1999 | North America
|       | Dexter's Laboratory: Robot Rampage                       | Bam Entertainment        | Game Boy Color | 2000 | North America
|       | Disney's 102 Dalmatians: Puppies to the Rescue           | Activision               | Game Boy Color | 2000 | North America
|       | Disney's Aladdin                                         | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Disney's Atlantis: The Lost Empire                       | THQ                      | Game Boy Color | 2001 | North America
|       | Disney's Beauty and the Beast: A Board Game Adventure    | Nintendo                 | Game Boy Color | 1999 | North America
|       | Disney's Donald Duck: Goin' Quackers                     | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Disney's Doug: Doug's Big Game                           | NewKidCo                 | Game Boy Color | 2000 | North America
|       | Disney's Pooh and Tigger's Hunny Safari                  | Electronic Arts          | Game Boy Color | 2001 | North America
|       | Disney's Tarzan                                          | Activision               | Game Boy Color | 1999 | North America
|       | Disney's The Emperor's New Groove                        | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Disney's The Lion King: Simba's Mighty Adventure         | Activision               | Game Boy Color | 2000 | North America
|       | Disney's The Little Mermaid II: Pinball Frenzy           | Nintendo                 | Game Boy Color | 2000 | North America
|       | Disney/Pixar Buzz Lightyear of Star Command              | Activision               | Game Boy Color | 2000 | North America
|       | Diva Starz: Mall Mania                                   | VU Games                 | Game Boy Color | 2001 | North America
|       | Dogz                                                     | Mindscape Inc.           | Game Boy Color | 1999 | North America
|       | Donkey Kong Country                                      | Nintendo                 | Game Boy Color | 2000 | North America
|       | Dracula: Crazy Vampire                                   | DreamCatcher Interactive | Game Boy Color | 2001 | North America
|       | Dragon Ball Z: Legendary Super Warriors                  | Infogrames               | Game Boy Color | 2002 | North America
|       | Dragon Dance                                             | Crave                    | Game Boy Color | 2000 | North America
|       | Dragon Tales: Dragon Adventures                          | NewKidCo                 | Game Boy Color | 2001 | North America
|       | Dragon Tales: Dragon Wings                               | NewKidCo                 | Game Boy Color | 2000 | North America
|       | Dragon Warrior I & II                                    | Enix Corporation         | Game Boy Color | 2000 | North America
|       | Dragon Warrior III                                       | Enix Corporation         | Game Boy Color | 2001 | North America
|       | Dragon Warrior Monsters                                  | Eidos Interactive        | Game Boy Color | 2000 | North America
|       | Dragon Warrior Monsters 2: Cobi's Journey                | Enix Corporation         | Game Boy Color | 2001 | North America
|       | Dragon Warrior Monsters 2: Tara's Adventure              | Enix Corporation         | Game Boy Color | 2001 | North America
|       | Dragon's Lair                                            | Capcom                   | Game Boy Color | 2001 | North America
|       | Driver: You are the Wheelman                             | Infogrames               | Game Boy Color | 2000 | North America
|       | Duke Nukem                                               | GT Interactive           | Game Boy Color | 1999 | North America
|       | Dukes of Hazzard: Racing for Home, The                   | SouthPeak Games          | Game Boy Color | 2000 | North America
|       | E.T. The Extra-Terrestrial and the Cosmic Garden         | NewKidCo                 | Game Boy Color | 2002 | North America
|       | E.T. The Extra-Terrestrial: Digital Companion            | NewKidCo                 | Game Boy Color | 2001 | North America
|       | E.T. The Extra-Terrestrial: Escape from Planet Earth     | NewKidCo                 | Game Boy Color | 2001 | North America
|       | Earthworm Jim: Menace 2 the Galaxy                       | Crave                    | Game Boy Color | 1999 | North America
|       | ECW Hardcore Revolution                                  | Acclaim                  | Game Boy Color | 2000 | North America
|       | ESPN International Track & Field                         | Konami                   | Game Boy Color | 2000 | North America
|       | ESPN National Hockey Night                               | Konami                   | Game Boy Color | 2001 | North America
|       | Evel Knievel                                             | Rockstar Games           | Game Boy Color | 1999 | North America
|       | Extreme Sports with the Berenstain Bears                 | Sound Source             | Game Boy Color | 2000 | North America
|       | F-18 Thunder Strike                                      | Majesco Games            | Game Boy Color | 2000 | North America
|       | F1 World Grand Prix II                                   | Konami                   | Game Boy Color | 2013 | North America
|       | FIFA 2000                                                | THQ                      | Game Boy Color | 1999 | North America
|       | Flintstones: BurgerTime in Bedrock, The                  | Electro Source           | Game Boy Color | 2001 | North America
|       | Force 21                                                 | Red Storm Entertainment  | Game Boy Color | 2000 | North America
|       | Formula One 2000                                         | Take-Two Interactive     | Game Boy Color | 2000 | North America
|       | Frogger                                                  | Majesco Games            | Game Boy Color | 1998 | North America
|       | Frogger 2: Swampy's Revenge                              | Hasbro Interactive       | Game Boy Color | 2000 | North America
|       | Galaga: Destination Earth                                | Hasbro Interactive       | Game Boy Color | 2000 | North America
|       | Game & Watch Gallery 2                                   | Nintendo                 | Game Boy Color | 1998 | North America
|       | Game & Watch Gallery 3                                   | Nintendo                 | Game Boy Color | 1999 | North America
|       | Game Boy Color Technical Demo                            | Nintendo                 | Game Boy Color | 1998 | North America
|       | Gex 3: Deep Pocket Gecko                                 | Eidos Interactive        | Game Boy Color | 1999 | North America
|       | Gex: Enter the Gecko                                     | Crave                    | Game Boy Color | 1998 | North America
|       | Ghosts 'n Goblins                                        | Capcom                   | Game Boy Color | 2000 | North America
|       | Gobs of Games                                            | 3DO                      | Game Boy Color | 2000 | North America
|       | Godzilla the Series                                      | Crave                    | Game Boy Color | 1999 | North America
|       | Godzilla the Series: Monster Wars                        | Crave                    | Game Boy Color | 2000 | North America
|       | Gold and Glory: The Road to El Dorado                    | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Grand Theft Auto                                         | Rockstar Games           | Game Boy Color | 1999 | North America
