|       | Brawl Brothers                                                                          | Jaleco Entertainment         | Super Nintendo | 1993 | North America
|       | BreakThru!                                                                              | Spectrum Holobyte            | Super Nintendo | 1994 | North America
|       | Breath of Fire                                                                          | SquareSoft                   | Super Nintendo | 1994 | North America
|       | Breath of Fire II                                                                       | Capcom                       | Super Nintendo | 1995 | North America
|       | Brett Hull Hockey                                                                       | Accolade                     | Super Nintendo | 1994 | North America
|       | Brett Hull Hockey 95                                                                    | Accolade                     | Super Nintendo | 1995 | North America
|       | Bronkie the Bronchiasaurus                                                              | Raya Systems                 | Super Nintendo | 1995 | North America
|       | Brunswick World Tournament of Champions                                                 | THQ                          | Super Nintendo | 1997 | North America
|       | Brutal: Paws of Fury                                                                    | Cybersoft                    | Super Nintendo | 1994 | North America
|       | Bubsy II                                                                                | Accolade                     | Super Nintendo | 1994 | North America
|       | Bubsy in: Claws Encounters of the Furred Kind                                           | Accolade                     | Super Nintendo | 1993 | North America
|       | Bugs Bunny: Rabbit Rampage                                                              | SunSoft                      | Super Nintendo | 1994 | North America
|       | Bulls vs Blazers and the NBA Playoffs                                                   | EA Sports                    | Super Nintendo | 1992 | North America
|       | Bust-A-Move                                                                             | Taito Corporation            | Super Nintendo | 1995 | North America
|       | C2 - Clay Fighter 2: Judgment Clay                                                      | Interplay                    | Super Nintendo | 1995 | North America
|       | Cacoma Knight in Bizyland                                                               | Seta Corporation             | Super Nintendo | 1993 | North America
|       | Cal Ripken Jr. Baseball                                                                 | Mindscape Inc.               | Super Nintendo | 1992 | North America
|       | California Games II                                                                     | DTMC                         | Super Nintendo | 1993 | North America
|       | Cannondale Cup                                                                          | American Softworks           | Super Nintendo | 1994 | North America
|       | Capcom's MVP Football                                                                   | Capcom                       | Super Nintendo | 1993 | North America
|       | Capcom's Soccer Shootout                                                                | Capcom                       | Super Nintendo | 1994 | North America
|       | Captain America and the Avengers                                                        | Mindscape Inc.               | Super Nintendo | 1993 | North America
|       | Captain Commando                                                                        | Capcom                       | Super Nintendo | 1995 | North America
|       | Captain Novolin                                                                         | Raya Systems                 | Super Nintendo | 1992 | North America
|       | Carrier Aces                                                                            | Cybersoft                    | Super Nintendo | 1995 | North America
|       | Casper                                                                                  | Natsume                      | Super Nintendo | 1996 | North America
|       | Castlevania: Dracula X                                                                  | Konami                       | Super Nintendo | 1995 | North America
|       | Champions World Class Soccer                                                            | Acclaim                      | Super Nintendo | 1994 | North America
|       | Championship Pool                                                                       | Mindscape Inc.               | Super Nintendo | 1993 | North America
|       | Championship Soccer '94                                                                 | Sony Imagesoft               | Super Nintendo | 1994 | North America
|       | Chavez                                                                                  | American Softworks           | Super Nintendo | 1994 | North America
|       | Chavez II                                                                               | American Softworks           | Super Nintendo | 1994 | North America
|       | Chessmaster, The                                                                        | Mindscape Inc.               | Super Nintendo | 1991 | North America
|       | Chester Cheetah: Too Cool to Fool                                                       | Kaneko                       | Super Nintendo | 1992 | North America
