|       | Aoi Umi no Tristia: 10th Anniversary Memorial Pack                                                                               | CyberFront                 | PlayStation Portable | 2012 | Japan
|       | Arabians Doubt                                                                                                                   | Quinrose                   | PlayStation Portable | 2014 | Japan
|       | Arabians Lost                                                                                                                    | Quinrose                   | PlayStation Portable | 2012 | Japan
|       | Arabians Lost & Doubt Twin Pack                                                                                                  | Quinrose                   | PlayStation Portable | 2014 | Japan
|       | Arcana Famiglia 2                                                                                                                | Comfort                    | PlayStation Portable | 2013 | Japan
|       | Arcana Famiglia: Festa Regalo                                                                                                    | Comfort                    | PlayStation Portable | 2012 | Japan
|       | Arcana Famiglia: La storia della Aracana Famiglia                                                                                | Comfort                    | PlayStation Portable | 2011 | Japan
|       | Arcana Famiglia: Vascello Phantasma no Majutsushi                                                                                | Comfort                    | PlayStation Portable | 2012 | Japan
|       | Arcobaleno! Portable                                                                                                             | Idea Factory               | PlayStation Portable | 2010 | Japan
|       | Are You Alice?                                                                                                                   | Idea Factory               | PlayStation Portable | 2011 | Japan
|       | Armen Noir Portable                                                                                                              | Idea Factory               | PlayStation Portable | 2012 | Japan
|       | Armored Core 3 Portable                                                                                                          | From Software              | PlayStation Portable | 2009 | Japan
|       | Armored Core: Formula Front                                                                                                      | From Software              | PlayStation Portable | 2004 | Japan
|       | Armored Core: Last Raven Portable                                                                                                | From Software              | PlayStation Portable | 2010 | Japan
|       | Armored Core: Silent Line Portable                                                                                               | From Software              | PlayStation Portable | 2009 | Japan
|       | Arms' Heart                                                                                                                      | Hamster                    | PlayStation Portable | 2010 | Japan
|       | Army of Two: The 40th Day Portable                                                                                               | Electronic Arts            | PlayStation Portable | 2010 | Japan
|       | Asaki, Yumemishi                                                                                                                 | Quinrose                   | PlayStation Portable | 2011 | Japan
|       | Assassin's Creed: Bloodlines                                                                                                     | Ubisoft                    | PlayStation Portable | 2009 | Japan
|       | Astonishia Story                                                                                                                 | Compile Heart              | PlayStation Portable | 2006 | Japan
|       | Atom                                                                                                                             | D3Publisher                | PlayStation Portable | 2009 | Japan
|       | Ayaka Shibito Portable                                                                                                           | Dimple Entertainment       | PlayStation Portable | 2009 | Japan
|       | Ayakashibito Portable                                                                                                            | Dimple Entertainment       | PlayStation Portable | 2009 | Japan
|       | B's-LOG Party                                                                                                                    | Idea Factory               | PlayStation Portable | 2010 | Japan
|       | Baito Hell 2000                                                                                                                  | SCEI                       | PlayStation Portable | 2005 | Japan
|       | Baka to Test to Shoukanjuu Portable                                                                                              | Kadokawa                   | PlayStation Portable | 2012 | Japan
|       | Bakemonogatari Portable                                                                                                          | Bandai Namco Games         | PlayStation Portable | 2012 | Japan
|       | Baku-No                                                                                                                          | Eidos Interactive          | PlayStation Portable | 2005 | Japan
|       | Bakudan * Handan                                                                                                                 | Idea Factory               | PlayStation Portable | 2012 | Japan
|       | Bakumatsu Rock                                                                                                                   | Marvelous AQL              | PlayStation Portable | 2014 | Japan
|       | Bakumatsu Rock: Ultra Soul                                                                                                       | Marvelous Inc.             | PlayStation Portable | 2014 | Japan
|       | Bamboo Blade: Sorekara no Chousen                                                                                                | Gadget Soft                | PlayStation Portable | 2009 | Japan
|       | Bara no Ki Ni: Bara no Hansaku                                                                                                   | Art Move                   | PlayStation Portable | 2010 | Japan
|       | Battle Robot Damashii                                                                                                            | Bandai Namco Games         | PlayStation Portable | 2013 | Japan
|       | Battle Spirits: Hero's Soul                                                                                                      | Bandai Namco Games         | PlayStation Portable | 2010 | Japan
|       | Battle Spirits: Kiseki no Hasha                                                                                                  | Bandai Namco Games         | PlayStation Portable | 2009 | Japan
|       | Beyond the Future: Fix the Time Arrows                                                                                           | 5pb                        | PlayStation Portable | 2011 | Japan
|       | Biz Taiken Series: Kigyoudou                                                                                                     | Kokuyo                     | PlayStation Portable | 2006 | Japan
|       | Black * Rock Shooter: The Game                                                                                                   | Imageepoch                 | PlayStation Portable | 2011 | Japan
|       | Black Code                                                                                                                       | Quinrose                   | PlayStation Portable | 2014 | Japan
|       | Black Robinia                                                                                                                    | Broccoli                   | PlayStation Portable | 2011 | Japan
|       | Black Wolves Saga: Last Hope                                                                                                     | Idea Factory               | PlayStation Portable | 2012 | Japan
|       | Blade Dancer: Sennen no Yakusoku                                                                                                 | SCEI                       | PlayStation Portable | 2006 | Japan
|       | BlazBlue: Calamity Trigger Portable                                                                                              | Arc System Works           | PlayStation Portable | 2010 | Japan
|       | BlazBlue: Continuum Shift Double Pack                                                                                            | Arc System Works           | PlayStation Portable | 2012 | Japan
|       | BlazBlue: Continuum Shift Extend                                                                                                 | Arc System Works           | PlayStation Portable | 2012 | Japan
|       | BlazBlue: Continuum Shift II                                                                                                     | Arc System Works           | PlayStation Portable | 2011 | Japan
|       | Blaze Union: Story to Reach the Future                                                                                           | ATLUS                      | PlayStation Portable | 2010 | Japan
|       | Blazing Souls: Accelate                                                                                                          | Idea Factory               | PlayStation Portable | 2009 | Japan
|       | Bleach: Heat the Soul                                                                                                            | SCEI                       | PlayStation Portable | 2005 | Japan
|       | Bleach: Heat the Soul 2                                                                                                          | SCEI                       | PlayStation Portable | 2005 | Japan
|       | Bleach: Heat the Soul 3                                                                                                          | SCEI                       | PlayStation Portable | 2006 | Japan
|       | Bleach: Heat the Soul 4                                                                                                          | SCEI                       | PlayStation Portable | 2007 | Japan
|       | Bleach: Heat the Soul 5                                                                                                          | SCEI                       | PlayStation Portable | 2008 | Japan
|       | Bleach: Heat the Soul 6                                                                                                          | SCEI                       | PlayStation Portable | 2009 | Japan
|       | Bleach: Heat the Soul 7                                                                                                          | SCEI                       | PlayStation Portable | 2010 | Japan
|       | Bleach: Soul Carnival                                                                                                            | SCEI                       | PlayStation Portable | 2008 | Japan
|       | Bleach: Soul Carnival 2                                                                                                          | SCEI                       | PlayStation Portable | 2009 | Japan
|       | Blokus Club Portable with Bumpy Trot                                                                                             | Irem                       | PlayStation Portable | 2006 | Japan
|       | Blood: The Last Vampire                                                                                                          | SCEI                       | PlayStation Portable | 2006 | Japan
|       | Blood+ Final Piece                                                                                                               | SCEI                       | PlayStation Portable | 2006 | Japan
|       | Blue Roses: Yousei to Aoi Hitomi no Senshitachi                                                                                  | Nippon Ichi Software       | PlayStation Portable | 2010 | Japan
|       | Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu                                                     | SCEI                       | PlayStation Portable | 2009 | Japan
|       | Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu                                                      | SCEI                       | PlayStation Portable | 2010 | Japan
|       | Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!                                                     | SCEI                       | PlayStation Portable | 2006 | Japan
|       | Boku no Watashi no Katamari Damacy                                                                                               | Namco                      | PlayStation Portable | 2005 | Japan
|       | Boku wa Koukuu Kanseikan: Airport Hero Haneda                                                                                    | Sonic Powered              | PlayStation Portable | 2010 | Japan
|       | Boku wa Koukuu Kanseikan: Airport Hero Kankuu                                                                                    | Sonic Powered              | PlayStation Portable | 2010 | Japan
|       | Boku wa Koukuu Kanseikan: Airport Hero Naha                                                                                      | Electronic Arts            | PlayStation Portable | 2006 | Japan
|       | Boku wa Koukuu Kanseikan: Airport Hero Narita                                                                                    | Electronic Arts            | PlayStation Portable | 2006 | Japan
|       | Boku wa Koukuu Kanseikan: Airport Hero Shinchitose                                                                               | Electronic Arts            | PlayStation Portable | 2007 | Japan
|       | Boku wa Tomodachi ga Sukunai Portable                                                                                            | Bandai Namco Games         | PlayStation Portable | 2012 | Japan
|       | Bokujou Monogatari: Harvest Moon Boy and Girl                                                                                    | Marvelous Entertainment    | PlayStation Portable | 2005 | Japan
|       | Bokujou Monogatari: Sugar Mura to Minna no Negai                                                                                 | Marvelous Entertainment    | PlayStation Portable | 2009 | Japan
|       | Bomberman Land Portable                                                                                                          | Hudson                     | PlayStation Portable | 2007 | Japan
|       | Bomberman Portable                                                                                                               | Hudson                     | PlayStation Portable | 2006 | Japan
|       | Bomberman: Bakufuu Sentai Bombermen                                                                                              | SCEI                       | PlayStation Portable | 2006 | Japan
|       | Bomberman: Panic Bomber                                                                                                          | Hudson                     | PlayStation Portable | 2005 | Japan
|       | Bounty Hounds                                                                                                                    | Namco                      | PlayStation Portable | 2006 | Japan
|       | Boxer's Road 2: The Real                                                                                                         | Ertain                     | PlayStation Portable | 2006 | Japan
|       | Brandish: The Dark Revenant                                                                                                      | Falcom                     | PlayStation Portable | 2009 | Japan
|       | Brave Story: Aratanaru Tabibito                                                                                                  | SCEI                       | PlayStation Portable | 2006 | Japan
|       | Breath of Fire III                                                                                                               | Capcom                     | PlayStation Portable | 2005 | Japan
|       | Brothers Conflict: Brilliant Blue                                                                                                | Idea Factory               | PlayStation Portable | 2013 | Japan
|       | Brothers Conflict: Passion Pink                                                                                                  | Idea Factory               | PlayStation Portable | 2012 | Japan
|       | Bubble Bobble: Magical Tower Daisakusen!!                                                                                        | Marvelous Entertainment    | PlayStation Portable | 2006 | Japan
|       | Bullet Butlers                                                                                                                   | Boost On                   | PlayStation Portable | 2012 | Japan
