|       | CJ Elephant Fugitive                                       | Codemasters                 | Game Gear | 1991 | North America
|       | Cliffhanger                                                | Sony Imagesoft              | Game Gear | 1994 | North America
|       | Clutch Hitter                                              | Sega                        | Game Gear | 1991 | North America
|       | Columns                                                    | Sega                        | Game Gear | 1991 | North America
|       | Cool Spot                                                  | Virgin Interactive          | Game Gear | 1993 | North America
|       | Cosmic Spacehead                                           | Codemasters                 | Game Gear | 1996 | North America
|       | Crystal Warriors                                           | Sega                        | Game Gear | 1991 | North America
|       | Cutthroat Island                                           | Acclaim                     | Game Gear | 1995 | North America
|       | Deep Duck Trouble                                          | Sega                        | Game Gear | 1993 | North America
|       | Defenders of Oasis                                         | Sega                        | Game Gear | 1992 | North America
|       | Desert Speedtrap Starring Road Runner & Wile E. Coyote     | Sega                        | Game Gear | 1994 | North America
|       | Desert Strike: Return to the Gulf                          | Domark                      | Game Gear | 1994 | North America
|       | Devilish                                                   | Sage's Creation             | Game Gear | 1991 | North America
|       | Disney's Aladdin                                           | Sega                        | Game Gear | 1994 | North America
|       | Disney's Ariel: The Little Mermaid                         | Sega                        | Game Gear | 1992 | North America
|       | Disney's Bonkers: Wax Up!                                  | Sega                        | Game Gear | 1995 | North America
|       | Disney's TaleSpin                                          | Sega                        | Game Gear | 1993 | North America
|       | Disney's The Jungle Book                                   | Virgin Interactive          | Game Gear | 1994 | North America
|       | Double Dragon                                              | Virgin Interactive          | Game Gear | 1993 | North America
|       | Dr. Robotnik's Mean Bean Machine                           | Sega                        | Game Gear | 1993 | North America
|       | Dragon Crystal                                             | Sega                        | Game Gear | 1990 | North America
|       | Dragon: The Bruce Lee Story                                | Acclaim                     | Game Gear | 1993 | North America
|       | Dynamite Headdy                                            | Sega                        | Game Gear | 1994 | North America
|       | Earthworm Jim                                              | Playmates                   | Game Gear | 1995 | North America
|       | Ecco the Dolphin                                           | Sega                        | Game Gear | 1994 | North America
|       | Ecco: The Tides of Time                                    | Sega                        | Game Gear | 1995 | North America
|       | Evander 'Real Deal' Holyfield's Boxing                     | Sega                        | Game Gear | 1992 | North America
|       | F-15 Strike Eagle                                          | MicroProse                  | Game Gear | 1993 | North America
|       | Fantastic Dizzy                                            | Codemasters                 | Game Gear | 1993 | North America
|       | Fantasy Zone                                               | Sega                        | Game Gear | 1991 | North America
|       | Fatal Fury Special                                         | Takara                      | Game Gear | 1994 | North America
|       | FIFA International Soccer                                  | Electronic Arts             | Game Gear | 1994 | North America
|       | FIFA Soccer '95                                            | EA Sports                   | Game Gear | 1994 | North America
|       | FIFA Soccer 96                                             | EA Sports                   | Game Gear | 1995 | North America
|       | Foreman For Real                                           | Acclaim                     | Game Gear | 1995 | North America
|       | Formula One                                                | Domark                      | Game Gear | 1993 | North America
|       | Frank Thomas Big Hurt Baseball                             | Acclaim                     | Game Gear | 1995 | North America
|       | Fred Couples Golf                                          | Sega                        | Game Gear | 1994 | North America
|       | G-LOC Air Battle                                           | Sega                        | Game Gear | 1991 | North America
|       | Garfield: Caught in the Act                                | Sega                        | Game Gear | 1995 | North America
|       | Gear Works                                                 | Sony Imagesoft              | Game Gear | 1994 | North America
|       | George Foreman's KO Boxing                                 | Flying Edge                 | Game Gear | 1992 | North America
|       | GP Rider                                                   | Sega                        | Game Gear | 1994 | North America
|       | Greendog: The Beached Surfer Dude!                         | Sega                        | Game Gear | 1993 | North America
|       | Halley Wars                                                | Sega                        | Game Gear | 1991 | North America
|       | Home Alone                                                 | Sega                        | Game Gear | 1992 | North America
|       | Hook                                                       | Sony Imagesoft              | Game Gear | 1992 | North America
|       | Incredible Crash Dummies, The                              | Flying Edge                 | Game Gear | 1992 | North America
|       | Incredible Hulk, The                                       | U.S. Gold                   | Game Gear | 1995 | North America
|       | Indiana Jones and the Last Crusade                         | U.S. Gold                   | Game Gear | 1992 | North America
|       | Iron Man / X-O Manowar in Heavy Metal                      | Acclaim                     | Game Gear | 1996 | North America
|       | Itchy & Scratchy Game, The                                 | Acclaim                     | Game Gear | 1995 | North America
|       | James Pond II - Codename: Robocod                          | U.S. Gold                   | Game Gear | 1993 | North America
|       | Jeopardy 25th Anniversary                                  | GameTek                     | Game Gear | 1992 | North America
|       | Jeopardy! Sports Edition                                   | GameTek                     | Game Gear | 1994 | North America
|       | Joe Montana Football                                       | Sega                        | Game Gear | 1991 | North America
|       | Judge Dredd                                                | Acclaim                     | Game Gear | 1995 | North America
|       | Junction                                                   | Micronet                    | Game Gear | 1991 | North America
|       | Jungle Strike                                              | Black Pearl                 | Game Gear | 1993 | North America
|       | Jurassic Park                                              | Sega                        | Game Gear | 1993 | North America
|       | Kawasaki Superbike Challenge                               | Time Warner Interactive     | Game Gear | 1995 | North America
|       | Klax                                                       | Tengen                      | Game Gear | 1992 | North America
|       | Krusty's Funhouse                                          | Flying Edge                 | Game Gear | 1993 | North America
|       | Land of Illusion starring Mickey Mouse                     | Sega                        | Game Gear | 1993 | North America
|       | Last Action Hero                                           | Sony Imagesoft              | Game Gear | 1992 | North America
|       | Legend of Illusion starring Mickey Mouse                   | Sega                        | Game Gear | 1995 | North America
|       | Lemmings                                                   | Sega                        | Game Gear | 1992 | North America
|       | Lion King, The                                             | Sega                        | Game Gear | 1995 | North America
|       | Lost World: Jurassic Park, The                             | Sega                        | Game Gear | 1997 | North America
|       | Lucky Dime Caper Starring Donald Duck, The                 | Sega                        | Game Gear | 1992 | North America
|       | Madden 96                                                  | Electronic Arts             | Game Gear | 1996 | North America
|       | Madden NFL 95                                              | THQ                         | Game Gear | 1995 | North America
|       | Majors: Pro Baseball, The                                  | Sega                        | Game Gear | 1992 | North America
|       | Marble Madness                                             | Tengen                      | Game Gear | 1992 | North America
|       | Mega Man                                                   | U.S. Gold                   | Game Gear | 1995 | North America
|       | Mickey's Ultimate Challenge                                | Hi Tech Expressions         | Game Gear | 1994 | North America
|       | Micro Machines                                             | Codemasters                 | Game Gear | 1993 | North America
|       | Mighty Morphin Power Rangers                               | Sega                        | Game Gear | 1994 | North America
|       | Mighty Morphin Power Rangers: The Movie                    | Sega                        | Game Gear | 1994 | North America
|       | MLBPA Baseball                                             | EA Sports                   | Game Gear | 1995 | North America
|       | Monster Truck Wars                                         | Acclaim                     | Game Gear | 1995 | North America
|       | Mortal Kombat                                              | Arena                       | Game Gear | 1993 | North America
|       | Mortal Kombat II                                           | Acclaim                     | Game Gear | 1994 | North America
|       | Ms. Pac-Man                                                | Namco                       | Game Gear | 1995 | North America
|       | NBA Action Starring David Robinson                         | Sega                        | Game Gear | 1994 | North America
|       | NBA Jam                                                    | Arena                       | Game Gear | 1993 | North America
|       | NBA Jam Tournament Edition                                 | Acclaim                     | Game Gear | 1995 | North America
|       | NFL '95                                                    | Sega                        | Game Gear | 1994 | North America
|       | NFL Quarterback Club                                       | Acclaim                     | Game Gear | 1994 | North America
|       | NFL Quarterback Club 96                                    | Acclaim                     | Game Gear | 1995 | North America
|       | NHL All-Star Hockey                                        | Sega                        | Game Gear | 1995 | North America
|       | NHL Hockey                                                 | Electronic Arts             | Game Gear | 2005 | North America
|       | Ninja Gaiden                                               | Sega                        | Game Gear | 1991 | North America
|       | Olympic Gold                                               | U.S. Gold                   | Game Gear | 1992 | North America
|       | OutRun Europa                                              | U.S. Gold                   | Game Gear | 1991 | North America
|       | Pac-Attack                                                 | Namco                       | Game Gear | 1994 | North America
|       | Pac-Man                                                    | Namco                       | Game Gear | 1991 | North America
|       | Paperboy                                                   | Tengen                      | Game Gear | 1992 | North America
|       | Paperboy 2                                                 | Tengen                      | Game Gear | 1992 | North America
|       | Pete Sampras Tennis                                        | Codemasters                 | Game Gear | 1994 | North America
|       | PGA Tour 96                                                | Black Pearl                 | Game Gear | 1996 | North America
|       | PGA Tour Golf                                              | Tengen                      | Game Gear | 1994 | North America
|       | PGA Tour Golf II                                           | Time Warner Interactive     | Game Gear | 1995 | North America
|       | Phantom 2040                                               | Viacom New Media            | Game Gear | 1995 | North America
|       | Pinball Dreams                                             | GameTek                     | Game Gear | 1995 | North America
|       | Poker Face Paul's Blackjack                                | Adrenalin Interactive       | Game Gear | 1993 | North America
|       | Poker Face Paul's Gin                                      | Adrenalin Interactive       | Game Gear | 1994 | North America
|       | Poker Face Paul's Poker                                    | Adrenalin Interactive       | Game Gear | 1994 | North America
|       | Poker Face Paul's Solitaire                                | Adrenalin Interactive       | Game Gear | 1994 | North America
|       | Popils                                                     | Tengen                      | Game Gear | 1992 | North America
|       | Predator 2                                                 | Arena                       | Game Gear | 1992 | North America
|       | Primal Rage                                                | Time Warner Interactive     | Game Gear | 1995 | North America
|       | Prince of Persia                                           | Tengen                      | Game Gear | 1992 | North America
|       | Psychic World                                              | Sega                        | Game Gear | 1991 | North America
|       | Putt & Putter                                              | Sega                        | Game Gear | 1991 | North America
|       | Quest for the Shaven Yak starring Ren & Stimpy             | Sega                        | Game Gear | 1994 | North America
|       | R.B.I. Baseball '94                                        | Tengen                      | Game Gear | 1994 | North America
|       | R.C. Grand Prix                                            | Absolute Entertainment      | Game Gear | 1992 | North America
|       | Revenge of Drancon                                         | Sega                        | Game Gear | 1991 | North America
|       | Riddick Bowe Boxing                                        | Extreme Entertainment Group | Game Gear | 1993 | North America
|       | Rise of the Robots                                         | Time Warner Interactive     | Game Gear | 1995 | North America
|       | Ristar                                                     | Sega                        | Game Gear | 1995 | North America
|       | Road Rash                                                  | U.S. Gold                   | Game Gear | 1994 | North America
|       | RoboCop 3                                                  | Flying Edge                 | Game Gear | 1994 | North America
|       | RoboCop Versus The Terminator                              | Virgin Interactive          | Game Gear | 1993 | North America
|       | Samurai Shodown                                            | Takara                      | Game Gear | 1994 | North America
|       | Scratch Golf                                               | Vic Tokai                   | Game Gear | 1994 | North America
|       | Shaq Fu                                                    | Electronic Arts             | Game Gear | 1995 | North America
|       | Shining Force: The Sword of Hajya                          | Sega                        | Game Gear | 1994 | North America
|       | Shinobi                                                    | Sega                        | Game Gear | 1991 | North America
