|       | Armored Core: Nine Breaker                                                 | Agetec Inc.                            | PlayStation 2 | 2005 | North America
|       | Army Men: Air Attack 2                                                     | 3DO                                    | PlayStation 2 | 2001 | North America
|       | Army Men: Green Rogue                                                      | 3DO                                    | PlayStation 2 | 2001 | North America
|       | Army Men: RTS                                                              | 3DO                                    | PlayStation 2 | 2002 | North America
|       | Army Men: Sarge's Heroes 2                                                 | 3DO                                    | PlayStation 2 | 2001 | North America
|       | Army Men: Soldiers of Misfortune                                           | DSI Games                              | PlayStation 2 | 2008 | North America
|       | Art of Fighting Anthology                                                  | SNK Playmore                           | PlayStation 2 | 2007 | North America
|       | Arthur and the Invisibles                                                  | Atari                                  | PlayStation 2 | 2007 | North America
|       | Asterix & Obelix: Kick Buttix                                              | Atari                                  | PlayStation 2 | 2004 | North America
|       | Astro Boy                                                                  | Sega                                   | PlayStation 2 | 2004 | North America
|       | Astro Boy: The Video Game                                                  | D3Publisher                            | PlayStation 2 | 2009 | North America
|       | Atari Anthology                                                            | Atari                                  | PlayStation 2 | 2004 | North America
|       | Atelier Iris 2: The Azoth of Destiny                                       | NIS America                            | PlayStation 2 | 2006 | North America
|       | Atelier Iris 3: Grand Phantasm                                             | NIS America                            | PlayStation 2 | 2007 | North America
|       | Atelier Iris: Eternal Mana                                                 | NIS America                            | PlayStation 2 | 2005 | North America
|       | Athens 2004                                                                | SCEA                                   | PlayStation 2 | 2004 | North America
|       | ATV Offroad Fury                                                           | SCEA                                   | PlayStation 2 | 2001 | North America
|       | ATV Offroad Fury 2                                                         | SCEA                                   | PlayStation 2 | 2002 | North America
|       | ATV Offroad Fury 3                                                         | SCEA                                   | PlayStation 2 | 2004 | North America
|       | ATV Offroad Fury 4                                                         | SCEA                                   | PlayStation 2 | 2006 | North America
|       | ATV Quad Power Racing 2                                                    | Acclaim                                | PlayStation 2 | 2003 | North America
|       | Auto Modellista                                                            | Capcom                                 | PlayStation 2 | 2003 | North America
|       | Avatar - The Last Airbender: Into the Inferno                              | THQ                                    | PlayStation 2 | 2008 | North America
|       | Avatar: The Last Airbender                                                 | THQ                                    | PlayStation 2 | 2006 | North America
|       | Avatar: The Last Airbender - The Burning Earth                             | THQ                                    | PlayStation 2 | 2007 | North America
|       | B-Boy                                                                      | Evolved Games                          | PlayStation 2 | 2008 | North America
|       | Backyard Baseball                                                          | Atari                                  | PlayStation 2 | 2004 | North America
|       | Backyard Baseball '09                                                      | Atari                                  | PlayStation 2 | 2008 | North America
|       | Backyard Baseball '10                                                      | Atari                                  | PlayStation 2 | 2009 | North America
|       | Backyard Basketball                                                        | Atari                                  | PlayStation 2 | 2003 | North America
|       | Backyard Football '08                                                      | Atari                                  | PlayStation 2 | 2007 | North America
|       | Backyard Football 2006                                                     | Atari                                  | PlayStation 2 | 2005 | North America
|       | Backyard Football 2009                                                     | Atari                                  | PlayStation 2 | 2008 | North America
|       | Backyard Football 2010                                                     | Atari                                  | PlayStation 2 | 2009 | North America
|       | Backyard Sports Baseball 2007                                              | Atari                                  | PlayStation 2 | 2006 | North America
|       | Backyard Sports Basketball 2007                                            | Atari                                  | PlayStation 2 | 2007 | North America
|       | Backyard Wrestling 2: There Goes the Neighborhood                          | Eidos Interactive                      | PlayStation 2 | 2004 | North America
|       | Backyard Wrestling: Don't Try This at Home                                 | Eidos Interactive                      | PlayStation 2 | 2003 | North America
|       | Bad Boys: Miami Takedown                                                   | Crave                                  | PlayStation 2 | 2004 | North America
|       | Bakugan Battle Brawlers                                                    | Activision                             | PlayStation 2 | 2009 | North America
|       | Baldur's Gate: Dark Alliance                                               | VU Games                               | PlayStation 2 | 2001 | North America
|       | Baldur's Gate: Dark Alliance II                                            | Interplay                              | PlayStation 2 | 2004 | North America
|       | Band Hero                                                                  | Activision                             | PlayStation 2 | 2009 | North America
|       | Barbarian                                                                  | Titus Software                         | PlayStation 2 | 2002 | North America
|       | Barbie as The Island Princess                                              | Activision                             | PlayStation 2 | 2007 | North America
|       | Barbie Horse Adventures: Riding Camp                                       | Activision                             | PlayStation 2 | 2008 | North America
|       | Barbie Horse Adventures: Wild Horse Rescue                                 | Universal Interactive                  | PlayStation 2 | 2003 | North America
|       | Barbie in The 12 Dancing Princesses                                        | Activision                             | PlayStation 2 | 2006 | North America
|       | Bard's Tale, The                                                           | InXile Entertainment                   | PlayStation 2 | 2004 | North America
|       | Barnyard                                                                   | THQ                                    | PlayStation 2 | 2006 | North America
|       | Baroque                                                                    | ATLUS                                  | PlayStation 2 | 2008 | North America
|       | Bass Strike                                                                | THQ                                    | PlayStation 2 | 2001 | North America
|       | Batman Begins                                                              | EA Games                               | PlayStation 2 | 2005 | North America
|       | Batman: Rise of Sin Tzu                                                    | Ubisoft                                | PlayStation 2 | 2003 | North America
|       | Batman: Vengeance                                                          | Ubisoft                                | PlayStation 2 | 2001 | North America
|       | Battle Assault 3 featuring Gundam Seed                                     | Bandai                                 | PlayStation 2 | 2004 | North America
|       | Battle Engine Aquila                                                       | Atari                                  | PlayStation 2 | 2003 | North America
|       | Battlefield 2: Modern Combat                                               | EA Games                               | PlayStation 2 | 2005 | North America
|       | Battlestar Galactica                                                       | VU Games                               | PlayStation 2 | 2003 | North America
|       | Beat Down: Fists of Vengeance                                              | Capcom                                 | PlayStation 2 | 2005 | North America
|       | BeatMania                                                                  | Konami                                 | PlayStation 2 | 2006 | North America
|       | Bee Movie Game                                                             | Activision                             | PlayStation 2 | 2007 | North America
|       | Ben 10 Alien Force: Vilgax Attacks                                         | D3Publisher                            | PlayStation 2 | 2009 | North America
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                  | D3Publisher                            | PlayStation 2 | 2010 | North America
|       | Ben 10: Alien Force                                                        | D3Publisher                            | PlayStation 2 | 2008 | North America
|       | Ben 10: Protector of Earth                                                 | D3Publisher                            | PlayStation 2 | 2007 | North America
|       | Beyond Good & Evil                                                         | Ubisoft                                | PlayStation 2 | 2003 | North America
|       | Biathlon 2008                                                              | Conspiracy Entertainment               | PlayStation 2 | 2008 | North America
|       | Bible Game, The                                                            | Crave                                  | PlayStation 2 | 2005 | North America
|       | Big Idea's Veggie Tales: LarryBoy and the Bad Apple                        | Crave                                  | PlayStation 2 | 2006 | North America
|       | Big Mutha Truckers                                                         | THQ                                    | PlayStation 2 | 2003 | North America
|       | Big Mutha Truckers 2                                                       | THQ                                    | PlayStation 2 | 2005 | North America
|       | Bigs 2, The                                                                | 2K Sports                              | PlayStation 2 | 2009 | North America
|       | Bigs, The                                                                  | 2K Sports                              | PlayStation 2 | 2007 | North America
|       | Biker Mice from Mars                                                       | The Game Factory                       | PlayStation 2 | 2007 | North America
|       | Bionicle                                                                   | EA Games                               | PlayStation 2 | 2003 | North America
|       | Bionicle Heroes                                                            | Eidos Interactive                      | PlayStation 2 | 2006 | North America
|       | Black                                                                      | EA Games                               | PlayStation 2 | 2006 | North America
|       | Black & Bruised                                                            | Majesco Games                          | PlayStation 2 | 2003 | North America
|       | Blade II                                                                   | Activision                             | PlayStation 2 | 2002 | North America
|       | Blitz: The League                                                          | Midway                                 | PlayStation 2 | 2005 | North America
|       | Blood Omen 2                                                               | Eidos Interactive                      | PlayStation 2 | 2002 | North America
|       | Blood Will Tell: Tezuka Osamu's Dororo                                     | Sega                                   | PlayStation 2 | 2004 | North America
|       | BloodRayne                                                                 | Majesco Games                          | PlayStation 2 | 2002 | North America
|       | BloodRayne 2                                                               | Majesco Games                          | PlayStation 2 | 2004 | North America
|       | Bloody Roar 3                                                              | Activision                             | PlayStation 2 | 2001 | North America
|       | Bloody Roar 4                                                              | Hudson                                 | PlayStation 2 | 2003 | North America
|       | BlowOut                                                                    | Majesco Games                          | PlayStation 2 | 2003 | North America
|       | BMX XXX                                                                    | Acclaim                                | PlayStation 2 | 2002 | North America
|       | Bode Miller Alpine Skiing                                                  | Valcon Games                           | PlayStation 2 | 2006 | North America
|       | Bolt                                                                       | Disney Interactive Studios             | PlayStation 2 | 2008 | North America
|       | Bombastic                                                                  | Capcom                                 | PlayStation 2 | 2003 | North America
|       | Boogie                                                                     | Electronic Arts                        | PlayStation 2 | 2007 | North America
|       | Bouncer, The                                                               | Square EA                              | PlayStation 2 | 2001 | North America
|       | Bratz: Forever Diamondz                                                    | THQ                                    | PlayStation 2 | 2006 | North America
|       | Bratz: Girlz Really Rock                                                   | THQ                                    | PlayStation 2 | 2008 | North America
|       | Bratz: Rock Angelz                                                         | THQ                                    | PlayStation 2 | 2005 | North America
|       | Bratz: The Movie                                                           | THQ                                    | PlayStation 2 | 2007 | North America
|       | Brave: The Search for Spirit Dancer                                        | SouthPeak Games                        | PlayStation 2 | 2007 | North America
|       | Breath of Fire: Dragon Quarter                                             | Capcom                                 | PlayStation 2 | 2003 | North America
|       | Breeders' Cup World Thoroughbred Championships                             | Bethesda Softworks                     | PlayStation 2 | 2005 | North America
|       | Britney's Dance Beat                                                       | THQ                                    | PlayStation 2 | 2002 | North America
|       | Brothers in Arms: Earned in Blood                                          | Ubisoft                                | PlayStation 2 | 2005 | North America
|       | Brothers In Arms: Road To Hill 30                                          | Ubisoft                                | PlayStation 2 | 2005 | North America
|       | Brunswick Pro Bowling                                                      | Crave                                  | PlayStation 2 | 2007 | North America
|       | Buffy the Vampire Slayer: Chaos Bleeds                                     | VU Games                               | PlayStation 2 | 2003 | North America
|       | Bujingai: The Forsaken City                                                | Bam Entertainment                      | PlayStation 2 | 2004 | North America
|       | Bully                                                                      | Rockstar Games                         | PlayStation 2 | 2006 | North America
|       | Burnout                                                                    | Acclaim                                | PlayStation 2 | 2001 | North America
|       | Burnout 2: Point of Impact                                                 | Acclaim                                | PlayStation 2 | 2002 | North America
|       | Burnout 3: Takedown                                                        | EA Games                               | PlayStation 2 | 2004 | North America
|       | Burnout Anthology                                                          | Electronic Arts                        | PlayStation 2 | 2008 | North America
