|       | Golden Axe: The Duel                                           | Sega                     | Sega Saturn | 1995 | North America
|       | Grand Slam                                                     | Virgin Interactive       | Sega Saturn | 1996 | North America
|       | Grid Runner                                                    | Virgin Interactive       | Sega Saturn | 1996 | North America
|       | Guardian Heroes                                                | Sega                     | Sega Saturn | 1996 | North America
|       | GunGriffon                                                     | Sega                     | Sega Saturn | 1996 | North America
|       | Hang-On GP                                                     | Sega                     | Sega Saturn | 1996 | North America
|       | Heir of Zendor: The Legend and The Land                        | Koei                     | Sega Saturn | 1996 | North America
|       | Herc's Adventures                                              | LucasArts                | Sega Saturn | 1997 | North America
|       | Hexen: Beyond Heretic                                          | GT Interactive           | Sega Saturn | 1997 | North America
|       | Hi-Octane: The Track Fights Back!                              | Bullfrog Productions     | Sega Saturn | 1995 | North America
|       | High Velocity: Mountain Racing Challenge                       | ATLUS                    | Sega Saturn | 1996 | North America
|       | Highway 2000                                                   | Natsume                  | Sega Saturn | 1996 | North America
|       | Horde, The                                                     | Crystal Dynamics         | Sega Saturn | 1997 | North America
|       | House of the Dead, The                                         | Sega                     | Sega Saturn | 1998 | North America
|       | Hyper 3-D Pinball                                              | Virgin Interactive       | Sega Saturn | 1996 | North America
|       | Impact Racing                                                  | Acclaim                  | Sega Saturn | 1996 | North America
|       | In the Hunt                                                    | Kokopeli Digital Studios | Sega Saturn | 1996 | North America
|       | Incredible Hulk: The Pantheon Saga, The                        | Eidos Interactive        | Sega Saturn | 1997 | North America
|       | Independence Day                                               | Fox Interactive          | Sega Saturn | 1997 | North America
|       | Iron Man / X-O Manowar in Heavy Metal                          | Acclaim                  | Sega Saturn | 1996 | North America
|       | Iron Storm                                                     | Working Designs          | Sega Saturn | 1996 | North America
|       | Johnny Bazookatone                                             | U.S. Gold                | Sega Saturn | 1996 | North America
|       | Last Bronx                                                     | Sega                     | Sega Saturn | 1997 | North America
|       | Last Gladiators Digital Pinball                                | Time Warner Interactive  | Sega Saturn | 1996 | North America
|       | Legend of Oasis                                                | Sega                     | Sega Saturn | 1996 | North America
|       | Loaded                                                         | Interplay                | Sega Saturn | 1996 | North America
|       | Lost World: Jurassic Park, The                                 | Sega                     | Sega Saturn | 1997 | North America
|       | Lunacy                                                         | ATLUS                    | Sega Saturn | 1997 | North America
|       | Machine Head                                                   | Eidos Interactive        | Sega Saturn | 1996 | North America
|       | Madden NFL 97                                                  | EA Sports                | Sega Saturn | 1996 | North America
|       | Madden NFL 98                                                  | EA Sports                | Sega Saturn | 1997 | North America
