|       | Championship Motocross 2001 Featuring Ricky Carmichael                   | THQ                                 | Game Boy Color | 2000 | Europe
|       | Chase H.Q.: Secret Police                                                | Gaga                                | Game Boy Color | 1999 | Europe
|       | Chessmaster                                                              | Mindscape                           | Game Boy Color | 1999 | Europe
|       | Chicken Run                                                              | THQ                                 | Game Boy Color | 2000 | Europe
|       | Classic Bubble Bobble                                                    | Taito Corporation                   | Game Boy Color | 1999 | Europe
|       | Colin McRae Rally                                                        | THQ                                 | Game Boy Color | 2001 | Europe
|       | Commander Keen                                                           | Activision                          | Game Boy Color | 2001 | Europe
|       | Conker's Pocket Tales                                                    | Rare Ltd.                           | Game Boy Color | 1999 | Europe
|       | Cool Bricks                                                              | SCi                                 | Game Boy Color | 1999 | Europe
|       | Cool Hand                                                                | Take-Two Interactive                | Game Boy Color | 1998 | Europe
|       | Crazy Bikers                                                             | Konami                              | Game Boy Color | 1999 | Europe
|       | Croc                                                                     | THQ                                 | Game Boy Color | 2000 | Europe
|       | Croc 2                                                                   | THQ                                 | Game Boy Color | 2001 | Europe
|       | Cross Country Racing                                                     | Konami                              | Game Boy Color | 2000 | Europe
|       | CyberTiger                                                               | Electronic Arts                     | Game Boy Color | 2000 | Europe
|       | Daffy Duck: Fowl Play                                                    | SunSoft                             | Game Boy Color | 1999 | Europe
|       | Das Geheimnis der Happy Hippo-Insel                                      | JoWooD Entertainment AG             | Game Boy Color | 2001 | Europe
|       | Dave Mirra Freestyle BMX                                                 | Acclaim                             | Game Boy Color | 2000 | Europe
|       | David Beckham Soccer                                                     | Rage Software                       | Game Boy Color | 2002 | Europe
|       | David O'Leary's Total Soccer 2000                                        | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Deadly Skies                                                             | Konami                              | Game Boy Color | 2000 | Europe
|       | Deja Vu I & II                                                           | Kemco                               | Game Boy Color | 1999 | Europe
|       | Denki Blocks!                                                            | Rage Software                       | Game Boy Color | 2001 | Europe
|       | Dexter's Laboratory: Robot Rampage                                       | Bam Entertainment                   | Game Boy Color | 2000 | Europe
|       | Die Maus                                                                 | Infogrames                          | Game Boy Color | 1999 | Europe
|       | Die Maus: Verrueckte Olympiade                                           | Infogrames                          | Game Boy Color | 2001 | Europe
|       | Die Original Moorhuhn Jagd                                               | Ravensburger Interactive Media GmbH | Game Boy Color | 2000 | Europe
|       | Die Schlumpfe: Im Alptraumland                                           | Infogrames                          | Game Boy Color | 2000 | Europe
|       | Dinosaur'us                                                              | Electronic Arts                     | Game Boy Color | 2001 | Europe
