|       | Hyperdimension Neptunia PP: Producing Perfection          | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Hyperdimension Neptunia Re;Birth2: Sisters Generation     | Idea Factory                           | PlayStation Vita | 2015 | Europe
|       | Hyperdimension Neptunia Re;Birth3: V Generation           | Idea Factory                           | PlayStation Vita | 2015 | Europe
|       | Hyperdimension Neptunia U: Action Unleashed               | Idea Factory                           | PlayStation Vita | 2015 | Europe
|       | Injustice: Gods Among Us - Ultimate Edition               | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | Europe
|       | Invizimals: The Alliance                                  | SCEE                                   | PlayStation Vita | 2013 | Europe
|       | Invizimals: The Resistance                                | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | J-Stars Victory Vs+                                       | Bandai Namco Games                     | PlayStation Vita | 2015 | Europe
|       | Jak and Daxter Trilogy, The                               | SCEE                                   | PlayStation Vita | 2013 | Europe
|       | Jonah Lomu Rugby Challenge                                | Alternative Software                   | PlayStation Vita | 2012 | Europe
|       | Killzone: Mercenary                                       | SCEE                                   | PlayStation Vita | 2013 | Europe
|       | Legend of Heroes: Trails of Cold Steel II, The            | NIS America                            | PlayStation Vita | 2016 | Europe
|       | Legend of Heroes: Trails of Cold Steel, The               | NIS America                            | PlayStation Vita | 2016 | Europe
|       | LEGO Batman 2: DC Super Heroes                            | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | Europe
|       | LEGO Batman 3: Beyond Gotham                              | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | Europe
|       | LEGO Harry Potter: Years 5-7                              | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | Europe
|       | LEGO Jurassic World                                       | Warner Bros. Interactive Entertainment | PlayStation Vita | 2015 | Europe
|       | LEGO Legends of Chima: Laval's Journey                    | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | Europe
|       | LEGO Marvel Super Heroes: Universe in Peril               | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | Europe
|       | LEGO Marvel's Avengers                                    | Warner Bros. Interactive Entertainment | PlayStation Vita | 2016 | Europe
|       | LEGO Movie Videogame, The                                 | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | Europe
|       | LEGO Ninjago: Nindroids                                   | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | Europe
|       | LEGO Ninjago: Shadow of Ronin                             | Warner Bros. Interactive Entertainment | PlayStation Vita | 2015 | Europe
|       | LEGO Star Wars: The Force Awakens                         | Warner Bros. Interactive Entertainment | PlayStation Vita | 2016 | Europe
|       | LEGO The Hobbit                                           | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | Europe
|       | LEGO The Lord of the Rings                                | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | Europe
|       | Little Deviants                                           | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | LittleBigPlanet PS Vita                                   | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | LittleBigPlanet PS Vita: Marvel Super Hero Edition        | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | Looney Tunes: Galactic Sports                             | SCEE                                   | PlayStation Vita | 2015 | Europe
|       | Lost Dimension                                            | NIS America                            | PlayStation Vita | 2015 | Europe
|       | Lumines: Electronic Symphony                              | Ubisoft                                | PlayStation Vita | 2012 | Europe
|       | Lumo                                                      | Rising Star Games                      | PlayStation Vita | 2016 | Europe
|       | MegaTagmension Blanc + Neptune VS Zombies                 | Idea Factory                           | PlayStation Vita | 2016 | Europe
|       | MeiQ: Labyrinth of Death                                  | Idea Factory                           | PlayStation Vita | 2016 | Europe
|       | Metal Gear Solid HD Collection                            | Konami                                 | PlayStation Vita | 2012 | Europe
|       | Michael Jackson The Experience HD                         | Ubisoft                                | PlayStation Vita | 2012 | Europe
|       | Minecraft: PlayStation Vita Edition                       | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | ModNation Racers: Road Trip                               | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | Mortal Kombat                                             | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | Europe
|       | MotoGP 13                                                 | Milestone S.r.l                        | PlayStation Vita | 2013 | Europe
|       | MotoGP 14                                                 | Milestone S.r.l                        | PlayStation Vita | 2014 | Europe
|       | MUD - FIM Motocross World Championship                    | Milestone S.r.l                        | PlayStation Vita | 2012 | Europe
|       | Muppets: Movie Adventures, The                            | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | MXGP: The Official Motocross Videogame                    | Milestone S.r.l                        | PlayStation Vita | 2014 | Europe
|       | Natural Doctrine                                          | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Need for Speed: Most Wanted - A Criterion Game            | Electronic Arts                        | PlayStation Vita | 2012 | Europe
|       | New Little King's Story                                   | Konami                                 | PlayStation Vita | 2012 | Europe
|       | Ninja Gaiden Sigma 2 Plus                                 | Koei Tecmo Games                       | PlayStation Vita | 2013 | Europe
|       | Ninja Gaiden Sigma Plus                                   | Tecmo Koei Games                       | PlayStation Vita | 2012 | Europe
|       | Odin Sphere Leifthrasir                                   | NIS America                            | PlayStation Vita | 2016 | Europe
|       | One Piece: Burning Blood                                  | Bandai Namco Games                     | PlayStation Vita | 2016 | Europe
|       | One Piece: Pirate Warriors 3                              | Bandai Namco Games                     | PlayStation Vita | 2015 | Europe
|       | One Piece: Unlimited World Red                            | Bandai Namco Games                     | PlayStation Vita | 2014 | Europe
|       | Operation Abyss: New Tokyo Legacy                         | NIS America                            | PlayStation Vita | 2015 | Europe
|       | Penny-Punching Princess                                   | NIS America                            | PlayStation Vita | 2018 | Europe
|       | Persona 4 Golden                                          | NIS America                            | PlayStation Vita | 2013 | Europe
|       | Persona 4: Dancing All Night                              | ATLUS                                  | PlayStation Vita | 2015 | Europe
|       | Phineas and Ferb: Day of Doofenshmirtz                    | SCEE                                   | PlayStation Vita | 2015 | Europe
|       | PlayStation All-Stars Battle Royale                       | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | PlayStation Vita Pets                                     | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | Psycho-Pass: Mandatory Happiness                          | NIS America                            | PlayStation Vita | 2016 | Europe
|       | Putty Squad                                               | System 3                               | PlayStation Vita | 2013 | Europe
|       | Ratchet & Clank Trilogy, The                              | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | Rayman Legends                                            | Ubisoft                                | PlayStation Vita | 2013 | Europe
|       | Rayman Legends & Rayman Origins                           | Ubisoft                                | PlayStation Vita | 2015 | Europe
|       | Rayman Origins                                            | Ubisoft                                | PlayStation Vita | 2012 | Europe
|       | Reality Fighters                                          | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | Resistance: Burning Skies                                 | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | Ridge Racer                                               | Namco Bandai Games                     | PlayStation Vita | 2012 | Europe
|       | Root Letter                                               | PQube                                  | PlayStation Vita | 2016 | Europe
|       | Rugby 15                                                  | BigBen Interactive                     | PlayStation Vita | 2015 | Europe
|       | Rugby World Cup 2015                                      | BigBen Interactive                     | PlayStation Vita | 2015 | Europe
|       | Senran Kagura: Estival Versus                             | Marvelous Inc.                         | PlayStation Vita | 2016 | Europe
|       | Shinobido 2: Revenge of Zen                               | Namco Bandai Games                     | PlayStation Vita | 2012 | Europe
|       | Silent Hill: Book of Memories                             | Konami                                 | PlayStation Vita | 2012 | Europe
|       | Slain: Back from Hell                                     | Signature Edition Games                | PlayStation Vita | 2017 | Europe
|       | Sly Cooper: Thieves in Time                               | SCEE                                   | PlayStation Vita | 2013 | Europe
|       | Smart as...                                               | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | Sonic & All-Stars Racing Transformed                      | Sega                                   | PlayStation Vita | 2012 | Europe
|       | Sorcery Saga: The Curse of the Great Curry God            | Rising Star Games                      | PlayStation Vita | 2014 | Europe
|       | Soul Sacrifice                                            | SCEE                                   | PlayStation Vita | 2013 | Europe
|       | Space Hulk                                                | Funbox Media                           | PlayStation Vita | 2015 | Europe
|       | SpongeBob HeroPants                                       | Activision                             | PlayStation Vita | 2015 | Europe
|       | Spy Hunter                                                | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | Europe
|       | Steins;Gate                                               | PQube                                  | PlayStation Vita | 2015 | Europe
|       | Steins;Gate 0                                             | PQube                                  | PlayStation Vita | 2016 | Europe
|       | Stranger of Sword City                                    | NIS America                            | PlayStation Vita | 2016 | Europe
|       | Street Fighter X Tekken                                   | Capcom                                 | PlayStation Vita | 2012 | Europe
|       | Super Monkey Ball: Banana Splitz                          | Sega                                   | PlayStation Vita | 2012 | Europe
|       | SUPERBEAT: XONiC                                          | Rising Star Games                      | PlayStation Vita | 2015 | Europe
|       | Superdimension Neptune VS Sega Hard Girls                 | Idea Factory                           | PlayStation Vita | 2016 | Europe
|       | Supremacy MMA: Unrestricted                               | 505 Games                              | PlayStation Vita | 2012 | Europe
|       | Sword Art Online: Hollow Realization                      | Bandai Namco Games                     | PlayStation Vita | 2016 | Europe
|       | Sword Art Online: Lost Song                               | Bandai Namco Games                     | PlayStation Vita | 2015 | Europe
|       | Tadeo Jones                                               | Deep Silver                            | PlayStation Vita | 2013 | Europe
|       | Tadeo Jones y el Manuscrito Perdido                       | Deep Silver                            | PlayStation Vita | 2014 | Europe
|       | Tales of Hearts R                                         | Bandai Namco Games                     | PlayStation Vita | 2014 | Europe
|       | Tearaway                                                  | SCEE                                   | PlayStation Vita | 2013 | Europe
|       | Terraria                                                  | 505 Games                              | PlayStation Vita | 2015 | Europe
|       | Teslagrad                                                 | Soedesco                               | PlayStation Vita | 2015 | Europe
|       | Tetris Ultimate                                           | Ubisoft                                | PlayStation Vita | 2016 | Europe
|       | Tokyo Twilight Ghost Hunters                              | NIS America                            | PlayStation Vita | 2015 | Europe
|       | Top Trumps Turbo                                          | Funbox Media                           | PlayStation Vita | 2017 | Europe
|       | Touch My Katamari                                         | Namco Bandai Games                     | PlayStation Vita | 2012 | Europe
|       | Touhou Genso Wanderer                                     | NIS America                            | PlayStation Vita | 2017 | Europe
|       | Touhou Kobuto V: Burst Battle                             | NIS America                            | PlayStation Vita | 2017 | Europe
|       | Toukiden 2                                                | Koei                                   | PlayStation Vita | 2017 | Europe
|       | Toukiden: Kiwami                                          | Koei Tecmo Games                       | PlayStation Vita | 2015 | Europe
|       | Toukiden: The Age of Demons                               | Tecmo Koei Games                       | PlayStation Vita | 2014 | Europe
|       | Trillion: God of Destruction                              | Idea Factory                           | PlayStation Vita | 2016 | Europe
|       | Ultimate Marvel vs. Capcom 3                              | Capcom                                 | PlayStation Vita | 2012 | Europe
|       | Uncharted: Golden Abyss                                   | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | Unit 13                                                   | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | Valkyrie Drive: Bhikkhuni                                 | PQube                                  | PlayStation Vita | 2016 | Europe
