|       | Scooby Doo's Maze Chase                         | Mattel                    | Intellivision | 1983 | North America
|       | Sea Battle                                      | Mattel                    | Intellivision | 1980 | North America
|       | Sewer Sam                                       | Interphase                | Intellivision | 1984 | North America
|       | Shark! Shark!                                   | Mattel                    | Intellivision | 1982 | North America
|       | Sharp Shot                                      | Mattel                    | Intellivision | 1982 | North America
|       | Skiing                                          | Sears                     | Intellivision | 1980 | North America
|       | Slam Dunk Super Pro Basketball                  | Intellivision Productions | Intellivision | 1987 | North America
|       | Slap Shot: Super Pro Hockey                     | INTV                      | Intellivision | 1987 | North America
|       | Snafu                                           | Mattel                    | Intellivision | 1981 | North America
|       | Space Armada                                    | Mattel                    | Intellivision | 1981 | North America
|       | Space Battle                                    | Mattel                    | Intellivision | 1979 | North America
|       | Space Hawk                                      | Mattel                    | Intellivision | 1981 | North America
|       | Space Spartans                                  | Mattel                    | Intellivision | 1982 | North America
|       | Spiker! Super Pro Volleyball                    | INTV                      | Intellivision | 1989 | North America
|       | Stadium Mud Buggies                             | INTV                      | Intellivision | 1989 | North America
|       | Stampede                                        | Activision                | Intellivision | 1982 | North America
|       | Star Strike                                     | Mattel                    | Intellivision | 1981 | North America
|       | Star Wars: The Empire Strikes Back              | Parker Brothers           | Intellivision | 1983 | North America
|       | Street                                          | Mattel                    | Intellivision | 1981 | North America
|       | Sub Hunt                                        | Mattel                    | Intellivision | 1982 | North America
|       | Super Cobra                                     | Parker Brothers           | Intellivision | 1983 | North America
|       | Super Pro Decathlon                             | INTV                      | Intellivision | 1988 | North America
|       | Super Pro Football                              | INTV                      | Intellivision | 1986 | North America
|       | Super Soccer                                    | Mattel                    | Intellivision | 1983 | North America
|       | Swords & Serpents                               | Imagic                    | Intellivision | 1982 | North America
|       | Tennis                                          | Mattel                    | Intellivision | 1980 | North America
|       | Thunder Castle                                  | INTV                      | Intellivision | 1986 | North America
|       | Tower of Doom                                   | Intellivision Productions | Intellivision | 1987 | North America
|       | Triple Action                                   | Mattel                    | Intellivision | 1981 | North America
|       | Triple Challenge                                | INTV                      | Intellivision | 1987 | North America
|       | Tron Deadly Discs                               | Mattel                    | Intellivision | 1982 | North America
|       | Tron: Maze-a-Tron                               | Mattel                    | Intellivision | 1982 | North America
|       | Tron: Solar Sailer                              | Mattel                    | Intellivision | 1982 | North America
|       | Tropical Trouble                                | Imagic                    | Intellivision | 1983 | North America
|       | Truckin'                                        | Imagic                    | Intellivision | 1983 | North America
|       | Turbo                                           | Coleco                    | Intellivision | 1983 | North America
|       | Tutankham                                       | Parker Brothers           | Intellivision | 1983 | North America
|       | Utopia                                          | Mattel                    | Intellivision | 1981 | North America
|       | Vectron                                         | Mattel                    | Intellivision | 1982 | North America
|       | Venture                                         | Coleco                    | Intellivision | 1982 | North America
|       | White Water!                                    | Imagic                    | Intellivision | 1983 | North America
|       | World Championship Baseball                     | Mattel                    | Intellivision | 1986 | North America
|       | World Cup Football                              | Nice Ideas                | Intellivision | 1985 | North America
|       | World Series Major League Baseball              | Mattel                    | Intellivision | 1983 | North America
|       | Worm Whomper                                    | Activision                | Intellivision | 1983 | North America
|       | Zaxxon                                          | Coleco                    | Intellivision | 1983 | North America
|       | Carnival    | CBS Electronics | Intellivision | 1983 | Europe
|       | Donkey Kong | CBS Electronics | Intellivision | 1983 | Europe
|       | Zaxxon      | Coleco          | Intellivision | 1983 | Europe
