|       | FIFA Soccer 97                                                 | Black Pearl                  | Game Boy | 1996 | North America
|       | Fighting Simulator: 2-in-1 Flying Warriors                     | Culture Brain                | Game Boy | 1992 | North America
|       | Final Fantasy Adventure                                        | SquareSoft                   | Game Boy | 1991 | North America
|       | Final Fantasy Legend                                           | SquareSoft                   | Game Boy | 1990 | North America
|       | Final Fantasy Legend II                                        | SquareSoft                   | Game Boy | 1991 | North America
|       | Final Fantasy Legend III                                       | SquareSoft                   | Game Boy | 1993 | North America
|       | Fish Dude                                                      | Sofel                        | Game Boy | 1991 | North America
|       | Fist of the North Star                                         | Electro Brain                | Game Boy | 1990 | North America
|       | Flash, The                                                     | THQ                          | Game Boy | 1992 | North America
|       | Flintstones: King Rock Treasure Island, The                    | Taito Corporation            | Game Boy | 1993 | North America
|       | Flintstones: The Movie, The                                    | Ocean                        | Game Boy | 1994 | North America
|       | Flipull                                                        | Taito Corporation            | Game Boy | 1990 | North America
|       | Foreman For Real                                               | Acclaim                      | Game Boy | 1995 | North America
|       | Fortified Zone                                                 | Jaleco Entertainment         | Game Boy | 1991 | North America
|       | Fortress of Fear: Wizards & Warriors X                         | Acclaim                      | Game Boy | 1990 | North America
|       | Frank Thomas: Big Hurt Baseball                                | Acclaim                      | Game Boy | 1995 | North America
|       | Frogger                                                        | Majesco Games                | Game Boy | 1998 | North America
|       | Game & Watch Gallery                                           | Nintendo                     | Game Boy | 1997 | North America
|       | Game of Harmony, The                                           | Accolade                     | Game Boy | 1991 | North America
|       | Gargoyle's Quest                                               | Capcom                       | Game Boy | 1990 | North America
|       | Gauntlet II                                                    | Mindscape Inc.               | Game Boy | 1991 | North America
|       | Gear Works                                                     | Sony Imagesoft               | Game Boy | 1993 | North America
|       | George Foreman's KO Boxing                                     | Acclaim                      | Game Boy | 1992 | North America
|       | Getaway: High Speed II, The                                    | Williams                     | Game Boy | 1995 | North America
|       | Ghostbusters II                                                | Activision                   | Game Boy | 1990 | North America
|       | Go! Go! Tank                                                   | Electro Brain                | Game Boy | 1991 | North America
|       | Goal!                                                          | Jaleco Entertainment         | Game Boy | 1993 | North America
