|       | Super Star Soldier                            | NEC                      | TurboGrafx-16 | 1991 | North America
|       | Super Volleyball                              | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Takin' It to the Hoop                         | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Tiger Road                                    | NEC Interchannel         | TurboGrafx-16 | 1990 | North America
|       | Time Cruise                                   | NEC                      | TurboGrafx-16 | 1992 | North America
|       | Timeball                                      | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | North America
|       | Tricky Kick                                   | IGS (Japan)              | TurboGrafx-16 | 1990 | North America
|       | Turrican                                      | Ballistic                | TurboGrafx-16 | 1991 | North America
|       | TV Sports Basketball                          | NEC                      | TurboGrafx-16 | 1991 | North America
|       | TV Sports Football                            | NEC                      | TurboGrafx-16 | 1990 | North America
|       | TV Sports Hockey                              | NEC                      | TurboGrafx-16 | 1991 | North America
|       | Veigues Tactical Gladiator                    | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Victory Run                                   | Hudson                   | TurboGrafx-16 | 1989 | North America
|       | Vigilante                                     | NEC                      | TurboGrafx-16 | 1989 | North America
|       | World Class Baseball                          | NEC Interchannel         | TurboGrafx-16 | 1989 | North America
|       | World Court Tennis                            | NEC                      | TurboGrafx-16 | 1989 | North America
|       | World Sports Competition                      | NEC                      | TurboGrafx-16 | 1993 | North America
|       | Yo' Bro                                       | NEC                      | TurboGrafx-16 | 1991 | North America
