|       | Cyber City Oedo 808                                       | NCS                                   | TurboGrafx-16 CD | 1991 | Japan
|       | Daisenpuu Custom                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1991 | Japan
|       | Daisenryaku II Campaign-Han                               | Micro Cabin                           | TurboGrafx-16 CD | 1992 | Japan
|       | Davis Cup Tennis, The                                     | Micro World                           | TurboGrafx-16 CD | 1992 | Japan
|       | De-Ja                                                     | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | Japan
|       | Dead of the Brain 1 & 2                                   | NEC Interchannel                      | TurboGrafx-16 CD | 1999 | Japan
|       | Death Bringer: The Knight of Darkness                     | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | Japan
|       | Dekoboko Densetsu: Hashiru Wagamanma                      | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | Japan
|       | Denno Tenshi: Digital Angel                               | Tokuma Shoten                         | TurboGrafx-16 CD | 1994 | Japan
|       | Digital Comic - Patlabor: Chapter of Griffon              | Riverhillsoft                         | TurboGrafx-16 CD | 1993 | Japan
|       | Doraemon: Nobita no Dorabian Night                        | Hudson                                | TurboGrafx-16 CD | 1992 | Japan
|       | Double Dragon II: The Revenge                             | Naxat Soft                            | TurboGrafx-16 CD | 1993 | Japan
|       | Doukyuusei                                                | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Download 2                                                | NEC Interchannel                      | TurboGrafx-16 CD | 1991 | Japan
|       | Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai      | Naxat Soft                            | TurboGrafx-16 CD | 1992 | Japan
|       | Downtown Nekketsu Monogatari                              | Naxat Soft                            | TurboGrafx-16 CD | 1993 | Japan
|       | Dragon Ball Z: Idainaru Goku Densetsu                     | Bandai                                | TurboGrafx-16 CD | 1994 | Japan
|       | Dragon Half                                               | Micro Cabin                           | TurboGrafx-16 CD | 1994 | Japan
|       | Dragon Knight & Graffiti                                  | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Dragon Knight II                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | Japan
|       | Dragon Knight III                                         | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Dragon Slayer: Eiyuu Densetsu                             | Hudson                                | TurboGrafx-16 CD | 1991 | Japan
|       | Dragon Slayer: Eiyuu Densetsu II                          | Hudson                                | TurboGrafx-16 CD | 1992 | Japan
|       | Dungeon Explorer II                                       | Hudson                                | TurboGrafx-16 CD | 1993 | Japan
|       | Dungeon Master: Theron's Quest                            | Victor Interactive Software           | TurboGrafx-16 CD | 1992 | Japan
|       | Efera & Jiliora: The Emblem From Darkness                 | Brain Grey                            | TurboGrafx-16 CD | 1991 | Japan
