|       | Christmas Seaman                                                       | DigiToys                      | Sega Dreamcast | 1999 | Japan
|       | ChuChu Rocket!                                                         | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Cleopatra Fortune                                                      | Altron                        | Sega Dreamcast | 2001 | Japan
|       | Climax Landers                                                         | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Close to: Inori no Oka                                                 | Kid                           | Sega Dreamcast | 2001 | Japan
|       | Comic Party                                                            | Aqua Plus                     | Sega Dreamcast | 2001 | Japan
|       | Communication Logic Battle Daisessen                                   | Fortyfive                     | Sega Dreamcast | 2000 | Japan
|       | Confidential Mission                                                   | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Cool Boarders Burrrn                                                   | UEP Systems                   | Sega Dreamcast | 1999 | Japan
|       | Cool Cool Toon                                                         | SNK                           | Sega Dreamcast | 2000 | Japan
|       | Cosmic Smash                                                           | Sega                          | Sega Dreamcast | 2001 | Japan
|       | CR Hissatsu Shigotonin Pachitte Chonmage @ VPACHI                      | Hack Berry                    | Sega Dreamcast | 2001 | Japan
|       | Crazy Taxi                                                             | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Crazy Taxi 2                                                           | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Culdcept II                                                            | Media Factory                 | Sega Dreamcast | 2001 | Japan
|       | D no Shokutaku 2                                                       | WARP                          | Sega Dreamcast | 1999 | Japan
|       | D+Vine [Luv]                                                           | Princess Soft                 | Sega Dreamcast | 2001 | Japan
|       | D2 Shock                                                               | WARP                          | Sega Dreamcast | 1999 | Japan
|       | Dance Dance Revolution 2nd Mix: Dreamcast Edtion                       | Konami                        | Sega Dreamcast | 2000 | Japan
|       | Dance Dance Revolution Club Version Dreamcast Edition                  | Konami                        | Sega Dreamcast | 2000 | Japan
|       | Dancing Blade Katteni Momotenshi II: Tears of Eden                     | Konami                        | Sega Dreamcast | 1999 | Japan
|       | Dancing Blade: Katteni Momotenshi!                                     | Konami                        | Sega Dreamcast | 1999 | Japan
|       | Daytona USA 2001                                                       | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Dead or Alive 2                                                        | Tecmo                         | Sega Dreamcast | 2000 | Japan
|       | Death Crimson 2                                                        | Ecole                         | Sega Dreamcast | 1999 | Japan
|       | Death Crimson OX                                                       | Ecole                         | Sega Dreamcast | 2001 | Japan
|       | Dejiko no Maibura                                                      | Isao                          | Sega Dreamcast | 2000 | Japan
|       | Dengen Tenshi Taisen Mahjong: Shangri-La                               | Marvelous                     | Sega Dreamcast | 1999 | Japan
|       | Dennou Senki Virtual On: Oratorio Tangram                              | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Denpa Shounen-teki Kenshou Seikatsu: Nasubi no Heya                    | Hudson                        | Sega Dreamcast | 1999 | Japan
|       | Densha de Go! 2                                                        | Taito Corporation             | Sega Dreamcast | 2000 | Japan
|       | Derby Tsuku 2                                                          | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Derby Tsuku: Derby Uma o Tsukurou!                                     | Sega                          | Sega Dreamcast | 2000 | Japan
|       | deSpiria                                                               | ATLUS                         | Sega Dreamcast | 2000 | Japan
|       | Di Gi Charat Fantasy                                                   | Broccoli                      | Sega Dreamcast | 2001 | Japan
|       | Digital Keiba Shinbun My Track Man                                     | Shouei                        | Sega Dreamcast | 1999 | Japan
|       | Dino Crisis                                                            | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | Doguu Senki: Haou                                                      | Victor Interactive Software   | Sega Dreamcast | 2000 | Japan
|       | Doki Doki Idol Star Seeker Remix                                       | G.Rev                         | Sega Dreamcast | 2002 | Japan
|       | Dori-P Passport Trial                                                  | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Dousoukai 2: Again & Refrain                                           | NEC Interchannel              | Sega Dreamcast | 2002 | Japan
|       | Dream Passport                                                         | Sega                          | Sega Dreamcast | 1998 | Japan
|       | Dream Studio                                                           | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Dreamcast Promotion Disc                                               | Sega                          | Sega Dreamcast | 1999 | Japan
|       | DreamFlyer                                                             | Sega                          | Sega Dreamcast | 1999 | Japan
|       | DUX                                                                    | HUCAST                        | Sega Dreamcast | 2009 | Japan
|       | Dynamite Deka 2                                                        | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Ecco the Dolphin: Defender of the Future                               | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Eisei Meijin III: Game Creator Yoshimura Nobuhiro no Zunou             | Konami                        | Sega Dreamcast | 1999 | Japan
|       | El Dorado Gate Volume 1                                                | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | El Dorado Gate Volume 2                                                | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | El Dorado Gate Volume 3                                                | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | El Dorado Gate Volume 4                                                | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | El Dorado Gate Volume 5                                                | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | El Dorado Gate Volume 6                                                | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | El Dorado Gate Volume 7                                                | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | Elemental Gimmick Gear                                                 | Hudson                        | Sega Dreamcast | 1999 | Japan
|       | Elysion                                                                | NEC Interchannel              | Sega Dreamcast | 2002 | Japan
|       | Erde: Nezu no Izuki no Shita de                                        | Kid                           | Sega Dreamcast | 2003 | Japan
|       | Es                                                                     | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Espion-Age-Nts                                                         | NEC Interchannel              | Sega Dreamcast | 1999 | Japan
|       | Eternal Arcadia                                                        | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Eve Zero: The Ark of the Matter                                        | NetVillage                    | Sega Dreamcast | 2001 | Japan
|       | Ever17: The Out of Infinity                                            | Kid                           | Sega Dreamcast | 2002 | Japan
|       | Exodus Guilty Neos                                                     | Abel Software                 | Sega Dreamcast | 2001 | Japan
|       | Extra Cawaii!                                                          | Sega                          | Sega Dreamcast | 2000 | Japan
|       | F1 World Grand Prix                                                    | Video System                  | Sega Dreamcast | 1999 | Japan
|       | F1 World Grand Prix II                                                 | Video System                  | Sega Dreamcast | 2000 | Japan
|       | F355 Challenge                                                         | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Fast Striker                                                           | NG:DEV.TEAM                   | Sega Dreamcast | 2010 | Japan
|       | Fighting Vipers 2                                                      | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Fire ProWrestling D                                                    | Spike                         | Sega Dreamcast | 2001 | Japan
|       | First Kiss * Monogatari 2                                              | Broccoli                      | Sega Dreamcast | 2002 | Japan
|       | Fish Eyes Wild                                                         | Victor Interactive Software   | Sega Dreamcast | 2001 | Japan
|       | For Symphony: With All One's Heart                                     | Takuyo                        | Sega Dreamcast | 2003 | Japan
|       | Fragrance Tale                                                         | Takuyo                        | Sega Dreamcast | 2001 | Japan
|       | Frame Gride                                                            | From Software                 | Sega Dreamcast | 1999 | Japan
|       | Frame Gride Test Operation Disc                                        | From Software                 | Sega Dreamcast | 1999 | Japan
|       | Fushigi no Dungeon: Furai no Shiren Gaiden - Onna Kenshi Asuka Kenzan! | Sega                          | Sega Dreamcast | 2002 | Japan
|       | Gaia Master Kessen!: Seikiou Densetsu                                  | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | Gakkyuou Yamazaki: Yamazaki Oukoku Oofun Araso                         | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Ganbare Nippon! Olympic 2000                                           | Konami                        | Sega Dreamcast | 2000 | Japan
|       | Garou: Mark of the Wolves                                              | SNK                           | Sega Dreamcast | 2001 | Japan
|       | Get Bass                                                               | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Get Bass 2                                                             | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Get!! Colonies                                                         | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Ghost Blade                                                            | HUCAST                        | Sega Dreamcast | 2015 | Japan
|       | Giant Gram 2000: All-Japan Pro Wrestling 3                             | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Giant Gram: All Japan ProWrestling 2                                   | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Giga Wing                                                              | Capcom                        | Sega Dreamcast | 1999 | Japan
|       | Giga Wing 2                                                            | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | Godzilla Generations                                                   | Sega                          | Sega Dreamcast | 1998 | Japan
|       | Godzilla Generations Maximum Impact                                    | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Golem no Maigo                                                         | Caramel Pot                   | Sega Dreamcast | 2000 | Japan
|       | Golf Shiyouyo                                                          | Bottom Up                     | Sega Dreamcast | 1999 | Japan
|       | Golf Shiyouyo 2: Aratanaru Chousen                                     | SoftMax                       | Sega Dreamcast | 2001 | Japan
|       | Golf Shiyouyo Adventure Hen                                            | SoftMax                       | Sega Dreamcast | 2000 | Japan
|       | Golf Shiyouyo Kouryaku Pack                                            | SoftMax                       | Sega Dreamcast | 2000 | Japan
|       | Grandia II                                                             | Game Arts                     | Sega Dreamcast | 2000 | Japan
|       | Grandia II Demo                                                        | Game Arts                     | Sega Dreamcast | 2000 | Japan
|       | Grauen no Torikago Kapitel 1: Keiyaku                                  | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Grauen no Torikago Kapitel 2: Torikago                                 | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Grauen no Torikago Kapitel 3: Kansei                                   | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Grauen no Torikago Kapitel 4: Kaikou                                   | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Grauen no Torikago Kapitel 5: Shoukuzai                                | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Grauen no Torikago Kapitel 6: Senritsu                                 | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Guilty Gear X                                                          | Sammy Studios                 | Sega Dreamcast | 2000 | Japan
|       | Gunbird 2                                                              | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | Gundam Battle Online                                                   | Bandai                        | Sega Dreamcast | 2001 | Japan
|       | Gunspike                                                               | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | Guruguru Onsen 2                                                       | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Guruguru Onsen 3                                                       | Sega                          | Sega Dreamcast | 2002 | Japan
|       | Happy Breeding                                                         | Princess Soft                 | Sega Dreamcast | 2003 | Japan
|       | Happy Lesson                                                           | Datam Polystar                | Sega Dreamcast | 2001 | Japan
