|       | Batman: Return of the Joker                                 | SunSoft                        | Nintendo Entertainment System | 1991 | North America
|       | Battle Chess                                                | Data East                      | Nintendo Entertainment System | 1990 | North America
|       | Battle Kid 2: Mountain of Torment                           | RetroZone                      | Nintendo Entertainment System | 2012 | North America
|       | Battle Kid: Fortress of Peril                               | RetroZone                      | Nintendo Entertainment System | 2010 | North America
|       | Battle Tank                                                 | Absolute Entertainment         | Nintendo Entertainment System | 1990 | North America
|       | Battleship                                                  | Mindscape Inc.                 | Nintendo Entertainment System | 1993 | North America
|       | Battletoads                                                 | Tradewest                      | Nintendo Entertainment System | 1991 | North America
|       | Battletoads & Double Dragon                                 | Tradewest                      | Nintendo Entertainment System | 1993 | North America
|       | Bee 52                                                      | Camerica                       | Nintendo Entertainment System | 1992 | North America
|       | Beetlejuice                                                 | LJN Ltd.                       | Nintendo Entertainment System | 1991 | North America
|       | Best of the Best: Championship Karate                       | Electro Brain                  | Nintendo Entertainment System | 1992 | North America
|       | Bible Adventures                                            | Wisdom Tree                    | Nintendo Entertainment System | 1990 | North America
|       | Bible Buffet                                                | Wisdom Tree                    | Nintendo Entertainment System | 1993 | North America
|       | Big Nose Freaks Out                                         | Camerica                       | Nintendo Entertainment System | 1992 | North America
|       | Big Nose the Caveman                                        | Camerica                       | Nintendo Entertainment System | 1991 | North America
|       | Bigfoot                                                     | Acclaim                        | Nintendo Entertainment System | 1990 | North America
|       | Bill & Ted's Excellent Video Game Adventure                 | LJN Ltd.                       | Nintendo Entertainment System | 1991 | North America
|       | Bill Elliott's NASCAR Challenge                             | Konami                         | Nintendo Entertainment System | 1991 | North America
|       | Bionic Commando                                             | Capcom                         | Nintendo Entertainment System | 1988 | North America
|       | Blackjack                                                   | American Video Entertainment   | Nintendo Entertainment System | 1992 | North America
|       | Blades of Steel                                             | Konami                         | Nintendo Entertainment System | 1988 | North America
|       | Blaster Master                                              | SunSoft                        | Nintendo Entertainment System | 1988 | North America
|       | Blue Marlin, The                                            | Hot-B                          | Nintendo Entertainment System | 1992 | North America
|       | Blues Brothers, The                                         | Titus Software                 | Nintendo Entertainment System | 1992 | North America
|       | Bo Jackson Baseball                                         | Data East USA                  | Nintendo Entertainment System | 1991 | North America
|       | Bomberman                                                   | Hudson                         | Nintendo Entertainment System | 1989 | North America
|       | Bomberman II                                                | Hudson                         | Nintendo Entertainment System | 1993 | North America
|       | Bonk's Adventure                                            | Hudson                         | Nintendo Entertainment System | 1994 | North America
|       | Boulder Dash                                                | JVC Digital Studios            | Nintendo Entertainment System | 1990 | North America
|       | Bram Stoker's Dracula                                       | Sony Imagesoft                 | Nintendo Entertainment System | 1993 | North America
