|       | Bubsy II                                                  | Accolade                     | Sega Genesis | 1994 | North America
|       | Bubsy in: Claws Encounters of the Furred Kind             | Accolade                     | Sega Genesis | 1993 | North America
|       | Buck Rogers: Countdown to Doomsday                        | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Budokan: The Martial Spirit                               | Electronic Arts              | Sega Genesis | 1990 | North America
|       | Bugs Bunny in Double Trouble                              | Sega                         | Sega Genesis | 1996 | North America
|       | Bulls versus Blazers and the NBA Playoffs                 | EA Sports                    | Sega Genesis | 1993 | North America
|       | Bulls vs Lakers and the NBA Playoffs                      | Electronic Arts              | Sega Genesis | 1992 | North America
|       | Burning Force                                             | Namco                        | Sega Genesis | 1990 | North America
|       | Cadash                                                    | Taito Corporation            | Sega Genesis | 1992 | North America
|       | Caesars Palace                                            | Virgin Interactive           | Sega Genesis | 1993 | North America
|       | Cal Ripken Jr. Baseball                                   | Mindscape Inc.               | Sega Genesis | 1992 | North America
|       | Caliber .50                                               | Mentrix Software, Inc.       | Sega Genesis | 1991 | North America
|       | California Games                                          | Sega                         | Sega Genesis | 1991 | North America
|       | Captain America and the Avengers                          | Data East                    | Sega Genesis | 1992 | North America
|       | Cascade                                                   | Super Fighter Team           | Sega Genesis | 2015 | North America
|       | Castle of Illusion starring Mickey Mouse                  | Sega                         | Sega Genesis | 1990 | North America
|       | Castlevania: Bloodlines                                   | Konami                       | Sega Genesis | 1994 | North America
|       | Centurion: Defender of Rome                               | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Chakan                                                    | Sega                         | Sega Genesis | 1992 | North America
|       | Champions World Class Soccer                              | Flying Edge                  | Sega Genesis | 1993 | North America
|       | Championship Bowling                                      | Mentrix Software, Inc.       | Sega Genesis | 1993 | North America
|       | Championship Pool                                         | Mindscape Inc.               | Sega Genesis | 1993 | North America
|       | Championship Pro-Am                                       | Tradewest                    | Sega Genesis | 1992 | North America
|       | Chase H.Q. II                                             | Taito Corporation            | Sega Genesis | 1992 | North America
|       | Chester Cheetah: Too Cool to Fool                         | Kaneko                       | Sega Genesis | 1992 | North America
|       | Chester Cheetah: Wild Wild Quest                          | Kaneko                       | Sega Genesis | 1992 | North America
|       | Chi Chi's Pro Challenge Golf                              | Virgin Interactive           | Sega Genesis | 1993 | North America
|       | Chiki Chiki Boys                                          | Sega                         | Sega Genesis | 1993 | North America
|       | Chuck Rock                                                | Virgin Games                 | Sega Genesis | 1992 | North America
|       | Chuck Rock II: Son of Chuck                               | Virgin Interactive           | Sega Genesis | 1993 | North America
|       | ClayFighter                                               | Interplay                    | Sega Genesis | 1994 | North America
|       | Cliffhanger                                               | Sony Imagesoft               | Sega Genesis | 1993 | North America
|       | Clue                                                      | Parker Bros.                 | Sega Genesis | 1992 | North America
|       | Coach K College Basketball                                | EA Sports                    | Sega Genesis | 1995 | North America
|       | College Football USA 96                                   | EA Sports                    | Sega Genesis | 1995 | North America
|       | College Football USA 97                                   | EA Sports                    | Sega Genesis | 1996 | North America
|       | College Football's National Championship                  | Sega                         | Sega Genesis | 1994 | North America
|       | College Football's National Championship II               | Sega                         | Sega Genesis | 1995 | North America
|       | College Slam                                              | Acclaim                      | Sega Genesis | 1996 | North America
|       | Columns                                                   | Sega                         | Sega Genesis | 1990 | North America
|       | Columns III                                               | Vic Tokai                    | Sega Genesis | 1993 | North America
|       | Combat Cars                                               | Accolade                     | Sega Genesis | 1994 | North America
|       | Comix Zone                                                | Sega                         | Sega Genesis | 1995 | North America
|       | Contra: Hard Corps                                        | Konami                       | Sega Genesis | 1994 | North America
|       | Cool Spot                                                 | Virgin Interactive           | Sega Genesis | 1994 | North America
|       | Cosmic Spacehead                                          | Codemasters                  | Sega Genesis | 1993 | North America
|       | Crack Down                                                | Sage's Creation              | Sega Genesis | 1991 | North America
|       | CrossFire                                                 | Kyugo Boueki                 | Sega Genesis | 1991 | North America
|       | Crue Ball                                                 | Electronic Arts              | Sega Genesis | 1992 | North America
|       | Crusader of Centy                                         | ATLUS                        | Sega Genesis | 1994 | North America
|       | Crystal's Pony Tale                                       | Sega                         | Sega Genesis | 1994 | North America
|       | Cutthroat Island                                          | Acclaim                      | Sega Genesis | 1995 | North America
|       | Cyber-Cop                                                 | Virgin Games                 | Sega Genesis | 1992 | North America
|       | Cyberball                                                 | Sega                         | Sega Genesis | 1990 | North America
|       | Cyborg Justice                                            | Capcom                       | Sega Genesis | 1993 | North America
|       | Dark Castle                                               | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Dashin' Desperadoes                                       | Data East                    | Sega Genesis | 1993 | North America
|       | David Crane's Amazing Tennis                              | Absolute Entertainment       | Sega Genesis | 1992 | North America
|       | David Robinson's Supreme Court                            | Sega                         | Sega Genesis | 1992 | North America
|       | Davis Cup Tennis                                          | Tengen                       | Sega Genesis | 1993 | North America
|       | Deadly Moves                                              | Kaneko                       | Sega Genesis | 1992 | North America
|       | Death and Return of Superman, The                         | SunSoft                      | Sega Genesis | 1995 | North America
|       | Death Duel                                                | Razorsoft                    | Sega Genesis | 1992 | North America
|       | Decap Attack                                              | Sega                         | Sega Genesis | 1991 | North America
|       | Demolition Man                                            | Acclaim                      | Sega Genesis | 1995 | North America
|       | Desert Demolition Starring Road Runner and Wile E. Coyote | Sega                         | Sega Genesis | 1994 | North America
|       | Desert Strike: Return to the Gulf                         | Electronic Arts              | Sega Genesis | 1992 | North America
|       | Devilish: The Next Possession                             | Sage's Creation              | Sega Genesis | 1992 | North America
|       | Dick Tracy                                                | Capcom                       | Sega Genesis | 1990 | North America
|       | Dick Vitale's Awesome Baby! College Hoops                 | Time Warner Interactive      | Sega Genesis | 1994 | North America
|       | Dino Land                                                 | Renovation                   | Sega Genesis | 1991 | North America
|       | Dinosaurs for Hire                                        | Sega                         | Sega Genesis | 1993 | North America
|       | Disney's Aladdin                                          | Sega                         | Sega Genesis | 1993 | North America
|       | Disney's Ariel: The Little Mermaid                        | Sega                         | Sega Genesis | 1992 | North America
|       | Disney's Beauty and the Beast: Belle's Quest              | SunSoft                      | Sega Genesis | 1993 | North America
|       | Disney's Beauty and the Beast: Roar of the Beast          | SunSoft                      | Sega Genesis | 1993 | North America
|       | Disney's Bonkers                                          | Capcom                       | Sega Genesis | 1994 | North America
|       | Disney's Pinocchio                                        | THQ                          | Sega Genesis | 1996 | North America
|       | Disney's TaleSpin                                         | Sega                         | Sega Genesis | 1992 | North America
|       | Disney's The Jungle Book                                  | Virgin Interactive           | Sega Genesis | 1994 | North America
|       | DJ Boy                                                    | Kaneko                       | Sega Genesis | 1990 | North America
|       | Doom Troopers                                             | Playmates                    | Sega Genesis | 1995 | North America
|       | Double Dragon                                             | Ballistic                    | Sega Genesis | 1993 | North America
|       | Double Dragon 3: The Arcade Game                          | Flying Edge                  | Sega Genesis | 1992 | North America
|       | Double Dragon V: The Shadow Falls                         | Tradewest                    | Sega Genesis | 1994 | North America
|       | Double Dribble: The Playoff Edition                       | Konami                       | Sega Genesis | 1994 | North America
|       | Double Dribble: The Playoff Edition                       | Konami                       | Sega Genesis | 1994 | North America
|       | Dr. Robotnik's Mean Bean Machine                          | Sega                         | Sega Genesis | 1993 | North America
|       | Dragon: The Bruce Lee Story                               | Acclaim                      | Sega Genesis | 1994 | North America
|       | Dragon's Fury                                             | Tengen                       | Sega Genesis | 1992 | North America
|       | Dragon's Revenge                                          | Tengen                       | Sega Genesis | 1993 | North America
|       | Duke Nukem 3D                                             | Piko Interactive LLC         | Sega Genesis | 2015 | North America
|       | Dune: The Battle for Arrakis                              | Virgin Interactive           | Sega Genesis | 1993 | North America
|       | Dungeons & Dragons: Warriors of the Eternal Sun           | Sega                         | Sega Genesis | 1992 | North America
|       | Dynamite Duke                                             | Sega                         | Sega Genesis | 1990 | North America
|       | Dynamite Headdy                                           | Sega                         | Sega Genesis | 1994 | North America
|       | Earnest Evans                                             | Renovation                   | Sega Genesis | 1992 | North America
|       | Earth Defense                                             | Realtec                      | Sega Genesis | 1995 | North America
|       | Earthworm Jim                                             | Playmates                    | Sega Genesis | 1994 | North America
|       | Earthworm Jim 2                                           | Playmates                    | Sega Genesis | 1996 | North America
|       | Ecco Jr.                                                  | Sega                         | Sega Genesis | 1995 | North America
