Platform	Name	Region	Code	Game	Box	Manual	Comment
NES/FC	Dash Galaxy in the Alien Asylum	NTSC (NA)		No	No	No	
NES/FC	Day Dreamin' Davey	NTSC (NA)		No	No	No	
NES/FC	Days of Thunder	NTSC (NA)		No	No	No	
NES/FC	Deadly Towers	NTSC (NA)		No	No	No	
NES/FC	Death Race	NTSC (NA)		No	No	No	
NES/FC	Deathbots	NTSC (NA)		No	No	No	
NES/FC	Defender II	NTSC (NA)		No	No	No	
NES/FC	Defender of the Crown	NTSC (NA)		No	No	No	
NES/FC	Defenders of Dynatron City	NTSC (NA)		No	No	No	
NES/FC	Demon Sword	NTSC (NA)		No	No	No	
NES/FC	Desert Commander	NTSC (NA)		No	No	No	
NES/FC	Destination Earthstar	NTSC (NA)		No	No	No	
NES/FC	Destiny of an Emperor	NTSC (NA)		No	No	No	
NES/FC	Dick Tracy	NTSC (NA)		No	No	No	
NES/FC	Die Hard	NTSC (NA)		No	No	No	
NES/FC	Dig Dug II, Trouble in Paradise	NTSC (NA)		No	No	No	
NES/FC	Digger T. Rock, The Legend of the Lost City	NTSC (NA)		No	No	No	
NES/FC	Dirty Harry: The War Against Drugs	NTSC (NA)		No	No	No	
NES/FC	Dizzy the Adventurer	NTSC (NA)		No	No	No	
NES/FC	Donkey Kong	NTSC (NA)		No	No	No	
NES/FC	Donkey Kong 3	NTSC (NA)		No	No	No	
NES/FC	Donkey Kong Classics	NTSC (NA)		No	No	No	
NES/FC	Donkey Kong Jr.	NTSC (NA)		No	No	No	
NES/FC	Donkey Kong Jr. Math	NTSC (NA)		No	No	No	
NES/FC	Double Dare	NTSC (NA)		No	No	No	
NES/FC	Double Dragon	NTSC (NA)		No	No	No	
NES/FC	Double Dragon II - The Revenge	NTSC (NA)		No	No	No	
NES/FC	Double Dragon III - The Sacred Stones	NTSC (NA)		No	No	No	
NES/FC	Double Dribble	NTSC (NA)		No	No	No	
NES/FC	Double Strike	NTSC (NA)		No	No	No	
NES/FC	Dr. Chaos	NTSC (NA)		No	No	No	
NES/FC	Dr. Jekyll and Mr. Hyde	NTSC (NA)		No	No	No	
NES/FC	Dr. Mario	NTSC (NA)		No	No	No	
NES/FC	Dracula, Bram Stoker's	NTSC (NA)		No	No	No	
NES/FC	Dragon Fighter	NTSC (NA)		No	No	No	
NES/FC	Dragon Power	NTSC (NA)		No	No	No	
NES/FC	Dragon Spirit, The New Legend	NTSC (NA)		No	No	No	
NES/FC	Dragon Warrior	NTSC (NA)		No	No	No	
NES/FC	Dragon Warrior II	NTSC (NA)		No	No	No	
NES/FC	Dragon Warrior III	NTSC (NA)		No	No	No	
NES/FC	Dragon Warrior IV	NTSC (NA)		No	No	No	
NES/FC	Dragon's Lair, Sullivan Bluth Presents	NTSC (NA)		No	No	No	
NES/FC	Duck Hunt	NTSC (NA)		No	No	No	
NES/FC	Duck Tales 2, Disney's	NTSC (NA)		No	No	No	
NES/FC	Duck Tales, Disney's	NTSC (NA)		No	No	No	
NES/FC	Dudes with Attitude	NTSC (NA)		No	No	No	
NES/FC	Dungeon Magic - Sword of the Elements	NTSC (NA)		No	No	No	
NES/FC	Dusty Diamond's All-Star Softball	NTSC (NA)		No	No	No	
NES/FC	Dynowarz, The Destruction of Spondylus	NTSC (NA)		No	No	No	
NES/FC	Déjà Vu	NTSC (NA)		No	No	No	
NES/FC	Elevator Action	NTSC (NA)		No	No	No	
NES/FC	Eliminator Boat Duel	NTSC (NA)		No	No	No	
NES/FC	Excitebike	NTSC (NA)		No	No	No	
NES/FC	Exodus: Journey to the Promised Land	NTSC (NA)		No	No	No	
NES/FC	F-117A Stealth Fighter	NTSC (NA)		No	No	No	
NES/FC	F-15 City War	NTSC (NA)		No	No	No	
NES/FC	F-15 Strike Eagle	NTSC (NA)		No	No	No	
NES/FC	Family Feud	NTSC (NA)		No	No	No	
NES/FC	Fantastic Adventures of Dizzy, The	NTSC (NA)		No	No	No	
NES/FC	Fantasy Zone	NTSC (NA)		No	No	No	
NES/FC	Faria, A World of Mystery & Danger!	NTSC (NA)		No	No	No	
NES/FC	Fast Break, Magic Johnson's	NTSC (NA)		No	No	No	
NES/FC	Faxanadu	NTSC (NA)		No	No	No	
NES/FC	Felix the Cat	NTSC (NA)		No	No	No	
NES/FC	Ferrari Grand Prix Challenge	NTSC (NA)		No	No	No	
NES/FC	Fester's Quest	NTSC (NA)		No	No	No	
NES/FC	Fighting Golf, Lee Trevino's	NTSC (NA)		No	No	No	
NES/FC	Final Fantasy	NTSC (NA)		No	No	No	
NES/FC	Fire 'n Ice	NTSC (NA)		No	No	No	
NES/FC	Fire Hawk	NTSC (NA)		No	No	No	
NES/FC	Fisher-Price: Firehouse Rescue	NTSC (NA)		No	No	No	
NES/FC	Fisher-Price: I Can Remember	NTSC (NA)		No	No	No	
NES/FC	Fisher-Price: Perfect Fit	NTSC (NA)		No	No	No	
NES/FC	Fist of the North Star	NTSC (NA)		No	No	No	
NES/FC	Flight of the Intruder	NTSC (NA)		No	No	No	
NES/FC	Flintstones, The - Rescue of Dino & Hoppy	NTSC (NA)		No	No	No	
NES/FC	Flintstones, The - The Surprise at Dinosaur Peak	NTSC (NA)		No	No	No	
NES/FC	Flying Dragon: The Secret Scroll	NTSC (NA)		No	No	No	
NES/FC	Flying Warriors	NTSC (NA)		No	No	No	
NES/FC	Formula One: Built to Win	NTSC (NA)		No	No	No	
NES/FC	Frankenstein: The Monster Returns	NTSC (NA)		No	No	No	
NES/FC	Freedom Force	NTSC (NA)		No	No	No	
NES/FC	Friday the 13th	NTSC (NA)		No	No	No	
NES/FC	Fun House	NTSC (NA)		No	No	No	
NES/FC	G.I. Joe: A Real American Hero	NTSC (NA)		No	No	No	
NES/FC	G.I. Joe: The Atlantis Factor	NTSC (NA)		No	No	No	
NES/FC	Galactic Crusader	NTSC (NA)		No	No	No	
NES/FC	Galaga - Demons of Death	NTSC (NA)		No	No	No	
NES/FC	Galaxy 5000 - Racing in the 51<SUP>st</SUP> Century	NTSC (NA)		No	No	No	
NES/FC	Gargoyle's Quest II	NTSC (NA)		No	No	No	
NES/FC	Gauntlet	NTSC (NA)		No	No	No	
NES/FC	Gauntlet	NTSC (NA)		No	No	No	
NES/FC	Gauntlet II	NTSC (NA)		No	No	No	
NES/FC	Gemfire	NTSC (NA)		No	No	No	
NES/FC	Genghis Khan	NTSC (NA)		No	No	No	
NES/FC	Ghost Lion, Legend of	NTSC (NA)		No	No	No	
NES/FC	Ghostbusters	NTSC (NA)		No	No	No	
NES/FC	Ghostbusters II	NTSC (NA)		No	No	No	
NES/FC	Ghosts 'n Goblins	NTSC (NA)		No	No	No	
NES/FC	Ghoul School	NTSC (NA)		No	No	No	
NES/FC	Goal!	NTSC (NA)		No	No	No	
NES/FC	Goal! 2	NTSC (NA)		No	No	No	
NES/FC	Godzilla - Monster of Monsters!	NTSC (NA)		No	No	No	
NES/FC	Godzilla 2: War of the Monsters	NTSC (NA)		No	No	No	
NES/FC	Gold Medal Challenge '92	NTSC (NA)		No	No	No	
NES/FC	Golf	NTSC (NA)		No	No	No	
NES/FC	Golf Grand Slam	NTSC (NA)		No	No	No	
NES/FC	Golf Power, Greg Norman's	NTSC (NA)		No	No	No	
NES/FC	Golgo 13: Top Secret Episode	NTSC (NA)		No	No	No	
NES/FC	Goonies II, The	NTSC (NA)		No	No	No	
NES/FC	Gotcha! The Sport!	NTSC (NA)		No	No	No	
NES/FC	Gradius	NTSC (NA)		No	No	No	
NES/FC	Great Waldo Search, The	NTSC (NA)		No	No	No	
NES/FC	Gremlins 2 - The New Batch	NTSC (NA)		No	No	No	
NES/FC	Guardian Legend, The	NTSC (NA)		No	No	No	
NES/FC	Guerrilla War	NTSC (NA)		No	No	No	
NES/FC	Gumshoe	NTSC (NA)		No	No	No	
NES/FC	Gun+Nac	NTSC (NA)		No	No	No	
NES/FC	Gun.Smoke	NTSC (NA)		No	No	No	
NES/FC	Gyromite	NTSC (NA)		No	No	No	
NES/FC	Gyruss	NTSC (NA)		No	No	No	
NES/FC	Harlem Globetrotters	NTSC (NA)		No	No	No	
NES/FC	Hatris	NTSC (NA)		No	No	No	
NES/FC	Heavy Barrel	NTSC (NA)		No	No	No	
NES/FC	Heavy Shreddin'	NTSC (NA)		No	No	No	
NES/FC	High Speed	NTSC (NA)		No	No	No	
NES/FC	Hogan's Alley	NTSC (NA)		No	No	No	
NES/FC	Hollywood Squares	NTSC (NA)		No	No	No	
NES/FC	Home Alone	NTSC (NA)		No	No	No	
NES/FC	Home Alone 2 - Lost in New York	NTSC (NA)		No	No	No	
NES/FC	Hook	NTSC (NA)		No	No	No	
NES/FC	Hoops	NTSC (NA)		No	No	No	
NES/FC	Hot Slots	NTSC (NA)		No	No	No	
NES/FC	Hudson Hawk	NTSC (NA)		No	No	No	
NES/FC	Hunt for Red October, The	NTSC (NA)		No	No	No	
NES/FC	Hydlide	NTSC (NA)		No	No	No	
NES/FC	Ice Climber	NTSC (NA)		No	No	No	
NES/FC	Ice Hockey	NTSC (NA)		No	No	No	
NES/FC	Ikari Warriors	NTSC (NA)		No	No	No	
NES/FC	Ikari Warriors II: Victory Road	NTSC (NA)		No	No	No	
NES/FC	Ikari Warriors III: The Rescue	NTSC (NA)		No	No	No	
NES/FC	Image Fight	NTSC (NA)		No	No	No	
NES/FC	Immortal, The	NTSC (NA)		No	No	No	
NES/FC	Impossible Mission II	NTSC (NA)		No	No	No	
NES/FC	Impossible Mission II	NTSC (NA)		No	No	No	
NES/FC	Incredible Crash Dummies, The	NTSC (NA)		No	No	No	
NES/FC	Indiana Jones and the Last Crusade	NTSC (NA)		No	No	No	
NES/FC	Indiana Jones and the Last Crusade	NTSC (NA)		No	No	No	
NES/FC	Indiana Jones and the Temple of Doom	NTSC (NA)		No	No	No	
NES/FC	Indiana Jones and the Temple of Doom	NTSC (NA)		No	No	No	
NES/FC	Indy Heat, Danny Sullivan's	NTSC (NA)		No	No	No	
NES/FC	Infiltrator	NTSC (NA)		No	No	No	
NES/FC	Iron Tank - The Invasion of Normandy	NTSC (NA)		No	No	No	
NES/FC	Ironsword - Wizards & Warriors II	NTSC (NA)		No	No	No	
NES/FC	Isolated Warrior	NTSC (NA)		No	No	No	
NES/FC	Jack Nicklaus' Greatest 18 Holes of Major Championship Golf	NTSC (NA)		No	No	No	
NES/FC	Jackal	NTSC (NA)		No	No	No	
NES/FC	Jackie Chan's Action Kung Fu	NTSC (NA)		No	No	No	
NES/FC	James Bond Jr.	NTSC (NA)		No	No	No	
NES/FC	Jaws	NTSC (NA)		No	No	No	
NES/FC	Jeopardy!	NTSC (NA)		No	No	No	
NES/FC	Jeopardy! 25th Anniversary Edition	NTSC (NA)		No	No	No	
NES/FC	Jeopardy! Jr. Edition	NTSC (NA)		No	No	No	
NES/FC	Jetsons, The - Cogswell's Caper	NTSC (NA)		No	No	No	
NES/FC	Jimmy Connors Tennis	NTSC (NA)		No	No	No	
NES/FC	Joe & Mac	NTSC (NA)		No	No	No	
NES/FC	John Elway's Quarterback	NTSC (NA)		No	No	No	
NES/FC	Jordan vs. Bird: One on One	NTSC (NA)		No	No	No	
NES/FC	Joshua & The Battle of Jericho	NTSC (NA)		No	No	No	
NES/FC	Journey to Silius	NTSC (NA)		No	No	No	
NES/FC	Joust	NTSC (NA)		No	No	No	
NES/FC	Jungle Book, The, Disney's	NTSC (NA)		No	No	No	
NES/FC	Jurassic Park	NTSC (NA)		No	No	No	
NES/FC	Kabuki - Quantum Fighter	NTSC (NA)		No	No	No	
NES/FC	Karate Champ	NTSC (NA)		No	No	No	
NES/FC	Karate Kid, The	NTSC (NA)		No	No	No	
NES/FC	Karnov	NTSC (NA)		No	No	No	
NES/FC	Kickle Cubicle	NTSC (NA)		No	No	No	
NES/FC	Kickmaster	NTSC (NA)		No	No	No	
NES/FC	Kid Icarus	NTSC (NA)		No	No	No	
NES/FC	Kid Klown in Night Mayor World	NTSC (NA)		No	No	No	
NES/FC	Kid Kool and the Quest for the Seven Wonder Herbs	NTSC (NA)		No	No	No	
NES/FC	Kid Niki: Radical Ninja	NTSC (NA)		No	No	No	
NES/FC	King Neptune's Adventure	NTSC (NA)		No	No	No	
NES/FC	King of Kings, The Early Years	NTSC (NA)		No	No	No	
NES/FC	King's Knight	NTSC (NA)		No	No	No	
NES/FC	King's Quest V	NTSC (NA)		No	No	No	
NES/FC	Kings of the Beach Professional Beach Volleyball	NTSC (NA)		No	No	No	
NES/FC	Kirby's Adventure	NTSC (NA)		No	No	No	
NES/FC	Kiwi Kraze, A Bird-Brained Adventure!	NTSC (NA)		No	No	No	
NES/FC	Klash Ball	NTSC (NA)		No	No	No	
NES/FC	Klax	NTSC (NA)		No	No	No	
NES/FC	Knight Rider	NTSC (NA)		No	No	No	
NES/FC	KO Boxing, George Foreman's	NTSC (NA)		No	No	No	
NES/FC	Krazy Kreatures	NTSC (NA)		No	No	No	
NES/FC	Krion Conquest, The	NTSC (NA)		No	No	No	
NES/FC	Kung Fu	NTSC (NA)		No	No	No	
NES/FC	Kung Fu Heroes	NTSC (NA)		No	No	No	
NES/FC	L'Empereur	NTSC (NA)		No	No	No	
NES/FC	Laser Invasion	NTSC (NA)		No	No	No	
NES/FC	Last Action Hero	NTSC (NA)		No	No	No	
NES/FC	Last Ninja, The	NTSC (NA)		No	No	No	
NES/FC	Last Starfighter, The	NTSC (NA)		No	No	No	
NES/FC	Legacy of the Wizard	NTSC (NA)		No	No	No	
NES/FC	Legend of Kage, The	NTSC (NA)		No	No	No	
NES/FC	Legend of Zelda, The	NTSC (NA)		No	No	No	
NES/FC	Legendary Wings, The	NTSC (NA)		No	No	No	
NES/FC	Legends of the Diamond, The Baseball Championship Game	NTSC (NA)		No	No	No	
NES/FC	Lemmings	NTSC (NA)		No	No	No	
NES/FC	Lethal Weapon	NTSC (NA)		No	No	No	
NES/FC	Life Force	NTSC (NA)		No	No	No	
NES/FC	Linus Spacehead's 'Cosmic Crusade'	NTSC (NA)		No	No	No	
NES/FC	Little League Baseball: Championship Series	NTSC (NA)		No	No	No	
NES/FC	Little Mermaid, The, Disney's	NTSC (NA)		No	No	No	
NES/FC	Little Nemo - The Dream Master	NTSC (NA)		No	No	No	
NES/FC	Little Ninja Brothers	NTSC (NA)		No	No	No	
NES/FC	Little Samson	NTSC (NA)		No	No	No	
NES/FC	Lode Runner	NTSC (NA)		No	No	No	
NES/FC	Lone Ranger, The	NTSC (NA)		No	No	No	
NES/FC	Loopz	NTSC (NA)		No	No	No	
NES/FC	Low G Man: The Low Gravity Man	NTSC (NA)		No	No	No	
NES/FC	Lunar Pool	NTSC (NA)		No	No	No	
NES/FC	M.C. Kids	NTSC (NA)		No	No	No	
NES/FC	M.U.L.E.	NTSC (NA)		No	No	No	
NES/FC	M.U.S.C.L.E. - Tag Team Match	NTSC (NA)		No	No	No	
NES/FC	Mach Rider	NTSC (NA)		No	No	No	
NES/FC	Mad Max	NTSC (NA)		No	No	No	
NES/FC	Mafat Conspiracy, The: Golgo 13 II	NTSC (NA)		No	No	No	
NES/FC	Magic Darts	NTSC (NA)		No	No	No	
NES/FC	Magic of Scheherazade, The	NTSC (NA)		No	No	No	
NES/FC	Magician	NTSC (NA)		No	No	No	
NES/FC	Magmax	NTSC (NA)		No	No	No	
NES/FC	Major League Baseball	NTSC (NA)		No	No	No	
NES/FC	Maniac Mansion	NTSC (NA)		No	No	No	
NES/FC	Mappy-Land	NTSC (NA)		No	No	No	
NES/FC	Marble Madness	NTSC (NA)		No	No	No	
NES/FC	Mario Bros., The Original	NTSC (NA)		No	No	No	
NES/FC	Mario Is Missing!	NTSC (NA)		No	No	No	
NES/FC	Mario's Time Machine	NTSC (NA)		No	No	No	
NES/FC	Marvel's X-Men	NTSC (NA)		No	No	No	
NES/FC	Master Chu and the Drunkard Hu	NTSC (NA)		No	No	No	
NES/FC	Maxi 15	NTSC (NA)		No	No	No	
NES/FC	Mechanized Attack	NTSC (NA)		No	No	No	
NES/FC	Mega Man	NTSC (NA)		No	No	No	
NES/FC	Mega Man 2	NTSC (NA)		No	No	No	
NES/FC	Mega Man 3	NTSC (NA)		No	No	No	
NES/FC	Mega Man 4	NTSC (NA)		No	No	No	
NES/FC	Mega Man 5	NTSC (NA)		No	No	No	
NES/FC	Mega Man 6	NTSC (NA)		No	No	No	
NES/FC	Menace Beach	NTSC (NA)		No	No	No	
NES/FC	Mendel Palace	NTSC (NA)		No	No	No	
NES/FC	Mermaids of Atlantis	NTSC (NA)		No	No	No	
NES/FC	Metal Fighter	NTSC (NA)		No	No	No	
NES/FC	Metal Gear	NTSC (NA)		No	No	No	
NES/FC	Metal Mech, Man & Machine	NTSC (NA)		No	No	No	
NES/FC	Metal Storm	NTSC (NA)		No	No	No	
NES/FC	Metroid	NTSC (NA)		No	No	No	
NES/FC	Michael Andretti's World GP	NTSC (NA)		No	No	No	
NES/FC	Mickey Mousecapade	NTSC (NA)		No	No	No	
NES/FC	Mickey's Adventure in Numberland	NTSC (NA)		No	No	No	
NES/FC	Mickey's Safari in Letterland	NTSC (NA)		No	No	No	
NES/FC	Micro Machines	NTSC (NA)		No	No	No	
NES/FC	Mig 29 Soviet Fighter	NTSC (NA)		No	No	No	
NES/FC	Might & Magic: Secret of the Inner Sanctum	NTSC (NA)		No	No	No	
NES/FC	Mighty Bombjack	NTSC (NA)		No	No	No	
