|       | Batman: Arkham City                                                                                  | Warner Bros. Interactive Entertainment | PlayStation 3 | 2011 | Japan
|       | Batman: Arkham Twin Pack                                                                             | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | Japan
|       | Battle Fantasia                                                                                      | Arc System Works                       | PlayStation 3 | 2008 | Japan
|       | Battlefield 3                                                                                        | Electronic Arts                        | PlayStation 3 | 2011 | Japan
|       | Battlefield 4                                                                                        | Electronic Arts                        | PlayStation 3 | 2013 | Japan
|       | Battlefield Hardline                                                                                 | Electronic Arts                        | PlayStation 3 | 2015 | Japan
|       | Battlefield: Bad Company                                                                             | EA Games                               | PlayStation 3 | 2008 | Japan
|       | Battlefield: Bad Company 2                                                                           | EA Games                               | PlayStation 3 | 2010 | Japan
|       | Battlefield: Bad Company 2 Ultimate Edition                                                          | Electronic Arts                        | PlayStation 3 | 2010 | Japan
|       | Bayonetta                                                                                            | Sega                                   | PlayStation 3 | 2009 | Japan
|       | Beat Sketch!                                                                                         | SCEI                                   | PlayStation 3 | 2010 | Japan
|       | Beijing 2008 - The Official Video Game of the Olympic Games                                          | Sega                                   | PlayStation 3 | 2008 | Japan
|       | Beyond the Future: Fix the Time Arrows                                                               | 5pb                                    | PlayStation 3 | 2011 | Japan
|       | Beyond: Two Souls                                                                                    | SCEI                                   | PlayStation 3 | 2013 | Japan
|       | Big 3 Gun Shooting                                                                                   | Bandai Namco Games                     | PlayStation 3 | 2010 | Japan
|       | Bikkuri Pachinko: Ashita no Joe - Kyoraku Collection Vol. 1                                          | Kyouraku Sangyou Holdings              | PlayStation 3 | 2011 | Japan
|       | Binary Domain                                                                                        | Sega                                   | PlayStation 3 | 2012 | Japan
|       | BioHazard 0: HD Remaster                                                                             | Capcom                                 | PlayStation 3 | 2016 | Japan
|       | BioHazard 5                                                                                          | Capcom                                 | PlayStation 3 | 2009 | Japan
|       | BioHazard 5: Alternative Edition                                                                     | Capcom                                 | PlayStation 3 | 2010 | Japan
|       | BioHazard 6                                                                                          | Capcom                                 | PlayStation 3 | 2012 | Japan
|       | BioHazard Anniversary Package                                                                        | Capcom                                 | PlayStation 3 | 2013 | Japan
|       | BioHazard Chronicles HD Selection                                                                    | Capcom                                 | PlayStation 3 | 2012 | Japan
|       | BioHazard HD Remaster                                                                                | Capcom                                 | PlayStation 3 | 2014 | Japan
|       | BioHazard Triple Pack                                                                                | Capcom                                 | PlayStation 3 | 2015 | Japan
|       | BioHazard Twin Pack                                                                                  | Capcom                                 | PlayStation 3 | 2012 | Japan
|       | BioHazard: Operation Raccoon City                                                                    | Capcom                                 | PlayStation 3 | 2012 | Japan
|       | BioHazard: Revelations - Unveiled Edition                                                            | Capcom                                 | PlayStation 3 | 2013 | Japan
|       | BioHazard: Revelations 2                                                                             | Capcom                                 | PlayStation 3 | 2015 | Japan
