|       | Microcosm                                             | Psygnosis                    | Sega CD | 1993 | North America
|       | Midnight Raiders                                      | Sega                         | Sega CD | 1994 | North America
|       | Mighty Morphin Power Rangers                          | Sega                         | Sega CD | 1995 | North America
|       | Mortal Kombat                                         | Arena                        | Sega CD | 1994 | North America
|       | My Paint: The Animated Paint Program                  | Saddleback                   | Sega CD | 1993 | North America
|       | NBA Jam                                               | Acclaim                      | Sega CD | 1994 | North America
|       | NFL Football Trivia Challenge                         | CapDisc                      | Sega CD | 1993 | North America
|       | NFL's Greatest: San Francisco Vs. Dallas 1978-1993    | Sega                         | Sega CD | 1993 | North America
|       | NHL '94                                               | EA Sports                    | Sega CD | 1993 | North America
|       | Night Trap                                            | Sega                         | Sega CD | 1993 | North America
|       | Novastorm                                             | Psygnosis                    | Sega CD | 1994 | North America
|       | Panic!                                                | Data East                    | Sega CD | 1994 | North America
|       | Pitfall: The Mayan Adventure                          | Activision                   | Sega CD | 1994 | North America
|       | Popful Mail                                           | Working Designs              | Sega CD | 1995 | North America
|       | Power Factory Featuring C+C Music Factory             | Sony Imagesoft               | Sega CD | 1992 | North America
|       | Power Monger                                          | Electronic Arts              | Sega CD | 1994 | North America
|       | Prince of Persia                                      | Sega                         | Sega CD | 1992 | North America
|       | Prize Fighter                                         | Sega                         | Sega CD | 1994 | North America
|       | Puggsy                                                | Psygnosis                    | Sega CD | 1993 | North America
|       | Racing Aces                                           | Sega                         | Sega CD | 1993 | North America
|       | Radical Rex                                           | Activision                   | Sega CD | 1994 | North America
|       | RDF Global Conflict                                   | Absolute Entertainment       | Sega CD | 1994 | North America
|       | Revenge of the Ninja                                  | Renovation                   | Sega CD | 1993 | North America
|       | Revengers of Vengeance                                | Extreme Entertainment Group  | Sega CD | 1994 | North America
|       | Rise of the Dragon                                    | Dynamix                      | Sega CD | 1993 | North America
|       | Road Avenger                                          | Renovation                   | Sega CD | 1993 | North America
|       | Road Rash                                             | Electronic Arts              | Sega CD | 1993 | North America
|       | Robo Aleste                                           | Tengen                       | Sega CD | 1993 | North America
|       | Rock Paintings                                        | Sega                         | Sega CD | 1992 | North America
|       | Samurai Shodown                                       | JVC Musical Industries, Inc. | Sega CD | 1993 | North America
|       | San Diego Zoo Presents: The Animals!, The             | Software Toolworks           | Sega CD | 1994 | North America
|       | Sega Classics Arcade Collection 4-in-1                | Sega                         | Sega CD | 1992 | North America
|       | Sewer Shark                                           | Sony Imagesoft               | Sega CD | 1992 | North America
|       | Shadow of the Beast II                                | Psygnosis                    | Sega CD | 1994 | North America
|       | Sherlock Holmes: Consulting Detective                 | Sega                         | Sega CD | 1992 | North America
|       | Sherlock Holmes: Consulting Detective Vol. II         | Sega                         | Sega CD | 1993 | North America
|       | Shining Force CD                                      | Sega                         | Sega CD | 1994 | North America
|       | Silpheed                                              | Sega                         | Sega CD | 1993 | North America
|       | Slam City with Scottie Pippen                         | Digital Pictures             | Sega CD | 1994 | North America
|       | Snatcher                                              | Konami                       | Sega CD | 1994 | North America
|       | Sol-Feace                                             | Sega                         | Sega CD | 1992 | North America
|       | Sonic CD                                              | Sega                         | Sega CD | 1993 | North America
|       | SoulStar                                              | Victor Interactive Software  | Sega CD | 1994 | North America
|       | Space Ace                                             | ReadySoft                    | Sega CD | 1994 | North America
|       | Space Adventure, The                                  | Hudson Soft                  | Sega CD | 1994 | North America
|       | Star Wars Chess                                       | Software Toolworks           | Sega CD | 1993 | North America
|       | Star Wars: Rebel Assault                              | LucasArts                    | Sega CD | 1993 | North America
|       | Starblade                                             | Namco                        | Sega CD | 1994 | North America
|       | Stellar-Fire                                          | Dynamix                      | Sega CD | 1993 | North America
|       | Supreme Warrior                                       | Digital Pictures             | Sega CD | 1994 | North America
|       | Surgical Strike                                       | Sega                         | Sega CD | 1993 | North America
|       | Terminator, The                                       | Virgin Interactive           | Sega CD | 1993 | North America
|       | Third World War                                       | Extreme Entertainment Group  | Sega CD | 1994 | North America
|       | Time Gal                                              | Renovation                   | Sega CD | 1993 | North America
|       | Tomcat Alley                                          | Sega                         | Sega CD | 1994 | North America
|       | Trivial Pursuit                                       | Virgin Interactive           | Sega CD | 1993 | North America
|       | Ultraverse Prime / Microcosm                          | Sony Imagesoft               | Sega CD | 1994 | North America
|       | Vay                                                   | Working Designs              | Sega CD | 1994 | North America
|       | Wheel of Fortune                                      | Sony Imagesoft               | Sega CD | 1994 | North America
|       | Who Shot Johnny Rock?                                 | American Laser Games         | Sega CD | 1994 | North America
|       | Wild Woody                                            | Sega                         | Sega CD | 1995 | North America
|       | Wing Commander                                        | Electronic Arts              | Sega CD | 1994 | North America
|       | Wirehead                                              | Sega                         | Sega CD | 1995 | North America
|       | Wolfchild                                             | JVC Musical Industries, Inc. | Sega CD | 1993 | North America
|       | Wonder Dog                                            | JVC Musical Industries, Inc. | Sega CD | 1992 | North America
|       | World Cup USA 94                                      | U.S. Gold                    | Sega CD | 1993 | North America
|       | WWF Rage in the Cage                                  | Arena                        | Sega CD | 1994 | North America
