|       | Grimm Meisaku Gekijou: Akazukin                                                                        | Ima Company                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Grimm Meisaku Gekijou: Bremen no Ongakutai                                                             | Ima Company                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Grimm Meisaku Gekijou: Hansel to Gretel                                                                | Ima Company                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Hello Kitty Asobi no Mochabako                                                                         | Mizuki                        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Hirata Shogo Interactive Ehon: Aesop Monogatari                                                        | Elcom                         | 3DO Interactive Multiplayer | 1994 | Japan
|       | Hirata Shogo Interactive Ehon: Cinderella                                                              | Elcom                         | 3DO Interactive Multiplayer | 1995 | Japan
|       | Hirata Shogo Interactive Ehon: Ningyo Hime                                                             | Elcom                         | 3DO Interactive Multiplayer | 1994 | Japan
|       | Hirata Shogo Interactive Ehon: Ookami to Shichi Hiki no Koyagi                                         | Elcom                         | 3DO Interactive Multiplayer | 1995 | Japan
|       | Hirata Shogo Interactive Ehon: Sanhiki no Kobuta                                                       | Elcom                         | 3DO Interactive Multiplayer | 1994 | Japan
|       | Hirata Shogo Interactive Ehon: Shirayuki Hime                                                          | Elcom                         | 3DO Interactive Multiplayer | 1994 | Japan
|       | Horde, The                                                                                             | Vise                          | 3DO Interactive Multiplayer | 1994 | Japan
|       | Ide Yosuke Meijin no Shin Jissen Mahjong                                                               | Capcom                        | 3DO Interactive Multiplayer | 1996 | Japan
|       | Idol Janshi Suchie-Pai Special                                                                         | Jaleco Entertainment          | 3DO Interactive Multiplayer | 1995 | Japan
|       | Idol Mahjong Final Romance 2: Hyper Edition                                                            | Infini                        | 3DO Interactive Multiplayer | 1996 | Japan
|       | Igo Time Trial: Shikatsu Daihyakka                                                                     | Ematic                        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Igo Time Trial: Thumego 1                                                                              | Ematic                        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Iida Joji Nightmare Interactive: Moon Cradle- Igyou no Hanayome                                        | Pack-In-Video                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | Insect War                                                                                             | River Hill Software           | 3DO Interactive Multiplayer | 1994 | Japan
|       | Ishida Masao Ku-Dan no Igo Seiha                                                                       | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | J.B. Harold: Blue Chicago Blues                                                                        | Riverhillsoft                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | J.League Virtual Stadium                                                                               | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1994 | Japan
|       | J.League Virtual Stadium '95                                                                           | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Jikki Pachi-Slot Simulator Vol. 1                                                                      | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Jurassic Park Interactive                                                                              | UIS                           | 3DO Interactive Multiplayer | 1994 | Japan
|       | Kakinoki Shogi                                                                                         | ASCII Entertainment           | 3DO Interactive Multiplayer | 1994 | Japan
|       | Keiba Saishou no Housoku                                                                               | Copya Systems                 | 3DO Interactive Multiplayer | 1994 | Japan
|       | Kero Kero Keroppi to Origami no Tabibito                                                               | Mizuki                        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Konpeki no Kantai                                                                                      | Tokuma Shoten                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | Kurokishi no Kamen                                                                                     | MMC Hummingbird Soft          | 3DO Interactive Multiplayer | 1994 | Japan
|       | Kyuusei Senjutsu Niyoru Heisei Kaiun Koyomi                                                            | Ariadne                       | 3DO Interactive Multiplayer | 1994 | Japan
|       | Lemmings                                                                                               | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Life Stage: Virtual House, The                                                                         | Micro Cabin                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Macaroni Houren Shou Interactive                                                                       | Toshiba EMI                   | 3DO Interactive Multiplayer | 1995 | Japan
|       | Mahjong Goku Tenjiku                                                                                   | ASCII Entertainment           | 3DO Interactive Multiplayer | 1994 | Japan
|       | Mahjong Kuru Jidai: AV Gal Seifukuhen                                                                  | Micronet                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Mahjong Kuru Jidai: Ko Gal Hokagohen                                                                   | Micronet                      | 3DO Interactive Multiplayer | 1995 | Japan
|       | Marine Tour                                                                                            | Office Create                 | 3DO Interactive Multiplayer | 1994 | Japan
|       | Masters Harukanaru Augusta 3                                                                           | T&E Soft                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Mega Race                                                                                              | Multisoft                     | 3DO Interactive Multiplayer | 1994 | Japan
|       | Microcosm                                                                                              | T&E Soft                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Mirai Shounen Conan Digital Library                                                                    | Bandai Visual                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | Monoshiri Koro Yuugaku                                                                                 | Shinko Human Create           | 3DO Interactive Multiplayer | 1995 | Japan
|       | Montana Jones                                                                                          | Future Pirates                | 3DO Interactive Multiplayer | 1995 | Japan
|       | Multimedia Shinsho: Driving School - Futsuu Menkyoka Hen                                               | Jiscsoft Co., Ltd.            | 3DO Interactive Multiplayer | 1995 | Japan
|       | Murphy da yo Zenin Shuugou                                                                             | Bantan International          | 3DO Interactive Multiplayer | 1994 | Japan
