|       | Barbie: Jet, Set & Style!                                             | THQ                                    | Nintendo Wii | 2011 | Europe
|       | Barnyard                                                              | THQ                                    | Nintendo Wii | 2007 | Europe
|       | Baroque                                                               | Rising Star Games                      | Nintendo Wii | 2008 | Europe
|       | Batman: The Brave and the Bold - The Videogame                        | Warner Bros. Interactive Entertainment | Nintendo Wii | 2010 | Europe
|       | Battalion Wars 2                                                      | Nintendo                               | Nintendo Wii | 2008 | Europe
|       | Battle of the Bands                                                   | THQ                                    | Nintendo Wii | 2008 | Europe
|       | Battle Rage: The Robot Wars                                           | Popcorn Arcade                         | Nintendo Wii | 2008 | Europe
|       | Battle vs. Chess                                                      | SouthPeak Games                        | Nintendo Wii | 2013 | Europe
|       | Battleship                                                            | Activision                             | Nintendo Wii | 2012 | Europe
|       | Beastly                                                               | Enjoy Gaming                           | Nintendo Wii | 2011 | Europe
|       | Beat the Beat: Rhythm Paradise                                        | Nintendo                               | Nintendo Wii | 2012 | Europe
|       | Beat the Intro                                                        | Mindscape                              | Nintendo Wii | 2010 | Europe
|       | Beatles: Rock Band, The                                               | MTV Games                              | Nintendo Wii | 2009 | Europe
|       | Bee Movie Game                                                        | Activision                             | Nintendo Wii | 2007 | Europe
|       | Ben 10 Alien Force: Vilgax Attacks                                    | D3Publisher                            | Nintendo Wii | 2010 | Europe
|       | Ben 10 Omniverse 2                                                    | D3Publisher                            | Nintendo Wii | 2013 | Europe
|       | Ben 10 Ultimate Alien: Cosmic Destruction                             | D3Publisher                            | Nintendo Wii | 2011 | Europe
|       | Ben 10: Alien Force                                                   | D3Publisher                            | Nintendo Wii | 2009 | Europe
|       | Ben 10: Galactic Racing                                               | D3Publisher                            | Nintendo Wii | 2011 | Europe
|       | Ben 10: Omniverse                                                     | D3Publisher                            | Nintendo Wii | 2012 | Europe
|       | Ben 10: Protector of Earth                                            | D3Publisher                            | Nintendo Wii | 2007 | Europe
|       | Bermuda Triangle                                                      | Funbox Media                           | Nintendo Wii | 2011 | Europe
|       | Beyblade: Metal Fusion - Counter Leone                                | Hudson                                 | Nintendo Wii | 2010 | Europe
|       | Bibi Blocksberg: Das grosse Hexenbesen-Rennen 2                       | Kiddinx                                | Nintendo Wii | 2013 | Europe
