|       | Galaxy Fight                                                   | SunSoft                       | Sega Saturn | 1995 | Europe
|       | Gex                                                            | Crystal Dynamics              | Sega Saturn | 1996 | Europe
|       | Ghen War                                                       | Virgin Interactive            | Sega Saturn | 1996 | Europe
|       | Golden Axe: The Duel                                           | Sega                          | Sega Saturn | 1995 | Europe
|       | Grid Run                                                       | Virgin Interactive            | Sega Saturn | 1996 | Europe
|       | Guardian Heroes                                                | Sega                          | Sega Saturn | 1996 | Europe
|       | GunGriffon                                                     | Sega                          | Sega Saturn | 1996 | Europe
|       | Hang On GP '96                                                 | Sega                          | Sega Saturn | 1996 | Europe
|       | Hardcore 4X4                                                   | Gremlin Interactive           | Sega Saturn | 1997 | Europe
|       | Hebereke's Popoitto                                            | SunSoft                       | Sega Saturn | 1995 | Europe
|       | Hexen                                                          | GT Interactive                | Sega Saturn | 1995 | Europe
|       | Hi-Octane                                                      | Bullfrog Productions          | Sega Saturn | 1995 | Europe
|       | Highway 2000                                                   | JVC Musical Industries, Inc.  | Sega Saturn | 1996 | Europe
|       | Horde, The                                                     | Crystal Dynamics              | Sega Saturn | 1995 | Europe
|       | House of the Dead, The                                         | Sega                          | Sega Saturn | 1998 | Europe
|       | Impact Racing                                                  | JVC Digital Studios           | Sega Saturn | 1997 | Europe
|       | In the Hunt                                                    | THQ                           | Sega Saturn | 1996 | Europe
|       | Incredible Hulk: The Pantheon Saga, The                        | Eidos Interactive             | Sega Saturn | 1996 | Europe
|       | Independence Day: The Game                                     | Fox Interactive               | Sega Saturn | 1996 | Europe
|       | International Victory Goal                                     | Sega                          | Sega Saturn | 1995 | Europe
|       | Iron Man / X-O Manowar in Heavy Metal                          | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Jewels of the Oracle                                           | SunSoft                       | Sega Saturn | 1996 | Europe
|       | Jewels of the Oracle                                           | SunSoft                       | Sega Saturn | 1996 | Europe
|       | Johnny Bazookatone                                             | U.S. Gold                     | Sega Saturn | 1996 | Europe
|       | Jonah Lomu Rugby                                               | Codemasters                   | Sega Saturn | 1997 | Europe
|       | Keio 2: Flying Squadron                                        | JVC Digital Studios           | Sega Saturn | 1997 | Europe
|       | King of Fighters '95, The                                      | SNK                           | Sega Saturn | 1996 | Europe
|       | Krazy Ivan                                                     | Psygnosis                     | Sega Saturn | 1997 | Europe
|       | Last Bronx                                                     | Sega                          | Sega Saturn | 1997 | Europe
|       | Loaded                                                         | Gremlin Interactive           | Sega Saturn | 1996 | Europe
|       | Lost Vikings 2: Norse by Norsewest                             | Interplay                     | Sega Saturn | 1997 | Europe
|       | Lost World: Jurassic Park, The                                 | Sega                          | Sega Saturn | 1997 | Europe
|       | Madden NFL 97                                                  | EA Sports                     | Sega Saturn | 1996 | Europe
|       | Madden NFL 98                                                  | EA Sports                     | Sega Saturn | 1997 | Europe
|       | Magic Carpet                                                   | Bullfrog Productions          | Sega Saturn | 1996 | Europe
|       | Mansion of Hidden Souls, The                                   | Sega                          | Sega Saturn | 1995 | Europe
|       | Manx TT Super Bike                                             | Sega                          | Sega Saturn | 1997 | Europe
|       | Marvel Super Heroes                                            | Capcom                        | Sega Saturn | 1997 | Europe
|       | Mass Destruction                                               | BMG Interactive Entertainment | Sega Saturn | 1997 | Europe
|       | Maximum Force                                                  | GT Interactive                | Sega Saturn | 1996 | Europe
|       | MechWarrior 2: 31st Century Combat                             | Activision                    | Sega Saturn | 1997 | Europe
|       | Mega Man X3                                                    | Virgin Interactive            | Sega Saturn | 1996 | Europe
|       | Midway Presents Arcade's Greatest Hits: The Atari Collection 1 | Midway                        | Sega Saturn | 1997 | Europe
|       | Mighty Hits                                                    | Altron                        | Sega Saturn | 1996 | Europe
|       | Mortal Kombat II                                               | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Mortal Kombat Trilogy                                          | GT Interactive                | Sega Saturn | 1997 | Europe
|       | Mr. Bones                                                      | Sega                          | Sega Saturn | 1996 | Europe
|       | Myst                                                           | SunSoft                       | Sega Saturn | 1995 | Europe
|       | Mystaria: The Realms of Lore                                   | Sega                          | Sega Saturn | 1996 | Europe
|       | NASCAR 98                                                      | EA Sports                     | Sega Saturn | 1997 | Europe
|       | NBA Action                                                     | Sega                          | Sega Saturn | 1996 | Europe
|       | NBA Action 98                                                  | Sega                          | Sega Saturn | 1998 | Europe
|       | NBA Jam Extreme                                                | Acclaim                       | Sega Saturn | 1997 | Europe
|       | NBA Jam Tournament Edition                                     | Acclaim                       | Sega Saturn | 1995 | Europe
|       | NBA Live 97                                                    | EA Sports                     | Sega Saturn | 1997 | Europe
|       | NBA Live 98                                                    | Electronic Arts               | Sega Saturn | 1997 | Europe
|       | NFL Quarterback Club 96                                        | Acclaim                       | Sega Saturn | 1996 | Europe
|       | NFL Quarterback Club 97                                        | Acclaim                       | Sega Saturn | 1996 | Europe
|       | NHL 97                                                         | Electronic Arts               | Sega Saturn | 1996 | Europe
|       | NHL 98                                                         | EA Sports                     | Sega Saturn | 1998 | Europe
|       | NHL All-Star Hockey                                            | Sega                          | Sega Saturn | 1997 | Europe
|       | NHL All-Star Hockey 98                                         | Sega                          | Sega Saturn | 1998 | Europe
|       | NHL PowerPlay                                                  | Virgin Interactive            | Sega Saturn | 1996 | Europe
|       | Night Warriors: Darkstalkers' Revenge                          | Virgin Interactive            | Sega Saturn | 1996 | Europe
|       | NiGHTS into Dreams...                                          | Sega                          | Sega Saturn | 1996 | Europe
|       | Off-World Interceptor Extreme                                  | Crystal Dynamics              | Sega Saturn | 1995 | Europe
|       | Olympic Soccer                                                 | U.S. Gold                     | Sega Saturn | 1996 | Europe
|       | Pandemonium!                                                   | Crystal Dynamics              | Sega Saturn | 1997 | Europe
|       | Panzer Dragoon                                                 | Sega                          | Sega Saturn | 1995 | Europe
|       | Panzer Dragoon II Zwei                                         | Sega                          | Sega Saturn | 1996 | Europe
|       | Panzer Dragoon Saga                                            | Sega                          | Sega Saturn | 1998 | Europe
|       | Parodius                                                       | Konami                        | Sega Saturn | 1996 | Europe
|       | Pebble Beach Golf Links                                        | Sega                          | Sega Saturn | 1995 | Europe
|       | PGA Tour 97                                                    | EA Sports                     | Sega Saturn | 1996 | Europe
|       | Photo CD Operating System                                      | Sega                          | Sega Saturn | 1995 | Europe
