|       | BloodRayne                                                                | Majesco Games                          | Xbox   | 2002 | North America
|       | BloodRayne 2                                                              | Majesco Games                          | Xbox   | 2004 | North America
|       | Bloody Roar Extreme                                                       | Konami                                 | Xbox   | 2003 | North America
|       | BlowOut                                                                   | Majesco Games                          | Xbox   | 2003 | North America
|       | BMX XXX                                                                   | Acclaim                                | Xbox   | 2002 | North America
|       | Breakdown                                                                 | Namco                                  | Xbox   | 2004 | North America
|       | Breeders' Cup World Thoroughbred Championships                            | Bethesda Softworks                     | Xbox   | 2005 | North America
|       | Broken Sword: The Sleeping Dragon                                         | The Adventure Company                  | Xbox   | 2003 | North America
|       | Brothers in Arms: Earned in Blood                                         | Ubisoft                                | Xbox   | 2005 | North America
|       | Brothers in Arms: Road to Hill 30                                         | Ubisoft                                | Xbox   | 2005 | North America
|       | Bruce Lee: Quest of the Dragon                                            | Universal Interactive                  | Xbox   | 2002 | North America
|       | Brute Force                                                               | Microsoft Game Studios                 | Xbox   | 2003 | North America
|       | Buffy the Vampire Slayer                                                  | Electronic Arts                        | Xbox   | 2002 | North America
|       | Buffy the Vampire Slayer: Chaos Bleeds                                    | Sierra Entertainment                   | Xbox   | 2003 | North America
|       | Burnout                                                                   | Acclaim                                | Xbox   | 2002 | North America
|       | Burnout 2: Point of Impact                                                | Acclaim                                | Xbox   | 2003 | North America
|       | Burnout 3: Takedown                                                       | EA Games                               | Xbox   | 2004 | North America
|       | Burnout Revenge                                                           | Electronic Arts                        | Xbox   | 2005 | North America
|       | Cabela's Big Game Hunter 2005 Adventures                                  | Activision Value                       | Xbox   | 2004 | North America
|       | Cabela's Dangerous Hunts                                                  | Activision                             | Xbox   | 2003 | North America
|       | Cabela's Dangerous Hunts 2                                                | Activision                             | Xbox   | 2005 | North America
|       | Cabela's Deer Hunt 2005 Season                                            | Activision                             | Xbox   | 2004 | North America
|       | Cabela's Deer Hunt: 2004 Season                                           | Activision                             | Xbox   | 2003 | North America
|       | Cabela's Outdoor Adventures                                               | Activision                             | Xbox   | 2005 | North America
|       | Call of Cthulhu: Dark Corners of the Earth                                | 2K Games                               | Xbox   | 2005 | North America
|       | Call of Duty 2: Big Red One                                               | Activision                             | Xbox   | 2005 | North America
|       | Call of Duty 3                                                            | Activision                             | Xbox   | 2006 | North America
|       | Call of Duty: Finest Hour                                                 | Activision                             | Xbox   | 2004 | North America
|       | Capcom Classics Collection                                                | Capcom                                 | Xbox   | 2005 | North America
|       | Capcom Classics Collection Vol. 2                                         | Capcom                                 | Xbox   | 2006 | North America
|       | Capcom Fighting Evolution                                                 | Capcom                                 | Xbox   | 2005 | North America
|       | Capcom vs. SNK 2 EO                                                       | Capcom                                 | Xbox   | 2003 | North America
|       | Carmen Sandiego: The Secret of the Stolen Drums                           | Bam Entertainment                      | Xbox   | 2004 | North America
|       | Cars                                                                      | THQ                                    | Xbox   | 2006 | North America
|       | Carve                                                                     | Global Star Software                   | Xbox   | 2004 | North America
|       | Castlevania: Curse of Darkness                                            | Konami                                 | Xbox   | 2005 | North America
|       | Catwoman                                                                  | EA Games                               | Xbox   | 2004 | North America
|       | Cel Damage                                                                | Electronic Arts                        | Xbox   | 2001 | North America
|       | Championship Bowling                                                      | Evolved Games                          | Xbox   | 2006 | North America
|       | Charlie and the Chocolate Factory                                         | Global Star Software                   | Xbox   | 2005 | North America
|       | Chase: Hollywood Stunt Driver                                             | Bam Entertainment                      | Xbox   | 2002 | North America
|       | Chessmaster                                                               | Ubisoft                                | Xbox   | 2004 | North America
|       | Chicago Enforcer                                                          | Kemco                                  | Xbox   | 2005 | North America
|       | Chicken Little                                                            | Buena Vista Games                      | Xbox   | 2005 | North America
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The           | Buena Vista Games                      | Xbox   | 2005 | North America
|       | Chronicles of Riddick: Escape From Butcher Bay, The                       | VU Games                               | Xbox   | 2004 | North America
|       | Circus Maximus: Chariot Wars                                              | Encore Software, Inc.                  | Xbox   | 2002 | North America
|       | Classified: The Sentinel Crisis                                           | Global Star Software                   | Xbox   | 2006 | North America
|       | Close Combat: First to Fight                                              | 2K Games                               | Xbox   | 2005 | North America
|       | Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.                    | Global Star Software                   | Xbox   | 2005 | North America
|       | Cold Fear                                                                 | Ubisoft                                | Xbox   | 2005 | North America
|       | Cold War                                                                  | DreamCatcher Interactive               | Xbox   | 2005 | North America
|       | Colin McRae Rally 04                                                      | Codemasters                            | Xbox   | 2004 | North America
|       | Colin McRae Rally 2005                                                    | Codemasters                            | Xbox   | 2004 | North America
|       | Colin McRae Rally 3                                                       | Codemasters                            | Xbox   | 2003 | North America
|       | College Hoops 2K6                                                         | 2K Sports                              | Xbox   | 2005 | North America
|       | College Hoops 2K7                                                         | 2K Sports                              | Xbox   | 2006 | North America
|       | Combat Elite: WWII Paratroopers                                           | SouthPeak Games                        | Xbox   | 2005 | North America
|       | Combat: Task Force 121                                                    | Groove Games                           | Xbox   | 2005 | North America
|       | Commandos 2: Men of Courage                                               | Eidos Interactive                      | Xbox   | 2002 | North America
|       | Commandos Strike Force                                                    | Eidos Interactive                      | Xbox   | 2006 | North America
|       | Conflict: Desert Storm                                                    | Gotham Games                           | Xbox   | 2002 | North America
|       | Conflict: Desert Storm II - Back to Baghdad                               | Gotham Games                           | Xbox   | 2003 | North America
|       | Conflict: Global Terror                                                   | 2K Games                               | Xbox   | 2005 | North America
|       | Conflict: Vietnam                                                         | Global Star Software                   | Xbox   | 2004 | North America
|       | Conker: Live & Reloaded                                                   | Microsoft Game Studios                 | Xbox   | 2005 | North America
|       | Constantine                                                               | THQ                                    | Xbox   | 2005 | North America
|       | Corvette                                                                  | TDK Mediactive                         | Xbox   | 2003 | North America
|       | Counter-Strike                                                            | Microsoft Game Studios                 | Xbox   | 2003 | North America
|       | Crash 'N' Burn                                                            | Eidos Interactive                      | Xbox   | 2004 | North America
|       | Crash Bandicoot: The Wrath of Cortex                                      | VU Games                               | Xbox   | 2002 | North America
|       | Crash Nitro Kart                                                          | Universal Interactive                  | Xbox   | 2003 | North America
|       | Crash Superpack - Crash Nitro Kart / Crash Bandicoot: The Wrath of Cortex | VU Games                               | Xbox   | 2013 | North America
|       | Crash Tag Team Racing                                                     | VU Games                               | Xbox   | 2005 | North America
|       | Crash Twinsanity                                                          | VU Games                               | Xbox   | 2004 | North America
|       | Crazy Taxi 3: High Roller                                                 | Sega                                   | Xbox   | 2002 | North America
|       | Crime Life: Gang Wars                                                     | Konami                                 | Xbox   | 2005 | North America
|       | Crimson Sea                                                               | Koei                                   | Xbox   | 2002 | North America
|       | Crimson Skies: High Road to Revenge                                       | Microsoft Game Studios                 | Xbox   | 2003 | North America
|       | Crouching Tiger, Hidden Dragon                                            | Ubisoft                                | Xbox   | 2003 | North America
|       | Crusty Demons                                                             | Evolved Games                          | Xbox   | 2006 | North America
|       | CSI: Crime Scene Investigation                                            | Ubisoft                                | Xbox   | 2004 | North America
|       | Curious George                                                            | Namco                                  | Xbox   | 2006 | North America
|       | Curse: The Eye of Isis                                                    | DreamCatcher Interactive               | Xbox   | 2003 | North America
|       | Da Vinci Code, The                                                        | 2K Games                               | Xbox   | 2006 | North America
|       | Dai Senryaku VII: Modern Military Tactics                                 | Kemco                                  | Xbox   | 2005 | North America
|       | Dakar 2: The World's Ultimate Rally                                       | Acclaim                                | Xbox   | 2003 | North America
