|       | Final Fantasy X / X-2 HD Remaster                                      | 20th Century Fox Video Games           | PlayStation Vita | 2014 | North America
|       | Freedom Wars                                                           | SCEA                                   | PlayStation Vita | 2014 | North America
|       | Futuridium EP Deluxe                                                   | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Gal*Gun: Double Peace                                                  | PQube                                  | PlayStation Vita | 2016 | North America
|       | God of War Collection                                                  | SCEA                                   | PlayStation Vita | 2014 | North America
|       | God Wars: Future Past                                                  | NIS America                            | PlayStation Vita | 2017 | North America
|       | Grand Kingdom                                                          | NIS America                            | PlayStation Vita | 2016 | North America
|       | Gravity Rush                                                           | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Hakuoki: Kyoto Winds                                                   | Idea Factory                           | PlayStation Vita | 2017 | North America
|       | Hatsune Miku: Project Diva F 2nd                                       | Sega                                   | PlayStation Vita | 2014 | North America
|       | Hatsune Miku: Project DIVA X                                           | Sega                                   | PlayStation Vita | 2016 | North America
|       | History Legends of War: Patton                                         | Maximum Games                          | PlayStation Vita | 2012 | North America
|       | Hot Shots Golf: World Invitational                                     | SCEA                                   | PlayStation Vita | 2012 | North America
|       | htoL#NiQ: The Firefly Diary                                            | NIS America                            | PlayStation Vita | 2015 | North America
|       | Hyperdevotion Noire: Goddess Black Heart                               | Idea Factory                           | PlayStation Vita | 2015 | North America
|       | Hyperdimension Neptunia PP: Producing Perfection                       | NIS America                            | PlayStation Vita | 2014 | North America
|       | Hyperdimension Neptunia Re;Birth1                                      | Idea Factory                           | PlayStation Vita | 2014 | North America
|       | Hyperdimension Neptunia Re;Birth2: Sisters Generation                  | Idea Factory                           | PlayStation Vita | 2015 | North America
|       | Hyperdimension Neptunia Re;Birth2: Sisters Generation                  | Idea Factory                           | PlayStation Vita | 2015 | North America
|       | Hyperdimension Neptunia Re;Birth3: V Generation                        | Idea Factory                           | PlayStation Vita | 2015 | North America
|       | Hyperdimension Neptunia U: Action Unleashed                            | Idea Factory                           | PlayStation Vita | 2015 | North America
|       | Injustice: Gods Among Us - Ultimate Edition                            | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | North America
|       | Jak and Daxter Collection                                              | SCEA                                   | PlayStation Vita | 2013 | North America
|       | Killzone: Mercenary                                                    | SCEA                                   | PlayStation Vita | 2013 | North America
|       | Legend of Heroes: Trails of Cold Steel II, The                         | Xseed Games                            | PlayStation Vita | 2016 | North America
|       | Legend of Heroes: Trails of Cold Steel, The                            | Xseed Games                            | PlayStation Vita | 2015 | North America
|       | LEGO Batman 2: DC Super Heroes                                         | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | North America
