|       | Bomberman Max 2: Max Version                                                                      | Hudson                       | Game Boy Advance | 2002 | Japan
|       | Bomberman Story                                                                                   | Hudson                       | Game Boy Advance | 2001 | Japan
|       | Bouken Yuuki Pluster World: Densetsu no Plust Gate                                                | Takara                       | Game Boy Advance | 2003 | Japan
|       | Bouken Yuuki Pluster World: Densetsu no Pluster Gate EX                                           | Takara                       | Game Boy Advance | 2003 | Japan
|       | Bouken Yuuki Pluster World: Pluston GP                                                            | Takara                       | Game Boy Advance | 2003 | Japan
|       | Bouken-Ou Beet: Busters Road                                                                      | Bandai                       | Game Boy Advance | 2005 | Japan
|       | Boukyaku no Senritsu: The Melody of Oblivion                                                      | Bandai                       | Game Boy Advance | 2004 | Japan
|       | Boulder Dash EX                                                                                   | Kemco                        | Game Boy Advance | 2002 | Japan
|       | Breath of Fire II: Shimei no Ko                                                                   | Capcom                       | Game Boy Advance | 2001 | Japan
|       | Breath of Fire: Ryuu no Senshi                                                                    | Capcom                       | Game Boy Advance | 2001 | Japan
|       | Bubble Bobble: Old & New                                                                          | Media Kite                   | Game Boy Advance | 2002 | Japan
|       | Bura Bura Donkey                                                                                  | Nintendo                     | Game Boy Advance | 2005 | Japan
|       | Calcio Bit                                                                                        | Nintendo                     | Game Boy Advance | 2006 | Japan
|       | Captain Tsubasa: Eikou no Kiseki                                                                  | Konami                       | Game Boy Advance | 2002 | Japan
|       | Card Captor Sakura: Sakura Card de Mini-Game                                                      | TDK Core                     | Game Boy Advance | 2003 | Japan
|       | Card Captor Sakura: Sakura Card-hen - Sakura Card to Tomodachi                                    | MTO                          | Game Boy Advance | 2004 | Japan
|       | Card Party                                                                                        | Media Kite                   | Game Boy Advance | 2002 | Japan
|       | Cars                                                                                              | THQ                          | Game Boy Advance | 2006 | Japan
|       | Castlevania: Akatsuki no Minuet                                                                   | Konami                       | Game Boy Advance | 2003 | Japan
|       | Castlevania: Byakuya no Concerto                                                                  | Konami                       | Game Boy Advance | 2002 | Japan
|       | Cesti to Meigurumi-tachi no Mahou no Bouken: Kisekko Gurumii                                      | MTO                          | Game Boy Advance | 2003 | Japan
|       | Chobits for Gameboy Advance: Atashi Dake no Hito                                                  | Marvelous Entertainment      | Game Boy Advance | 2002 | Japan
|       | Chocobo Land: A Game of Dice                                                                      | SquareSoft                   | Game Boy Advance | 2002 | Japan
|       | Choro Q Advance                                                                                   | Takara                       | Game Boy Advance | 2001 | Japan
|       | Choro Q Advance 2                                                                                 | Takara                       | Game Boy Advance | 2002 | Japan
|       | Chou Makai-Mura R                                                                                 | Capcom                       | Game Boy Advance | 2002 | Japan
|       | ChuChu Rocket!                                                                                    | Sega                         | Game Boy Advance | 2001 | Japan
|       | Cinnamon: Yume no Daibouken                                                                       | Imagineer                    | Game Boy Advance | 2004 | Japan
|       | Cinnamoroll FuwaFuwa Daibouken                                                                    | Rocket Company               | Game Boy Advance | 2005 | Japan
|       | Cinnamoroll Koko ni Ruyo                                                                          | Imagineer                    | Game Boy Advance | 2003 | Japan
|       | Columns Crown                                                                                     | Sega                         | Game Boy Advance | 2001 | Japan
|       | Combat Choro Q: Advance Daisakusen                                                                | Takara                       | Game Boy Advance | 2002 | Japan
|       | Contra: Hard Spirits                                                                              | Konami                       | Game Boy Advance | 2002 | Japan
|       | Crash Bandicoot Advance                                                                           | Konami                       | Game Boy Advance | 2002 | Japan
|       | Crash Bandicoot Advance 2: Guruguru Saimin Dai Panic!?                                            | Konami                       | Game Boy Advance | 2003 | Japan
|       | Crash Bandicoot Advance: Wakuwaku Tomodachi Daisakusen                                            | VU Games                     | Game Boy Advance | 2004 | Japan
|       | Crash Bandicoot Bakusou! Nitro Kart                                                               | Konami                       | Game Boy Advance | 2004 | Japan
|       | Crayon Shin-Chan: Arashi o Yobu Cinema-Land no Daibouken!                                         | Banpresto                    | Game Boy Advance | 2004 | Japan
|       | Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!                                         | Banpresto                    | Game Boy Advance | 2006 | Japan
|       | Croket! 2: Yami no Bank to Ban Joou                                                               | Konami                       | Game Boy Advance | 2003 | Japan
|       | Croket! 3: Granyuu Oukoku no Nazo                                                                 | Konami                       | Game Boy Advance | 2003 | Japan
|       | Croket! 4: Bank no Mori no Mamorigami                                                             | Konami                       | Game Boy Advance | 2004 | Japan
|       | Croket! Great Jikuu no Boukensha                                                                  | Konami                       | Game Boy Advance | 2004 | Japan
|       | Croket! Yume no Banker Survival!                                                                  | Konami                       | Game Boy Advance | 2002 | Japan
|       | Custom Robo GX                                                                                    | Nintendo                     | Game Boy Advance | 2002 | Japan
|       | Cyber Drive Zoids: Hatakedamono no Senshi Hugh                                                    | Tomy Corporation             | Game Boy Advance | 2003 | Japan
|       | Dai-Mahjong                                                                                       | Hori                         | Game Boy Advance | 2001 | Japan
|       | Daisenryaku for Game Boy Advance                                                                  | Media Kite                   | Game Boy Advance | 2001 | Japan
|       | Daisuki Teddy                                                                                     | MTO                          | Game Boy Advance | 2002 | Japan
|       | Dan Doh!! Tobase Shouri no Smile Shot                                                             | Takara                       | Game Boy Advance | 2004 | Japan
|       | Dan Doh!! Xi                                                                                      | GameVillage                  | Game Boy Advance | 2002 | Japan
|       | Dancing Sword: Senkou                                                                             | MTO                          | Game Boy Advance | 2003 | Japan
|       | Darius R                                                                                          | Pacific Century Cyber Works  | Game Boy Advance | 2002 | Japan
|       | Denki Blocks!                                                                                     | Global A                     | Game Boy Advance | 2002 | Japan
|       | Densetsu no Starfy                                                                                | Nintendo                     | Game Boy Advance | 2002 | Japan
|       | Densetsu no Starfy 2                                                                              | Nintendo                     | Game Boy Advance | 2003 | Japan
|       | Densetsu no Starfy 3                                                                              | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Derby Stallion Advance                                                                            | Enterbrain                   | Game Boy Advance | 2002 | Japan
|       | Di Gi Charat: Di Gi Communication                                                                 | Broccoli                     | Game Boy Advance | 2002 | Japan
|       | Di Gi Communication 2: Datou! Black GemaGema Dan!                                                 | Broccoli                     | Game Boy Advance | 2004 | Japan
|       | DiaDroids World: Evil Teikoku no Yabou                                                            | Epoch                        | Game Boy Advance | 2001 | Japan
|       | Digimon Racing                                                                                    | Bandai                       | Game Boy Advance | 2004 | Japan
|       | Disney Sports: American Football                                                                  | Konami                       | Game Boy Advance | 2002 | Japan
|       | Disney Sports: Basketball                                                                         | Konami                       | Game Boy Advance | 2002 | Japan
|       | Disney Sports: Motocross                                                                          | Konami                       | Game Boy Advance | 2003 | Japan
|       | Disney Sports: Skateboarding                                                                      | Konami                       | Game Boy Advance | 2002 | Japan
|       | Disney Sports: Snowboarding                                                                       | Konami                       | Game Boy Advance | 2003 | Japan
|       | Disney Sports: Soccer                                                                             | Konami                       | Game Boy Advance | 2002 | Japan
|       | Disney's Aladdin                                                                                  | Capcom                       | Game Boy Advance | 2003 | Japan
|       | Disney's Donald Duck Advance                                                                      | Ubisoft                      | Game Boy Advance | 2001 | Japan
|       | Disney's Kim Possible                                                                             | D3Publisher                  | Game Boy Advance | 2005 | Japan
|       | Disney's Lilo and Stitch                                                                          | D3Publisher                  | Game Boy Advance | 2005 | Japan
|       | Disney's Mickey to Donald no Magical Quest 3                                                      | Capcom                       | Game Boy Advance | 2003 | Japan
|       | Disney's Mickey to Minnie no Magical Quest                                                        | Nintendo                     | Game Boy Advance | 2002 | Japan
|       | Disney's Mickey to Minnie no Magical Quest 2                                                      | Capcom                       | Game Boy Advance | 2003 | Japan
|       | Disney/Pixar Finding Nemo                                                                         | Yuke's                       | Game Boy Advance | 2003 | Japan
|       | Disney/Pixar Finding Nemo: Arata na Bouken                                                        | THQ                          | Game Boy Advance | 2004 | Japan
|       | Disney/Pixar Monsters, Inc.                                                                       | Tomy Corporation             | Game Boy Advance | 2002 | Japan
|       | Dokapon-Q: Monster Hunter!                                                                        | Asmik Ace Entertainment, Inc | Game Boy Advance | 2001 | Japan
|       | DokiDoki Cooking Series 1: Komugi-Chan no Happy Cake                                              | MTO                          | Game Boy Advance | 2002 | Japan
|       | DokiDoki Cooking Series 2: Gourmet Kitchen: Suteki na Obentou                                     | MTO                          | Game Boy Advance | 2003 | Japan
