|       | Castlevania: The Adventure                                     | Konami                       | Game Boy | 1990 | Europe
|       | Centipede                                                      | Accolade                     | Game Boy | 1992 | Europe
|       | Chase H.Q.                                                     | Bandai                       | Game Boy | 1991 | Europe
|       | Chessmaster, The                                               | Nintendo                     | Game Boy | 1992 | Europe
|       | Choplifter II                                                  | JVC Musical Industries, Inc. | Game Boy | 1991 | Europe
|       | Choplifter III                                                 | Ocean                        | Game Boy | 1994 | Europe
|       | Chuck Rock                                                     | Sony Imagesoft               | Game Boy | 1993 | Europe
|       | Cliffhanger                                                    | Sony Imagesoft               | Game Boy | 1993 | Europe
|       | Cool Hand                                                      | Take-Two Interactive         | Game Boy | 1998 | Europe
|       | Cool Spot                                                      | Virgin Interactive           | Game Boy | 1994 | Europe
|       | Cool World                                                     | Ocean                        | Game Boy | 1993 | Europe
|       | Cutthroat Island                                               | Acclaim                      | Game Boy | 1996 | Europe
|       | Daffy Duck                                                     | SunSoft                      | Game Boy | 1995 | Europe
|       | David Crane's The Rescue of Princess Blobette                  | Nintendo                     | Game Boy | 1991 | Europe
|       | Days Of Thunder                                                | Mindscape                    | Game Boy | 1992 | Europe
|       | Dennis                                                         | Ocean                        | Game Boy | 1994 | Europe
|       | Desert Strike: Return to the Gulf                              | Ocean                        | Game Boy | 1995 | Europe
|       | Dexterity                                                      | SNK                          | Game Boy | 1990 | Europe
|       | Die Maus                                                       | Infogrames                   | Game Boy | 1997 | Europe
|       | Die Schlumpfe                                                  | Infogrames                   | Game Boy | 1994 | Europe
|       | Die Schlumpfe: Im Alptraumland                                 | Infogrames                   | Game Boy | 1997 | Europe
|       | Die Schlumpfe: Im Alptraumland                                 | Infogrames                   | Game Boy | 1997 | Europe
|       | Die Schlumpfe: Reisen Um Die Welt                              | Infogrames                   | Game Boy | 1995 | Europe
|       | Dig Dug                                                        | Namco                        | Game Boy | 1992 | Europe
|       | Disney Pinocchio                                               | Virgin Interactive           | Game Boy | 1996 | Europe
|       | Disney's Aladdin                                               | Virgin Interactive           | Game Boy | 1994 | Europe
|       | Disney's Darkwing Duck                                         | Capcom                       | Game Boy | 1993 | Europe
|       | Disney's DuckTales                                             | Capcom                       | Game Boy | 1989 | Europe
|       | Disney's DuckTales 2                                           | Capcom                       | Game Boy | 1993 | Europe
|       | Disney's Hercules                                              | THQ                          | Game Boy | 1997 | Europe
|       | Disney's Mulan                                                 | THQ                          | Game Boy | 1998 | Europe
|       | Disney's Pocahontas                                            | THQ                          | Game Boy | 1996 | Europe
|       | Disney's TaleSpin                                              | Bandai                       | Game Boy | 1993 | Europe
|       | Disney's The Hunchback of Notre Dame                           | Disney Interactive Studios   | Game Boy | 1997 | Europe
|       | Disney's The Jungle Book                                       | THQ                          | Game Boy | 1994 | Europe
|       | Disney's The Lion King                                         | Virgin Interactive           | Game Boy | 1994 | Europe
|       | Disney's The Little Mermaid                                    | Capcom                       | Game Boy | 1992 | Europe
|       | Disney's Toy Story                                             | Black Pearl                  | Game Boy | 1996 | Europe
|       | Donkey Kong                                                    | Nintendo                     | Game Boy | 1994 | Europe
|       | Donkey Kong Land                                               | Nintendo                     | Game Boy | 1995 | Europe
|       | Donkey Kong Land 2                                             | Nintendo                     | Game Boy | 1996 | Europe
|       | Donkey Kong Land III                                           | Nintendo                     | Game Boy | 1997 | Europe
|       | Double Dragon                                                  | Nintendo                     | Game Boy | 1990 | Europe
|       | Double Dragon 3: The Arcade Game                               | Acclaim                      | Game Boy | 1992 | Europe
|       | Double Dragon II                                               | Acclaim                      | Game Boy | 1991 | Europe
|       | Dr. Franken                                                    | Elite Systems Ltd.           | Game Boy | 1992 | Europe
|       | Dr. Franken II                                                 | Elite Systems Ltd.           | Game Boy | 1997 | Europe
|       | Dr. Mario                                                      | Nintendo                     | Game Boy | 1991 | Europe
|       | Dragon's Lair: The Legend                                      | Elite                        | Game Boy | 1991 | Europe
|       | DragonHeart                                                    | Acclaim                      | Game Boy | 1996 | Europe
|       | Dropzone                                                       | Mindscape                    | Game Boy | 1992 | Europe
|       | Dynablaster                                                    | Hudson                       | Game Boy | 1991 | Europe
|       | Earthworm Jim                                                  | Playmates                    | Game Boy | 1995 | Europe
|       | Elevator Action                                                | Taito Corporation            | Game Boy | 1991 | Europe
|       | F-1 Race                                                       | Nintendo                     | Game Boy | 1991 | Europe
|       | F-15 Strike Eagle                                              | MicroProse                   | Game Boy | 1993 | Europe
|       | F1 Pole Position                                               | Ubisoft                      | Game Boy | 1993 | Europe
|       | Felix the Cat                                                  | Sony Electronics Inc.        | Game Boy | 1993 | Europe
|       | Ferrari Grand Prix Challenge                                   | Acclaim                      | Game Boy | 1992 | Europe
|       | Fidgetts, The                                                  | Elite                        | Game Boy | 1993 | Europe
|       | FIFA 97                                                        | Black Pearl                  | Game Boy | 1997 | Europe
|       | FIFA International Soccer                                      | Malibu                       | Game Boy | 1995 | Europe
|       | FIFA Soccer 96                                                 | Black Pearl                  | Game Boy | 1995 | Europe
|       | FIFA: Road to World Cup 98                                     | THQ                          | Game Boy | 1998 | Europe
|       | Fighting Simulator: 2-in-1 Flying Warriors                     | Culture Brain                | Game Boy | 1992 | Europe
|       | Fire Fighter                                                   | Mindscape                    | Game Boy | 1992 | Europe
|       | Flash, The                                                     | THQ                          | Game Boy | 1991 | Europe
|       | Flintstones, The                                               | Ocean                        | Game Boy | 1994 | Europe
|       | Flintstones: King Rock Treasure Island, The                    | Taito Corporation            | Game Boy | 1993 | Europe
|       | Football International                                         | Bandai                       | Game Boy | 1991 | Europe
|       | Foreman For Real                                               | Acclaim                      | Game Boy | 1995 | Europe
|       | Fortified Zone                                                 | Jaleco Entertainment         | Game Boy | 1991 | Europe
|       | Fortress of Fear: Wizards & Warriors X                         | Nintendo                     | Game Boy | 1990 | Europe
|       | Frank Thomas: Big Hurt Baseball                                | Acclaim                      | Game Boy | 1996 | Europe
|       | Franky, Joe & Dirk: On The Tiles                               | Elite Systems Ltd.           | Game Boy | 1993 | Europe
|       | Game & Watch Gallery                                           | Nintendo                     | Game Boy | 1997 | Europe
|       | Game Boy Gallery                                               | Nintendo                     | Game Boy | 1995 | Europe
|       | Garfield Labyrinth                                             | Kemco                        | Game Boy | 1993 | Europe
|       | Gargoyle's Quest                                               | Capcom                       | Game Boy | 1991 | Europe
|       | Gauntlet II                                                    | Mindscape                    | Game Boy | 1991 | Europe
|       | Gear Works                                                     | Sony Imagesoft               | Game Boy | 1993 | Europe
|       | George Foreman's KO Boxing                                     | Acclaim                      | Game Boy | 1992 | Europe
|       | Ghostbusters II                                                | Activision                   | Game Boy | 1989 | Europe
|       | Glucksrad                                                      | GameTek                      | Game Boy | 1990 | Europe
|       | Goal!                                                          | Jaleco Entertainment         | Game Boy | 1993 | Europe
|       | Godzilla                                                       | Nintendo                     | Game Boy | 1991 | Europe
|       | Golf                                                           | Nintendo                     | Game Boy | 1990 | Europe
|       | Golf Classic                                                   | Malibu                       | Game Boy | 1993 | Europe
|       | Gremlins 2: The New Batch                                      | SunSoft                      | Game Boy | 1992 | Europe
|       | Hammerin' Harry                                                | Irem                         | Game Boy | 1993 | Europe
|       | Home Alone                                                     | THQ                          | Game Boy | 1991 | Europe
|       | Home Alone 2: Lost in New York                                 | THQ                          | Game Boy | 1992 | Europe
|       | Hook                                                           | Ocean                        | Game Boy | 1992 | Europe
|       | Hugo 2                                                         | Laguna                       | Game Boy | 1997 | Europe
|       | Humans, The                                                    | GameTek                      | Game Boy | 1993 | Europe
|       | Hunt for Red October, The                                      | Hi-Tech                      | Game Boy | 1992 | Europe
|       | Hyper Dunk                                                     | Konami                       | Game Boy | 1994 | Europe
|       | Hyper Lode Runner                                              | Bandai                       | Game Boy | 1990 | Europe
|       | Incredible Crash Dummies, The                                  | LJN Ltd.                     | Game Boy | 1992 | Europe
|       | Indiana Jones and the Last Crusade                             | Ubisoft                      | Game Boy | 1994 | Europe
|       | InfoGenius Productivity Pak: Berlitz French Translator         | GameTek                      | Game Boy | 1991 | Europe
|       | InfoGenius Productivity Pak: Berlitz Spanish Translator        | GameTek                      | Game Boy | 1991 | Europe
|       | InfoGenius Productivity Pak: Personal Organizer and Phone Book | GameTek                      | Game Boy | 1991 | Europe
|       | International Superstar Soccer                                 | Konami                       | Game Boy | 1998 | Europe
|       | Iron Man / X-O Manowar in Heavy Metal                          | Acclaim                      | Game Boy | 1996 | Europe
|       | Itchy & Scratchy in Miniature Golf Madness                     | Acclaim                      | Game Boy | 1994 | Europe
|       | Jack Nicklaus Golf                                             | Tradewest                    | Game Boy | 1992 | Europe
|       | James Bond 007                                                 | Nintendo                     | Game Boy | 1998 | Europe
|       | Jelly Boy                                                      | Ocean                        | Game Boy | 1994 | Europe
|       | Jetsons: Robot Panic, The                                      | Taito Corporation            | Game Boy | 1993 | Europe
|       | Jimmy Connors Tennis                                           | Ubisoft                      | Game Boy | 1993 | Europe
|       | Joe & Mac: Caveman Ninja                                       | Elite                        | Game Boy | 1993 | Europe
|       | Jordan vs Bird: One on One                                     | Electronic Arts              | Game Boy | 1992 | Europe
|       | Judge Dredd                                                    | Acclaim                      | Game Boy | 1995 | Europe
|       | Jungle Strike                                                  | Ocean                        | Game Boy | 1995 | Europe
|       | Jurassic Park                                                  | Ocean                        | Game Boy | 1993 | Europe
|       | Jurassic Park Part 2: The Chaos Continues                      | Ocean                        | Game Boy | 1995 | Europe
|       | Ken Griffey Jr. Presents Major League Baseball                 | Nintendo                     | Game Boy | 1997 | Europe
|       | Kid Dracula                                                    | Konami                       | Game Boy | 1993 | Europe
|       | Kid Icarus: Of Myths and Monsters                              | Nintendo                     | Game Boy | 1992 | Europe
|       | Killer Instinct                                                | Nintendo                     | Game Boy | 1995 | Europe
|       | King of Fighters '95, The                                      | Laguna                       | Game Boy | 1997 | Europe
|       | King of Fighters: Heat of Battle, The                          | Laguna                       | Game Boy | 1998 | Europe
|       | King of the Zoo                                                | Nintendo                     | Game Boy | 1990 | Europe
|       | Kirby's Block Ball                                             | Nintendo                     | Game Boy | 1995 | Europe
|       | Kirby's Dream Land                                             | Nintendo                     | Game Boy | 1992 | Europe
|       | Kirby's Dream Land 2                                           | Nintendo                     | Game Boy | 1995 | Europe
|       | Kirby's Pinball Land                                           | Nintendo                     | Game Boy | 1993 | Europe
|       | Kirby's Star Stacker                                           | Nintendo                     | Game Boy | 1997 | Europe
|       | Klax                                                           | Mindscape                    | Game Boy | 1991 | Europe
|       | Konami Golf                                                    | Konami                       | Game Boy | 1994 | Europe
|       | Krusty's Fun House                                             | Acclaim                      | Game Boy | 1994 | Europe
|       | Kung Fu Master                                                 | Nintendo                     | Game Boy | 1991 | Europe
|       | Kwirk                                                          | Nintendo                     | Game Boy | 1990 | Europe
|       | Lamborghini American Challenge                                 | Titus Software               | Game Boy | 1993 | Europe
|       | Last Action Hero                                               | Sony Imagesoft               | Game Boy | 1993 | Europe
|       | Lawnmower Man, The                                             | Sales Curve Interactive      | Game Boy | 1993 | Europe
|       | Legend of Prince Valiant, The                                  | Ocean                        | Game Boy | 1991 | Europe
|       | Legend of Zelda: Link's Awakening, The                         | Nintendo                     | Game Boy | 1993 | Europe
|       | Lemmings                                                       | Ocean                        | Game Boy | 1993 | Europe
|       | Lemmings 2: The Tribes                                         | Psygnosis                    | Game Boy | 1994 | Europe
|       | Lethal Weapon                                                  | Ocean                        | Game Boy | 1993 | Europe
|       | Lingo                                                          | Altron                       | Game Boy | 1994 | Europe
|       | Litti's Summer Sports                                          | Interplay                    | Game Boy | 1992 | Europe
|       | Lock n' Chase                                                  | Data East                    | Game Boy | 1990 | Europe
|       | Looney Tunes                                                   | SunSoft                      | Game Boy | 1992 | Europe
|       | Looney Tunes 2: Tasmanian Devil in Island Chase                | SunSoft                      | Game Boy | 1994 | Europe
|       | LoopZ                                                          | Mindscape                    | Game Boy | 1991 | Europe
|       | Lost World: Jurassic Park, The                                 | THQ                          | Game Boy | 1997 | Europe
|       | Lucky Luke                                                     | Infogrames                   | Game Boy | 1996 | Europe
|       | Lucle                                                          | Nintendo                     | Game Boy | 1995 | Europe
