|       | Anastasia                                                                                              | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Andretti Racing                                                                                        | Electronic Arts                     | PlayStation | 1996 | Europe
|       | Animal Football                                                                                        | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Animal Snap: Rescue Them 2 By 2                                                                        | Ignition Entertainment              | PlayStation | 2003 | Europe
|       | Anna Kournikova's Smash Court Tennis                                                                   | SCEE                                | PlayStation | 1999 | Europe
|       | Ape Escape                                                                                             | SCEE                                | PlayStation | 1999 | Europe
|       | Apocalypse                                                                                             | Activision                          | PlayStation | 1998 | Europe
|       | Aqua GT                                                                                                | Take-Two Interactive                | PlayStation | 2001 | Europe
|       | Aquanaut's Holiday                                                                                     | SCEE                                | PlayStation | 1996 | Europe
|       | Arcade Party Pak                                                                                       | Midway                              | PlayStation | 2001 | Europe
|       | Arcade's Greatest Hits: Midway Collection 2                                                            | GT Interactive                      | PlayStation | 1998 | Europe
|       | Archer Maclean's 3D Pool                                                                               | Ignition Entertainment              | PlayStation | 2003 | Europe
|       | Area 51                                                                                                | GT Interactive                      | PlayStation | 1997 | Europe
|       | Ark of Time                                                                                            | Project Two Interactive             | PlayStation | 1998 | Europe
|       | Armored Core                                                                                           | SCEE                                | PlayStation | 1998 | Europe
|       | Armorines: Project S.W.A.R.M.                                                                          | Acclaim                             | PlayStation | 2001 | Europe
|       | Army Men 3D                                                                                            | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Air Attack                                                                                   | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Air Attack 2                                                                                 | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Land, Sea, Air                                                                               | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Lock 'n' Load                                                                                | 3DO                                 | PlayStation | 2001 | Europe
|       | Army Men: Omega Soldier                                                                                | 3DO                                 | PlayStation | 2001 | Europe
|       | Army Men: Operation Meltdown                                                                           | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Sarge's Heroes                                                                               | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Sarge's Heroes 2                                                                             | 3DO                                 | PlayStation | 2000 | Europe
|       | Army Men: Team Assault                                                                                 | 3DO                                 | PlayStation | 2001 | Europe
|       | Assault                                                                                                | Telstar                             | PlayStation | 1998 | Europe
|       | Assault Rigs                                                                                           | Psygnosis                           | PlayStation | 1996 | Europe
|       | Asterix                                                                                                | Infogrames                          | PlayStation | 1999 | Europe
|       | Asterix & Obelix Take on Caesar                                                                        | Cryo Interactive                    | PlayStation | 2000 | Europe
|       | Asterix: Mega Madness                                                                                  | Infogrames                          | PlayStation | 2001 | Europe
