|       | Hamster Monogatari 64                                             | Culture Brain                | Nintendo 64 | 2001 | Japan
|       | Harukanaru Augusta Masters '98                                    | T&E Soft                     | Nintendo 64 | 1997 | Japan
|       | Heiwa Pachinko World 64                                           | Amtechs                      | Nintendo 64 | 1997 | Japan
|       | Hexen                                                             | GameBank                     | Nintendo 64 | 1997 | Japan
|       | Hiryu No Ken Twin                                                 | Culture Brain                | Nintendo 64 | 1997 | Japan
|       | Hoshi no Kirby 64                                                 | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Human Grand Prix: New Generation                                  | Human Entertainment          | Nintendo 64 | 1997 | Japan
|       | Hybrid Heaven                                                     | Konami                       | Nintendo 64 | 1999 | Japan
|       | Hyper Olympics in Nagano 64                                       | Konami                       | Nintendo 64 | 1997 | Japan
|       | Ide Yosuke no Mahjong Juku                                        | Seta Corporation             | Nintendo 64 | 2000 | Japan
|       | Iggy-kun no Bura 2 Poyon                                          | Acclaim Japan                | Nintendo 64 | 1998 | Japan
|       | Itoi Shigesato no Bass Tsuri No. 1 Ketteiban!                     | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | J.League Dynamite Soccer 64                                       | Imagineer                    | Nintendo 64 | 1997 | Japan
|       | J.League Eleven Beat 1997                                         | Hudson                       | Nintendo 64 | 1997 | Japan
|       | J.League Live 64                                                  | Electronic Arts Victor       | Nintendo 64 | 1997 | Japan
|       | J.League Tactics Soccer                                           | ASCII Entertainment          | Nintendo 64 | 1999 | Japan
|       | Jangou Simulation Mahjong Michi 64                                | Video System                 | Nintendo 64 | 1997 | Japan
|       | Jikkyou G1 Stable                                                 | Konami                       | Nintendo 64 | 1999 | Japan
|       | Jikkyou J.League 1999 Perfect Striker 2                           | Konami                       | Nintendo 64 | 1999 | Japan
|       | Jikkyou J.League Perfect Striker                                  | Konami                       | Nintendo 64 | 1996 | Japan
|       | Jikkyou Powerful Pro Yakyuu 2000                                  | Konami                       | Nintendo 64 | 2000 | Japan
|       | Jikkyou Powerful Pro Yakyuu 4                                     | Konami                       | Nintendo 64 | 1997 | Japan
|       | Jikkyou Powerful Pro Yakyuu 5                                     | Konami                       | Nintendo 64 | 1998 | Japan
|       | Jikkyou Powerful Pro Yakyuu 6                                     | Konami                       | Nintendo 64 | 1999 | Japan
|       | Jikkyou Powerful Pro Yakyuu Basic Han 2001                        | Konami                       | Nintendo 64 | 2001 | Japan
|       | Jikkyou World Soccer 3                                            | Konami                       | Nintendo 64 | 1997 | Japan
|       | Jikkyou World Soccer: World Cup France '98                        | Konami                       | Nintendo 64 | 1998 | Japan
|       | Jikuu Senshi Turok                                                | Acclaim Japan                | Nintendo 64 | 1997 | Japan
|       | Jinsei Game 64                                                    | Takara                       | Nintendo 64 | 1999 | Japan
|       | John Romero's Daikatana                                           | Kemco                        | Nintendo 64 | 2000 | Japan
|       | Kakutou Denshou: F-Cup Maniax                                     | Imagineer                    | Nintendo 64 | 1999 | Japan
|       | King Hill 64 Extreme Snowboarding                                 | Kotobuki Systems             | Nintendo 64 | 1998 | Japan
|       | Kiratto Kaiketsu! 64 Tanteidan                                    | Imagineer                    | Nintendo 64 | 1998 | Japan
|       | Knife Edge                                                        | Kotobuki Systems             | Nintendo 64 | 1998 | Japan
|       | Last Legion UX                                                    | Hudson                       | Nintendo 64 | 1999 | Japan
|       | Let's Smash                                                       | Hudson                       | Nintendo 64 | 1998 | Japan
|       | Lode Runner 3-D                                                   | Banpresto                    | Nintendo 64 | 1999 | Japan
|       | Magical Tetris Challenge featuring Mickey                         | Capcom                       | Nintendo 64 | 1998 | Japan
|       | Mahjong 64                                                        | Koei                         | Nintendo 64 | 1997 | Japan
|       | Mahjong Hourouki Classic                                          | Imagineer                    | Nintendo 64 | 1997 | Japan
|       | Mahjong Master                                                    | Konami                       | Nintendo 64 | 1996 | Japan
|       | Mario Golf 64                                                     | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Mario Kart 64                                                     | Nintendo                     | Nintendo 64 | 1996 | Japan
|       | Mario no Photopi                                                  | Tokyo Electron               | Nintendo 64 | 1998 | Japan
|       | Mario Party                                                       | Nintendo                     | Nintendo 64 | 1998 | Japan
|       | Mario Party 2                                                     | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Mario Party 3                                                     | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Mario Story                                                       | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Mario Tennis 64                                                   | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Mickey no Racing Challenge USA                                    | Nintendo                     | Nintendo 64 | 2001 | Japan
|       | Morita Shogi 64                                                   | Seta Corporation             | Nintendo 64 | 1998 | Japan
|       | MRC: Multi-Racing Championship                                    | Imagineer                    | Nintendo 64 | 1997 | Japan
|       | NBA In The Zone '98                                               | Konami                       | Nintendo 64 | 1998 | Japan
|       | NBA In The Zone 2                                                 | Konami                       | Nintendo 64 | 1999 | Japan
|       | Neon Genesis Evangelion                                           | Bandai                       | Nintendo 64 | 1999 | Japan
|       | Nintama Rantarou 64 Game Gallery                                  | Culture Brain                | Nintendo 64 | 2000 | Japan
|       | Nintendo All-Star Dairantou Smash Brothers                        | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Nushi Tsuri 64                                                    | Victor Interactive Software  | Nintendo 64 | 1998 | Japan
|       | Nushi Tsuri 64: Shiokaze Ni Notte                                 | Victor Interactive Software  | Nintendo 64 | 2000 | Japan
|       | Ogre Battle 64: Person of Lordly Caliber                          | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Olympic Hockey Nagano 98                                          | Konami                       | Nintendo 64 | 1998 | Japan
|       | Onegai Monsters                                                   | Bottom Up                    | Nintendo 64 | 1999 | Japan
|       | Pachinko 365 Nichi                                                | Seta Corporation             | Nintendo 64 | 1998 | Japan
|       | Parlor! Pro 64: Pachinko Jikki Simulation Game                    | Telenet                      | Nintendo 64 | 1999 | Japan
|       | PD Ultraman Battle Collection 64                                  | Bandai                       | Nintendo 64 | 1999 | Japan
|       | Perfect Dark                                                      | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Pikachu Genki Dechu                                               | Nintendo                     | Nintendo 64 | 1998 | Japan
|       | Pilotwings 64                                                     | Nintendo                     | Nintendo 64 | 1996 | Japan
|       | Pocket Monsters Stadium                                           | Nintendo                     | Nintendo 64 | 1998 | Japan
|       | Pocket Monsters Stadium 2                                         | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Pokemon Snap                                                      | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Pokemon Stadium Kingin Crystal Version                            | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Power League 64                                                   | Hudson                       | Nintendo 64 | 1997 | Japan
