|       | Dewy's Adventure: Suishou Dewy no Daibouken!!                                            | Konami                     | Nintendo Wii | 2007 | Japan
|       | Disaster: Day of Crisis                                                                  | Nintendo                   | Nintendo Wii | 2008 | Japan
|       | Disney Epic Mickey 2: Futatsu no Chikara                                                 | Spike Chunsoft             | Nintendo Wii | 2013 | Japan
|       | Disney Epic Mickey: Mickey Mouse to Mahou no Fude                                        | Nintendo                   | Nintendo Wii | 2011 | Japan
|       | Disney Princess: Mahou no Sekai e                                                        | Disney Interactive Studios | Nintendo Wii | 2007 | Japan
|       | Disney TH!NK: Haya Oshi Quiz                                                             | Disney Interactive Studios | Nintendo Wii | 2008 | Japan
|       | Disney/Pixar Remy no Oishii Restaurant                                                   | THQ                        | Nintendo Wii | 2007 | Japan
|       | Doala de Wii                                                                             | Tera Box                   | Nintendo Wii | 2009 | Japan
|       | Dog Island: Hitotsu no Hana no Monogatari, The                                           | Yuke's                     | Nintendo Wii | 2007 | Japan
|       | Dokapon Kingdom for Wii                                                                  | Sting                      | Nintendo Wii | 2008 | Japan
|       | Donkey Kong Jungle Beat                                                                  | Nintendo                   | Nintendo Wii | 2008 | Japan
|       | Donkey Kong Returns                                                                      | Nintendo                   | Nintendo Wii | 2010 | Japan
|       | Donkey Kong Taru Jet Race                                                                | Nintendo                   | Nintendo Wii | 2007 | Japan
|       | Doraemon Wii: Himitsu Douguou Ketteisen!                                                 | Sega                       | Nintendo Wii | 2007 | Japan
|       | Doubutsu Kisoutengai!                                                                    | Success                    | Nintendo Wii | 2008 | Japan
|       | Dragon Ball Z: Sparking! Meteor                                                          | Bandai Namco Games         | Nintendo Wii | 2007 | Japan
|       | Dragon Ball Z: Sparking! Neo                                                             | Namco Bandai Games         | Nintendo Wii | 2007 | Japan
|       | Dragon Ball: Tenkaichi Daibouken                                                         | Bandai Namco Games         | Nintendo Wii | 2009 | Japan
|       | Dragon Blade                                                                             | D3Publisher                | Nintendo Wii | 2007 | Japan
|       | Dragon Quest 25 Shuunen Kinen: Famicom & Super Famicom Dragon Quest I-II-III             | Square Enix                | Nintendo Wii | 2011 | Japan
|       | Dragon Quest Monsters: Battle Road Victory                                               | Square Enix                | Nintendo Wii | 2010 | Japan
|       | Dragon Quest Sword: Kamen no Joou to Kagami no Tou                                       | Square Enix                | Nintendo Wii | 2007 | Japan
|       | Dragon Quest X: All In One Package                                                       | Square Enix                | Nintendo Wii | 2014 | Japan
|       | Dragon Quest X: Inishie no Ryuu no Denshou Online                                        | Square Enix                | Nintendo Wii | 2015 | Japan
|       | Dragon Quest X: Mezameshi Itsutsu no Shuzoku Online                                      | Square Enix                | Nintendo Wii | 2012 | Japan
|       | Dragon Quest X: Nemureru Yuusha to Michibiki no Meiyuu Online                            | Square Enix                | Nintendo Wii | 2013 | Japan
|       | EA Sports Active Personal Trainer Wii: 6-Shuukan Shuuchuu Kishime Program                | Electronic Arts            | Nintendo Wii | 2010 | Japan
|       | EA Sports Active: Personal Trainer Wii 30-Hi Seikatsu Kaizen Program                     | EA Sports                  | Nintendo Wii | 2009 | Japan
|       | Earth Seeker                                                                             | Enterbrain                 | Nintendo Wii | 2011 | Japan
|       | Elebits                                                                                  | Konami                     | Nintendo Wii | 2006 | Japan
|       | Ennichi no Tatsujin                                                                      | Bandai Namco Games         | Nintendo Wii | 2006 | Japan
|       | Excite Mou-Machine                                                                       | Nintendo                   | Nintendo Wii | 2011 | Japan
|       | Excite Truck                                                                             | Nintendo                   | Nintendo Wii | 2007 | Japan
|       | Eyeshield 21: Field Saikyou no Senshi Tachi                                              | Nintendo                   | Nintendo Wii | 2007 | Japan
|       | F1 2009                                                                                  | Codemasters                | Nintendo Wii | 2009 | Japan
|       | FaceBreaker K.O. Party                                                                   | EA Sports                  | Nintendo Wii | 2008 | Japan
|       | Family Challenge Wii                                                                     | Konami                     | Nintendo Wii | 2009 | Japan
|       | Family Fishing                                                                           | Bandai Namco Games         | Nintendo Wii | 2011 | Japan
|       | Family Jockey                                                                            | Bandai Namco Games         | Nintendo Wii | 2008 | Japan
|       | Family Ski                                                                               | Bandai Namco Games         | Nintendo Wii | 2008 | Japan
