|       | Arthur et les Minimoys                                                             | Atari SA                               | Nintendo DS | 2007 | Europe
|       | Asphalt: Urban GT                                                                  | Ubisoft                                | Nintendo DS | 2005 | Europe
|       | Asphalt: Urban GT 2                                                                | Ubisoft                                | Nintendo DS | 2006 | Europe
|       | Assassin's Creed II: Discovery                                                     | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Assassin's Creed: Altair's Chronicles                                              | Ubisoft                                | Nintendo DS | 2008 | Europe
|       | Asterix & Obelix XXL 2: Mission: Wifix                                             | Atari SA                               | Nintendo DS | 2006 | Europe
|       | Asterix at the Olympic Games                                                       | Atari SA                               | Nintendo DS | 2008 | Europe
|       | Asterix Brain Trainer                                                              | Atari SA                               | Nintendo DS | 2008 | Europe
|       | Asterix: These Romans Are Crazy!                                                   | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Astro Boy: The Video Game                                                          | D3Publisher                            | Nintendo DS | 2010 | Europe
|       | Astrology                                                                          | Black Bean Games                       | Nintendo DS | 2009 | Europe
|       | Atari Greatest Hits: Volume 1                                                      | Atari SA                               | Nintendo DS | 2011 | Europe
|       | ATV Quad Frenzy                                                                    | Majesco                                | Nintendo DS | 2006 | Europe
|       | ATV Thunder Ridge Riders / Monster Trucks Mayhem                                   | Destination Software                   | Nintendo DS | 2007 | Europe
|       | Avalon Code                                                                        | Rising Star Games                      | Nintendo DS | 2010 | Europe
|       | Avatar - The Last Airbender: Into the Inferno                                      | THQ                                    | Nintendo DS | 2008 | Europe
|       | Avatar: The Legend of Aang                                                         | THQ                                    | Nintendo DS | 2007 | Europe
|       | Avatar: The Legend of Aang -- The Burning Earth                                    | THQ                                    | Nintendo DS | 2007 | Europe
|       | Away: Shuffle Dungeon                                                              | Majesco                                | Nintendo DS | 2009 | Europe
|       | B Team: Metal Cartoon Squad                                                        | Virgin Play                            | Nintendo DS | 2009 | Europe
|       | B-17: Fortress in the Sky                                                          | DSI Games                              | Nintendo DS | 2007 | Europe
|       | B-Units: Build it!                                                                 | 505 Games                              | Nintendo DS | 2011 | Europe
|       | Baby Life                                                                          | Deep Silver                            | Nintendo DS | 2008 | Europe
|       | Baby Pals                                                                          | THQ                                    | Nintendo DS | 2008 | Europe
|       | Babysitting Mania                                                                  | Majesco                                | Nintendo DS | 2009 | Europe
|       | Back at the Barnyard: Barnyard Games                                               | THQ                                    | Nintendo DS | 2008 | Europe
|       | Bakugan Battle Brawlers                                                            | Activision                             | Nintendo DS | 2009 | Europe
|       | Bakugan Battle Brawlers: Defenders of the Core                                     | Activision                             | Nintendo DS | 2010 | Europe
|       | Bakugan: Rise of the Resistance                                                    | Activision                             | Nintendo DS | 2011 | Europe
|       | Bakushow                                                                           | Rising Star Games                      | Nintendo DS | 2008 | Europe
|       | Balls of Fury                                                                      | Zoo Digital Publishing                 | Nintendo DS | 2007 | Europe
|       | Band Hero                                                                          | Activision                             | Nintendo DS | 2009 | Europe
|       | Bandz Mania                                                                        | Deep Silver                            | Nintendo DS | 2011 | Europe
|       | Bangai-O Spirits                                                                   | D3Publisher                            | Nintendo DS | 2008 | Europe
|       | Barbie and the Three Musketeers                                                    | Activision                             | Nintendo DS | 2009 | Europe
|       | Barbie as The Island Princess                                                      | Activision                             | Nintendo DS | 2007 | Europe
|       | Barbie Dreamhouse Party                                                            | Little Orbit                           | Nintendo DS | 2014 | Europe
|       | Barbie Fashion Show: Eye for Style                                                 | Activision                             | Nintendo DS | 2008 | Europe
|       | Barbie Horse Adventures: Riding Camp                                               | Activision                             | Nintendo DS | 2008 | Europe
|       | Barbie in The 12 Dancing Princesses                                                | Activision                             | Nintendo DS | 2007 | Europe
|       | Barbie: Groom and Glam Pups                                                        | THQ                                    | Nintendo DS | 2010 | Europe
|       | Barbie: Jet, Set & Style!                                                          | THQ                                    | Nintendo DS | 2011 | Europe
|       | Barnyard Blast: Swine of the Night                                                 | BigBen Interactive                     | Nintendo DS | 2008 | Europe
|       | Batman: The Brave and the Bold - The Videogame                                     | Warner Bros. Interactive Entertainment | Nintendo DS | 2010 | Europe
|       | Battle vs. Chess                                                                   | SouthPeak Games                        | Nintendo DS | 2013 | Europe
|       | Battles of Prince of Persia                                                        | Ubisoft                                | Nintendo DS | 2005 | Europe
|       | Battleship                                                                         | Activision                             | Nintendo DS | 2012 | Europe
|       | Beat City                                                                          | THQ                                    | Nintendo DS | 2010 | Europe
|       | Beat the Intro                                                                     | Mindscape                              | Nintendo DS | 2010 | Europe
|       | Bee Movie Game                                                                     | Activision                             | Nintendo DS | 2007 | Europe
|       | Beetle Junior DS                                                                   | Intenium                               | Nintendo DS | 2008 | Europe
|       | Beetle King                                                                        | 505 Game Street                        | Nintendo DS | 2007 | Europe
|       | Bejeweled 3                                                                        | Electronic Arts                        | Nintendo DS | 2012 | Europe
|       | Bejeweled Twist                                                                    | PopCap                                 | Nintendo DS | 2011 | Europe
|       | Bella Sara                                                                         | Codemasters                            | Nintendo DS | 2008 | Europe
|       | Ben 10 Alien Force: Vilgax Attacks                                                 | D3Publisher                            | Nintendo DS | 2010 | Europe
|       | Ben 10 Triple Pack                                                                 | D3Publisher                            | Nintendo DS | 2011 | Europe
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                          | D3Publisher                            | Nintendo DS | 2010 | Europe
|       | Ben 10: Alien Force                                                                | D3Publisher                            | Nintendo DS | 2009 | Europe
|       | Ben 10: Galactic Racing                                                            | D3Publisher                            | Nintendo DS | 2011 | Europe
|       | Ben 10: Omniverse                                                                  | D3Publisher                            | Nintendo DS | 2012 | Europe
|       | Ben 10: Protector of Earth                                                         | D3Publisher                            | Nintendo DS | 2007 | Europe
|       | Benjamin the Elephant: A Day at the Zoo                                            | Kiddinx                                | Nintendo DS | 2009 | Europe
|       | Berlitz English Dictionary                                                         | Deep Silver                            | Nintendo DS | 2008 | Europe
|       | Bermuda Triangle                                                                   | Funbox Media                           | Nintendo DS | 2011 | Europe
|       | Best of Board Games DS                                                             | Neko Entertainment                     | Nintendo DS | 2007 | Europe
|       | Best of Card Games DS                                                              | Neko Entertainment                     | Nintendo DS | 2006 | Europe
|       | Best of Tests DS                                                                   | Neko Entertainment                     | Nintendo DS | 2008 | Europe
|       | Betty Boop's Double Shift                                                          | Zoo Digital Publishing                 | Nintendo DS | 2008 | Europe
|       | Beyblade Metal Fusion: Cyber Pegasus                                               | Hudson Soft                            | Nintendo DS | 2010 | Europe
|       | Beyblade: Metal Masters - Nightmare Rex                                            | Konami                                 | Nintendo DS | 2011 | Europe
|       | Bibi & Tina: The Great Hunt                                                        | Kiddinx                                | Nintendo DS | 2009 | Europe
|       | Bibi Blocksberg: Neustadt im Hex-Chaos                                             | Kiddinx                                | Nintendo DS | 2008 | Europe
|       | Bienvenue chez les Ch'tis                                                          | Mindscape                              | Nintendo DS | 2008 | Europe
|       | Big Bang Mini                                                                      | SouthPeak Games                        | Nintendo DS | 2009 | Europe
|       | Big Brain Academy                                                                  | Nintendo                               | Nintendo DS | 2006 | Europe
|       | Big Catch: Bass Fishing                                                            | 505 Game Street                        | Nintendo DS | 2007 | Europe
|       | Big Deal, The                                                                      | Midas Interactive Entertainment        | Nintendo DS | 2009 | Europe
|       | Big Mutha Truckers                                                                 | Zoo Digital Publishing                 | Nintendo DS | 2005 | Europe
|       | Bigfoot: Collision Course                                                          | Zoo Digital Publishing                 | Nintendo DS | 2009 | Europe
|       | Biggest Loser USA, The                                                             | THQ                                    | Nintendo DS | 2009 | Europe
|       | Biker Mice from Mars                                                               | The Game Factory                       | Nintendo DS | 2007 | Europe
|       | Billiard Action                                                                    | 505 Game Street                        | Nintendo DS | 2006 | Europe
|       | Bionicle Heroes                                                                    | Eidos Interactive                      | Nintendo DS | 2007 | Europe
|       | Bleach: Dark Souls                                                                 | Sega Europe                            | Nintendo DS | 2009 | Europe
|       | Bleach: The 3rd Phantom                                                            | Sega                                   | Nintendo DS | 2010 | Europe
|       | Bleach: The Blade of Fate                                                          | Sega                                   | Nintendo DS | 2008 | Europe
