|       | Densha de Go! 2                                                      | CyberFront                   | Game Boy Color | 2000 | Japan
|       | Dino Breeder 3: Gaia Fukkatsu                                        | J-Wing                       | Game Boy Color | 1999 | Japan
|       | Dino Breeder 4                                                       | J-Wing                       | Game Boy Color | 2000 | Japan
|       | Disney's Donald Duck: Daisy o Tsukue!                                | Ubisoft                      | Game Boy Color | 2000 | Japan
|       | Disney's Tarzan                                                      | Syscom                       | Game Boy Color | 2000 | Japan
|       | Dokapon?! Millennium Quest                                           | Asmik Ace Entertainment, Inc | Game Boy Color | 2000 | Japan
|       | Doki Doki Densetsu: Mahoujin Guruguru                                | Enix Corporation             | Game Boy Color | 2000 | Japan
|       | DokiDoki Sasete!!                                                    | Victor Interactive Software  | Game Boy Color | 2001 | Japan
|       | Donkey Kong 2001                                                     | Nintendo                     | Game Boy Color | 2001 | Japan
|       | Donkey Kong GB: Dinky Kong & Dixie Kong                              | Nintendo                     | Game Boy Color | 2000 | Japan
|       | Doraemon Kart 2                                                      | Epoch                        | Game Boy Color | 1999 | Japan
|       | Doraemon Kimi to Pet no Monogatari                                   | Epoch                        | Game Boy Color | 2001 | Japan
|       | Doraemon Memories: Nobi Dai no Omoi Izaru Daibouken                  | Epoch                        | Game Boy Color | 2000 | Japan
|       | Doraemon no Quiz Boy                                                 | Shogakukan                   | Game Boy Color | 2000 | Japan
|       | Doraemon no Quiz Boy 2                                               | Epoch                        | Game Boy Color | 2002 | Japan
|       | Doraemon no Study Boy: Gakushuu Kanji Game                           | Epoch                        | Game Boy Color | 2001 | Japan
|       | Doraemon no Study Boy: Kanji Yomikaki Master                         | Epoch                        | Game Boy Color | 2003 | Japan
|       | Doraemon no Study Boy: Kuku Game                                     | Epoch                        | Game Boy Color | 2000 | Japan
|       | Doraemon: Aruke Aruke Labyrinth                                      | Epoch                        | Game Boy Color | 1999 | Japan
|       | Dr. Rin ni Kiitemite! Koi no Rin Fuusui                              | Hudson                       | Game Boy Color | 2002 | Japan
|       | Dragon Ball Z: Densetsu no Chousenshi Tachi                          | Banpresto                    | Game Boy Color | 2002 | Japan
|       | Dragon Quest I + II                                                  | Enix Corporation             | Game Boy Color | 1999 | Japan
|       | Dragon Quest III                                                     | Enix Corporation             | Game Boy Color | 2000 | Japan
|       | Dragon Quest Monsters 2: Malta no Fushigina Kagi - Iru no Bouken     | Enix Corporation             | Game Boy Color | 2001 | Japan
|       | Dragon Quest Monsters 2: Malta no Fushigina Kagi - Ruka no Tabidachi | Enix Corporation             | Game Boy Color | 2001 | Japan
|       | Dragon Quest Monsters: Terry no Wonderland                           | Enix Corporation             | Game Boy Color | 1998 | Japan
|       | DT: Lords of Genomes                                                 | Media Factory                | Game Boy Color | 2001 | Japan
|       | Dungeon Savior                                                       | J-Wing                       | Game Boy Color | 2000 | Japan
|       | DX Jinsei Game                                                       | Takara                       | Game Boy Color | 2001 | Japan
|       | DX Monopoly GB                                                       | Takara                       | Game Boy Color | 2000 | Japan
|       | Elemental Tale - Jack no Daibouken: Daimaou no Gyakushuu             | Imagineer                    | Game Boy Color | 2000 | Japan
|       | Elevator Action EX                                                   | Taito Corporation            | Game Boy Color | 2000 | Japan
|       | Elie no Atelier GB                                                   | Imagineer                    | Game Boy Color | 2000 | Japan
|       | Estpolis Denki: Yomigaeru Densetsu                                   | Taito Corporation            | Game Boy Color | 2001 | Japan
|       | F1 World Grand Prix II for Game Boy Color                            | Video System                 | Game Boy Color | 2000 | Japan
|       | Fairy Kitty no Kaiun Jiten: Yousei no Kuni no Uranai Shugyou         | Imagineer                    | Game Boy Color | 1998 | Japan
|       | Ferret Monogatari: Watashi no Okini Iri                              | Culture Brain                | Game Boy Color | 2000 | Japan
|       | From TV Animation - One Piece: Maboroshi no Grand Line Boukenki!     | Banpresto                    | Game Boy Color | 2002 | Japan
|       | From TV Animation - One Piece: Yume no Luffy Kaizokudan Tanjou       | Banpresto                    | Game Boy Color | 2001 | Japan
|       | Front Line: The Next Mission                                         | Taito Corporation            | Game Boy Color | 2001 | Japan
|       | Front Row                                                            | Kid                          | Game Boy Color | 1999 | Japan
|       | Fushigi no Dungeon: Furai no Shiren GB2: Sabaku no Majou             | ChunSoft                     | Game Boy Color | 2001 | Japan
|       | Gaia Master Duel Card Attacks                                        | Capcom                       | Game Boy Color | 2001 | Japan
|       | Gakkyu Ou Yamazaki                                                   | Koei                         | Game Boy Color | 1999 | Japan
|       | Gakuen Battle Fishers: Yoky Shiimono wa Tsure                        | Konami                       | Game Boy Color | 2000 | Japan
|       | Gambler Densetsu Tetsuya: Shinjuku Tenun-hen                         | Athena                       | Game Boy Color | 2001 | Japan
|       | Game Boy Gallery 3                                                   | Nintendo                     | Game Boy Color | 1999 | Japan
|       | Game Boy Monopoly                                                    | Hasbro Interactive           | Game Boy Color | 1998 | Japan
|       | Game Boy Wars 2                                                      | Hudson                       | Game Boy Color | 1998 | Japan
|       | Game Boy Wars 3                                                      | Hudson                       | Game Boy Color | 2001 | Japan
|       | Game Conveni 21                                                      | Starfish                     | Game Boy Color | 2000 | Japan
|       | Ganbare Goemon: Hoshizorashi Dynamites Arawaru!!                     | Konami                       | Game Boy Color | 2000 | Japan
|       | Ganbare Goemon: Mononoke Sugoroku                                    | Konami                       | Game Boy Color | 1999 | Japan
|       | Ganbare Goemon: Tengu-to no Gyakushuu!                               | Konami                       | Game Boy Color | 1999 | Japan
|       | Ganbare Nippon! Olympic 2000                                         | Konami                       | Game Boy Color | 2000 | Japan
|       | GB Harobots                                                          | Sunrise Interactive          | Game Boy Color | 2000 | Japan
|       | Gem Gem Monster                                                      | Kid                          | Game Boy Color | 1999 | Japan
|       | Gensoumaden Saiyuuki: Sabaku no Shikami                              | J-Wing                       | Game Boy Color | 2001 | Japan
|       | Gessou! Dangun Racer Onsoku Buster: Dangun Tama                      | Imagineer                    | Game Boy Color | 2001 | Japan
|       | Get Mushi Club: Minna no Konchuu Daizukan                            | Jaleco Entertainment         | Game Boy Color | 1999 | Japan
|       | Glocal HexCite                                                       | NEC Interchannel             | Game Boy Color | 1998 | Japan
|       | Golf Daisuki!                                                        | Kid                          | Game Boy Color | 1999 | Japan
|       | Golf de Oha Suta                                                     | Epoch                        | Game Boy Color | 1999 | Japan
|       | Golf Ou: The King of Golf                                            | Digital Kids                 | Game Boy Color | 1999 | Japan
|       | Gonta no Okiraku Daibouken                                           | Lay-Up                       | Game Boy Color | 2000 | Japan
|       | Goraku Ou Tango!                                                     | J-Wing                       | Game Boy Color | 2000 | Japan
|       | Gran Duel: Shinki Dungeon no Hihou                                   | Bottom Up                    | Game Boy Color | 1999 | Japan
|       | Grandia: Parallel Trippers                                           | Hudson                       | Game Boy Color | 2000 | Japan
|       | Great Battle Pocket, The                                             | Banpresto                    | Game Boy Color | 1999 | Japan
|       | Grinch, The                                                          | Konami                       | Game Boy Color | 2000 | Japan
|       | GuruGuru Garacters                                                   | ATLUS                        | Game Boy Color | 1999 | Japan
|       | Guruguru Town Hanamaru-Kun                                           | J-Wing                       | Game Boy Color | 2001 | Japan
|       | Gyouten Ningen Batseelor: Doctor Guy no Yabou                        | Konami                       | Game Boy Color | 2001 | Japan
|       | Hamster Club                                                         | Jorudan                      | Game Boy Color | 1999 | Japan
|       | Hamster Club 2                                                       | Jorudan                      | Game Boy Color | 2000 | Japan
|       | Hamster Club: Awasete Chu                                            | Jorudan                      | Game Boy Color | 2000 | Japan
|       | Hamster Club: Oshiema Chu                                            | Jorudan                      | Game Boy Color | 2001 | Japan
|       | Hamster Monogatari GB + Magi Ham Mahou no Shoujo                     | Culture Brain                | Game Boy Color | 2002 | Japan
|       | Hamster Paradise                                                     | ATLUS                        | Game Boy Color | 1999 | Japan
|       | Hamster Paradise 2                                                   | ATLUS                        | Game Boy Color | 2000 | Japan
|       | Hamster Paradise 3                                                   | ATLUS                        | Game Boy Color | 2000 | Japan
|       | Hamster Paradise 4                                                   | ATLUS                        | Game Boy Color | 2001 | Japan
|       | Hamunaptra: Ushinawareta Sabaku no Miyako                            | Konami                       | Game Boy Color | 2000 | Japan
|       | Hana Yori Dango: Another Love Story                                  | TDK Core                     | Game Boy Color | 2001 | Japan
|       | Hanasaka Tenshi Tenten-Kun no Beat Breaker                           | Konami                       | Game Boy Color | 1999 | Japan
|       | Harry Potter to Kenja no Ishi                                        | Electronic Arts Victor       | Game Boy Color | 2001 | Japan
|       | Hello Kitty no Beads Koubou                                          | Imagineer                    | Game Boy Color | 1999 | Japan
|       | Hello Kitty no Happy House                                           | MTO                          | Game Boy Color | 2002 | Japan
|       | Hello Kitty no Magical Museum                                        | Imagineer                    | Game Boy Color | 1999 | Japan
|       | Hello Kitty no Sweet Adventure: Daniel Kun ni Aitai                  | Imagineer                    | Game Boy Color | 2000 | Japan
|       | Hello Kitty to Dear Daniel no Dream Adventure                        | Imagineer                    | Game Boy Color | 2001 | Japan
|       | Hero Hero Kun                                                        | Imagineer                    | Game Boy Color | 2001 | Japan
|       | Hiryu no Ken Retsuden GB                                             | Culture Brain                | Game Boy Color | 2000 | Japan
|       | Hissatsu Pachinko Boy CR Monster House                               | SunSoft                      | Game Boy Color | 2000 | Japan
|       | Hollywood Pinball                                                    | Starfish                     | Game Boy Color | 1999 | Japan
|       | Honkaku Hanafuda GB                                                  | Altron                       | Game Boy Color | 2000 | Japan
|       | Honkaku Shogi: Shogi Ou                                              | Warashi                      | Game Boy Color | 1998 | Japan
|       | Honkaku Taisen Shogi: Fu                                             | Culture Brain                | Game Boy Color | 2000 | Japan
|       | Honkaku Yojin Uchi Mahjong: Mahjong Ou                               | Warashi                      | Game Boy Color | 1999 | Japan
|       | Hunter X Hunter: Hunter no Keifu                                     | Konami                       | Game Boy Color | 2000 | Japan
|       | Hunter X Hunter: Kindan no Hihou                                     | Konami                       | Game Boy Color | 2001 | Japan
