|       | Chikyuu Boueigun 2 Portable V2                                                                       | D3Publisher                            | PlayStation Vita | 2014 | Japan
|       | Chikyuu Boueigun 3 Portable                                                                          | D3Publisher                            | PlayStation Vita | 2012 | Japan
|       | Child of Light                                                                                       | Ubisoft                                | PlayStation Vita | 2014 | Japan
|       | Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru                                              | HuneX                                  | PlayStation Vita | 2016 | Japan
|       | Chou Jigen Action: Neptune U                                                                         | Compile Heart                          | PlayStation Vita | 2014 | Japan
|       | Chou Jigen Taisen Neptune VS Sega Hard Girls: Yume no Gattai Special                                 | Compile Heart                          | PlayStation Vita | 2015 | Japan
|       | Chou Jijigen Game Neptune Re:Birth1                                                                  | Compile Heart                          | PlayStation Vita | 2013 | Japan
|       | Chou Megami Shinkou Noire: Gekishin Black Heart                                                      | Compile Heart                          | PlayStation Vita | 2014 | Japan
|       | Chou no Doku: Hana no Kusari - Taishou Tsuyakoi Ibun                                                 | Prototype                              | PlayStation Vita | 2014 | Japan
|       | Chou Tsugitsugimono Game Neptune Re;Birth2: Sisters Generation                                       | Compile Heart                          | PlayStation Vita | 2014 | Japan
|       | ChuSingura 46+1 V                                                                                    | HuneX                                  | PlayStation Vita | 2015 | Japan
|       | Ciel Nosurge RE:Incarnation                                                                          | Gust                                   | PlayStation Vita | 2013 | Japan
|       | Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta                                                        | Gust                                   | PlayStation Vita | 2012 | Japan
|       | Clannad                                                                                              | Prototype                              | PlayStation Vita | 2014 | Japan
|       | Classic Dungeon Sengoku                                                                              | Nippon Ichi Software                   | PlayStation Vita | 2016 | Japan
|       | Clock Zero: Shuuen no Ichibyou ExTime                                                                | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Code:Realize - Shukufuku no Mirai                                                                    | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Code:Realize - Sousei no Himegimi                                                                    | Idea Factory                           | PlayStation Vita | 2014 | Japan
|       | Code:Realize - Twin Pack                                                                             | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Collar x Malice                                                                                      | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Color Guardians                                                                                      | CrossFunction                          | PlayStation Vita | 2017 | Japan
|       | Conception II: Shichisei no Michibiki to Mazuru no Akumu                                             | Spike Chunsoft                         | PlayStation Vita | 2013 | Japan
|       | Corpse Party: Blood Drive                                                                            | 5pb                                    | PlayStation Vita | 2014 | Japan
|       | Crank In                                                                                             | Petit Reve                             | PlayStation Vita | 2017 | Japan
|       | Criminal Girls 2                                                                                     | Nippon Ichi Software                   | PlayStation Vita | 2015 | Japan
|       | Criminal Girls: Invitation                                                                           | Nippon Ichi Software                   | PlayStation Vita | 2013 | Japan
|       | Cross Ange: Tenshi to Ryuu no Rondo tr.                                                              | Bandai Namco Games                     | PlayStation Vita | 2015 | Japan
|       | Cross Channel: For All People                                                                        | 5pb                                    | PlayStation Vita | 2014 | Japan
|       | Dai-3-Ji Super Robot Taisen Z Jigoku-hen                                                             | Bandai Namco Games                     | PlayStation Vita | 2014 | Japan
|       | Dai-3-Ji Super Robot Taisen Z Tengoku-hen                                                            | Bandai Namco Games                     | PlayStation Vita | 2015 | Japan
|       | Daisenryaku Exceed II                                                                                | SystemSoft Alpha                       | PlayStation Vita | 2015 | Japan
|       | Daisenryaku Perfect: Senjou no Hasha                                                                 | SystemSoft Alpha                       | PlayStation Vita | 2016 | Japan
|       | Daisenryaku: Dai Toua Kouboushi - Dainijisekaitaisen Boppatsu - Suujiku Sentai Rengougun Zensekaisen | SystemSoft Alpha                       | PlayStation Vita | 2015 | Japan
|       | Daitoshokan no Hitsujikai: Library Party                                                             | Kaga Create                            | PlayStation Vita | 2015 | Japan
|       | Danball Senki W                                                                                      | Level 5                                | PlayStation Vita | 2012 | Japan
|       | Dance with Devils                                                                                    | Rejet                                  | PlayStation Vita | 2016 | Japan
|       | Danganronpa 1-2 Reload                                                                               | Spike Chunsoft                         | PlayStation Vita | 2013 | Japan
|       | Daredemo Shodan ni Nareru Igo Kyoushitsu                                                             | SilverStar                             | PlayStation Vita | 2017 | Japan
|       | Daredemo Shodan ni Nareru Igo Kyoushitsu                                                             | SilverStar                             | PlayStation Vita | 2017 | Japan
|       | Dariusburst: Chronicle Saviours                                                                      | Kadokawa                               | PlayStation Vita | 2016 | Japan
|       | Dark Quest: Alliance                                                                                 | Ubisoft                                | PlayStation Vita | 2011 | Japan
|       | Date-A-Live Twin Edition: Rio Reincarnation                                                          | Compile Heart                          | PlayStation Vita | 2015 | Japan
|       | Dead or Alive 5 Plus                                                                                 | Koei Tecmo Games                       | PlayStation Vita | 2013 | Japan
|       | Dead or Alive Xtreme 3: Venus                                                                        | Koei Tecmo Games                       | PlayStation Vita | 2016 | Japan
|       | Dekamori Senran Kagura                                                                               | Marvelous AQL                          | PlayStation Vita | 2014 | Japan
|       | Demon Gaze                                                                                           | Kadokawa                               | PlayStation Vita | 2013 | Japan
|       | Demon Gaze II                                                                                        | Kadokawa                               | PlayStation Vita | 2016 | Japan
|       | Dengeki Bunko: Fighting Climax                                                                       | Sega                                   | PlayStation Vita | 2014 | Japan
|       | Dengeki Bunko: Fighting Climax Ignition                                                              | Sega                                   | PlayStation Vita | 2015 | Japan
