|       | ATV Thunder Ridge Riders / Monster Trucks Mayhem                        | Destination Software                   | Nintendo DS | 2007 | North America
|       | ATV Wild Ride                                                           | Destineer                              | Nintendo DS | 2011 | North America
|       | Avalon Code                                                             | Xseed Games                            | Nintendo DS | 2009 | North America
|       | Avatar - The Last Airbender: Into the Inferno                           | THQ                                    | Nintendo DS | 2008 | North America
|       | Avatar: The Last Airbender                                              | THQ                                    | Nintendo DS | 2006 | North America
|       | Avatar: The Last Airbender - The Burning Earth                          | THQ                                    | Nintendo DS | 2007 | North America
|       | Away: Shuffle Dungeon                                                   | Majesco Games                          | Nintendo DS | 2008 | North America
|       | B-17: Fortress in the Sky                                               | DSI Games                              | Nintendo DS | 2007 | North America
|       | B-Units: Build it!                                                      | 505 Games                              | Nintendo DS | 2017 | North America
|       | Baby Life                                                               | Ubisoft                                | Nintendo DS | 2008 | North America
|       | Baby Pals                                                               | Crave                                  | Nintendo DS | 2007 | North America
|       | Babysitting Mania                                                       | Majesco Games                          | Nintendo DS | 2008 | North America
|       | Bachelor: The Videogame, The                                            | Warner Bros. Interactive Entertainment | Nintendo DS | 2010 | North America
|       | Back at the Barnyard: Slop Bucket Games                                 | THQ                                    | Nintendo DS | 2008 | North America
|       | Backyard Baseball '09                                                   | Atari                                  | Nintendo DS | 2008 | North America
|       | Backyard Baseball '10                                                   | Atari                                  | Nintendo DS | 2009 | North America
|       | Backyard Basketball                                                     | Humongous Entertainment                | Nintendo DS | 2007 | North America
|       | Backyard Football                                                       | Humongous Entertainment                | Nintendo DS | 2007 | North America
|       | Backyard Football 2009                                                  | Atari                                  | Nintendo DS | 2008 | North America
|       | Backyard Hockey                                                         | Humongous Entertainment                | Nintendo DS | 2007 | North America
|       | Backyard Sports: Rookie Rush                                            | Atari                                  | Nintendo DS | 2010 | North America
|       | Backyard Sports: Sandlot Sluggers                                       | Atari                                  | Nintendo DS | 2010 | North America
|       | Backyardigans, The                                                      | 2K Play                                | Nintendo DS | 2009 | North America
|       | Bakugan Battle Brawlers                                                 | Activision                             | Nintendo DS | 2009 | North America
|       | Bakugan Battle Brawlers: Battle Trainer                                 | Activision                             | Nintendo DS | 2010 | North America
|       | Bakugan: Defenders of the Core                                          | Activision                             | Nintendo DS | 2010 | North America
|       | Bakugan: Rise of the Resistance                                         | Activision                             | Nintendo DS | 2011 | North America
|       | Balloon Pop                                                             | UFO Interactive                        | Nintendo DS | 2009 | North America
|       | Balls of Fury                                                           | DSI Games                              | Nintendo DS | 2007 | North America
|       | Band Hero                                                               | Activision                             | Nintendo DS | 2009 | North America
|       | Bangai-O Spirits                                                        | D3Publisher                            | Nintendo DS | 2008 | North America
|       | Barbie and the Three Musketeers                                         | Activision                             | Nintendo DS | 2009 | North America
|       | Barbie as The Island Princess                                           | Activision                             | Nintendo DS | 2007 | North America
|       | Barbie Dreamhouse Party                                                 | Little Orbit                           | Nintendo DS | 2013 | North America
|       | Barbie Fashion Show: Eye for Style                                      | Activision                             | Nintendo DS | 2008 | North America
|       | Barbie Horse Adventures: Riding Camp                                    | Activision                             | Nintendo DS | 2008 | North America
|       | Barbie in The 12 Dancing Princesses                                     | Activision                             | Nintendo DS | 2007 | North America
|       | Barbie: Groom and Glam Pups                                             | THQ                                    | Nintendo DS | 2010 | North America
|       | Barbie: Jet, Set & Style!                                               | THQ                                    | Nintendo DS | 2011 | North America
|       | Barnyard Blast: Swine of the Night                                      | DSI Games                              | Nintendo DS | 2008 | North America
|       | Batman: The Brave and the Bold - The Videogame                          | Warner Bros. Interactive Entertainment | Nintendo DS | 2010 | North America
|       | Battle of Giants: Dinosaurs                                             | Ubisoft                                | Nintendo DS | 2008 | North America
|       | Battle of Giants: Dragons                                               | Ubisoft                                | Nintendo DS | 2009 | North America
|       | Battle of Giants: Mutant Insects                                        | Ubisoft                                | Nintendo DS | 2010 | North America
|       | Battles of Prince of Persia                                             | Ubisoft                                | Nintendo DS | 2005 | North America
|       | Battleship                                                              | Activision                             | Nintendo DS | 2012 | North America
|       | Battleship / Connect Four / Sorry! / Trouble                            | DSI Games                              | Nintendo DS | 2006 | North America
|       | Beastly: Frantic Foto                                                   | Storm City Games                       | Nintendo DS | 2011 | North America
|       | Beat City                                                               | THQ                                    | Nintendo DS | 2010 | North America
|       | Bee Game, The                                                           | Midway                                 | Nintendo DS | 2007 | North America
|       | Bee Movie Game                                                          | Activision                             | Nintendo DS | 2007 | North America
|       | Bejeweled 3                                                             | PopCap                                 | Nintendo DS | 2011 | North America
|       | Bejeweled Twist                                                         | PopCap                                 | Nintendo DS | 2010 | North America
|       | Bella Sara                                                              | Codemasters                            | Nintendo DS | 2008 | North America
|       | Ben 10 Alien Force: Vilgax Attacks                                      | D3Publisher                            | Nintendo DS | 2009 | North America
|       | Ben 10 Triple Pack                                                      | D3Publisher                            | Nintendo DS | 2011 | North America
|       | Ben 10 Ultimate Alien: Cosmic Destruction                               | D3Publisher                            | Nintendo DS | 2010 | North America
|       | Ben 10: Alien Force                                                     | D3Publisher                            | Nintendo DS | 2008 | North America
|       | Ben 10: Galactic Racing                                                 | D3Publisher                            | Nintendo DS | 2011 | North America
|       | Ben 10: Omniverse                                                       | D3Publisher                            | Nintendo DS | 2012 | North America
|       | Ben 10: Protector of Earth                                              | D3Publisher                            | Nintendo DS | 2007 | North America
|       | Bermuda Triangle: Saving the Coral                                      | Storm City Games                       | Nintendo DS | 2010 | North America
|       | Best Friends Tonight                                                    | Ubisoft                                | Nintendo DS | 2010 | North America
|       | Best of Tests DS                                                        | Conspiracy Entertainment               | Nintendo DS | 2008 | North America
|       | Betty Boop's Double Shift                                               | DSI Games                              | Nintendo DS | 2007 | North America
|       | Beyblade: Metal Fusion                                                  | Hudson Entertainment                   | Nintendo DS | 2010 | North America
|       | Beyblade: Metal Masters                                                 | Konami                                 | Nintendo DS | 2011 | North America
|       | Big Bang Mini                                                           | SouthPeak Games                        | Nintendo DS | 2009 | North America
|       | Big Brain Academy                                                       | Nintendo                               | Nintendo DS | 2006 | North America
|       | Big League Sports: Summer                                               | Activision                             | Nintendo DS | 2009 | North America
|       | Big Mutha Truckers                                                      | Destination Games                      | Nintendo DS | 2005 | North America
|       | Big Time Rush: Backstage Pass                                           | GameMill Publishing                    | Nintendo DS | 2012 | North America
|       | Bigfoot: Collision Course                                               | Zoo Digital Publishing                 | Nintendo DS | 2009 | North America
|       | Biggest Loser, The                                                      | THQ                                    | Nintendo DS | 2009 | North America
|       | Bigs 2, The                                                             | 2K Sports                              | Nintendo DS | 2009 | North America
|       | Biker Mice from Mars                                                    | The Game Factory                       | Nintendo DS | 2007 | North America
|       | Bionicle Heroes                                                         | Eidos Interactive                      | Nintendo DS | 2006 | North America
|       | Black Sigil: Blade of the Exiled                                        | Graffiti Entertainment                 | Nintendo DS | 2009 | North America
