|       | Chaos Field                                                         | O3 Entertainment                       | Nintendo GameCube | 2005 | North America
|       | Charlie and the Chocolate Factory                                   | Global Star Software                   | Nintendo GameCube | 2005 | North America
|       | Charlie's Angels                                                    | Ubisoft                                | Nintendo GameCube | 2003 | North America
|       | Chibi-Robo!                                                         | Nintendo                               | Nintendo GameCube | 2006 | North America
|       | Chicken Little                                                      | Buena Vista Games                      | Nintendo GameCube | 2005 | North America
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The     | Buena Vista Games                      | Nintendo GameCube | 2005 | North America
|       | City Racer                                                          | Ubisoft                                | Nintendo GameCube | 2003 | North America
|       | Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.              | Global Star Software                   | Nintendo GameCube | 2005 | North America
|       | Conflict: Desert Storm                                              | Gotham Games                           | Nintendo GameCube | 2003 | North America
|       | Conflict: Desert Storm II - Back to Baghdad                         | Gotham Games                           | Nintendo GameCube | 2004 | North America
|       | Crash Bandicoot: The Wrath of Cortex                                | VU Games                               | Nintendo GameCube | 2002 | North America
|       | Crash Nitro Kart                                                    | VU Games                               | Nintendo GameCube | 2003 | North America
|       | Crash Tag Team Racing                                               | VU Games                               | Nintendo GameCube | 2005 | North America
|       | Crazy Taxi                                                          | Acclaim                                | Nintendo GameCube | 2001 | North America
|       | Cubivore: Survival of the Fittest                                   | ATLUS                                  | Nintendo GameCube | 2002 | North America
|       | Cubix Robots for Everyone: Showdown                                 | 3DO                                    | Nintendo GameCube | 2003 | North America
|       | Curious George                                                      | Namco                                  | Nintendo GameCube | 2006 | North America
|       | Custom Robo                                                         | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Dakar 2                                                             | Acclaim                                | Nintendo GameCube | 2003 | North America
|       | Dakar 2: The World's Ultimate Rally                                 | Acclaim                                | Nintendo GameCube | 2003 | North America
|       | Dance Dance Revolution: Mario Mix                                   | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Dark Summit                                                         | THQ                                    | Nintendo GameCube | 2002 | North America
|       | Darkened Skye                                                       | Simon & Schuster                       | Nintendo GameCube | 2002 | North America
|       | Dave Mirra Freestyle BMX 2                                          | Acclaim                                | Nintendo GameCube | 2001 | North America
|       | Dead to Rights                                                      | Namco                                  | Nintendo GameCube | 2002 | North America
|       | Def Jam Vendetta                                                    | Electronic Arts                        | Nintendo GameCube | 2003 | North America
|       | Def Jam: Fight for NY                                               | EA Games                               | Nintendo GameCube | 2004 | North America
|       | Defender                                                            | Midway                                 | Nintendo GameCube | 2002 | North America
|       | Demonstration Test Disc Release October 2001                        | Nintendo                               | Nintendo GameCube | 2001 | North America
|       | Die Hard: Vendetta                                                  | Sierra Entertainment                   | Nintendo GameCube | 2002 | North America
|       | Digimon Rumble Arena 2                                              | Bandai                                 | Nintendo GameCube | 2004 | North America
|       | Digimon World 4                                                     | Bandai                                 | Nintendo GameCube | 2005 | North America
|       | Dinotopia: The Sunstone Odyssey                                     | TDK Mediactive                         | Nintendo GameCube | 2003 | North America
|       | Disney Sports: Basketball                                           | Konami                                 | Nintendo GameCube | 2003 | North America
|       | Disney Sports: Football                                             | Konami                                 | Nintendo GameCube | 2002 | North America
|       | Disney Sports: Skateboarding                                        | Konami                                 | Nintendo GameCube | 2002 | North America
|       | Disney Sports: Soccer                                               | Konami                                 | Nintendo GameCube | 2002 | North America
|       | Disney's Donald Duck: Goin' Quackers                                | Ubisoft                                | Nintendo GameCube | 2002 | North America
|       | Disney's Extreme Skate Adventure                                    | Activision                             | Nintendo GameCube | 2003 | North America
|       | Disney's Hide and Sneak                                             | Capcom                                 | Nintendo GameCube | 2003 | North America
|       | Disney's Magical Mirror Starring Mickey Mouse                       | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Disney's Party                                                      | Electronic Arts                        | Nintendo GameCube | 2003 | North America
|       | Disney's PK: Out of the Shadows                                     | Ubisoft                                | Nintendo GameCube | 2002 | North America
|       | Disney's Tarzan Untamed                                             | Ubisoft                                | Nintendo GameCube | 2001 | North America
|       | Donkey Kong Jungle Beat                                             | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Donkey Konga                                                        | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Donkey Konga 2                                                      | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Dora the Explorer: Journey to the Purple Planet                     | Take-Two Interactive                   | Nintendo GameCube | 2005 | North America
|       | Dr. Muto                                                            | Midway                                 | Nintendo GameCube | 2002 | North America
|       | Dragon Ball Z: Budokai                                              | Atari                                  | Nintendo GameCube | 2003 | North America
|       | Dragon Ball Z: Budokai 2                                            | Atari                                  | Nintendo GameCube | 2004 | North America
|       | Dragon Ball Z: Sagas                                                | Atari                                  | Nintendo GameCube | 2005 | North America
|       | Dragon's Lair 3D                                                    | Encore Software, Inc.                  | Nintendo GameCube | 2002 | North America
|       | Driven                                                              | Bam Entertainment                      | Nintendo GameCube | 2002 | North America
|       | Drome Racers                                                        | Electronic Arts                        | Nintendo GameCube | 2003 | North America
|       | Duo Pack: Sonic Heroes / Super Monkey Ball                          | Sega                                   | Nintendo GameCube | 2004 | North America
|       | Ed, Edd n Eddy: The Mis-Edventures                                  | Midway                                 | Nintendo GameCube | 2005 | North America
|       | Egg Mania: Eggstreme Madness                                        | Kemco                                  | Nintendo GameCube | 2002 | North America
|       | Enter the Matrix                                                    | Atari                                  | Nintendo GameCube | 2003 | North America
|       | ESPN International Winter Sports 2002                               | Konami                                 | Nintendo GameCube | 2002 | North America
|       | ESPN MLS ExtraTime 2002                                             | Konami                                 | Nintendo GameCube | 2002 | North America
|       | Eternal Darkness: Sanity's Requiem                                  | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Evolution Skateboarding                                             | Konami                                 | Nintendo GameCube | 2002 | North America
|       | Evolution Snowboarding                                              | Konami                                 | Nintendo GameCube | 2003 | North America
|       | Evolution Worlds                                                    | Ubisoft                                | Nintendo GameCube | 2002 | North America
|       | F-Zero GX                                                           | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | F1 2002                                                             | EA Sports                              | Nintendo GameCube | 2002 | North America
|       | Fairly OddParents! Breakin' Da Rules, The                           | THQ                                    | Nintendo GameCube | 2003 | North America
|       | Fairly OddParents! Shadow Showdown, The                             | THQ                                    | Nintendo GameCube | 2004 | North America
|       | Fantastic 4                                                         | Activision                             | Nintendo GameCube | 2005 | North America
|       | FIFA 07 Soccer                                                      | EA Sports                              | Nintendo GameCube | 2006 | North America
|       | FIFA Soccer 06                                                      | EA Sports                              | Nintendo GameCube | 2005 | North America
|       | FIFA Soccer 2002                                                    | EA Sports                              | Nintendo GameCube | 2001 | North America
|       | FIFA Soccer 2003                                                    | EA Sports                              | Nintendo GameCube | 2002 | North America
|       | FIFA Soccer 2004                                                    | EA Sports                              | Nintendo GameCube | 2003 | North America
|       | FIFA Soccer 2005                                                    | EA Sports                              | Nintendo GameCube | 2004 | North America
