|       | Atomic Betty                                                                                             | Atari SA                               | Game Boy Advance | 2006 | Europe
|       | ATV: Quad Power Racing                                                                                   | Liquid Games                           | Game Boy Advance | 2002 | Europe
|       | ATV: Thunder Ridge Riders                                                                                | Zoo Digital Publishing                 | Game Boy Advance | 2006 | Europe
|       | Avatar: The Legend of Aang                                                                               | THQ                                    | Game Boy Advance | 2007 | Europe
|       | Avatar: The Legend of Aang - The Burning Earth                                                           | THQ                                    | Game Boy Advance | 2007 | Europe
|       | Babar to the Rescue                                                                                      | The Game Factory                       | Game Boy Advance | 2006 | Europe
|       | Back to Stone                                                                                            | Neko Entertainment                     | Game Boy Advance | 2007 | Europe
|       | BackTrack                                                                                                | Telegames                              | Game Boy Advance | 2001 | Europe
|       | Baldur's Gate: Dark Alliance                                                                             | Destination Software                   | Game Boy Advance | 2004 | Europe
|       | Ballistic: Ecks vs. Sever II                                                                             | Bam Entertainment                      | Game Boy Advance | 2002 | Europe
|       | Banjo-Kazooie: Grunty's Revenge                                                                          | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Banjo-Pilot                                                                                              | THQ                                    | Game Boy Advance | 2005 | Europe
|       | Barbie and the Magic of Pegasus                                                                          | VU Games                               | Game Boy Advance | 2005 | Europe
|       | Barbie as the Princess and the Pauper                                                                    | VU Games                               | Game Boy Advance | 2004 | Europe
|       | Barbie Diaries: High School Mystery, The                                                                 | Activision                             | Game Boy Advance | 2006 | Europe
|       | Barbie Horse Adventures                                                                                  | VU Games                               | Game Boy Advance | 2003 | Europe
|       | Barbie in The 12 Dancing Princesses                                                                      | Activision                             | Game Boy Advance | 2006 | Europe
|       | Barbie Software: Groovy Games                                                                            | VU Games                               | Game Boy Advance | 2002 | Europe
|       | Barbie Superpack 2 in 1: Secret Agent / Groovy Games                                                     | VU Games                               | Game Boy Advance | 2005 | Europe
|       | Batman Begins                                                                                            | EA Games                               | Game Boy Advance | 2005 | Europe
|       | Batman: Vengeance                                                                                        | Ubisoft                                | Game Boy Advance | 2001 | Europe
|       | Battlebots: Beyond the Battlebox                                                                         | Sierra Entertainment                   | Game Boy Advance | 2003 | Europe
|       | Best Friends: Hunde & Katzen                                                                             | DTP Entertainment                      | Game Boy Advance | 2006 | Europe
|       | Beyblade G-Revolution                                                                                    | Atari SA                               | Game Boy Advance | 2004 | Europe
|       | Beyblade VForce: Ultimate Blader Jam                                                                     | Atari SA                               | Game Boy Advance | 2003 | Europe
|       | Bibi Blocksberg: Der Magische Hexenkreis                                                                 | Kiddinx                                | Game Boy Advance | 2005 | Europe
|       | Bibi und Tina: Ferien auf dem Martinshof                                                                 | Kiddinx                                | Game Boy Advance | 2006 | Europe
|       | Big Mutha Truckers                                                                                       | Zoo Digital Publishing                 | Game Boy Advance | 2005 | Europe
|       | Bionicle                                                                                                 | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Bionicle Heroes                                                                                          | Eidos Interactive                      | Game Boy Advance | 2006 | Europe
|       | Bionicle: Matoran Adventures                                                                             | Electronic Arts                        | Game Boy Advance | 2002 | Europe
|       | Bionicle: Maze of Shadows                                                                                | THQ                                    | Game Boy Advance | 2005 | Europe
|       | Black Belt Challenge                                                                                     | Xicat Interactive                      | Game Boy Advance | 2002 | Europe
|       | Blackthorne                                                                                              | Blizzard Classic Arcade                | Game Boy Advance | 2003 | Europe
|       | Blue Angelo: Angels from the Shrine                                                                      | Shibuya Interactive                    | Game Boy Advance | 2005 | Europe
|       | Board Game Classics: Chess & Draughts & Backgammon                                                       | Zoo Digital Publishing                 | Game Boy Advance | 2005 | Europe
|       | Boktai 2: Solar Boy Django                                                                               | Konami                                 | Game Boy Advance | 2005 | Europe
|       | Boktai: The Sun Is in Your Hand                                                                          | Konami                                 | Game Boy Advance | 2004 | Europe
|       | Bomberman Max 2: Blue Advance                                                                            | Sierra Entertainment                   | Game Boy Advance | 2003 | Europe
|       | Bomberman Max 2: Red Advance                                                                             | Sierra Entertainment                   | Game Boy Advance | 2003 | Europe
|       | Bomberman Tournament                                                                                     | Activision                             | Game Boy Advance | 2001 | Europe
|       | Boulder Dash EX                                                                                          | Kemco                                  | Game Boy Advance | 2003 | Europe
|       | Boxing Fever                                                                                             | THQ                                    | Game Boy Advance | 2002 | Europe
|       | Bratz                                                                                                    | Ubisoft                                | Game Boy Advance | 2003 | Europe
|       | Bratz: Babyz                                                                                             | THQ                                    | Game Boy Advance | 2006 | Europe
|       | Bratz: Forever Diamondz                                                                                  | THQ                                    | Game Boy Advance | 2006 | Europe
|       | Bratz: Rock Angelz                                                                                       | THQ                                    | Game Boy Advance | 2005 | Europe
|       | Breath of Fire                                                                                           | Ubisoft                                | Game Boy Advance | 2001 | Europe
|       | Breath of Fire II                                                                                        | Ubisoft                                | Game Boy Advance | 2002 | Europe
|       | Brick Em' All                                                                                            | 505 Game Street                        | Game Boy Advance | 2006 | Europe
|       | Britney's Dance Beat                                                                                     | THQ                                    | Game Boy Advance | 2002 | Europe
|       | Broken Sword: The Shadow of the Templars                                                                 | Bam Entertainment                      | Game Boy Advance | 2002 | Europe
|       | Bruce Lee: Return of the Legend                                                                          | Universal Interactive                  | Game Boy Advance | 2003 | Europe
|       | Bubble Bobble: Old & New                                                                                 | Empire Interactive                     | Game Boy Advance | 2003 | Europe
|       | Buffy the Vampire Slayer: Wrath of the Darkhul King                                                      | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Butt Ugly Martians: B.K.M. Battles                                                                       | VU Games                               | Game Boy Advance | 2002 | Europe
|       | Cabbage Patch Kids: The Patch Puppy Rescue                                                               | D3Publisher                            | Game Boy Advance | 2006 | Europe
|       | Cabela's Big Game Hunter 2005 Adventures                                                                 | Zoo Digital Publishing                 | Game Boy Advance | 2005 | Europe
|       | Caesars Palace Advance: Millenium Gold Edition                                                           | THQ                                    | Game Boy Advance | 2002 | Europe
|       | CandyLand & Chutes and Ladders & Original Memory Game                                                    | Zoo Digital Publishing                 | Game Boy Advance | 2006 | Europe
|       | Care Bears: Care Quest                                                                                   | The Game Factory                       | Game Boy Advance | 2006 | Europe
|       | Carrera Power Slide                                                                                      | Stadlbauer                             | Game Boy Advance | 2003 | Europe
|       | Cars                                                                                                     | THQ                                    | Game Boy Advance | 2006 | Europe
|       | Cartoon Network Block Party / Speedway                                                                   | THQ                                    | Game Boy Advance | 2006 | Europe
|       | Casper                                                                                                   | Microids                               | Game Boy Advance | 2002 | Europe
|       | Castlevania                                                                                              | Konami                                 | Game Boy Advance | 2001 | Europe
|       | Castlevania Double Pack                                                                                  | Konami                                 | Game Boy Advance | 2006 | Europe
|       | Castlevania: Aria of Sorrow                                                                              | Konami                                 | Game Boy Advance | 2003 | Europe
|       | Castlevania: Harmony of Dissonance                                                                       | Konami                                 | Game Boy Advance | 2002 | Europe
|       | Castleween                                                                                               | Wanadoo                                | Game Boy Advance | 2003 | Europe
|       | Cat in the Hat, The                                                                                      | Knowledge Adventure Inc.               | Game Boy Advance | 2004 | Europe
|       | Catwoman                                                                                                 | EA Games                               | Game Boy Advance | 2004 | Europe
|       | Catz                                                                                                     | Ubisoft                                | Game Boy Advance | 2006 | Europe
|       | Centipede / Breakout / Warlords                                                                          | Zoo Digital Publishing                 | Game Boy Advance | 2005 | Europe
|       | Charlie and the Chocolate Factory                                                                        | Global Star Software                   | Game Boy Advance | 2005 | Europe
|       | Charlotte's Web                                                                                          | Sega                                   | Game Boy Advance | 2007 | Europe
|       | Chessmaster                                                                                              | Ubisoft                                | Game Boy Advance | 2002 | Europe
|       | Chicken Shoot                                                                                            | Zoo Digital Publishing                 | Game Boy Advance | 2005 | Europe
|       | Chicken Shoot 2                                                                                          | Zoo Digital Publishing                 | Game Boy Advance | 2005 | Europe
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The                                          | Disney Interactive Studios             | Game Boy Advance | 2005 | Europe
|       | ChuChu Rocket!                                                                                           | Infogrames                             | Game Boy Advance | 2001 | Europe
|       | Classic NES Series: Bomberman                                                                            | Nintendo                               | Game Boy Advance | 2004 | Europe
|       | Classic NES Series: Castlevania                                                                          | Nintendo                               | Game Boy Advance | 2005 | Europe
|       | Classic NES Series: Donkey Kong                                                                          | Nintendo                               | Game Boy Advance | 2004 | Europe
|       | Classic NES Series: Dr. Mario                                                                            | Nintendo                               | Game Boy Advance | 2005 | Europe
|       | Classic NES Series: Excitebike                                                                           | Nintendo                               | Game Boy Advance | 2004 | Europe
|       | Classic NES Series: Ice Climber                                                                          | Nintendo                               | Game Boy Advance | 2004 | Europe
|       | Classic NES Series: Metroid                                                                              | Nintendo                               | Game Boy Advance | 2005 | Europe
|       | Classic NES Series: Pac-Man                                                                              | Nintendo                               | Game Boy Advance | 2004 | Europe
|       | Classic NES Series: Super Mario Bros.                                                                    | Nintendo                               | Game Boy Advance | 2004 | Europe
|       | Classic NES Series: Xevious                                                                              | Nintendo                               | Game Boy Advance | 2004 | Europe
|       | Cocoto Kart Racer                                                                                        | BigBen Interactive                     | Game Boy Advance | 2005 | Europe
|       | Cocoto Platform Jumper                                                                                   | BigBen Interactive                     | Game Boy Advance | 2007 | Europe
|       | Colin McRae Rally 2.0                                                                                    | Ubisoft                                | Game Boy Advance | 2002 | Europe
|       | Columns Crown                                                                                            | Sega                                   | Game Boy Advance | 2001 | Europe
|       | Columns Crown / ChuChu Rocket!                                                                           | Sega                                   | Game Boy Advance | 2008 | Europe
|       | Comix Zone                                                                                               | Sega                                   | Game Boy Advance | 2002 | Europe
|       | Connect Four / Perfection / Trouble                                                                      | Zoo Digital Publishing                 | Game Boy Advance | 2005 | Europe
|       | Contra Advance: The Alien Wars EX                                                                        | Konami                                 | Game Boy Advance | 2003 | Europe
|       | Crash & Spyro Superpack Volume 1                                                                         | VU Games                               | Game Boy Advance | 2005 | Europe
|       | Crash Bandicoot 2: N-Tranced                                                                             | Universal Interactive                  | Game Boy Advance | 2003 | Europe
|       | Crash Bandicoot Fusion                                                                                   | VU Games                               | Game Boy Advance | 2004 | Europe
|       | Crash Bandicoot XS                                                                                       | Universal Interactive                  | Game Boy Advance | 2002 | Europe
|       | Crash Nitro Kart                                                                                         | Universal Interactive                  | Game Boy Advance | 2003 | Europe
|       | Crash of the Titans                                                                                      | Sierra Entertainment                   | Game Boy Advance | 2007 | Europe
|       | Crazy Chase                                                                                              | Kemco                                  | Game Boy Advance | 2002 | Europe
|       | Crazy Frog Racer                                                                                         | Digital Jesters                        | Game Boy Advance | 2005 | Europe
|       | Crazy Taxi: Catch a Ride                                                                                 | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Creatures                                                                                                | Swing! Deutschland                     | Game Boy Advance | 2002 | Europe
|       | Crouching Tiger, Hidden Dragon                                                                           | Ubisoft                                | Game Boy Advance | 2003 | Europe
|       | Cruis'n Velocity                                                                                         | Midway                                 | Game Boy Advance | 2002 | Europe
|       | CT Special Forces                                                                                        | LSP                                    | Game Boy Advance | 2002 | Europe
|       | CT Special Forces 3: BioTerror                                                                           | LSP                                    | Game Boy Advance | 2004 | Europe
|       | CT Special Forces: Back to Hell                                                                          | LSP                                    | Game Boy Advance | 2003 | Europe
|       | Curious George                                                                                           | Namco                                  | Game Boy Advance | 2006 | Europe
|       | Daredevil                                                                                                | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Dark Arena                                                                                               | THQ                                    | Game Boy Advance | 2002 | Europe
|       | Dave Mirra Freestyle BMX 2                                                                               | Acclaim                                | Game Boy Advance | 2002 | Europe
|       | Dave Mirra Freestyle BMX 3                                                                               | Acclaim                                | Game Boy Advance | 2002 | Europe
|       | David Beckham Soccer                                                                                     | Rage Software                          | Game Boy Advance | 2002 | Europe
|       | Davis Cup                                                                                                | Ubisoft                                | Game Boy Advance | 2002 | Europe
|       | Dead to Rights                                                                                           | Zoo Digital Publishing                 | Game Boy Advance | 2004 | Europe
|       | Deadly Skies                                                                                             | Konami                                 | Game Boy Advance | 2002 | Europe
|       | Defender of the Crown                                                                                    | Zoo Digital Publishing                 | Game Boy Advance | 2004 | Europe
|       | Defender: For All Mankind                                                                                | Midway                                 | Game Boy Advance | 2003 | Europe
|       | Demon Driver: Time to Burn Some Rubber                                                                   | Ignition Entertainment                 | Game Boy Advance | 2003 | Europe
|       | Denki Blocks!                                                                                            | Rage Software                          | Game Boy Advance | 2001 | Europe
|       | Dexter's Laboratory: Chess Challenge                                                                     | Bam Entertainment                      | Game Boy Advance | 2002 | Europe
|       | Dexter's Laboratory: Deesaster Strikes!                                                                  | Bam Entertainment                      | Game Boy Advance | 2001 | Europe
|       | Die Biene Maja: Klatschmohnwiese in Gefahr                                                               | Midway                                 | Game Boy Advance | 2006 | Europe
|       | Die Biene Maja: Suesses Gold                                                                             | Midway                                 | Game Boy Advance | 2005 | Europe
|       | Die Wilden Fussball Kerle: Entscheidung im Teufelstopf                                                   | Kiddinx                                | Game Boy Advance | 2006 | Europe
|       | Die Wilden Fussball Kerle: Gefahr im Wilde Kerle Land                                                    | Kiddinx                                | Game Boy Advance | 2007 | Europe
|       | Digimon Battle Spirit                                                                                    | Bandai                                 | Game Boy Advance | 2003 | Europe
|       | Digimon Battle Spirit 2                                                                                  | Bandai                                 | Game Boy Advance | 2004 | Europe
|       | Digimon Racing                                                                                           | Bandai                                 | Game Boy Advance | 2004 | Europe
|       | Dinotopia: The Timestone Pirates                                                                         | TDK Mediactive                         | Game Boy Advance | 2002 | Europe
|       | Disney Princess                                                                                          | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Disney Princess: Royal Adventure                                                                         | Buena Vista Games                      | Game Boy Advance | 2006 | Europe
|       | Disney Sports: Basketball                                                                                | Konami                                 | Game Boy Advance | 2003 | Europe
|       | Disney Sports: Football                                                                                  | Konami                                 | Game Boy Advance | 2003 | Europe
|       | Disney Sports: Motocross                                                                                 | Konami                                 | Game Boy Advance | 2003 | Europe
|       | Disney Sports: Skateboarding                                                                             | Konami                                 | Game Boy Advance | 2003 | Europe
|       | Disney Sports: Snowboarding                                                                              | Konami                                 | Game Boy Advance | 2003 | Europe
|       | Disney's Aladdin                                                                                         | Capcom                                 | Game Boy Advance | 2004 | Europe
|       | Disney's American Dragon: Jake Long                                                                      | Buena Vista Games                      | Game Boy Advance | 2006 | Europe
|       | Disney's Atlantis: The Lost Empire                                                                       | THQ                                    | Game Boy Advance | 2001 | Europe
|       | Disney's Brother Bear                                                                                    | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Disney's Chicken Little                                                                                  | Buena Vista Interactive                | Game Boy Advance | 2006 | Europe
|       | Disney's Cinderella: Magical Dreams                                                                      | Buena Vista Interactive                | Game Boy Advance | 2005 | Europe
|       | Disney's Donald Duck Advance                                                                             | Ubisoft                                | Game Boy Advance | 2001 | Europe
|       | Disney's Extreme Skate Adventure                                                                         | Activision                             | Game Boy Advance | 2003 | Europe
|       | Disney's Herbie: Fully Loaded                                                                            | Buena Vista Interactive                | Game Boy Advance | 2005 | Europe
|       | Disney's Home on the Range                                                                               | Disney Interactive Studios             | Game Boy Advance | 2004 | Europe
|       | Disney's Kim Possible                                                                                    | Buena Vista Interactive                | Game Boy Advance | 2003 | Europe
|       | Disney's Kim Possible 2: Drakken's Demise                                                                | Buena Vista Interactive                | Game Boy Advance | 2006 | Europe
|       | Disney's Lilo & Stitch                                                                                   | Ubisoft                                | Game Boy Advance | 2002 | Europe
|       | Disney's Lilo & Stitch 2                                                                                 | Buena Vista Interactive                | Game Boy Advance | 2004 | Europe
|       | Disney's Magical Quest 2 Starring Mickey and Minnie                                                      | Capcom                                 | Game Boy Advance | 2003 | Europe
|       | Disney's Magical Quest 3 Starring Mickey and Donald                                                      | Capcom                                 | Game Boy Advance | 2004 | Europe
|       | Disney's Magical Quest Starring Mickey & Minnie                                                          | Nintendo                               | Game Boy Advance | 2002 | Europe
|       | Disney's Meet the Robinsons                                                                              | Disney Interactive Studios             | Game Boy Advance | 2007 | Europe
|       | Disney's Party                                                                                           | Hudson                                 | Game Boy Advance | 2003 | Europe
|       | Disney's Peter Pan: Return to Neverland                                                                  | Ubisoft                                | Game Boy Advance | 2002 | Europe
|       | Disney's Piglet's Big Game                                                                               | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Disney's Tarzan: Return to the Jungle                                                                    | Activision                             | Game Boy Advance | 2002 | Europe
|       | Disney's The Jungle Book 2                                                                               | Ubisoft                                | Game Boy Advance | 2002 | Europe
|       | Disney's The Lion King                                                                                   | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Disney's The Little Mermaid: Magic in Two Kingdoms                                                       | Buena Vista Games                      | Game Boy Advance | 2006 | Europe
|       | Disney's Treasure Planet                                                                                 | Ubisoft                                | Game Boy Advance | 2003 | Europe
|       | Disney's Winnie the Pooh's Rumbly Tumbly Adventure                                                       | Ubisoft                                | Game Boy Advance | 2005 | Europe
|       | Disney's Winnie the Pooh's Rumbly Tumbly Adventure / Rayman 3                                            | Ubisoft                                | Game Boy Advance | 2006 | Europe
|       | Disney/Pixar Finding Nemo                                                                                | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Disney/Pixar Finding Nemo: The Continuing Adventures                                                     | THQ                                    | Game Boy Advance | 2004 | Europe
|       | Disney/Pixar Monsters, Inc.                                                                              | THQ                                    | Game Boy Advance | 2002 | Europe
|       | Disney/Pixar Ratatouille                                                                                 | THQ                                    | Game Boy Advance | 2007 | Europe
|       | DK: King of Swing                                                                                        | Nintendo                               | Game Boy Advance | 2005 | Europe
|       | Dogz                                                                                                     | Ubisoft                                | Game Boy Advance | 2005 | Europe
|       | Dogz 2                                                                                                   | Ubisoft                                | Game Boy Advance | 2007 | Europe
|       | Dogz Fashion                                                                                             | Ubisoft                                | Game Boy Advance | 2006 | Europe
|       | Dokapon: Monster Hunter!                                                                                 | Ubisoft                                | Game Boy Advance | 2002 | Europe
|       | Donkey Kong Country                                                                                      | Nintendo                               | Game Boy Advance | 2003 | Europe
|       | Donkey Kong Country 2                                                                                    | Nintendo                               | Game Boy Advance | 2004 | Europe
|       | Donkey Kong Country 3                                                                                    | Nintendo                               | Game Boy Advance | 2005 | Europe
|       | Doom                                                                                                     | Activision                             | Game Boy Advance | 2001 | Europe
|       | Doom II                                                                                                  | Activision                             | Game Boy Advance | 2002 | Europe
|       | Dora the Explorer: Super Star Adventures                                                                 | The Game Factory                       | Game Boy Advance | 2006 | Europe
|       | Double Game!: Monster Trucks & Quad Desert Fury                                                          | Majesco                                | Game Boy Advance | 2006 | Europe
|       | Downforce                                                                                                | Titus Software                         | Game Boy Advance | 2002 | Europe
|       | Dr. Mario / Puzzle League                                                                                | Nintendo                               | Game Boy Advance | 2005 | Europe
|       | Dr. Muto                                                                                                 | Midway                                 | Game Boy Advance | 2002 | Europe
|       | Dr. Sudoku                                                                                               | Mastiff                                | Game Boy Advance | 2006 | Europe
|       | Dragon Ball Z: Supersonic Warriors                                                                       | Atari SA                               | Game Boy Advance | 2004 | Europe
|       | Dragon Ball Z: Taiketsu                                                                                  | Atari SA                               | Game Boy Advance | 2004 | Europe
|       | Dragon Ball Z: The Legacy of Goku                                                                        | Infogrames                             | Game Boy Advance | 2002 | Europe
|       | Dragon Ball Z: The Legacy of Goku II                                                                     | Infogrames                             | Game Boy Advance | 2003 | Europe
|       | Dragon Ball: Advanced Adventure                                                                          | Bandai                                 | Game Boy Advance | 2005 | Europe
|       | Dragon's Rock                                                                                            | East Entertainment Media               | Game Boy Advance | 2006 | Europe
|       | DreamWorks & Aardman Flushed Away                                                                        | D3Publisher                            | Game Boy Advance | 2006 | Europe
|       | Dreamworks Madagascar: Operation Penguin                                                                 | Activision                             | Game Boy Advance | 2005 | Europe
|       | DreamWorks Shark Tale                                                                                    | Activision                             | Game Boy Advance | 2004 | Europe
|       | DRIV3R                                                                                                   | Atari SA                               | Game Boy Advance | 2005 | Europe
|       | Driven                                                                                                   | Bam Entertainment                      | Game Boy Advance | 2001 | Europe
|       | Driver 2 Advance                                                                                         | Atari SA                               | Game Boy Advance | 2002 | Europe
|       | Drome Racers                                                                                             | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Droopy's Tennis Open                                                                                     | LSP                                    | Game Boy Advance | 2002 | Europe
|       | Duel Masters 2: Kajudo Showdown                                                                          | Atari SA                               | Game Boy Advance | 2005 | Europe
|       | Duel Masters 2: Kirifuda Shoubu Version                                                                  | Takara                                 | Game Boy Advance | 2005 | Europe
|       | Duel Masters: Sempai Legends                                                                             | Atari SA                               | Game Boy Advance | 2004 | Europe
|       | Duel Masters: Shadow of the Code                                                                         | Atari SA                               | Game Boy Advance | 2005 | Europe
|       | Duke Nukem Advance                                                                                       | Take-Two Interactive                   | Game Boy Advance | 2002 | Europe
|       | Dungeons & Dragons: Eye of the Beholder                                                                  | Infogrames                             | Game Boy Advance | 2002 | Europe
|       | Dynasty Warriors Advance                                                                                 | Nintendo                               | Game Boy Advance | 2005 | Europe
|       | E.T. The 20th Anniversary                                                                                | NewKidCo                               | Game Boy Advance | 2002 | Europe
|       | Earthworm Jim                                                                                            | Interplay                              | Game Boy Advance | 2001 | Europe
|       | Earthworm Jim 2                                                                                          | Sierra Entertainment                   | Game Boy Advance | 2002 | Europe
|       | Ecks vs. Sever                                                                                           | Bam Entertainment                      | Game Boy Advance | 2001 | Europe
|       | Ed, Edd n Eddy: Jawbreakers!                                                                             | Bam Entertainment                      | Game Boy Advance | 2002 | Europe
