|       | Bishoujo Hanafuda Kikou: Michinoku Hitou Koimonogatari Special                                        | Fog                           | Sega Saturn | 1997 | Japan
|       | Bishoujo Senshi Sailor Moon Super S: Various Emotion                                                  | Angel (Bandai)                | Sega Saturn | 1996 | Japan
|       | Black Dawn                                                                                            | Virgin Interactive            | Sega Saturn | 1997 | Japan
|       | Black Fire                                                                                            | Virgin Interactive            | Sega Saturn | 1995 | Japan
|       | Black/Matrix                                                                                          | NEC Interchannel              | Sega Saturn | 1998 | Japan
|       | Blam! Machinehead                                                                                     | Virgin Interactive            | Sega Saturn | 1997 | Japan
|       | Blast Wind                                                                                            | TechnoSoft                    | Sega Saturn | 1997 | Japan
|       | Blood Factory                                                                                         | Electronic Arts Victor        | Sega Saturn | 1996 | Japan
|       | Blue Breaker: Ken Yorimo Hohoemi o                                                                    | Human Entertainment           | Sega Saturn | 1997 | Japan
|       | Blue Seed                                                                                             | Sega                          | Sega Saturn | 1995 | Japan
|       | Body Special 264: Girls in Motion Puzzle Vol. 2                                                       | Yanoman                       | Sega Saturn | 1996 | Japan
|       | Bokan to Ippatsu! Doronbo Kanpekihen                                                                  | Banpresto                     | Sega Saturn | 1997 | Japan
|       | Bomberman Wars                                                                                        | Hudson                        | Sega Saturn | 1998 | Japan
|       | Bouken Katsugeki Monomono                                                                             | Shoeisha                      | Sega Saturn | 1997 | Japan
|       | Brain Battle Q                                                                                        | Clef                          | Sega Saturn | 1996 | Japan
|       | Brain Dead 13                                                                                         | Coconuts Japan                | Sega Saturn | 1996 | Japan
|       | Break Point                                                                                           | Pack-In-Video                 | Sega Saturn | 1997 | Japan
|       | BreakThru!                                                                                            | Shoeisha                      | Sega Saturn | 1995 | Japan
|       | Bubble Symphony                                                                                       | Taito                         | Sega Saturn | 1997 | Japan
|       | Bug Too!                                                                                              | Sega                          | Sega Saturn | 1997 | Japan
|       | Bug!                                                                                                  | Sega                          | Sega Saturn | 1995 | Japan
|       | Bulk Slash                                                                                            | Hudson                        | Sega Saturn | 1997 | Japan
|       | Burning Rangers                                                                                       | Sega                          | Sega Saturn | 1998 | Japan
|       | Can Can Bunny Extra                                                                                   | Kid                           | Sega Saturn | 1997 | Japan
|       | Can Can Bunny Premiere                                                                                | Kid                           | Sega Saturn | 1996 | Japan
|       | Can Can Bunny Premiere 2                                                                              | Kid                           | Sega Saturn | 1996 | Japan
|       | Capcom Generation 1: Dai 1 Shuu Gekitsuiou no Jidai                                                   | Capcom                        | Sega Saturn | 1998 | Japan
|       | Capcom Generation 2: Dai 2 Shuu Makai to Kishi                                                        | Capcom                        | Sega Saturn | 1998 | Japan
|       | Capcom Generation 3: Dai 3 Shuu Koko ni Rekishi Hajimaru                                              | Capcom                        | Sega Saturn | 1998 | Japan
|       | Capcom Generation 4: Dai 4 Shuu Kokou no Eiyuu                                                        | Capcom                        | Sega Saturn | 1998 | Japan
|       | Capcom Generation 5: Dai 5 Shuu Kakutouka-tachi                                                       | Capcom                        | Sega Saturn | 1998 | Japan
|       | Casper                                                                                                | Electronic Arts Victor        | Sega Saturn | 1997 | Japan
|       | Cat the Ripper: 13 Nin Me no Tantei Shi                                                               | Tonkin House                  | Sega Saturn | 1997 | Japan
|       | Chaos Control                                                                                         | Virgin Interactive            | Sega Saturn | 1995 | Japan
|       | Chaos Control Remix                                                                                   | Virgin Interactive            | Sega Saturn | 1996 | Japan
|       | Chibi Maruko-Chan no Taisen Puzzle Dama                                                               | Konami                        | Sega Saturn | 1995 | Japan
|       | Choaniki: Kyuukyoku Muteki Ginga Saikyou Otoko                                                        | Nippon Computer System        | Sega Saturn | 1996 | Japan
|       | Choro Q Park                                                                                          | Sega                          | Sega Saturn | 1998 | Japan
|       | Choujikuu Yousai Macross: Ai Oboete Imasu ka                                                          | Bandai                        | Sega Saturn | 1997 | Japan
