|       | BurgerTime Deluxe                                                    | Data East                    | Game Boy | 1991 | Japan
|       | Burning Paper                                                        | LOZC G. Amusements           | Game Boy | 1993 | Japan
|       | Cadillac II                                                          | Hect                         | Game Boy | 1990 | Japan
|       | Caesars Palace                                                       | Coconuts Japan               | Game Boy | 1992 | Japan
|       | Capcom Quiz: Hatena? no Daibouken                                    | Capcom                       | Game Boy | 1990 | Japan
|       | Captain Tsubasa J: Zenkoku Seiha e no Chousen                        | Bandai                       | Game Boy | 1995 | Japan
|       | Captain Tsubasa VS                                                   | Tecmo                        | Game Boy | 1992 | Japan
|       | Card Game                                                            | Coconuts Japan               | Game Boy | 1990 | Japan
|       | Cave Noire                                                           | Konami                       | Game Boy | 1991 | Japan
|       | Chacha-Maru Panic                                                    | Human Entertainment          | Game Boy | 1991 | Japan
|       | Chachamaru Boukenki 3: Abyss no Tou                                  | Human Entertainment          | Game Boy | 1991 | Japan
|       | Chalvo 55                                                            | Japan System Supply          | Game Boy | 1997 | Japan
|       | Chessmaster, The                                                     | Altron                       | Game Boy | 1994 | Japan
|       | Chibi Maruko-Chan 2: Deluxe Maruko World                             | Takara                       | Game Boy | 1991 | Japan
|       | Chibi Maruko-Chan 3: Mezase! Game Taishou no Maki                    | Takara                       | Game Boy | 1992 | Japan
|       | Chibi Maruko-Chan 4: Korega Nippon Dayo! Oujisama                    | Takara                       | Game Boy | 1992 | Japan
|       | Chibi Maruko-Chan Okozukai Daisakusen!                               | Takara                       | Game Boy | 1990 | Japan
|       | Chibi Maruko-Chan: Maruko Deluxe Gekijou                             | Takara                       | Game Boy | 1995 | Japan
|       | Chiki Chiki Machine Mou Race                                         | ATLUS                        | Game Boy | 1992 | Japan
|       | Chiki Chiki Tengoku                                                  | J-Wing                       | Game Boy | 1995 | Japan
|       | Chikyuu Kaihougun ZAS                                                | T&E Soft                     | Game Boy | 1992 | Japan
|       | Choplifter II                                                        | Victor Interactive Software  | Game Boy | 1991 | Japan
|       | Chou Majin Eiyuuden Wataru: Mazekko Monster                          | Banpresto                    | Game Boy | 1997 | Japan
|       | Chou Majin Eiyuuden Wataru: Mazekko Monster 2                        | Banpresto                    | Game Boy | 1998 | Japan
|       | Chousoku Spinner                                                     | Hudson                       | Game Boy | 1998 | Japan
|       | Collection Pocket                                                    | Naxat Soft                   | Game Boy | 1997 | Japan
|       | Contra                                                               | Konami                       | Game Boy | 1991 | Japan
|       | Contra Spirits                                                       | Konami                       | Game Boy | 1994 | Japan
|       | Cosmo Tank                                                           | ATLUS                        | Game Boy | 1990 | Japan
|       | Crayon Shin-Chan 2: Ora to Wanpaku Gokko Dazo                        | Banalex                      | Game Boy | 1993 | Japan
|       | Crayon Shin-Chan 3: Ora no Gokigen Athletic                          | Bandai                       | Game Boy | 1994 | Japan
|       | Crayon Shin-Chan 4: Ora no Itazura Dai Henshin                       | Bandai                       | Game Boy | 1994 | Japan
|       | Crayon Shin-Chan: Ora no Gokigen Collection                          | Bandai                       | Game Boy | 1996 | Japan
|       | Crayon Shin-Chan: Ora to Shiro wa Otomodachi da yo                   | Bandai                       | Game Boy | 1993 | Japan
|       | Cult Jump                                                            | Bandai                       | Game Boy | 1993 | Japan
|       | Cult Master: Ultraman ni Miserarete                                  | Bandai                       | Game Boy | 1993 | Japan
|       | Dai-2-Ji Super Robot Taisen G                                        | Banpresto                    | Game Boy | 1995 | Japan
|       | Daikaijyuu Monogatari: Miracle of the Zone                           | Hudson                       | Game Boy | 1998 | Japan
|       | Daiku no Gen-San: Ghost Building Company                             | Irem                         | Game Boy | 1992 | Japan
|       | Daiku no Gen-San: Robot Teikoku no Yabou                             | Irem                         | Game Boy | 1994 | Japan
|       | Daisenryaku                                                          | Hiro                         | Game Boy | 1991 | Japan
|       | Dead Heat Scramble                                                   | Copya Systems                | Game Boy | 1990 | Japan
|       | Dino Breeder                                                         | J-Wing                       | Game Boy | 1997 | Japan
|       | Dino Breeder 2                                                       | J-Wing                       | Game Boy | 1998 | Japan
|       | Dirty Racing                                                         | Jaleco Entertainment         | Game Boy | 1993 | Japan
|       | Disney's DuckTales                                                   | Capcom                       | Game Boy | 1990 | Japan
