|       | BioHazard 6                                                 | Capcom                                 | Xbox 360 | 2012 | Japan
|       | BioHazard: Operation Raccoon City                           | Capcom                                 | Xbox 360 | 2012 | Japan
|       | BioHazard: Revelations - Unveiled Edition                   | Capcom                                 | Xbox 360 | 2013 | Japan
|       | BioHazard: Revival Selection                                | Capcom                                 | Xbox 360 | 2011 | Japan
|       | Bionic Commando                                             | Capcom                                 | Xbox 360 | 2009 | Japan
|       | BioShock                                                    | Spike                                  | Xbox 360 | 2008 | Japan
|       | BioShock 2                                                  | D3Publisher                            | Xbox 360 | 2010 | Japan
|       | BioShock Infinite                                           | 2K Games                               | Xbox 360 | 2013 | Japan
|       | Blades of Time                                              | Konami                                 | Xbox 360 | 2012 | Japan
|       | Bladestorm: Hyakunen Sensou                                 | Koei                                   | Xbox 360 | 2007 | Japan
|       | BlazBlue                                                    | Arc System Works                       | Xbox 360 | 2009 | Japan
|       | BlazBlue: Continuum Shift                                   | Arc System Works                       | Xbox 360 | 2010 | Japan
|       | BlazBlue: Continuum Shift Extend                            | Arc System Works                       | Xbox 360 | 2011 | Japan
|       | Blazing Angels 2: Secret Missions of WWII                   | Ubisoft                                | Xbox 360 | 2008 | Japan
|       | Blue Dragon                                                 | Microsoft Game Studios                 | Xbox 360 | 2006 | Japan
|       | Blur Racerz                                                 | Square Enix                            | Xbox 360 | 2010 | Japan
|       | Bomberman: Act Zero                                         | Hudson                                 | Xbox 360 | 2006 | Japan
|       | Borderlands                                                 | 2K Games                               | Xbox 360 | 2010 | Japan
|       | Borderlands 2                                               | 2K Games                               | Xbox 360 | 2012 | Japan
|       | Borderlands 2: Game of the Year Edition                     | 2K Games                               | Xbox 360 | 2014 | Japan
|       | Borderlands: Game of the Year Edition                       | Take-Two Interactive                   | Xbox 360 | 2010 | Japan
|       | Borderlands: The Pre-Sequel!                                | 2K Games                               | Xbox 360 | 2014 | Japan
|       | Brink                                                       | Bethesda Softworks                     | Xbox 360 | 2011 | Japan
|       | Brothers In Arms: Hell's Highway                            | Ubisoft                                | Xbox 360 | 2008 | Japan
|       | Bullet Soul: Infinite Burst                                 | 5pb                                    | Xbox 360 | 2014 | Japan
|       | Bullet Soul: Tama Tamashii                                  | 5pb                                    | Xbox 360 | 2011 | Japan
|       | Bullet Witch                                                | AQ Interactive                         | Xbox 360 | 2006 | Japan
|       | Bulletstorm                                                 | Electronic Arts                        | Xbox 360 | 2011 | Japan
|       | Bully                                                       | Bethesda Softworks                     | Xbox 360 | 2008 | Japan
|       | Burnout Paradise                                            | Electronic Arts                        | Xbox 360 | 2008 | Japan
|       | Burnout Revenge                                             | Electronic Arts                        | Xbox 360 | 2006 | Japan
|       | Caladrius                                                   | Moss                                   | Xbox 360 | 2013 | Japan
|       | Call of Duty 2                                              | Konami                                 | Xbox 360 | 2006 | Japan
|       | Call of Duty 3                                              | Spike                                  | Xbox 360 | 2007 | Japan
|       | Call of Duty 4: Modern Warfare                              | Activision                             | Xbox 360 | 2007 | Japan
|       | Call of Duty: Advanced Warfare                              | Square Enix                            | Xbox 360 | 2014 | Japan
|       | Call of Duty: Black Ops                                     | Square Enix                            | Xbox 360 | 2010 | Japan
|       | Call of Duty: Black Ops II                                  | Square Enix                            | Xbox 360 | 2012 | Japan
|       | Call of Duty: Black Ops III                                 | Microsoft Game Studios                 | Xbox 360 | 2015 | Japan
|       | Call of Duty: Ghosts                                        | Square Enix                            | Xbox 360 | 2013 | Japan
|       | Call of Duty: Modern Warfare 2                              | Square Enix                            | Xbox 360 | 2009 | Japan
|       | Call of Duty: Modern Warfare 3                              | Square Enix                            | Xbox 360 | 2011 | Japan
|       | Call of Juarez                                              | Ubisoft                                | Xbox 360 | 2008 | Japan
|       | Call of Juarez: Chi no Kizuna                               | Ubisoft                                | Xbox 360 | 2009 | Japan
|       | Call of Juarez: The Cartel                                  | Ubisoft                                | Xbox 360 | 2011 | Japan
|       | Castlevania: Lords of Shadow                                | Konami                                 | Xbox 360 | 2010 | Japan
|       | Catherine                                                   | ATLUS                                  | Xbox 360 | 2011 | Japan
|       | Cave Shooting Collection                                    | Cave                                   | Xbox 360 | 2013 | Japan
|       | Cave Shooting Collection Kan                                | Cave                                   | Xbox 360 | 2014 | Japan
|       | Champion Jockey: G1 Jockey & Gallop Racer                   | Koei Tecmo Games                       | Xbox 360 | 2011 | Japan
|       | Chaos;Head Love Chu*Chu!                                    | 5pb                                    | Xbox 360 | 2010 | Japan
|       | Chaos;Head Noah                                             | 5pb                                    | Xbox 360 | 2009 | Japan
|       | Chikyuu Boueigun 3                                          | D3Publisher                            | Xbox 360 | 2006 | Japan
|       | Chikyuu Boueigun 4                                          | D3Publisher                            | Xbox 360 | 2013 | Japan
|       | Child of Eden                                               | Ubisoft                                | Xbox 360 | 2011 | Japan
|       | Chromehounds                                                | Sega                                   | Xbox 360 | 2006 | Japan
|       | Clannad                                                     | Prototype                              | Xbox 360 | 2008 | Japan
|       | Clash of the Titans                                         | Bandai Namco Games                     | Xbox 360 | 2010 | Japan
|       | code_18                                                     | CyberFront                             | Xbox 360 | 2011 | Japan
|       | Colin McRae: DiRT 2                                         | Codemasters                            | Xbox 360 | 2009 | Japan
|       | Combat Wings: The Great Battles of WWII                     | CyberFront                             | Xbox 360 | 2013 | Japan
|       | Conan                                                       | THQ                                    | Xbox 360 | 2007 | Japan
|       | Condemned: Psycho Crime                                     | Sega                                   | Xbox 360 | 2006 | Japan
|       | Conveni 200X, The                                           | Hamster                                | Xbox 360 | 2006 | Japan
|       | Cross Channel: In Memory of All People                      | CyberFront                             | Xbox 360 | 2011 | Japan
|       | Cross Edge Dash                                             | Compile Heart                          | Xbox 360 | 2009 | Japan
|       | Crossboard 7                                                | Konami                                 | Xbox 360 | 2010 | Japan
|       | Crysis 2                                                    | EA Games                               | Xbox 360 | 2011 | Japan
|       | Crysis 3                                                    | EA Games                               | Xbox 360 | 2013 | Japan
|       | Culdcept Saga                                               | Namco Bandai Games                     | Xbox 360 | 2006 | Japan
|       | Dance Central                                               | Microsoft Game Studios                 | Xbox 360 | 2011 | Japan
|       | Dance Central 2                                             | Microsoft Game Studios                 | Xbox 360 | 2011 | Japan
|       | Dance Central 3                                             | Microsoft Game Studios                 | Xbox 360 | 2012 | Japan
|       | DanceEvolution                                              | Konami                                 | Xbox 360 | 2010 | Japan
|       | Dante's Inferno: Shinkyoku Jigoku-Hen                       | Electronic Arts                        | Xbox 360 | 2010 | Japan
|       | Dark Messiah of Might and Magic: Elements                   | Ubisoft                                | Xbox 360 | 2008 | Japan
|       | Dark Sector                                                 | D3Publisher                            | Xbox 360 | 2008 | Japan
|       | Dark Souls II                                               | From Software                          | Xbox 360 | 2014 | Japan
|       | Dark Souls II: Scholar of the First Sin                     | From Software                          | Xbox 360 | 2015 | Japan
|       | Darkness II, The                                            | 2K Games                               | Xbox 360 | 2012 | Japan
|       | Darkness, The                                               | Spike                                  | Xbox 360 | 2008 | Japan
|       | Darksiders II                                               | Spike Chunsoft                         | Xbox 360 | 2012 | Japan
|       | Darksiders: Shinpan no Toki                                 | Konami                                 | Xbox 360 | 2010 | Japan
|       | Dead Island                                                 | Spike                                  | Xbox 360 | 2011 | Japan
|       | Dead Island: Riptide                                        | Spike Chunsoft                         | Xbox 360 | 2013 | Japan
|       | Dead Island: Zombie of the Year Edition                     | Spike Chunsoft                         | Xbox 360 | 2012 | Japan
|       | Dead or Alive 4                                             | Tecmo                                  | Xbox 360 | 2005 | Japan
|       | Dead or Alive 5                                             | Koei Tecmo Games                       | Xbox 360 | 2012 | Japan
|       | Dead or Alive 5 Ultimate                                    | Koei Tecmo Games                       | Xbox 360 | 2013 | Japan
|       | Dead or Alive Xtreme 2                                      | Tecmo                                  | Xbox 360 | 2006 | Japan
