|       | Rise of the Dragon: A Blade Hunter Mystery                | Sega                                  | Sega CD | 1992 | Japan
|       | Road Blaster FX                                           | Wolf Team                             | Sega CD | 1992 | Japan
|       | San Goku Shi III                                          | Koei                                  | Sega CD | 1993 | Japan
|       | Sega Classic Arcade Collection                            | Sega                                  | Sega CD | 1993 | Japan
|       | Seima Densetsu 3X3 Eyes                                   | Sega                                  | Sega CD | 1993 | Japan
|       | Seirei Shinseiki Fhey Area                                | Wolf Team                             | Sega CD | 1992 | Japan
|       | Sengoku Denshou                                           | Sammy Studios                         | Sega CD | 1993 | Japan
|       | Shadow of the Beast II: Jashin no Jubaku                  | Victor Interactive Software           | Sega CD | 1994 | Japan
|       | Shadowrun                                                 | Compile                               | Sega CD | 1996 | Japan
|       | Shin Megami Tensei                                        | Sims                                  | Sega CD | 1994 | Japan
|       | Shining Force CD                                          | Sega                                  | Sega CD | 1994 | Japan
|       | Silpheed                                                  | Game Arts                             | Sega CD | 1993 | Japan
|       | SimEarth: The Living Planet                               | Sega                                  | Sega CD | 1993 | Japan
|       | Sol-Feace                                                 | Wolf Team                             | Sega CD | 1991 | Japan
|       | Sonic the Hedgehog CD                                     | Sega                                  | Sega CD | 1993 | Japan
|       | Soul Star                                                 | Victor Interactive Software           | Sega CD | 1994 | Japan
|       | Star Wars: Rebel Assault                                  | Victor Interactive Software           | Sega CD | 1994 | Japan
|       | Starblade                                                 | Namco                                 | Sega CD | 1994 | Japan
|       | Surgical Strike                                           | Sega                                  | Sega CD | 1995 | Japan
|       | Switch                                                    | Sega                                  | Sega CD | 1993 | Japan
|       | Tenbu: Mega CD Special                                    | Wolf Team                             | Sega CD | 1992 | Japan
|       | Tenka Fubu: Eiyuutachi no Houkou                          | Game Arts                             | Sega CD | 1991 | Japan
|       | Third World War                                           | Micronet                              | Sega CD | 1993 | Japan
|       | Thunder Storm FX                                          | Wolf Team                             | Sega CD | 1992 | Japan
|       | Thunderhawk                                               | Victor Interactive Software           | Sega CD | 1993 | Japan
|       | Time Gal                                                  | Wolf Team                             | Sega CD | 1992 | Japan
|       | Tomcat Alley                                              | Sega                                  | Sega CD | 1994 | Japan
|       | Urusei Yatsura: My Dear Friends                           | Game Arts                             | Sega CD | 1994 | Japan
