|       | Buffy contre les Vampires: Chaos Bleeds                              | Sierra Entertainment         | Xbox   | 2003 | Europe
|       | Buffy the Vampire Slayer                                             | Electronic Arts              | Xbox   | 2002 | Europe
|       | Burnout                                                              | Acclaim                      | Xbox   | 2002 | Europe
|       | Burnout 2: Point of Impact                                           | Acclaim                      | Xbox   | 2003 | Europe
|       | Burnout 3: Takedown                                                  | Electronic Arts              | Xbox   | 2004 | Europe
|       | Burnout Revenge                                                      | Electronic Arts              | Xbox   | 2005 | Europe
|       | Cabela's Big Game Hunter 2005 Adventures                             | Activision Value             | Xbox   | 2005 | Europe
|       | Cabela's Dangerous Hunts                                             | Zoo Digital Publishing       | Xbox   | 2004 | Europe
|       | Cabela's Outdoor Adventures                                          | Zoo Digital Publishing       | Xbox   | 2006 | Europe
|       | Call of Cthulhu: Dark Corners of the Earth                           | 2K Games                     | Xbox   | 2005 | Europe
|       | Call of Duty 2: Big Red One                                          | Activision                   | Xbox   | 2005 | Europe
|       | Call of Duty 3                                                       | Activision                   | Xbox   | 2006 | Europe
|       | Call of Duty: Finest Hour                                            | Activision                   | Xbox   | 2004 | Europe
|       | Capcom Classics Collection                                           | Capcom                       | Xbox   | 2005 | Europe
|       | Capcom Fighting Jam                                                  | Capcom                       | Xbox   | 2005 | Europe
|       | Capcom vs. SNK 2 EO: Millionaire Fighting 2001                       | Capcom                       | Xbox   | 2003 | Europe
|       | Carmen Sandiego: The Secret of the Stolen Drums                      | Bam Entertainment            | Xbox   | 2004 | Europe
|       | Cars                                                                 | THQ                          | Xbox   | 2006 | Europe
|       | Carve                                                                | Global Star Software         | Xbox   | 2004 | Europe
|       | Castlevania: Curse of Darkness                                       | Konami                       | Xbox   | 2006 | Europe
|       | Cat in the Hat, The                                                  | VU Games                     | Xbox   | 2004 | Europe
|       | Catwoman                                                             | EA Games                     | Xbox   | 2004 | Europe
|       | Cel Damage                                                           | Electronic Arts              | Xbox   | 2002 | Europe
|       | Championship Manager 2002/2003                                       | Eidos Interactive            | Xbox   | 2002 | Europe
|       | Championship Manager 2006                                            | Eidos Interactive            | Xbox   | 2006 | Europe
|       | Championship Manager 5                                               | Eidos Interactive            | Xbox   | 2005 | Europe
|       | Championship Manager Season 01/02                                    | Eidos Interactive            | Xbox   | 2002 | Europe
|       | Charlie and the Chocolate Factory                                    | Global Star Software         | Xbox   | 2005 | Europe
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The      | Disney Interactive Studios   | Xbox   | 2006 | Europe
|       | Chronicles of Riddick: Escape From Butcher Bay, The                  | VU Games                     | Xbox   | 2004 | Europe
|       | Circus Maximus: Chariot Wars                                         | THQ                          | Xbox   | 2002 | Europe
|       | Classified: The Sentinel Crisis                                      | Global Star Software         | Xbox   | 2005 | Europe
|       | Close Combat: First to Fight                                         | 2K Games                     | Xbox   | 2005 | Europe
|       | Club Football 2005: Ajax Amsterdam                                   | Codemasters                  | Xbox   | 2004 | Europe
|       | Club Football: AC Milan                                              | Codemasters                  | Xbox   | 2003 | Europe
|       | Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.               | Global Star Software         | Xbox   | 2005 | Europe
|       | Cold Fear                                                            | Ubisoft                      | Xbox   | 2005 | Europe
|       | Cold War                                                             | DreamCatcher Interactive     | Xbox   | 2005 | Europe
|       | Colin McRae Rally 04                                                 | Codemasters                  | Xbox   | 2003 | Europe
|       | Colin McRae Rally 2005                                               | Codemasters                  | Xbox   | 2004 | Europe
|       | Colin McRae Rally 3                                                  | Codemasters                  | Xbox   | 2002 | Europe
|       | Combat: Task Force 121                                               | Zoo Digital Publishing       | Xbox   | 2006 | Europe
|       | Commandos 2: Men of Courage                                          | Eidos Interactive            | Xbox   | 2002 | Europe
|       | Commandos Strike Force                                               | Eidos Interactive            | Xbox   | 2006 | Europe
|       | Conan                                                                | TDK Mediactive               | Xbox   | 2004 | Europe
|       | Conflict: Desert Storm                                               | SCi                          | Xbox   | 2002 | Europe
|       | Conflict: Desert Storm II                                            | SCi                          | Xbox   | 2003 | Europe
|       | Conflict: Global Storm                                               | SCi                          | Xbox   | 2005 | Europe
|       | Conflict: Vietnam                                                    | SCi                          | Xbox   | 2004 | Europe
|       | Conker: Live & Reloaded                                              | Microsoft Game Studios       | Xbox   | 2005 | Europe
|       | Conspiracy: Weapons of Mass Destruction                              | Oxygen Interactive           | Xbox   | 2005 | Europe
|       | Constantine                                                          | SCi                          | Xbox   | 2005 | Europe
|       | Counter Strike                                                       | Sierra Entertainment         | Xbox   | 2003 | Europe
|       | Counter Terrorist Special Forces: Fire for Effect                    | Hip Games                    | Xbox   | 2005 | Europe
