|       | Legend of Zelda: Twilight Princess HD, The                               | Nintendo                               | Nintendo Wii U | 2016 | Europe
|       | LEGO Batman 2: DC Super Heroes                                           | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | Europe
|       | LEGO Batman 3: Beyond Gotham                                             | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | Europe
|       | LEGO City Undercover                                                     | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | LEGO Dimensions                                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2015 | Europe
|       | LEGO Jurassic World                                                      | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2015 | Europe
|       | LEGO Marvel Super Heroes                                                 | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | Europe
|       | LEGO Marvel's Avengers                                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2016 | Europe
|       | LEGO Movie Videogame, The                                                | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | Europe
|       | LEGO Star Wars: The Force Awakens                                        | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2016 | Europe
|       | LEGO The Hobbit                                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | Europe
|       | Luv me Buddies Wonderland                                                | Oxygene                                | Nintendo Wii U | 2014 | Europe
|       | Mario & Sonic at the Rio 2016 Olympic Games                              | Nintendo                               | Nintendo Wii U | 2016 | Europe
|       | Mario & Sonic at the Sochi 2014 Olympic Winter Games                     | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Mario Kart 8                                                             | Nintendo                               | Nintendo Wii U | 2014 | Europe
|       | Mario Party 10                                                           | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Mario Tennis: Ultra Smash                                                | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Mario vs. Donkey Kong: Tipping Stars                                     | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Marvel Avengers: Battle for Earth                                        | Ubisoft                                | Nintendo Wii U | 2013 | Europe
|       | Mass Effect 3: Special Edition                                           | Electronic Arts                        | Nintendo Wii U | 2012 | Europe
|       | Mighty No. 9                                                             | Deep Silver                            | Nintendo Wii U | 2016 | Europe
|       | Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure | Telltale Games                         | Nintendo Wii U | 2016 | Europe
|       | Minecraft: Wii U Edition                                                 | Mojang AB                              | Nintendo Wii U | 2016 | Europe
|       | Monster High: 13 Wishes                                                  | Little Orbit                           | Nintendo Wii U | 2013 | Europe
|       | Monster High: New Ghoul in School                                        | Little Orbit                           | Nintendo Wii U | 2015 | Europe
|       | Monster Hunter 3 Ultimate                                                | Capcom                                 | Nintendo Wii U | 2013 | Europe
|       | NBA 2K13                                                                 | 2K Sports                              | Nintendo Wii U | 2012 | Europe
|       | Need for Speed: Most Wanted U - A Criterion Game                         | Electronic Arts                        | Nintendo Wii U | 2013 | Europe
|       | New Super Luigi U                                                        | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | New Super Mario Bros. U                                                  | Nintendo                               | Nintendo Wii U | 2012 | Europe
|       | New Super Mario Bros. U + New Super Luigi U                              | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Ninja Gaiden 3: Razor's Edge                                             | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Nintendo Land                                                            | Nintendo                               | Nintendo Wii U | 2012 | Europe
|       | One Piece: Unlimited World Red                                           | Bandai Namco Games                     | Nintendo Wii U | 2014 | Europe
|       | Pac-Man and the Ghostly Adventures                                       | Namco Bandai Games                     | Nintendo Wii U | 2014 | Europe
|       | Pac-Man and the Ghostly Adventures 2                                     | Bandai Namco Games                     | Nintendo Wii U | 2014 | Europe
|       | Paper Mario: Color Splash                                                | Nintendo                               | Nintendo Wii U | 2016 | Europe
|       | Peanuts Movie: Snoopy's Grand Adventure, The                             | Activision                             | Nintendo Wii U | 2015 | Europe
|       | Penguins of Madagascar                                                   | Little Orbit                           | Nintendo Wii U | 2014 | Europe
|       | Phineas and Ferb: Quest for Cool Stuff                                   | 505 Games                              | Nintendo Wii U | 2014 | Europe
|       | Pikmin 3                                                                 | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Pineview Drive                                                           | UIG Entertainment                      | Nintendo Wii U | 2017 | Europe
|       | Pokemon Tekken                                                           | Nintendo                               | Nintendo Wii U | 2016 | Europe
|       | Project Zero: Maiden of Black Water                                      | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Rabbids Land                                                             | Ubisoft                                | Nintendo Wii U | 2012 | Europe
|       | Rayman Legends                                                           | Ubisoft                                | Nintendo Wii U | 2013 | Europe
|       | Resident Evil: Revelations                                               | Capcom                                 | Nintendo Wii U | 2013 | Europe
|       | Rise of the Guardians                                                    | D3Publisher                            | Nintendo Wii U | 2012 | Europe
|       | Rodea the Sky Soldier                                                    | NIS America                            | Nintendo Wii U | 2015 | Europe
|       | Runbow                                                                   | Nighthawk Interactive                  | Nintendo Wii U | 2016 | Europe
|       | Scribblenauts Unlimited                                                  | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | Europe
|       | Shovel Knight                                                            | Yacht Club Games                       | Nintendo Wii U | 2015 | Europe
|       | SiNG Party                                                               | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Skylanders Giants                                                        | Activision                             | Nintendo Wii U | 2012 | Europe
|       | Skylanders Imaginators                                                   | Activision                             | Nintendo Wii U | 2016 | Europe
|       | Skylanders SuperChargers                                                 | Activision                             | Nintendo Wii U | 2015 | Europe
|       | Skylanders Swap Force                                                    | Activision                             | Nintendo Wii U | 2013 | Europe
|       | Skylanders Trap Team                                                     | Activision                             | Nintendo Wii U | 2014 | Europe
|       | Smurfs 2, The                                                            | Ubisoft                                | Nintendo Wii U | 2013 | Europe
|       | Sniper Elite V2                                                          | 505 Games                              | Nintendo Wii U | 2013 | Europe
|       | Sonic & All-Stars Racing Transformed                                     | Sega                                   | Nintendo Wii U | 2012 | Europe
|       | Sonic Boom: Rise of Lyric                                                | Sega                                   | Nintendo Wii U | 2014 | Europe
|       | Sonic: Lost World                                                        | Sega                                   | Nintendo Wii U | 2013 | Europe
|       | Splatoon                                                                 | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | SpongeBob SquarePants: Plankton's Robotic Revenge                        | Activision                             | Nintendo Wii U | 2013 | Europe
|       | Sports Connection                                                        | Ubisoft                                | Nintendo Wii U | 2012 | Europe
|       | Star Fox Guard                                                           | Nintendo                               | Nintendo Wii U | 2016 | Europe
|       | Star Fox Zero                                                            | Nintendo                               | Nintendo Wii U | 2016 | Europe
|       | SteamWorld Collection                                                    | Image & Form                           | Nintendo Wii U | 2016 | Europe
|       | Super Mario 3D World                                                     | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Super Mario Maker                                                        | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Super Smash Bros. for Wii U                                              | Nintendo                               | Nintendo Wii U | 2014 | Europe
|       | Tank! Tank! Tank!                                                        | Namco Bandai Games                     | Nintendo Wii U | 2012 | Europe
|       | Tekken Tag Tournament 2: Wii U Edition                                   | Namco Bandai Games                     | Nintendo Wii U | 2012 | Europe
|       | Terraria                                                                 | 505 Games                              | Nintendo Wii U | 2016 | Europe
|       | Teslagrad                                                                | Soedesco                               | Nintendo Wii U | 2015 | Europe
|       | Tokyo Mirage Sessions #FE                                                | Nintendo                               | Nintendo Wii U | 2016 | Europe
|       | Tom Clancy's Splinter Cell: Blacklist                                    | Ubisoft                                | Nintendo Wii U | 2013 | Europe
|       | Transformers Prime: The Game                                             | Activision                             | Nintendo Wii U | 2012 | Europe
|       | Transformers: Rise of the Dark Spark                                     | Activision                             | Nintendo Wii U | 2014 | Europe
|       | Tumblestone                                                              | Nighthawk Interactive                  | Nintendo Wii U | 2016 | Europe
|       | Turbo: Super Stunt Squad                                                 | D3Publisher                            | Nintendo Wii U | 2013 | Europe
|       | Voice, The                                                               | BigBen Interactive                     | Nintendo Wii U | 2016 | Europe
|       | Walking Dead: Survival Instinct, The                                     | Activision                             | Nintendo Wii U | 2013 | Europe
|       | Warriors Orochi 3 Hyper                                                  | Nintendo                               | Nintendo Wii U | 2012 | Europe
|       | Watch Dogs                                                               | Ubisoft                                | Nintendo Wii U | 2014 | Europe
|       | Wii Fit U                                                                | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Wii Party U                                                              | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Wii Sports Club                                                          | Nintendo                               | Nintendo Wii U | 2014 | Europe
|       | Wonderful 101, The                                                       | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Xenoblade Chronicles X                                                   | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Yoshi's Woolly World                                                     | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Your Shape: Fitness Evolved 2013                                         | Ubisoft                                | Nintendo Wii U | 2012 | Europe
|       | ZombiU                                                                   | Ubisoft                                | Nintendo Wii U | 2012 | Europe
|       | Zumba Fitness World Party                                                | Majesco                                | Nintendo Wii U | 2013 | Europe
