|       | Pickaxe Pete                     | Philips   | Magnavox Odyssey² | 1982 | PAL
|       | Playschool Maths                 | Philips   | Magnavox Odyssey² | 1979 | PAL
|       | Quest for the Rings, The         | Philips   | Magnavox Odyssey² | 1982 | PAL
|       | Race / Spinout / Cryptogram      | Philips   | Magnavox Odyssey² | 1978 | PAL
|       | Samurai                          | Philips   | Magnavox Odyssey² | 1980 | PAL
|       | Skiing                           | Philips   | Magnavox Odyssey² | 1980 | PAL
|       | Space Monster                    | Philips   | Magnavox Odyssey² | 1980 | PAL
|       | Stone Sling                      | Philips   | Magnavox Odyssey² | 1981 | PAL
|       | Ten Pin Bowling / Basketball     | Philips   | Magnavox Odyssey² | 1978 | PAL
|       | Terrahawks                       | Philips   | Magnavox Odyssey² | 1983 | PAL
