|       | Lunar: Eternal Blue                                   | Working Designs              | Sega CD | 1994 | NTSC (NA)
|       | Lunar: The Silver Star                                | Working Designs              | Sega CD | 1992 | NTSC (NA)
|       | Mad Dog II: The Lost Gold                             | American Laser Games         | Sega CD | 1994 | NTSC (NA)
|       | Mad Dog McCree                                        | American Laser Games         | Sega CD | 1993 | NTSC (NA)
|       | Mansion of Hidden Souls                               | Vic Tokai                    | Sega CD | 1993 | NTSC (NA)
|       | Marky Mark and the Funky Bunch: Make My Video         | Sega                         | Sega CD | 1992 | NTSC (NA)
|       | Mary Shelley's Frankenstein / Bram Stoker's Dracula   | Sony Imagesoft               | Sega CD | 1994 | NTSC (NA)
|       | Masked Rider: Kamen Rider ZO, The                     | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Mega Race                                             | Software Toolworks           | Sega CD | 1994 | NTSC (NA)
|       | Mickey Mania: The Timeless Adventures of Mickey Mouse | Sony Imagesoft               | Sega CD | 1994 | NTSC (NA)
|       | Microcosm                                             | Psygnosis                    | Sega CD | 1993 | NTSC (NA)
|       | Midnight Raiders                                      | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Mighty Morphin Power Rangers                          | Sega                         | Sega CD | 1995 | NTSC (NA)
|       | Mortal Kombat                                         | Arena                        | Sega CD | 1994 | NTSC (NA)
|       | My Paint: The Animated Paint Program                  | Saddleback                   | Sega CD | 1993 | NTSC (NA)
|       | NBA Jam                                               | Acclaim                      | Sega CD | 1994 | NTSC (NA)
|       | NFL Football Trivia Challenge                         | CapDisc                      | Sega CD | 1993 | NTSC (NA)
|       | NFL's Greatest: San Francisco Vs. Dallas 1978-1993    | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | NHL '94                                               | EA Sports                    | Sega CD | 1993 | NTSC (NA)
|       | Night Trap                                            | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Novastorm                                             | Psygnosis                    | Sega CD | 1994 | NTSC (NA)
|       | Panic!                                                | Data East                    | Sega CD | 1994 | NTSC (NA)
|       | Pitfall: The Mayan Adventure                          | Activision                   | Sega CD | 1994 | NTSC (NA)
|       | Popful Mail                                           | Working Designs              | Sega CD | 1995 | NTSC (NA)
|       | Power Factory Featuring C+C Music Factory             | Sony Imagesoft               | Sega CD | 1992 | NTSC (NA)
|       | Power Monger                                          | Electronic Arts              | Sega CD | 1994 | NTSC (NA)
|       | Prince of Persia                                      | Sega                         | Sega CD | 1992 | NTSC (NA)
|       | Prize Fighter                                         | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Puggsy                                                | Psygnosis                    | Sega CD | 1993 | NTSC (NA)
|       | Racing Aces                                           | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Radical Rex                                           | Activision                   | Sega CD | 1994 | NTSC (NA)
|       | RDF Global Conflict                                   | Absolute Entertainment       | Sega CD | 1994 | NTSC (NA)
