|       | Assassin's Creed: Altair's Chronicles                                   | Ubisoft                                | Nintendo DS | 2008 | NTSC (NA)
|       | Astro Boy: The Video Game                                               | D3Publisher                            | Nintendo DS | 2009 | NTSC (NA)
|       | Astro Invaders                                                          | Zoo Games                              | Nintendo DS | 2010 | NTSC (NA)
|       | Astrology DS: The Stars In Your Hands                                   | Deep Silver                            | Nintendo DS | 2009 | NTSC (NA)
|       | Atari Greatest Hits Volume 1                                            | Atari                                  | Nintendo DS | 2010 | NTSC (NA)
|       | Atari Greatest Hits Volume 2                                            | Atari                                  | Nintendo DS | 2011 | NTSC (NA)
|       | Atelier Annie: Alchemists of Sera Island                                | NIS America                            | Nintendo DS | 2009 | NTSC (NA)
|       | ATV Quad Frenzy                                                         | Majesco Games                          | Nintendo DS | 2005 | NTSC (NA)
|       | ATV Quad Kings                                                          | Storm City Games                       | Nintendo DS | 2010 | NTSC (NA)
|       | ATV Thunder Ridge Riders / Monster Trucks Mayhem                        | Destination Software                   | Nintendo DS | 2007 | NTSC (NA)
|       | ATV Wild Ride                                                           | Destineer                              | Nintendo DS | 2011 | NTSC (NA)
|       | Avalon Code                                                             | Xseed Games                            | Nintendo DS | 2009 | NTSC (NA)
|       | Avatar - The Last Airbender: Into the Inferno                           | THQ                                    | Nintendo DS | 2008 | NTSC (NA)
|       | Avatar: The Last Airbender                                              | THQ                                    | Nintendo DS | 2006 | NTSC (NA)
|       | Avatar: The Last Airbender - The Burning Earth                          | THQ                                    | Nintendo DS | 2007 | NTSC (NA)
|       | Away: Shuffle Dungeon                                                   | Majesco Games                          | Nintendo DS | 2008 | NTSC (NA)
|       | B-17: Fortress in the Sky                                               | DSI Games                              | Nintendo DS | 2007 | NTSC (NA)
|       | B-Units: Build it!                                                      | 505 Games                              | Nintendo DS | 2017 | NTSC (NA)
|       | Baby Life                                                               | Ubisoft                                | Nintendo DS | 2008 | NTSC (NA)
|       | Baby Pals                                                               | Crave                                  | Nintendo DS | 2007 | NTSC (NA)
|       | Babysitting Mania                                                       | Majesco Games                          | Nintendo DS | 2008 | NTSC (NA)
|       | Bachelor: The Videogame, The                                            | Warner Bros. Interactive Entertainment | Nintendo DS | 2010 | NTSC (NA)
|       | Back at the Barnyard: Slop Bucket Games                                 | THQ                                    | Nintendo DS | 2008 | NTSC (NA)
|       | Backyard Baseball '09                                                   | Atari                                  | Nintendo DS | 2008 | NTSC (NA)
|       | Backyard Baseball '10                                                   | Atari                                  | Nintendo DS | 2009 | NTSC (NA)
|       | Backyard Basketball                                                     | Humongous Entertainment                | Nintendo DS | 2007 | NTSC (NA)
|       | Backyard Football                                                       | Humongous Entertainment                | Nintendo DS | 2007 | NTSC (NA)
|       | Backyard Football 2009                                                  | Atari                                  | Nintendo DS | 2008 | NTSC (NA)
|       | Backyard Hockey                                                         | Humongous Entertainment                | Nintendo DS | 2007 | NTSC (NA)
|       | Backyard Sports: Rookie Rush                                            | Atari                                  | Nintendo DS | 2010 | NTSC (NA)
|       | Backyard Sports: Sandlot Sluggers                                       | Atari                                  | Nintendo DS | 2010 | NTSC (NA)
|       | Backyardigans, The                                                      | 2K Play                                | Nintendo DS | 2009 | NTSC (NA)
|       | Bakugan Battle Brawlers                                                 | Activision                             | Nintendo DS | 2009 | NTSC (NA)
|       | Bakugan Battle Brawlers: Battle Trainer                                 | Activision                             | Nintendo DS | 2010 | NTSC (NA)
|       | Bakugan: Defenders of the Core                                          | Activision                             | Nintendo DS | 2010 | NTSC (NA)
|       | Bakugan: Rise of the Resistance                                         | Activision                             | Nintendo DS | 2011 | NTSC (NA)
|       | Balloon Pop                                                             | UFO Interactive                        | Nintendo DS | 2009 | NTSC (NA)
|       | Balls of Fury                                                           | DSI Games                              | Nintendo DS | 2007 | NTSC (NA)
|       | Band Hero                                                               | Activision                             | Nintendo DS | 2009 | NTSC (NA)
|       | Bangai-O Spirits                                                        | D3Publisher                            | Nintendo DS | 2008 | NTSC (NA)
|       | Barbie and the Three Musketeers                                         | Activision                             | Nintendo DS | 2009 | NTSC (NA)
|       | Barbie as The Island Princess                                           | Activision                             | Nintendo DS | 2007 | NTSC (NA)
|       | Barbie Dreamhouse Party                                                 | Little Orbit                           | Nintendo DS | 2013 | NTSC (NA)
|       | Barbie Fashion Show: Eye for Style                                      | Activision                             | Nintendo DS | 2008 | NTSC (NA)
|       | Barbie Horse Adventures: Riding Camp                                    | Activision                             | Nintendo DS | 2008 | NTSC (NA)
|       | Barbie in The 12 Dancing Princesses                                     | Activision                             | Nintendo DS | 2007 | NTSC (NA)
|       | Barbie: Groom and Glam Pups                                             | THQ                                    | Nintendo DS | 2010 | NTSC (NA)
|       | Barbie: Jet, Set & Style!                                               | THQ                                    | Nintendo DS | 2011 | NTSC (NA)
|       | Barnyard Blast: Swine of the Night                                      | DSI Games                              | Nintendo DS | 2008 | NTSC (NA)
|       | Batman: The Brave and the Bold - The Videogame                          | Warner Bros. Interactive Entertainment | Nintendo DS | 2010 | NTSC (NA)
|       | Battle of Giants: Dinosaurs                                             | Ubisoft                                | Nintendo DS | 2008 | NTSC (NA)
|       | Battle of Giants: Dragons                                               | Ubisoft                                | Nintendo DS | 2009 | NTSC (NA)
|       | Battle of Giants: Mutant Insects                                        | Ubisoft                                | Nintendo DS | 2010 | NTSC (NA)
|       | Battles of Prince of Persia                                             | Ubisoft                                | Nintendo DS | 2005 | NTSC (NA)
|       | Battleship                                                              | Activision                             | Nintendo DS | 2012 | NTSC (NA)
|       | Battleship / Connect Four / Sorry! / Trouble                            | DSI Games                              | Nintendo DS | 2006 | NTSC (NA)
|       | Beastly: Frantic Foto                                                   | Storm City Games                       | Nintendo DS | 2011 | NTSC (NA)
|       | Beat City                                                               | THQ                                    | Nintendo DS | 2010 | NTSC (NA)
|       | Bee Game, The                                                           | Midway                                 | Nintendo DS | 2007 | NTSC (NA)
|       | Bee Movie Game                                                          | Activision                             | Nintendo DS | 2007 | NTSC (NA)
|       | Bejeweled 3                                                             | PopCap                                 | Nintendo DS | 2011 | NTSC (NA)
|       | Bejeweled Twist                                                         | PopCap                                 | Nintendo DS | 2010 | NTSC (NA)
|       | Bella Sara                                                              | Codemasters                            | Nintendo DS | 2008 | NTSC (NA)
|       | Ben 10 Alien Force: Vilgax Attacks                                      | D3Publisher                            | Nintendo DS | 2009 | NTSC (NA)
|       | Ben 10 Triple Pack                                                      | D3Publisher                            | Nintendo DS | 2011 | NTSC (NA)
|       | Ben 10 Ultimate Alien: Cosmic Destruction                               | D3Publisher                            | Nintendo DS | 2010 | NTSC (NA)
|       | Ben 10: Alien Force                                                     | D3Publisher                            | Nintendo DS | 2008 | NTSC (NA)
|       | Ben 10: Galactic Racing                                                 | D3Publisher                            | Nintendo DS | 2011 | NTSC (NA)
|       | Ben 10: Omniverse                                                       | D3Publisher                            | Nintendo DS | 2012 | NTSC (NA)
|       | Ben 10: Protector of Earth                                              | D3Publisher                            | Nintendo DS | 2007 | NTSC (NA)
|       | Bermuda Triangle: Saving the Coral                                      | Storm City Games                       | Nintendo DS | 2010 | NTSC (NA)
|       | Best Friends Tonight                                                    | Ubisoft                                | Nintendo DS | 2010 | NTSC (NA)
|       | Best of Tests DS                                                        | Conspiracy Entertainment               | Nintendo DS | 2008 | NTSC (NA)
|       | Betty Boop's Double Shift                                               | DSI Games                              | Nintendo DS | 2007 | NTSC (NA)
|       | Beyblade: Metal Fusion                                                  | Hudson Entertainment                   | Nintendo DS | 2010 | NTSC (NA)
|       | Beyblade: Metal Masters                                                 | Konami                                 | Nintendo DS | 2011 | NTSC (NA)
|       | Big Bang Mini                                                           | SouthPeak Games                        | Nintendo DS | 2009 | NTSC (NA)
|       | Big Brain Academy                                                       | Nintendo                               | Nintendo DS | 2006 | NTSC (NA)
|       | Big League Sports: Summer                                               | Activision                             | Nintendo DS | 2009 | NTSC (NA)
|       | Big Mutha Truckers                                                      | Destination Games                      | Nintendo DS | 2005 | NTSC (NA)
|       | Big Time Rush: Backstage Pass                                           | GameMill Publishing                    | Nintendo DS | 2012 | NTSC (NA)
|       | Bigfoot: Collision Course                                               | Zoo Digital Publishing                 | Nintendo DS | 2009 | NTSC (NA)
|       | Biggest Loser, The                                                      | THQ                                    | Nintendo DS | 2009 | NTSC (NA)
|       | Bigs 2, The                                                             | 2K Sports                              | Nintendo DS | 2009 | NTSC (NA)
|       | Biker Mice from Mars                                                    | The Game Factory                       | Nintendo DS | 2007 | NTSC (NA)
|       | Bionicle Heroes                                                         | Eidos Interactive                      | Nintendo DS | 2006 | NTSC (NA)
|       | Black Sigil: Blade of the Exiled                                        | Graffiti Entertainment                 | Nintendo DS | 2009 | NTSC (NA)
|       | Blades of Thunder II                                                    | Summitsoft Entertainment               | Nintendo DS | 2006 | NTSC (NA)
|       | Bleach: Dark Souls                                                      | Sega                                   | Nintendo DS | 2008 | NTSC (NA)
|       | Bleach: The 3rd Phantom                                                 | Sega                                   | Nintendo DS | 2009 | NTSC (NA)
|       | Bleach: The Blade of Fate                                               | Sega                                   | Nintendo DS | 2007 | NTSC (NA)
|       | Blue Dragon Plus                                                        | Ignition Entertainment                 | Nintendo DS | 2009 | NTSC (NA)
|       | Blue Dragon: Awakened Shadow                                            | D3Publisher                            | Nintendo DS | 2010 | NTSC (NA)
|       | Boing! Docomodake DS                                                    | Ignition Entertainment                 | Nintendo DS | 2009 | NTSC (NA)
|       | Bolt                                                                    | Disney Interactive Studios             | Nintendo DS | 2008 | NTSC (NA)
|       | Bomberman                                                               | Ubisoft                                | Nintendo DS | 2005 | NTSC (NA)
|       | Bomberman Land Touch!                                                   | ATLUS                                  | Nintendo DS | 2006 | NTSC (NA)
|       | Bomberman Land Touch! 2                                                 | Hudson Entertainment                   | Nintendo DS | 2008 | NTSC (NA)
|       | Boogie                                                                  | Electronic Arts                        | Nintendo DS | 2007 | NTSC (NA)
|       | Bookworm                                                                | PopCap                                 | Nintendo DS | 2009 | NTSC (NA)
|       | Brain Age 2: More Training in Minutes a Day                             | Nintendo                               | Nintendo DS | 2007 | NTSC (NA)
|       | Brain Age: Train Your Brain in Minutes a Day!                           | Nintendo                               | Nintendo DS | 2006 | NTSC (NA)
|       | Brain Assist                                                            | Sega                                   | Nintendo DS | 2008 | NTSC (NA)
|       | Brain Boost: Beta Wave                                                  | Majesco Games                          | Nintendo DS | 2006 | NTSC (NA)
|       | Brain Boost: Gamma Wave                                                 | Majesco Games                          | Nintendo DS | 2006 | NTSC (NA)
|       | Brain Buster: Puzzle Pak                                                | Agetec Inc.                            | Nintendo DS | 2007 | NTSC (NA)
|       | Brain Challenge                                                         | Ubisoft                                | Nintendo DS | 2008 | NTSC (NA)
|       | Brain Quest Grades 3 & 4                                                | Electronic Arts                        | Nintendo DS | 2008 | NTSC (NA)
|       | Brain Quest Grades 5 & 6                                                | Electronic Arts                        | Nintendo DS | 2008 | NTSC (NA)
|       | Brain Voyage                                                            | Eidos Interactive                      | Nintendo DS | 2008 | NTSC (NA)
|       | Brainstorm Series: Treasure Chase                                       | Storm City Games                       | Nintendo DS | 2011 | NTSC (NA)
|       | Bratz 4 Real                                                            | THQ                                    | Nintendo DS | 2007 | NTSC (NA)
|       | Bratz Kidz                                                              | The Game Factory                       | Nintendo DS | 2008 | NTSC (NA)
|       | Bratz Ponyz                                                             | The Game Factory                       | Nintendo DS | 2007 | NTSC (NA)
|       | Bratz Ponyz 2                                                           | The Game Factory                       | Nintendo DS | 2008 | NTSC (NA)
|       | Bratz: Fashion Boutique                                                 | Activision                             | Nintendo DS | 2012 | NTSC (NA)
|       | Bratz: Forever Diamondz                                                 | THQ                                    | Nintendo DS | 2006 | NTSC (NA)
|       | Bratz: Girlz Really Rock                                                | THQ                                    | Nintendo DS | 2008 | NTSC (NA)
|       | Bratz: Super Babyz                                                      | THQ                                    | Nintendo DS | 2008 | NTSC (NA)
|       | Brave: Shaman's Challenge                                               | SouthPeak Games                        | Nintendo DS | 2017 | NTSC (NA)
|       | Brave: The Video Game                                                   | Disney Interactive Studios             | Nintendo DS | 2012 | NTSC (NA)
|       | Break 'Em All                                                           | D3Publisher                            | Nintendo DS | 2006 | NTSC (NA)
|       | Broken Sword: Shadow of the Templars                                    | Ubisoft                                | Nintendo DS | 2009 | NTSC (NA)
|       | Brothers In Arms DS                                                     | Ubisoft                                | Nintendo DS | 2007 | NTSC (NA)
|       | Bubble Bobble Double Shot                                               | Ignition Entertainment                 | Nintendo DS | 2008 | NTSC (NA)
|       | Bubble Bobble Revolution                                                | Codemasters                            | Nintendo DS | 2006 | NTSC (NA)
|       | Bubble Guppies                                                          | 2K Play                                | Nintendo DS | 2012 | NTSC (NA)
|       | Build-A-Bear Workshop                                                   | The Game Factory                       | Nintendo DS | 2007 | NTSC (NA)
|       | Build-A-Bear Workshop: Welcome to Hugsville                             | The Game Factory                       | Nintendo DS | 2010 | NTSC (NA)
|       | Build-a-lot                                                             | MumboJumbo                             | Nintendo DS | 2008 | NTSC (NA)
|       | Burger Bot                                                              | Virtual Play Inc.                      | Nintendo DS | 2010 | NTSC (NA)
|       | Burger Island                                                           | Destineer                              | Nintendo DS | 2007 | NTSC (NA)
|       | Burnout Legends                                                         | EA Games                               | Nintendo DS | 2005 | NTSC (NA)
|       | Bust-A-Move DS                                                          | Majesco Games                          | Nintendo DS | 2005 | NTSC (NA)
|       | Busy Scissors                                                           | Little Orbit                           | Nintendo DS | 2011 | NTSC (NA)
|       | C.O.P. The Recruit                                                      | Ubisoft                                | Nintendo DS | 2009 | NTSC (NA)
|       | C.O.R.E.                                                                | Graffiti Entertainment                 | Nintendo DS | 2009 | NTSC (NA)
|       | Cabela's Dangerous Hunts 2011                                           | Activision                             | Nintendo DS | 2010 | NTSC (NA)
|       | Cake Mania                                                              | Majesco Games                          | Nintendo DS | 2007 | NTSC (NA)
|       | Cake Mania 2                                                            | Majesco Games                          | Nintendo DS | 2008 | NTSC (NA)
|       | Cake Mania 3                                                            | Majesco Games                          | Nintendo DS | 2009 | NTSC (NA)
|       | Cake Mania: Main Street                                                 | Majesco Games                          | Nintendo DS | 2011 | NTSC (NA)
|       | Call of Duty 4: Modern Warfare                                          | Activision                             | Nintendo DS | 2007 | NTSC (NA)
|       | Call of Duty: Black Ops                                                 | Activision                             | Nintendo DS | 2010 | NTSC (NA)
|       | Call of Duty: Modern Warfare - Mobilized                                | Activision                             | Nintendo DS | 2009 | NTSC (NA)
|       | Call of Duty: Modern Warfare 3 - Defiance                               | Activision                             | Nintendo DS | 2011 | NTSC (NA)
|       | Call of Duty: World at War                                              | Activision Blizzard                    | Nintendo DS | 2008 | NTSC (NA)
|       | Calvin Tucker's Redneck: Farm Animals Racing Tournament                 | Zoo Games                              | Nintendo DS | 2010 | NTSC (NA)
|       | Camping Mama: Outdoor Adventures                                        | Majesco Games                          | Nintendo DS | 2011 | NTSC (NA)
|       | Candace Kane's Candy Factory                                            | Destineer                              | Nintendo DS | 2008 | NTSC (NA)
|       | Captain America: Super Soldier                                          | Sega                                   | Nintendo DS | 2011 | NTSC (NA)
|       | Carnival Games                                                          | 2K Play                                | Nintendo DS | 2008 | NTSC (NA)
|       | Cars                                                                    | THQ                                    | Nintendo DS | 2006 | NTSC (NA)
|       | Cars 2: The Video Game                                                  | Disney Interactive Studios             | Nintendo DS | 2011 | NTSC (NA)
|       | Cars Mater-National Championship                                        | THQ                                    | Nintendo DS | 2007 | NTSC (NA)
|       | Cars Race-O-Rama                                                        | THQ                                    | Nintendo DS | 2009 | NTSC (NA)
|       | Cartoon Network Racing                                                  | The Game Factory                       | Nintendo DS | 2006 | NTSC (NA)
|       | Casper's Scare School: Classroom Capers                                 | Crave                                  | Nintendo DS | 2010 | NTSC (NA)
|       | Casper's Scare School: Spooky Sports Day                                | Crave                                  | Nintendo DS | 2010 | NTSC (NA)
|       | Castlevania: Dawn of Sorrow                                             | Konami                                 | Nintendo DS | 2005 | NTSC (NA)
|       | Castlevania: Order of Ecclesia                                          | Konami                                 | Nintendo DS | 2008 | NTSC (NA)
|       | Castlevania: Portrait of Ruin                                           | Konami                                 | Nintendo DS | 2006 | NTSC (NA)
|       | Casual Mania!                                                           | Destineer                              | Nintendo DS | 2010 | NTSC (NA)
|       | Cate West: The Vanishing Files                                          | Destineer                              | Nintendo DS | 2008 | NTSC (NA)
|       | Cats & Dogs: The Revenge of Kitty Galore                                | 505 Games                              | Nintendo DS | 2010 | NTSC (NA)
|       | Catz                                                                    | Ubisoft                                | Nintendo DS | 2006 | NTSC (NA)
|       | Cesar Millan's Dog Whisperer                                            | Ubisoft                                | Nintendo DS | 2008 | NTSC (NA)
|       | Challenge Me: Brain Puzzles                                             | Oxygen Interactive                     | Nintendo DS | 2009 | NTSC (NA)
|       | Challenge Me: Brain Puzzles 2                                           | O-Games                                | Nintendo DS | 2010 | NTSC (NA)
|       | Challenge Me: Math Workout                                              | O-Games                                | Nintendo DS | 2009 | NTSC (NA)
|       | Challenge Me: Word Puzzles                                              | O-Games                                | Nintendo DS | 2011 | NTSC (NA)
|       | Chameleon                                                               | UFO Interactive                        | Nintendo DS | 2007 | NTSC (NA)
|       | Championship Pony                                                       | DSI Games                              | Nintendo DS | 2008 | NTSC (NA)
|       | Chaotic: Shadow Warriors                                                | Activision                             | Nintendo DS | 2009 | NTSC (NA)
|       | Charlotte's Web                                                         | Sega                                   | Nintendo DS | 2006 | NTSC (NA)
|       | Charm Girls Club My Fashion Mall                                        | Electronic Arts                        | Nintendo DS | 2009 | NTSC (NA)
|       | Charm Girls Club My Fashion Show                                        | Electronic Arts                        | Nintendo DS | 2009 | NTSC (NA)
|       | Charm Girls Club My Perfect Prom                                        | Electronic Arts                        | Nintendo DS | 2009 | NTSC (NA)
|       | Chase: Felix Meets Felicity, The                                        | Atari                                  | Nintendo DS | 2009 | NTSC (NA)
|       | Cheer We Go!                                                            | Natsume                                | Nintendo DS | 2010 | NTSC (NA)
|       | Cheetah Girls: Passport to Stardom, The                                 | Disney Interactive Studios             | Nintendo DS | 2008 | NTSC (NA)
|       | Cheetah Girls: Pop Star Sensations, The                                 | Buena Vista Games                      | Nintendo DS | 2007 | NTSC (NA)
|       | Chessmaster: The Art of Learning                                        | Ubisoft                                | Nintendo DS | 2007 | NTSC (NA)
|       | Chevrolet Camaro: Wild Ride                                             | CokeM Interactive                      | Nintendo DS | 2010 | NTSC (NA)
|       | Chibi-Robo: Park Patrol                                                 | Nintendo                               | Nintendo DS | 2007 | NTSC (NA)
|       | Chicken Blaster                                                         | Zoo Games                              | Nintendo DS | 2009 | NTSC (NA)
|       | Chicken Hunter                                                          | MumboJumbo                             | Nintendo DS | 2008 | NTSC (NA)
|       | Chicken Little: Ace in Action                                           | Buena Vista Games                      | Nintendo DS | 2006 | NTSC (NA)
|       | Chicken Shoot                                                           | DSI Games                              | Nintendo DS | 2007 | NTSC (NA)
|       | Children of Mana                                                        | Nintendo                               | Nintendo DS | 2006 | NTSC (NA)
|       | Chocolatier                                                             | Zoo Games                              | Nintendo DS | 2010 | NTSC (NA)
|       | Chronicles of Mystery: Curse of the Ancient Temple                      | City Interactive                       | Nintendo DS | 2009 | NTSC (NA)
|       | Chronicles of Mystery: The Secret Tree of Life                          | City Interactive                       | Nintendo DS | 2011 | NTSC (NA)
|       | Chronicles of Narnia: Prince Caspian, The                               | Disney Interactive Studios             | Nintendo DS | 2008 | NTSC (NA)
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The         | Buena Vista Games                      | Nintendo DS | 2005 | NTSC (NA)
|       | Chrono Trigger                                                          | Square Enix                            | Nintendo DS | 2008 | NTSC (NA)
|       | Chrysler Classic Racing                                                 | Zoo Games                              | Nintendo DS | 2008 | NTSC (NA)
