|       | Rampage                                  | Activision   | Sega Master System | 1988 | NTSC (NA)
|       | Rastan                                   | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Reggie Jackson Baseball                  | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Rescue Mission                           | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Rocky                                    | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Safari Hunt                              | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Shanghai                                 | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Shinobi                                  | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Shooting Gallery                         | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Slap Shot                                | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Snail Maze                               | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Sonic the Hedgehog                       | Sega         | Sega Master System | 1991 | North America, PAL
|       | Space Harrier                            | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Space Harrier 3-D                        | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | SpellCaster                              | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Spider-Man                               | Sega         | Sega Master System | 1991 | NTSC (NA)
|       | Sports Pad Football                      | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Spy vs. Spy                              | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Strider                                  | Sega         | Sega Master System | 1991 | NTSC (NA)
|       | Summer Games                             | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Super Monaco GP                          | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Super Tennis                             | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Teddy Boy                                | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Thunder Blade                            | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Time Soldiers                            | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Transbot                                 | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Vigilante                                | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Walter Payton Football                   | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Wanted                                   | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Where in the World is Carmen Sandiego?   | Parker Bros. | Sega Master System | 1989 | NTSC (NA)
|       | Wonder Boy                               | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Wonder Boy III: The Dragon's Trap        | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Wonder Boy in Monster Land               | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | World Grand Prix                         | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Ys: The Vanished Omens                   | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Zaxxon 3-D                               | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Zillion                                  | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Zillion II: The Tri Formation            | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Ace of Aces                                               | Sega                | Sega Master System | 1991 | PAL
|       | Action Fighter                                            | Sega                | Sega Master System | 1986 | PAL
|       | Addams Family, The                                        | Flying Edge         | Sega Master System | 1992 | PAL
|       | Aerial Assault                                            | Sega                | Sega Master System | 1990 | PAL
|       | After Burner                                              | Sega                | Sega Master System | 1988 | PAL
|       | Air Rescue                                                | Sega                | Sega Master System | 1992 | PAL
|       | Alex Kidd in Miracle World                                | Sega                | Sega Master System | 1986 | PAL
|       | Alex Kidd in Shinobi World                                | Sega                | Sega Master System | 1990 | PAL
|       | Alex Kidd: High-Tech World                                | Sega                | Sega Master System | 1989 | PAL
|       | Alex Kidd: The Lost Stars                                 | Sega                | Sega Master System | 1988 | PAL
|       | Alien 3                                                   | Arena               | Sega Master System | 1992 | PAL
|       | Alien Storm                                               | Sega                | Sega Master System | 1991 | PAL
|       | Alien Syndrome                                            | Sega                | Sega Master System | 1988 | PAL
|       | Altered Beast                                             | Sega                | Sega Master System | 1989 | PAL
|       | American Baseball                                         | Sega                | Sega Master System | 1988 | PAL
|       | American Pro Football                                     | Sega                | Sega Master System | 1989 | PAL
|       | Andre Agassi Tennis                                       | Sega                | Sega Master System | 1993 | PAL
|       | Arcade Smash Hits                                         | Sega                | Sega Master System | 1992 | PAL
|       | Assault City                                              | Sega                | Sega Master System | 1990 | PAL
|       | Asterix                                                   | Sega                | Sega Master System | 1991 | PAL
|       | Asterix and the Great Rescue                              | Sega                | Sega Master System | 1993 | PAL
|       | Asterix and the Secret Mission                            | Sega                | Sega Master System | 1993 | PAL
|       | Astro Warrior                                             | Sega                | Sega Master System | 1988 | PAL
|       | Astro Warrior / Pit Pot                                   | Sega                | Sega Master System | 1986 | PAL
|       | Ayrton Senna's Super Monaco GP II                         | Sega                | Sega Master System | 1992 | PAL
|       | Aztec Adventure                                           | Sega                | Sega Master System | 1988 | PAL
|       | Back to the Future Part II                                | Imageworks          | Sega Master System | 1990 | PAL
|       | Back to the Future Part III                               | Imageworks          | Sega Master System | 1993 | PAL
|       | Bank Panic                                                | Sega                | Sega Master System | 1987 | PAL
|       | Basketball Nightmare                                      | Sega                | Sega Master System | 1989 | PAL
|       | Batman Returns                                            | Sega                | Sega Master System | 1991 | PAL
|       | Battle OutRun                                             | Sega                | Sega Master System | 1989 | PAL
|       | Black Belt                                                | Sega                | Sega Master System | 1986 | PAL
|       | Blade Eagle 3-D                                           | Sega                | Sega Master System | 1988 | PAL
|       | Bomber Raid                                               | Sega                | Sega Master System | 1988 | PAL
|       | Bonanza Bros.                                             | Sega                | Sega Master System | 1990 | PAL
|       | Bram Stoker's Dracula                                     | Sony Imagesoft      | Sega Master System | 1993 | PAL
|       | Bubble Bobble                                             | Sega                | Sega Master System | 1992 | PAL
|       | Buggy Run                                                 | Sega                | Sega Master System | 1994 | PAL
|       | California Games                                          | Sega                | Sega Master System | 1994 | PAL
|       | California Games II                                       | Sega                | Sega Master System | 1993 | PAL
|       | Captain Silver                                            | Sega                | Sega Master System | 1988 | PAL
|       | Casino Games                                              | Sega                | Sega Master System | 1989 | PAL
|       | Castle of Illusion starring Mickey Mouse                  | Sega                | Sega Master System | 1990 | PAL
|       | Champions of Europe                                       | TecMagik            | Sega Master System | 1988 | PAL
|       | Championship Hockey                                       | U.S. Gold           | Sega Master System | 1992 | PAL
|       | Chase H.Q.                                                | Sega                | Sega Master System | 1990 | PAL
|       | Cheese Cat-Astrophe Starring Speedy Gonzales              | Sega                | Sega Master System | 1995 | PAL
|       | Choplifter                                                | Sega                | Sega Master System | 1986 | PAL
|       | Chuck Rock                                                | Virgin Interactive  | Sega Master System | 1992 | PAL
|       | Chuck Rock II: Son of Chuck                               | Sega                | Sega Master System | 1993 | PAL
|       | Cloud Master                                              | Sega                | Sega Master System | 1989 | PAL
|       | Columns                                                   | Sega                | Sega Master System | 1990 | PAL
|       | Cool Spot                                                 | Virgin Interactive  | Sega Master System | 1993 | PAL
|       | Cosmic Spacehead                                          | Codemasters         | Sega Master System | 1993 | PAL
|       | Cyber Shinobi, The                                        | Sega                | Sega Master System | 1990 | PAL
|       | Cyborg Hunter                                             | Sega                | Sega Master System | 1988 | PAL
|       | Daffy Duck in Hollywood                                   | Sega                | Sega Master System | 1993 | PAL
|       | Danan: The Jungle Fighter                                 | Sega                | Sega Master System | 1991 | PAL
|       | Dead Angle                                                | Sega                | Sega Master System | 1989 | PAL
|       | Deep Duck Trouble Starring Donald Duck                    | Sega                | Sega Master System | 1993 | PAL
|       | Desert Speedtrap Starring Road Runner and Wile E. Coyote  | Sega                | Sega Master System | 1993 | PAL
|       | Desert Speedtrap: Starring Road Runner and Wile E. Coyote | Sega                | Sega Master System | 1993 | PAL
|       | Desert Strike                                             | Domark              | Sega Master System | 1992 | PAL
|       | Dick Tracy                                                | Sega                | Sega Master System | 1990 | PAL
|       | Digger Chan                                               | PlayGeneration      | Sega Master System | 2011 | PAL
|       | Disney's Aladdin                                          | Sega                | Sega Master System | 1994 | PAL
|       | Disney's The Jungle Book                                  | Syrox Developments  | Sega Master System | 1993 | PAL
|       | Double Dragon                                             | Sega                | Sega Master System | 1988 | PAL
|       | Double Hawk                                               | Sega                | Sega Master System | 1990 | PAL
|       | Dr. Robotnik's Mean Bean Machine                          | Sega                | Sega Master System | 1994 | PAL
|       | Dragon Crystal                                            | Sega                | Sega Master System | 1991 | PAL
|       | Dragon: The Bruce Lee Story                               | Virgin Interactive  | Sega Master System | 1995 | PAL
|       | Dynamite Duke                                             | Sega                | Sega Master System | 1989 | PAL
|       | Dynamite Dux                                              | Sega                | Sega Master System | 1989 | PAL
|       | E-SWAT                                                    | Sega                | Sega Master System | 1990 | PAL
|       | Ecco the Dolphin                                          | Sega                | Sega Master System | 1993 | PAL
|       | Enduro Racer                                              | Sega                | Sega Master System | 1988 | PAL
|       | F-16 Fighter                                              | Sega                | Sega Master System | 1986 | PAL
|       | F1                                                        | Domark              | Sega Master System | 1993 | PAL
|       | Fantastic Dizzy                                           | Codemasters         | Sega Master System | 1993 | PAL
|       | Fantasy Zone                                              | Sega                | Sega Master System | 1986 | PAL
|       | Fantasy Zone II                                           | Sega                | Sega Master System | 1988 | PAL
|       | Fantasy Zone: The Maze                                    | Sega                | Sega Master System | 1988 | PAL
|       | Fire & Forget II                                          | Titus Software      | Sega Master System | 1990 | PAL
|       | Flash, The                                                | Sega                | Sega Master System | 1993 | PAL
|       | Flintstones, The                                          | Sega                | Sega Master System | 1993 | PAL
|       | Forgotten Worlds                                          | Sega                | Sega Master System | 1991 | PAL
|       | G-LOC: Air Battle                                         | Sega                | Sega Master System | 1991 | PAL
|       | Gain Ground                                               | Sega                | Sega Master System | 1991 | PAL
