|       | Call of Duty 2: Big Red One                                         | Activision                             | Nintendo GameCube | 2005 | NTSC (NA)
|       | Call of Duty: Finest Hour                                           | Activision                             | Nintendo GameCube | 2004 | NTSC (NA)
|       | Capcom vs. SNK 2 EO                                                 | Capcom                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Carmen Sandiego: The Secret of the Stolen Drums                     | Bam Entertainment                      | Nintendo GameCube | 2004 | NTSC (NA)
|       | Cars                                                                | THQ                                    | Nintendo GameCube | 2006 | NTSC (NA)
|       | Casper: Spirit Dimensions                                           | TDK Mediactive                         | Nintendo GameCube | 2002 | NTSC (NA)
|       | Catwoman                                                            | EA Games                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Cel Damage                                                          | Electronic Arts                        | Nintendo GameCube | 2002 | NTSC (NA)
|       | Chaos Field                                                         | O3 Entertainment                       | Nintendo GameCube | 2005 | NTSC (NA)
|       | Charlie and the Chocolate Factory                                   | Global Star Software                   | Nintendo GameCube | 2005 | NTSC (NA)
|       | Charlie's Angels                                                    | Ubisoft                                | Nintendo GameCube | 2003 | NTSC (NA)
|       | Chibi-Robo!                                                         | Nintendo                               | Nintendo GameCube | 2006 | NTSC (NA)
|       | Chicken Little                                                      | Buena Vista Games                      | Nintendo GameCube | 2005 | NTSC (NA)
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The     | Buena Vista Games                      | Nintendo GameCube | 2005 | NTSC (NA)
|       | City Racer                                                          | Ubisoft                                | Nintendo GameCube | 2003 | NTSC (NA)
|       | Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.              | Global Star Software                   | Nintendo GameCube | 2005 | NTSC (NA)
|       | Conflict: Desert Storm                                              | Gotham Games                           | Nintendo GameCube | 2003 | NTSC (NA)
|       | Conflict: Desert Storm II - Back to Baghdad                         | Gotham Games                           | Nintendo GameCube | 2004 | NTSC (NA)
|       | Crash Bandicoot: The Wrath of Cortex                                | VU Games                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Crash Nitro Kart                                                    | VU Games                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Crash Tag Team Racing                                               | VU Games                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Crazy Taxi                                                          | Acclaim                                | Nintendo GameCube | 2001 | NTSC (NA)
|       | Cubivore: Survival of the Fittest                                   | ATLUS                                  | Nintendo GameCube | 2002 | NTSC (NA)
|       | Cubix Robots for Everyone: Showdown                                 | 3DO                                    | Nintendo GameCube | 2003 | NTSC (NA)
|       | Curious George                                                      | Namco                                  | Nintendo GameCube | 2006 | NTSC (NA)
|       | Custom Robo                                                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Dakar 2                                                             | Acclaim                                | Nintendo GameCube | 2003 | NTSC (NA)
|       | Dakar 2: The World's Ultimate Rally                                 | Acclaim                                | Nintendo GameCube | 2003 | NTSC (NA)
|       | Dance Dance Revolution: Mario Mix                                   | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Dark Summit                                                         | THQ                                    | Nintendo GameCube | 2002 | NTSC (NA)
|       | Darkened Skye                                                       | Simon & Schuster                       | Nintendo GameCube | 2002 | NTSC (NA)
|       | Dave Mirra Freestyle BMX 2                                          | Acclaim                                | Nintendo GameCube | 2001 | NTSC (NA)
|       | Dead to Rights                                                      | Namco                                  | Nintendo GameCube | 2002 | NTSC (NA)
|       | Def Jam Vendetta                                                    | Electronic Arts                        | Nintendo GameCube | 2003 | NTSC (NA)
|       | Def Jam: Fight for NY                                               | EA Games                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Defender                                                            | Midway                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Demonstration Test Disc Release October 2001                        | Nintendo                               | Nintendo GameCube | 2001 | NTSC (NA)
|       | Die Hard: Vendetta                                                  | Sierra Entertainment                   | Nintendo GameCube | 2002 | NTSC (NA)
|       | Digimon Rumble Arena 2                                              | Bandai                                 | Nintendo GameCube | 2004 | NTSC (NA)
|       | Digimon World 4                                                     | Bandai                                 | Nintendo GameCube | 2005 | NTSC (NA)
|       | Dinotopia: The Sunstone Odyssey                                     | TDK Mediactive                         | Nintendo GameCube | 2003 | NTSC (NA)
|       | Disney Sports: Basketball                                           | Konami                                 | Nintendo GameCube | 2003 | NTSC (NA)
|       | Disney Sports: Football                                             | Konami                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Disney Sports: Skateboarding                                        | Konami                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Disney Sports: Soccer                                               | Konami                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Disney's Donald Duck: Goin' Quackers                                | Ubisoft                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | Disney's Extreme Skate Adventure                                    | Activision                             | Nintendo GameCube | 2003 | NTSC (NA)
|       | Disney's Hide and Sneak                                             | Capcom                                 | Nintendo GameCube | 2003 | NTSC (NA)
|       | Disney's Magical Mirror Starring Mickey Mouse                       | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Disney's Party                                                      | Electronic Arts                        | Nintendo GameCube | 2003 | NTSC (NA)
|       | Disney's PK: Out of the Shadows                                     | Ubisoft                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | Disney's Tarzan Untamed                                             | Ubisoft                                | Nintendo GameCube | 2001 | NTSC (NA)
|       | Donkey Kong Jungle Beat                                             | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Donkey Konga                                                        | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Donkey Konga 2                                                      | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Dora the Explorer: Journey to the Purple Planet                     | Take-Two Interactive                   | Nintendo GameCube | 2005 | NTSC (NA)
|       | Dr. Muto                                                            | Midway                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Dragon Ball Z: Budokai                                              | Atari                                  | Nintendo GameCube | 2003 | NTSC (NA)
|       | Dragon Ball Z: Budokai 2                                            | Atari                                  | Nintendo GameCube | 2004 | NTSC (NA)
|       | Dragon Ball Z: Sagas                                                | Atari                                  | Nintendo GameCube | 2005 | NTSC (NA)
|       | Dragon's Lair 3D                                                    | Encore Software, Inc.                  | Nintendo GameCube | 2002 | NTSC (NA)
|       | Driven                                                              | Bam Entertainment                      | Nintendo GameCube | 2002 | NTSC (NA)
|       | Drome Racers                                                        | Electronic Arts                        | Nintendo GameCube | 2003 | NTSC (NA)
|       | Duo Pack: Sonic Heroes / Super Monkey Ball                          | Sega                                   | Nintendo GameCube | 2004 | NTSC (NA)
|       | Ed, Edd n Eddy: The Mis-Edventures                                  | Midway                                 | Nintendo GameCube | 2005 | NTSC (NA)
|       | Egg Mania: Eggstreme Madness                                        | Kemco                                  | Nintendo GameCube | 2002 | NTSC (NA)
|       | Enter the Matrix                                                    | Atari                                  | Nintendo GameCube | 2003 | NTSC (NA)
|       | ESPN International Winter Sports 2002                               | Konami                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | ESPN MLS ExtraTime 2002                                             | Konami                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Eternal Darkness: Sanity's Requiem                                  | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Evolution Skateboarding                                             | Konami                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Evolution Snowboarding                                              | Konami                                 | Nintendo GameCube | 2003 | NTSC (NA)
|       | Evolution Worlds                                                    | Ubisoft                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | F-Zero GX                                                           | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | F1 2002                                                             | EA Sports                              | Nintendo GameCube | 2002 | NTSC (NA)
|       | Fairly OddParents! Breakin' Da Rules, The                           | THQ                                    | Nintendo GameCube | 2003 | NTSC (NA)
|       | Fairly OddParents! Shadow Showdown, The                             | THQ                                    | Nintendo GameCube | 2004 | NTSC (NA)
|       | Fantastic 4                                                         | Activision                             | Nintendo GameCube | 2005 | NTSC (NA)
|       | FIFA 07 Soccer                                                      | EA Sports                              | Nintendo GameCube | 2006 | NTSC (NA)
|       | FIFA Soccer 06                                                      | EA Sports                              | Nintendo GameCube | 2005 | NTSC (NA)
|       | FIFA Soccer 2002                                                    | EA Sports                              | Nintendo GameCube | 2001 | NTSC (NA)
