| | 007 Racing | | PlayStation | | NTSC (NA) | SLUS-01300
| | Atari 30th Aniversary Edition Redux | | PlayStation | | NTSC (NA) | SLUS-01427
| | A-Train | | PlayStation | | NTSC (NA) | SLUS-00003
| | Attack of the Saucerman | | PlayStation | | NTSC (NA) | SLUS-01718
| | ATV - Quad Power Racing | | PlayStation | | NTSC (NA) | SLUS-01137
| | ATV Mania | | PlayStation | | NTSC (NA) | SLUS-01545
| | ATV Racers | | PlayStation | | NTSC (NA) | SLUS-01572
| | Austin Powers Pinball | | PlayStation | | NTSC (NA) | SLUS-01456
| | Auto Destruct | | PlayStation | | NTSC (NA) | SLUS-00522
| | Azure Dreams | | PlayStation | | NTSC (NA) | SLUS-00614
| | Backstreet Billiards | | PlayStation | | NTSC (NA) | SLUS-00659
| | Backyard Football | | PlayStation | | NTSC (NA) | SLUS-01095
| | Backyard Soccer | | PlayStation | | NTSC (NA) | SLUS-01094
| | Backyard Soccer | | PlayStation | | NTSC (NA) | SLUS-01405
| | Baldies | | PlayStation | | NTSC (NA) | SLUS-01567
| | Ball Breakers | | PlayStation | | NTSC (NA) | SLUS-01249
| | BallBlazer Champions | | PlayStation | | NTSC (NA) | SLUS-00068
| | Ballerburg - Castle Chaos | | PlayStation | | NTSC (NA) | SLUS-01568
| | Ballistic | | PlayStation | | NTSC (NA) | SLUS-00966
| | Barbie - Detective - The Mystery Cruise | | PlayStation | | NTSC (NA) | SLUS-01221
| | Barbie - Explorer | | PlayStation | | NTSC (NA) | SLUS-01361
| | Barbie - Gotta Have Games | | PlayStation | | NTSC (NA) | SLUS-01569
| | Barbie - Race & Ride | | PlayStation | | NTSC (NA) | SLUS-00981
| | Barbie - Super Sports | | PlayStation | | NTSC (NA) | SLUS-00946
| | Bases Loaded '96 - Double Header | | PlayStation | | NTSC (NA) | SLUS-00086
| | Bass Landing | | PlayStation | | NTSC (NA) | SLUS-00873
| | BassRise Fishing | | PlayStation | | NTSC (NA) | SLUS-00905
| | Batman - Gotham City Racer | | PlayStation | | NTSC (NA) | SLUS-01141
| | Batman & Robin | | PlayStation | | NTSC (NA) | SLUS-00393
| | Batman Beyond - Return of the Joker | | PlayStation | | NTSC (NA) | SLUS-01207
| | Batman Forever - The Arcade Game | | PlayStation | | NTSC (NA) | SLUS-00387
| | Battle Arena Toshinden | | PlayStation | | NTSC (NA) | SCUS-94200
| | Battle Arena Toshinden [Not for Resale] | | PlayStation | | NTSC (NA) | SCUS-94003
| | Battle Arena Toshinden 2 | | PlayStation | | NTSC (NA) | SLUS-00220
| | Battle Arena Toshinden 3 | | PlayStation | | NTSC (NA) | SLUS-00483
| | Battle Hunter | | PlayStation | | NTSC (NA) | SLUS-01335
| | Battlesport | | PlayStation | | NTSC (NA) | SLUS-00389
| | Battlestations | | PlayStation | | NTSC (NA) | SLUS-00456
| | BattleTanx - Global Assault | | PlayStation | | NTSC (NA) | SLUS-01044
| | Bear in the Big Blue House | | PlayStation | | NTSC (NA) | SLUS-01524
| | Beast Wars - Transformers | | PlayStation | | NTSC (NA) | SLUS-00508
| | Bedlam | | PlayStation | | NTSC (NA) | SLUS-00349
| | Best Buy Demo Disc | | PlayStation | | NTSC (NA) | SCUS-94286
| | Best Buy Greatest Hits Demo Disc Vol.1 | | PlayStation | | NTSC (NA) | SCUS-94668
| | Best of PlayStation Underground Year 1 Demo Disc | | PlayStation | | NTSC (NA) | SCUS-94261
| | Beyblade - Let it Rip! | | PlayStation | | NTSC (NA) | SLUS-01489
| | Beyond the Beyond | | PlayStation | | NTSC (NA) | SCUS-94702
| | Big Air | | PlayStation | | NTSC (NA) | SLUS-00645
| | Big Bass Fishing | | PlayStation | | NTSC (NA) | SLUS-01442
| | Big Bass World Championship | | PlayStation | | NTSC (NA) | SLUS-00228
| | Big League Slugger Baseball | | PlayStation | | NTSC (NA) | SLUS-01527
| | Big Strike Bowling | | PlayStation | | NTSC (NA) | SLUS-01478
| | Billiards | | PlayStation | | NTSC (NA) | SLUS-01289
| | Bio F.R.E.A.K.S. | | PlayStation | | NTSC (NA) | SLUS-00502
| | Black Bass with Blue Marlin | | PlayStation | | NTSC (NA) | SLUS-00648
| | Black Dawn | | PlayStation | | NTSC (NA) | SLUS-00321
| | Blade | | PlayStation | | NTSC (NA) | SLUS-01215
| | Blast Chamber | | PlayStation | | NTSC (NA) | SLUS-00219
| | Blast Lacrosse | | PlayStation | | NTSC (NA) | SLUS-01380
| | Blast Radius | | PlayStation | | NTSC (NA) | SLUS-00642
| | Blaster Master | | PlayStation | | NTSC (NA) | SLUS-01031
| | Blaster Master - Blasting Again | | PlayStation | | NTSC (NA) | SLUS-01424
| | Blasto | | PlayStation | | NTSC (NA) | SCUS-94412
| | Blazing Dragons | | PlayStation | | NTSC (NA) | SLUS-00100
| | Blockids | | PlayStation | | NTSC (NA) | SLUS-01496
| | Blood Omen - Legacy of Kain | | PlayStation | | NTSC (NA) | SLUS-00027
