|       | Farming Simulator 14                                                   | Focus Home Interactive                 | PlayStation Vita | 2014 | NTSC (NA)
|       | Farming Simulator 16                                                   | Focus Home Interactive                 | PlayStation Vita | 2015 | NTSC (NA)
|       | Farming Simulator 18                                                   | Focus Home Interactive                 | PlayStation Vita | 2017 | NTSC (NA)
|       | Fate/Extella: The Umbral Star                                          | Xseed Games                            | PlayStation Vita | 2017 | NTSC (NA)
|       | FIFA 14                                                                | EA Sports                              | PlayStation Vita | 2013 | NTSC (NA)
|       | FIFA 15                                                                | EA Sports                              | PlayStation Vita | 2014 | NTSC (NA)
|       | FIFA Soccer                                                            | EA Sports                              | PlayStation Vita | 2012 | NTSC (NA)
|       | FIFA Soccer 13                                                         | EA Sports                              | PlayStation Vita | 2012 | NTSC (NA)
|       | Final Fantasy X / X-2 HD Remaster                                      | 20th Century Fox Video Games           | PlayStation Vita | 2014 | NTSC (NA)
|       | Freedom Wars                                                           | SCEA                                   | PlayStation Vita | 2014 | NTSC (NA)
|       | Futuridium EP Deluxe                                                   | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Gal*Gun: Double Peace                                                  | PQube                                  | PlayStation Vita | 2016 | NTSC (NA)
|       | God of War Collection                                                  | SCEA                                   | PlayStation Vita | 2014 | NTSC (NA)
|       | God Wars: Future Past                                                  | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Grand Kingdom                                                          | NIS America                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Gravity Rush                                                           | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Hakuoki: Kyoto Winds                                                   | Idea Factory                           | PlayStation Vita | 2017 | NTSC (NA)
|       | Hatsune Miku: Project Diva F 2nd                                       | Sega                                   | PlayStation Vita | 2014 | NTSC (NA)
|       | Hatsune Miku: Project DIVA X                                           | Sega                                   | PlayStation Vita | 2016 | NTSC (NA)
|       | History Legends of War: Patton                                         | Maximum Games                          | PlayStation Vita | 2012 | NTSC (NA)
|       | Hot Shots Golf: World Invitational                                     | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | htoL#NiQ: The Firefly Diary                                            | NIS America                            | PlayStation Vita | 2015 | NTSC (NA)
|       | Hyperdevotion Noire: Goddess Black Heart                               | Idea Factory                           | PlayStation Vita | 2015 | NTSC (NA)
|       | Hyperdimension Neptunia PP: Producing Perfection                       | NIS America                            | PlayStation Vita | 2014 | NTSC (NA)
|       | Hyperdimension Neptunia Re;Birth1                                      | Idea Factory                           | PlayStation Vita | 2014 | NTSC (NA)
