|       | Bionicle                                                                  | EA Games                               | Xbox   | 2003 | NTSC (NA)
|       | Black                                                                     | EA Games                               | Xbox   | 2006 | NTSC (NA)
|       | Black Stone: Magic & Steel                                                | Xicat Interactive                      | Xbox   | 2003 | NTSC (NA)
|       | Blade II                                                                  | Activision                             | Xbox   | 2002 | NTSC (NA)
|       | Blazing Angels: Squadrons of WWII                                         | Ubisoft                                | Xbox   | 2006 | NTSC (NA)
|       | Blinx 2: Masters of Time & Space                                          | Microsoft Game Studios                 | Xbox   | 2004 | NTSC (NA)
|       | Blinx: The Time Sweeper                                                   | Microsoft Game Studios                 | Xbox   | 2002 | NTSC (NA)
|       | Blitz: The League                                                         | Midway                                 | Xbox   | 2005 | NTSC (NA)
|       | Blood Omen 2                                                              | Eidos Interactive                      | Xbox   | 2002 | NTSC (NA)
|       | Blood Wake                                                                | Microsoft Game Studios                 | Xbox   | 2001 | NTSC (NA)
|       | BloodRayne                                                                | Majesco Games                          | Xbox   | 2002 | NTSC (NA)
|       | BloodRayne 2                                                              | Majesco Games                          | Xbox   | 2004 | NTSC (NA)
|       | Bloody Roar Extreme                                                       | Konami                                 | Xbox   | 2003 | NTSC (NA)
|       | BlowOut                                                                   | Majesco Games                          | Xbox   | 2003 | NTSC (NA)
|       | BMX XXX                                                                   | Acclaim                                | Xbox   | 2002 | NTSC (NA)
|       | Breakdown                                                                 | Namco                                  | Xbox   | 2004 | NTSC (NA)
|       | Breeders' Cup World Thoroughbred Championships                            | Bethesda Softworks                     | Xbox   | 2005 | NTSC (NA)
|       | Broken Sword: The Sleeping Dragon                                         | The Adventure Company                  | Xbox   | 2003 | NTSC (NA)
|       | Brothers in Arms: Earned in Blood                                         | Ubisoft                                | Xbox   | 2005 | NTSC (NA)
|       | Brothers in Arms: Road to Hill 30                                         | Ubisoft                                | Xbox   | 2005 | NTSC (NA)
|       | Bruce Lee: Quest of the Dragon                                            | Universal Interactive                  | Xbox   | 2002 | NTSC (NA)
|       | Brute Force                                                               | Microsoft Game Studios                 | Xbox   | 2003 | NTSC (NA)
|       | Buffy the Vampire Slayer                                                  | Electronic Arts                        | Xbox   | 2002 | NTSC (NA)
|       | Buffy the Vampire Slayer: Chaos Bleeds                                    | Sierra Entertainment                   | Xbox   | 2003 | NTSC (NA)
|       | Burnout                                                                   | Acclaim                                | Xbox   | 2002 | NTSC (NA)
|       | Burnout 2: Point of Impact                                                | Acclaim                                | Xbox   | 2003 | NTSC (NA)
|       | Burnout 3: Takedown                                                       | EA Games                               | Xbox   | 2004 | NTSC (NA)
|       | Burnout Revenge                                                           | Electronic Arts                        | Xbox   | 2005 | NTSC (NA)
|       | Cabela's Big Game Hunter 2005 Adventures                                  | Activision Value                       | Xbox   | 2004 | NTSC (NA)
|       | Cabela's Dangerous Hunts                                                  | Activision                             | Xbox   | 2003 | NTSC (NA)
|       | Cabela's Dangerous Hunts 2                                                | Activision                             | Xbox   | 2005 | NTSC (NA)
|       | Cabela's Deer Hunt 2005 Season                                            | Activision                             | Xbox   | 2004 | NTSC (NA)
|       | Cabela's Deer Hunt: 2004 Season                                           | Activision                             | Xbox   | 2003 | NTSC (NA)
|       | Cabela's Outdoor Adventures                                               | Activision                             | Xbox   | 2005 | NTSC (NA)
|       | Call of Cthulhu: Dark Corners of the Earth                                | 2K Games                               | Xbox   | 2005 | NTSC (NA)
|       | Call of Duty 2: Big Red One                                               | Activision                             | Xbox   | 2005 | NTSC (NA)
|       | Call of Duty 3                                                            | Activision                             | Xbox   | 2006 | NTSC (NA)
|       | Call of Duty: Finest Hour                                                 | Activision                             | Xbox   | 2004 | NTSC (NA)
|       | Capcom Classics Collection                                                | Capcom                                 | Xbox   | 2005 | NTSC (NA)
|       | Capcom Classics Collection Vol. 2                                         | Capcom                                 | Xbox   | 2006 | NTSC (NA)
|       | Capcom Fighting Evolution                                                 | Capcom                                 | Xbox   | 2005 | NTSC (NA)
|       | Capcom vs. SNK 2 EO                                                       | Capcom                                 | Xbox   | 2003 | NTSC (NA)
|       | Carmen Sandiego: The Secret of the Stolen Drums                           | Bam Entertainment                      | Xbox   | 2004 | NTSC (NA)
|       | Cars                                                                      | THQ                                    | Xbox   | 2006 | NTSC (NA)
|       | Carve                                                                     | Global Star Software                   | Xbox   | 2004 | NTSC (NA)
|       | Castlevania: Curse of Darkness                                            | Konami                                 | Xbox   | 2005 | NTSC (NA)
|       | Catwoman                                                                  | EA Games                               | Xbox   | 2004 | NTSC (NA)
|       | Cel Damage                                                                | Electronic Arts                        | Xbox   | 2001 | NTSC (NA)
|       | Championship Bowling                                                      | Evolved Games                          | Xbox   | 2006 | NTSC (NA)
|       | Charlie and the Chocolate Factory                                         | Global Star Software                   | Xbox   | 2005 | NTSC (NA)
|       | Chase: Hollywood Stunt Driver                                             | Bam Entertainment                      | Xbox   | 2002 | NTSC (NA)
|       | Chessmaster                                                               | Ubisoft                                | Xbox   | 2004 | NTSC (NA)
|       | Chicago Enforcer                                                          | Kemco                                  | Xbox   | 2005 | NTSC (NA)
|       | Chicken Little                                                            | Buena Vista Games                      | Xbox   | 2005 | NTSC (NA)
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The           | Buena Vista Games                      | Xbox   | 2005 | NTSC (NA)
|       | Chronicles of Riddick: Escape From Butcher Bay, The                       | VU Games                               | Xbox   | 2004 | NTSC (NA)
|       | Circus Maximus: Chariot Wars                                              | Encore Software, Inc.                  | Xbox   | 2002 | NTSC (NA)
|       | Classified: The Sentinel Crisis                                           | Global Star Software                   | Xbox   | 2006 | NTSC (NA)
|       | Close Combat: First to Fight                                              | 2K Games                               | Xbox   | 2005 | NTSC (NA)
|       | Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.                    | Global Star Software                   | Xbox   | 2005 | NTSC (NA)
|       | Cold Fear                                                                 | Ubisoft                                | Xbox   | 2005 | NTSC (NA)
|       | Cold War                                                                  | DreamCatcher Interactive               | Xbox   | 2005 | NTSC (NA)
|       | Colin McRae Rally 04                                                      | Codemasters                            | Xbox   | 2004 | NTSC (NA)
|       | Colin McRae Rally 2005                                                    | Codemasters                            | Xbox   | 2004 | NTSC (NA)
|       | Colin McRae Rally 3                                                       | Codemasters                            | Xbox   | 2003 | NTSC (NA)
|       | College Hoops 2K6                                                         | 2K Sports                              | Xbox   | 2005 | NTSC (NA)
|       | College Hoops 2K7                                                         | 2K Sports                              | Xbox   | 2006 | NTSC (NA)
|       | Combat Elite: WWII Paratroopers                                           | SouthPeak Games                        | Xbox   | 2005 | NTSC (NA)
|       | Combat: Task Force 121                                                    | Groove Games                           | Xbox   | 2005 | NTSC (NA)
