|       | Pathway to Glory                               | Nokia             | N-Gage | 2004 | PAL
|       | Pathway to Glory: Ikusa Islands                | Nokia             | N-Gage | 2005 | PAL
|       | Pocket Kingdom: Own the World                  | Nokia             | N-Gage | 2003 | PAL
|       | Puyo Pop                                       | Nokia             | N-Gage | 2003 | PAL
|       | Puzzle Bobble VS                               | Nokia             | N-Gage | 2003 | PAL
|       | Rayman 3                                       | Gameloft          | N-Gage | 2004 | PAL
|       | Red Faction                                    | THQ               | N-Gage | 2003 | PAL
|       | Requiem of Hell                                | Nokia             | N-Gage | 2004 | PAL
|       | Rifts: Promise of Power                        | Nokia             | N-Gage | 2005 | PAL
|       | Roots: Gates of Chaos, The                     | Cenega Publishing | N-Gage | 2005 | PAL
|       | Sims Bustin' Out, The                          | EA Games          | N-Gage | 2004 | PAL
|       | Snakes                                         | Nokia             | N-Gage | 2005 | PAL
|       | SonicN                                         | Sega              | N-Gage | 2003 | PAL
|       | Spider-Man 2                                   | Activision        | N-Gage | 2004 | PAL
|       | SSX Out of Bounds                              | Nokia             | N-Gage | 2005 | PAL
|       | Super Monkey Ball                              | Nokia             | N-Gage | 2003 | PAL
|       | System Rush                                    | Nokia             | N-Gage | 2005 | PAL
|       | Tiger Woods PGA Tour 2004                      | Nokia             | N-Gage | 2004 | PAL
|       | Tom Clancy's Ghost Recon: Jungle Storm         | Nokia             | N-Gage | 2004 | PAL
|       | Tom Clancy's Splinter Cell Team Stealth Action | Gameloft          | N-Gage | 2003 | PAL
|       | Tom Clancy's Splinter Cell: Chaos Theory       | Nokia             | N-Gage | 2005 | PAL
|       | Tomb Raider                                    | Eidos Interactive | N-Gage | 2003 | PAL
|       | Tony Hawk's Pro Skater                         | Nokia             | N-Gage | 2003 | PAL
|       | Virtua Tennis                                  | Nokia             | N-Gage | 2003 | PAL
|       | Warhammer 40,000: Glory in Death               | Nokia             | N-Gage | 2006 | PAL
|       | Worms World Party                              | Nokia             | N-Gage | 2005 | PAL
|       | WWE Aftershock                                 | Nokia             | N-Gage | 2005 | PAL
|       | X-Men Legends                                  | Nokia             | N-Gage | 2005 | PAL
|       | X-Men Legends II: Rise of Apocalypse           | Activision        | N-Gage | 2005 | PAL
|       | Xanadu Next                                    | Nokia             | N-Gage | 2005 | PAL
