|       | Frank Thomas Big Hurt Baseball                             | Acclaim                     | Game Gear | 1995 | NTSC (NA)
|       | Fred Couples Golf                                          | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | G-LOC Air Battle                                           | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Garfield: Caught in the Act                                | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Gear Works                                                 | Sony Imagesoft              | Game Gear | 1994 | NTSC (NA)
|       | George Foreman's KO Boxing                                 | Flying Edge                 | Game Gear | 1992 | NTSC (NA)
|       | GP Rider                                                   | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Greendog: The Beached Surfer Dude!                         | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | Halley Wars                                                | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Home Alone                                                 | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Hook                                                       | Sony Imagesoft              | Game Gear | 1992 | NTSC (NA)
|       | Incredible Crash Dummies, The                              | Flying Edge                 | Game Gear | 1992 | NTSC (NA)
|       | Incredible Hulk, The                                       | U.S. Gold                   | Game Gear | 1995 | NTSC (NA)
|       | Indiana Jones and the Last Crusade                         | U.S. Gold                   | Game Gear | 1992 | NTSC (NA)
|       | Iron Man / X-O Manowar in Heavy Metal                      | Acclaim                     | Game Gear | 1996 | NTSC (NA)
|       | Itchy & Scratchy Game, The                                 | Acclaim                     | Game Gear | 1995 | NTSC (NA)
|       | James Pond II - Codename: Robocod                          | U.S. Gold                   | Game Gear | 1993 | NTSC (NA)
|       | Jeopardy 25th Anniversary                                  | GameTek                     | Game Gear | 1992 | NTSC (NA)
|       | Jeopardy! Sports Edition                                   | GameTek                     | Game Gear | 1994 | NTSC (NA)
|       | Joe Montana Football                                       | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Judge Dredd                                                | Acclaim                     | Game Gear | 1995 | NTSC (NA)
|       | Junction                                                   | Micronet                    | Game Gear | 1991 | NTSC (NA)
|       | Jungle Strike                                              | Black Pearl                 | Game Gear | 1993 | NTSC (NA)
|       | Jurassic Park                                              | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | Kawasaki Superbike Challenge                               | Time Warner Interactive     | Game Gear | 1995 | NTSC (NA)
|       | Klax                                                       | Tengen                      | Game Gear | 1992 | NTSC (NA)
|       | Krusty's Funhouse                                          | Flying Edge                 | Game Gear | 1993 | NTSC (NA)
|       | Land of Illusion starring Mickey Mouse                     | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | Last Action Hero                                           | Sony Imagesoft              | Game Gear | 1992 | NTSC (NA)
|       | Legend of Illusion starring Mickey Mouse                   | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Lemmings                                                   | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Lion King, The                                             | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Lost World: Jurassic Park, The                             | Sega                        | Game Gear | 1997 | NTSC (NA)
|       | Lucky Dime Caper Starring Donald Duck, The                 | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Madden 96                                                  | Electronic Arts             | Game Gear | 1996 | NTSC (NA)
|       | Madden NFL 95                                              | THQ                         | Game Gear | 1995 | NTSC (NA)
|       | Majors: Pro Baseball, The                                  | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Marble Madness                                             | Tengen                      | Game Gear | 1992 | NTSC (NA)
|       | Mega Man                                                   | U.S. Gold                   | Game Gear | 1995 | NTSC (NA)
|       | Mickey's Ultimate Challenge                                | Hi Tech Expressions         | Game Gear | 1994 | NTSC (NA)
|       | Micro Machines                                             | Codemasters                 | Game Gear | 1993 | NTSC (NA)
|       | Mighty Morphin Power Rangers                               | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Mighty Morphin Power Rangers: The Movie                    | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | MLBPA Baseball                                             | EA Sports                   | Game Gear | 1995 | NTSC (NA)
|       | Monster Truck Wars                                         | Acclaim                     | Game Gear | 1995 | NTSC (NA)
|       | Mortal Kombat                                              | Arena                       | Game Gear | 1993 | NTSC (NA)
|       | Mortal Kombat II                                           | Acclaim                     | Game Gear | 1994 | NTSC (NA)
|       | Ms. Pac-Man                                                | Namco                       | Game Gear | 1995 | NTSC (NA)
|       | NBA Action Starring David Robinson                         | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | NBA Jam                                                    | Arena                       | Game Gear | 1993 | NTSC (NA)
|       | NBA Jam Tournament Edition                                 | Acclaim                     | Game Gear | 1995 | NTSC (NA)
|       | NFL '95                                                    | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | NFL Quarterback Club                                       | Acclaim                     | Game Gear | 1994 | NTSC (NA)
|       | NFL Quarterback Club 96                                    | Acclaim                     | Game Gear | 1995 | NTSC (NA)
|       | NHL All-Star Hockey                                        | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | NHL Hockey                                                 | Electronic Arts             | Game Gear | 2005 | NTSC (NA)
|       | Ninja Gaiden                                               | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Olympic Gold                                               | U.S. Gold                   | Game Gear | 1992 | NTSC (NA)
|       | OutRun Europa                                              | U.S. Gold                   | Game Gear | 1991 | NTSC (NA)
|       | Pac-Attack                                                 | Namco                       | Game Gear | 1994 | NTSC (NA)
|       | Pac-Man                                                    | Namco                       | Game Gear | 1991 | NTSC (NA)
|       | Paperboy                                                   | Tengen                      | Game Gear | 1992 | NTSC (NA)
|       | Paperboy 2                                                 | Tengen                      | Game Gear | 1992 | NTSC (NA)
|       | Pete Sampras Tennis                                        | Codemasters                 | Game Gear | 1994 | NTSC (NA)
|       | PGA Tour 96                                                | Black Pearl                 | Game Gear | 1996 | NTSC (NA)
|       | PGA Tour Golf                                              | Tengen                      | Game Gear | 1994 | NTSC (NA)
|       | PGA Tour Golf II                                           | Time Warner Interactive     | Game Gear | 1995 | NTSC (NA)
|       | Phantom 2040                                               | Viacom New Media            | Game Gear | 1995 | NTSC (NA)
|       | Pinball Dreams                                             | GameTek                     | Game Gear | 1995 | NTSC (NA)
|       | Poker Face Paul's Blackjack                                | Adrenalin Interactive       | Game Gear | 1993 | NTSC (NA)
