| | Acid | | PlayStation | | NTSC (JP) | SLPS-02119
| | Acid [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-86589
| | Acid [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80430
| | Aconcagua [Disc1of2] | | PlayStation | | NTSC (JP) | SCPS-10131
| | Aconcagua [Disc2of2] | | PlayStation | | NTSC (JP) | SCPS-10132
| | Action Bass | | PlayStation | | NTSC (JP) | SLPS-02482
| | Action Bass [Pokkiri 1400 Series] | | PlayStation | | NTSC (JP) | SLPM-86927
| | Action Puzzle - Prism Land [1300yen Release] | | PlayStation | | NTSC (JP) | SLPS-02586
| | Actua Golf | | PlayStation | | NTSC (JP) | SLPS-00298
| | Actua Ice Hockey | | PlayStation | | NTSC (JP) | SLPM-86078
| | Actua Soccer | | PlayStation | | NTSC (JP) | SLPS-00297
| | Ad Lib Ouji... to Fuyukai na Nakamatachi | | PlayStation | | NTSC (JP) | SLPS-03510
| | Addie no Okurimono - To Maze from Addie | | PlayStation | | NTSC (JP) | SCPS-10126
| | Addie no Okurimono [Trial Version] | | PlayStation | | NTSC (JP) | PAPX-90105
| | Adidas Power Soccer '97 | | PlayStation | | NTSC (JP) | SIPS-60013
| | Advan Racing | | PlayStation | | NTSC (JP) | SLPS-01689
| | Advanced V.G. 2 | | PlayStation | | NTSC (JP) | SLPS-01318
| | Advanced V.G. 2 [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87226
| | Advanced V.G. 2 [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80311
| | Advanced Variable Geo | | PlayStation | | NTSC (JP) | SLPS-00208
| | Advanced Variable Geo [Natsu-cole Series Vol.1] | | PlayStation | | NTSC (JP) | SLPM-87122
| | Advanced Variable Geo [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87227
| | Aero Dive | | PlayStation | | NTSC (JP) | SLPS-02367
| | Affect [Trial Version Vol.1] | | PlayStation | | NTSC (JP) | SLPM-80542
| | Afraid Gear | | PlayStation | | NTSC (JP) | SLPS-00995
| | Afraid Gear [Reprint] | | PlayStation | | NTSC (JP) | SLPM-86876
| | Afraid Gear Another | | PlayStation | | NTSC (JP) | SLPM-86834
| | Agent Armstrong | | PlayStation | | NTSC (JP) | SLPS-01073
| | Agile Warrior | | PlayStation | | NTSC (JP) | SLPS-00179
| | AI Igo 7 | | PlayStation | | NTSC (JP) | SLPS-01816
| | AI Mahjong 2000 | | PlayStation | | NTSC (JP) | SLPS-02411
| | AI Mahjong Selection [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87117
| | AI Shogi | | PlayStation | | NTSC (JP) | SLPS-00109
| | AI Shogi [Reprint] | | PlayStation | | NTSC (JP) | SLPS-00840
| | AI Shogi 2 | | PlayStation | | NTSC (JP) | SLPS-01159
