|       | Samurai Ghost                                 | Namco                    | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Shockman                                      | NCS                      | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Side Arms                                     | Radiance                 | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Silent Debuggers                              | NEC Interchannel         | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Sinistron                                     | IGS (Japan)              | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Soldier Blade                                 | NEC                      | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Somer Assault                                 | ATLUS                    | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Sonic Spike                                   | IGS (Japan)              | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Space Harrier                                 | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Splatterhouse                                 | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Super Star Soldier                            | NEC                      | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Super Volleyball                              | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Takin' It to the Hoop                         | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Tiger Road                                    | NEC Interchannel         | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Time Cruise                                   | NEC                      | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Timeball                                      | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Tricky Kick                                   | IGS (Japan)              | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Turrican                                      | Ballistic                | TurboGrafx-16 | 1991 | NTSC (NA)
|       | TV Sports Basketball                          | NEC                      | TurboGrafx-16 | 1991 | NTSC (NA)
|       | TV Sports Football                            | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | TV Sports Hockey                              | NEC                      | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Veigues Tactical Gladiator                    | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Victory Run                                   | Hudson                   | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Vigilante                                     | NEC                      | TurboGrafx-16 | 1989 | NTSC (NA)
|       | World Class Baseball                          | NEC Interchannel         | TurboGrafx-16 | 1989 | NTSC (NA)
|       | World Court Tennis                            | NEC                      | TurboGrafx-16 | 1989 | NTSC (NA)
|       | World Sports Competition                      | NEC                      | TurboGrafx-16 | 1993 | NTSC (NA)
|       | Yo' Bro                                       | NEC                      | TurboGrafx-16 | 1991 | NTSC (NA)
|       | 1941: Counter Attack                                        | Hudson                       | TurboGrafx-16 | 1991 | NTSC (JP)
|       | 1943 Kai                                                    | Naxat Soft                   | TurboGrafx-16 | 1991 | NTSC (JP)
|       | 21 Emon: Mezase! Hotel Ou                                   | NEC Interchannel             | TurboGrafx-16 | 1994 | NTSC (JP)
|       | Adventure Island                                            | Hudson Soft                  | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Aero Blasters                                               | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | After Burner II                                             | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Aldynes: The Mission Code for Rage Crisis                   | Hudson                       | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Alien Crush                                                 | Naxat Soft                   | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Ankoku Densetsu                                             | Victor Interactive Software  | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Aoi Blink                                                   | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Appare! Gateball                                            | Hudson                       | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Artist Tool                                                 | Hudson Soft                  | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Atomic Robo-Kid Special                                     | UPL                          | TurboGrafx-16 | 1990 | NTSC (JP)
|       | AV Poker World Gambler                                      | Games Express                | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Ballistix                                                   | Coconuts Japan               | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Bari Bari Densetsu                                          | Taito Corporation            | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Barunba                                                     | Namco                        | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Batman                                                      | SunSoft                      | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Battle Ace                                                  | Hudson                       | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Battle Lode Runner                                          | Hudson                       | TurboGrafx-16 | 1993 | NTSC (JP)
|       | Be Ball                                                     | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Benkei Gaiden                                               | SunSoft                      | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Bikkuriman World                                            | Hudson                       | TurboGrafx-16 | 1987 | NTSC (JP)
|       | Blodia                                                      | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | BodyConQuest II                                             | Games Express                | TurboGrafx-16 | 1993 | NTSC (JP)
|       | Bomberman                                                   | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Bomberman '93                                               | Hudson                       | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Bomberman '94                                               | Hudson                       | TurboGrafx-16 | 1993 | NTSC (JP)
|       | Bomberman: Users Battle                                     | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Bouken Danshaku Don: The Lost Sunheart                      | I'Max                        | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Break In                                                    | Naxat Soft                   | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Bubblegum Crash                                             | Naxat Soft                   | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Bullfight Ring no Hasha                                     | Cream                        | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Burning Angels                                              | Naxat Soft                   | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Cadash                                                      | Taito Corporation            | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Champion Wrestler                                           | Taito Corporation            | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Chibi Maruko-Chan: Quiz de Piihyara                         | Namco                        | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Chikudenya Toubee: BIT2 no Kubikiri Yakata Yori             | Naxat Soft                   | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Chouzetsu Rinjin Bravoman                                   | Namco                        | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Circus Lido                                                 | Unipost                      | TurboGrafx-16 | 1991 | NTSC (JP)
|       | City Hunter                                                 | SunSoft                      | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Columns                                                     | Laser Soft                   | TurboGrafx-16 | 1991 | NTSC (JP)
