|       | Atlas: Renaissance Voyager, The                           | Artdink                               | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Aurora Quest: Otaku no Seiza in Another World             | Pack-In-Video                         | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Auto Crusher Palladium                                    | Pack-In-Video                         | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Avenger                                                   | Laser Soft                            | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Babel                                                     | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Baby Jo: The Super Hero                                   | Micro World                           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Bakuden Unbalance Zone                                    | Sony Music Entertainment Incorporated | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Bakushou Yoshimoto Shingeki                               | Hudson                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Basted                                                    | NEC Avenue                            | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Bazaru de Gozaru No Game Degozaru                         | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | NTSC (JP)
|       | Bikkuriman Daijikai                                       | Hudson                                | TurboGrafx-16 CD | 1988 | NTSC (JP)
|       | Bishoujo Senshi Sailor Moon                               | Banpresto                             | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Bishoujo Senshi Sailor Moon Collection                    | Banpresto                             | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Black Hole Assault                                        | Micronet                              | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Blood Gear                                                | Hudson                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Bomberman: Panic Bomber                                   | Hudson                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Bonanza Bros.                                             | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Brandish                                                  | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Browning                                                  | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Builderland                                               | Micro World                           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Burai II: Yami Koutei no Gyakushuu                        | Riverhillsoft                         | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Burai: Hachigyoku no Yuushi Densetsu                      | Riverhillsoft                         | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | CAL II                                                    | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | CAL III: Kanketsuhen                                      | NEC Avenue                            | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Card Angels                                               | Fujicom                               | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Carmen Sandiego o Oe! Sekaihen                            | Pack-In-Video                         | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | CD Battle Hikari no Yuushatachi                           | King Records                          | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | CD Denjin: Rockabilly Tengoku                             | Hudson                                | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | CD Hanafuda Bishoujo Fan Club                             | Games Express                         | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | CD Mahjong Bishoujo Chuushinha                            | Games Express                         | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Championship Rally                                        | Intec                                 | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Chiki Chiki Boys                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Cho Aniki                                                 | NCS                                   | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Chou Eiyuu Densetsu: Dynastic Hero                        | Hudson Soft                           | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Choujikuu Yousai Macross 2036                             | NCS                                   | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Choujikuu Yousai Macross: Eien no Love Song               | NCS                                   | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Cobra II: Densetsu no Otoko                               | Hudson                                | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Cobra Kuroryuuou no Densetsu                              | Hudson                                | TurboGrafx-16 CD | 1989 | NTSC (JP)
|       | Color Wars                                                | Coconuts Japan                        | TurboGrafx-16 CD | 1992 | NTSC (JP)
