|       | Conker's Pocket Tales                                    | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Croc                                                     | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | Croc 2                                                   | THQ                      | Game Boy Color | 2001 | NTSC (NA)
|       | Cruis'n Exotica                                          | Midway                   | Game Boy Color | 2000 | NTSC (NA)
|       | Crystalis                                                | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Cubix: Robots For Everyone - Race 'N Robots              | 3DO                      | Game Boy Color | 2001 | NTSC (NA)
|       | CyberTiger                                               | EA Sports                | Game Boy Color | 2000 | NTSC (NA)
|       | Daffy Duck: Fowl Play                                    | SunSoft                  | Game Boy Color | 1999 | NTSC (NA)
|       | Dave Mirra Freestyle BMX                                 | Acclaim                  | Game Boy Color | 2000 | NTSC (NA)
|       | Deer Hunter                                              | Vatical Entertainment    | Game Boy Color | 1999 | NTSC (NA)
|       | Deja Vu I and II                                         | Vatical Entertainment    | Game Boy Color | 1999 | NTSC (NA)
|       | Dexter's Laboratory: Robot Rampage                       | Bam Entertainment        | Game Boy Color | 2000 | NTSC (NA)
|       | Disney's 102 Dalmatians: Puppies to the Rescue           | Activision               | Game Boy Color | 2000 | NTSC (NA)
|       | Disney's Aladdin                                         | Ubisoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Disney's Atlantis: The Lost Empire                       | THQ                      | Game Boy Color | 2001 | NTSC (NA)
|       | Disney's Beauty and the Beast: A Board Game Adventure    | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Disney's Donald Duck: Goin' Quackers                     | Ubisoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Disney's Doug: Doug's Big Game                           | NewKidCo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Disney's Pooh and Tigger's Hunny Safari                  | Electronic Arts          | Game Boy Color | 2001 | NTSC (NA)
|       | Disney's Tarzan                                          | Activision               | Game Boy Color | 1999 | NTSC (NA)
|       | Disney's The Emperor's New Groove                        | Ubisoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Disney's The Lion King: Simba's Mighty Adventure         | Activision               | Game Boy Color | 2000 | NTSC (NA)
|       | Disney's The Little Mermaid II: Pinball Frenzy           | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Disney/Pixar Buzz Lightyear of Star Command              | Activision               | Game Boy Color | 2000 | NTSC (NA)
|       | Diva Starz: Mall Mania                                   | VU Games                 | Game Boy Color | 2001 | NTSC (NA)
|       | Dogz                                                     | Mindscape Inc.           | Game Boy Color | 1999 | NTSC (NA)
|       | Donkey Kong Country                                      | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Dracula: Crazy Vampire                                   | DreamCatcher Interactive | Game Boy Color | 2001 | NTSC (NA)
|       | Dragon Ball Z: Legendary Super Warriors                  | Infogrames               | Game Boy Color | 2002 | NTSC (NA)
|       | Dragon Dance                                             | Crave                    | Game Boy Color | 2000 | NTSC (NA)
|       | Dragon Tales: Dragon Adventures                          | NewKidCo                 | Game Boy Color | 2001 | NTSC (NA)
|       | Dragon Tales: Dragon Wings                               | NewKidCo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Dragon Warrior I & II                                    | Enix Corporation         | Game Boy Color | 2000 | NTSC (NA)
|       | Dragon Warrior III                                       | Enix Corporation         | Game Boy Color | 2001 | NTSC (NA)
|       | Dragon Warrior Monsters                                  | Eidos Interactive        | Game Boy Color | 2000 | NTSC (NA)
|       | Dragon Warrior Monsters 2: Cobi's Journey                | Enix Corporation         | Game Boy Color | 2001 | NTSC (NA)
|       | Dragon Warrior Monsters 2: Tara's Adventure              | Enix Corporation         | Game Boy Color | 2001 | NTSC (NA)
